,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Zysk netto akcjonariuszy jednostki dominującej,,229.88,184.28,26.04,72.66,55.19,-155.54,-278.56,61.89,-123.22,103.12,411.06,216.57,34.35,-111.3
Aktywa trwałe,,143.75,578.21,351.42,235.09,133.72,9.65,-30.77,-24.08,-59.33,52.33,12.31,29.77,36.36,17.18
Wartości niematerialne i prawne,,151.61,475.64,411.8,239.69,132.48,8.9,-32.21,-24.39,-60.9,34.65,15.44,13.65,61.33,23.87
Rzeczowe składniki majątku trwałego,,-100.0,,71.43,147.22,7.87,5.21,-29.7,-47.18,13.33,1132.94,-23.19,196.02,-18.72,-23.59
Należności długoterminowe,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,-52.63,0.0,1916.67,49.59,21.36,-12.75,-41.04,-12.09,81.21,-34.26,-85.92,76.0
Aktywa obrotowe,,341.73,342.83,33.25,100.97,61.1,-40.25,-48.52,50.69,70.83,-15.16,1.8,61.42,-2.58,-29.35
Zapasy,,,,,,,,,,,,,,,
Należności krótkoterminowe,,143.12,369.06,-9.17,279.36,17.81,-17.32,-29.39,44.57,22.26,-13.52,-14.19,79.58,34.54,-9.73
Inwestycje krótkoterminowe,,656.67,83.7,-35.97,805.62,173.99,-59.92,-93.41,545.14,248.27,-17.68,28.45,44.54,-45.44,-85.21
Środki pieniężne i inne aktywa pieniężne,,656.67,83.7,-35.97,805.62,173.99,-59.92,-93.41,545.14,248.27,-17.68,28.45,44.54,-45.44,-85.21
Pozostałe aktywa obrotowe,,,768.03,110.29,-73.96,-89.83,208.47,167.58,-89.94,204.08,-6.04,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,
Aktywa razem,,304.68,369.36,85.07,154.25,99.12,-9.58,-35.29,-8.93,-15.69,6.48,6.62,46.13,14.13,-5.49
Kapitał własny akcjonariuszy jednostki dominującej,,621.13,387.11,61.83,142.47,141.48,-10.12,-42.0,-25.25,0.8,4.32,12.21,35.0,21.61,-3.23
Kapitał (fundusz) podstawowy,,7.08,10.74,1.49,16.18,36.71,0.0,0.0,0.0,61.57,0.57,0.57,0.28,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,7.08,38.76,-1.24,169.91,182.19,29.71,2.17,-35.04,24.85,-37.22,-14.0,0.0,0.0,24.98
Udziały niekontrolujące,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,-100.0,,,,128.25,0.63,-45.61,-7.83,-93.99,329.25,-63.3,956.29,-21.54,-24.93
Z tytułu dostaw i usług,,-11.11,580.0,118.01,312.82,-64.75,36.85,44.2,97.18,-16.44,12.76,-14.98,70.0,8.46,-9.33
Kredyty i pożyczki,,,,,-100.0,,-100.0,,13.44,-8.26,-99.55,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,232.3,-9.97,1.31,-76.5
Inne zobowiązania długoterminowe,,-100.0,,,,128.25,0.63,-45.61,-42.72,-90.34,-100.0,,,,
Zobowiązania krótkoterminowe,,76.67,304.4,191.29,111.64,-16.7,-16.57,29.66,46.78,-18.29,3.17,1.58,39.2,6.64,-7.5
Inne zobowiązania krótkoterminowe,,164.44,211.76,67.65,143.73,-36.74,64.13,-21.92,-5.7,-29.94,-5.17,-75.06,19.27,3.93,455.04
Rozliczenia międzyokresowe,,,428.57,-8.11,-100.0,,,,,,,,,,
Pasywa razem,,304.68,369.36,85.07,154.25,99.12,-9.58,-35.29,-8.93,-15.69,6.48,6.62,46.13,14.13,-5.49
Przepływy pieniężne z działalności operacyjnej,,,-215.14,1015.96,200.72,-32.66,-78.31,-243.76,167.69,-333.45,228.04,-31.13,168.84,-187.67,148.13
Amortyzacja,,8.62,222.22,333.0,191.35,-7.69,62.73,23.16,-8.72,-6.2,-74.64,-1.07,69.45,-8.23,38.34
Przepływy pieniężne z działalności inwestycyjnej,,,-449.54,-360.6,-121.64,-53.3,49.14,60.57,66.6,-216.08,0.3,35.12,-68.15,-103.8,4.16
CAPEX (niematerialne i rzeczowe),,,449.54,360.6,121.64,53.3,-49.14,-86.74,-0.63,216.08,-0.3,-35.12,68.15,103.8,-4.16
Przepływy pieniężne z działalności finansowej,,,727.27,-34.07,263.03,301.92,-100.61,100.0,,801.74,-117.96,140.33,-223.98,-293.06,77.92
Emisja akcji,,,664.89,-100.0,,276.56,-100.0,,,,-100.0,,,,
Dywidenda,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,-4.06,-178.31,1551.35,95.86,-194.37,21.61,130.62,194.23,-124.82,232.33,101.09,-684.5,74.19
