,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Zysk przed opodatkowaniem,3468.0,1460.0,1913.0,3003.0,982.0,-3446.0,-3412.0,2083.0,2191.0,3000.0,2153.0,2324.0,595.0,3216.0,1449.0,656.0,-3506.0,1628.0,-718.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2959.0,1104.0,1499.0,2313.0,543.0,-2958.0,-2769.0,1625.0,1704.0,2390.0,1703.0,1823.0,427.0,2557.0,1131.0,478.0,-2866.0,1690.0,-882.0
Zysk netto akcjonariuszy jednostki dominującej,2959.0,1104.0,1499.0,2313.0,543.0,-2958.0,-2769.0,1625.0,1704.0,2390.0,1703.0,1823.0,427.0,2557.0,1131.0,478.0,-2866.0,1661.0,64.0
Aktywa trwałe,3171.0,6815.0,9141.0,9503.0,10387.0,11081.0,12073.0,9858.0,9452.0,7552.0,8257.0,10387.0,12472.0,9677.0,12311.0,11011.0,7267.0,16336.0,14391.0
Wartości niematerialne i prawne,868.0,1322.0,1374.0,1098.0,3663.0,4684.0,4662.0,3879.0,2950.0,1894.0,2515.0,1311.0,1454.0,2633.0,3642.0,5075.0,3631.0,7144.0,6056.0
Rzeczowe składniki majątku trwałego,1748.0,4611.0,6199.0,5330.0,4180.0,2515.0,3300.0,2782.0,2449.0,1780.0,1110.0,3093.0,3325.0,2336.0,1800.0,1029.0,624.0,3766.0,3230.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,795.0,665.0,800.0,1714.0,1794.0,1016.0,1140.0,543.0,17.0,0.0,0.0,0.0,1008.0,4199.0
Inwestycje długoterminowe,365.0,375.0,859.0,1586.0,1311.0,1133.0,781.0,781.0,554.0,490.0,490.0,490.0,490.0,1000.0,2640.0,2640.0,2080.0,3964.0,412.0
Pozostałe aktywa trwałe,190.0,507.0,709.0,1489.0,1233.0,1954.0,2665.0,1616.0,1785.0,1594.0,3126.0,4353.0,6660.0,3691.0,4229.0,2267.0,932.0,454.0,494.0
Aktywa obrotowe,24421.0,32570.0,26627.0,42288.0,31690.0,24856.0,24814.0,24964.0,30239.0,34282.0,47964.0,44587.0,39829.0,48082.0,27968.0,28019.0,31883.0,39402.0,32940.0
Zapasy,3284.0,3059.0,2390.0,7405.0,2801.0,817.0,1678.0,485.0,1697.0,364.0,425.0,6860.0,252.0,2462.0,778.0,501.0,1002.0,769.0,884.0
Należności krótkoterminowe,13733.0,23950.0,16693.0,25058.0,12072.0,8639.0,11625.0,14192.0,11748.0,16876.0,21529.0,16881.0,11621.0,22345.0,14030.0,13908.0,15962.0,29181.0,20471.0
Inwestycje krótkoterminowe,7214.0,5223.0,4225.0,2778.0,5655.0,4899.0,511.0,3524.0,7279.0,10138.0,8779.0,7425.0,3605.0,5475.0,4338.0,5251.0,12372.0,9452.0,11585.0
Środki pieniężne i inne aktywa pieniężne,7035.0,5205.0,4195.0,2602.0,5309.0,4899.0,511.0,3524.0,7279.0,10138.0,8779.0,7425.0,3605.0,5121.0,4338.0,5251.0,12372.0,9292.0,11480.0
Pozostałe aktywa obrotowe,190.0,338.0,3319.0,7047.0,11162.0,10501.0,11000.0,6763.0,9515.0,6904.0,17231.0,13421.0,24351.0,17800.0,8822.0,8359.0,2547.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,27592.0,39385.0,35768.0,51791.0,42077.0,35937.0,36887.0,34822.0,39691.0,41834.0,56221.0,54974.0,52301.0,57759.0,40279.0,39030.0,39150.0,55738.0,47331.0
Kapitał własny akcjonariuszy jednostki dominującej,21465.0,21559.0,22008.0,23210.0,22905.0,19481.0,16712.0,18337.0,18829.0,19805.0,19488.0,19796.0,18607.0,21063.0,20679.0,20551.0,17685.0,19285.0,18622.0
Kapitał (fundusz) podstawowy,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,16993.0,18942.0,18996.0,18877.0,20382.0,20419.0,20419.0,17650.0,17650.0,17650.0,17650.0,17650.0,16160.0,16486.0,17528.0,18053.0,18531.0,12755.0,12755.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.0,1282.0
Zobowiązania długoterminowe,0.0,1469.0,1615.0,1850.0,1662.0,771.0,405.0,499.0,1450.0,1202.0,3568.0,1849.0,0.0,0.0,397.0,52.0,0.0,2690.0,4793.0
Z tytułu dostaw i usług,0.0,0.0,0.0,20437.0,8330.0,6723.0,9913.0,7671.0,11456.0,5111.0,13191.0,13300.0,7749.0,19016.0,12423.0,14672.0,13852.0,24555.0,18173.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0,6616.0,4107.0,0.0,0.0,0.0,3500.0,3680.0,1358.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,419.0,544.0,795.0,355.0,480.0,818.0,1016.0,23.0,62.0,3.0,0.0,41.0,4.0,45.0,1262.0,989.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,3836.0
Zobowiązania krótkoterminowe,5409.0,14250.0,10446.0,21973.0,9699.0,8529.0,11898.0,9795.0,13414.0,9239.0,20480.0,20851.0,12813.0,20303.0,13174.0,14801.0,18003.0,31535.0,22634.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,1117.0,825.0,1011.0,1630.0,1644.0,1140.0,3112.0,2595.0,873.0,954.0,1287.0,710.0,125.0,606.0,2038.0,2114.0
Rozliczenia międzyokresowe,718.0,2107.0,1699.0,4758.0,7811.0,7156.0,7872.0,6191.0,5998.0,11588.0,12685.0,12478.0,20881.0,16393.0,6029.0,3626.0,3462.0,0.0,0.0
Pasywa razem,27592.0,39385.0,35768.0,51791.0,42077.0,35937.0,36887.0,34822.0,39691.0,41834.0,56221.0,54974.0,52301.0,57759.0,40279.0,39030.0,39150.0,55738.0,47331.0
Przepływy pieniężne z działalności operacyjnej,220.0,1217.0,4338.0,2669.0,7796.0,3149.0,-128.0,4427.0,6436.0,5468.0,-4285.0,2632.0,3593.0,7778.0,3333.0,4270.0,3931.0,-1245.0,8671.0
Amortyzacja,882.0,1349.0,2009.0,2566.0,2711.0,2870.0,2696.0,2136.0,2253.0,2225.0,2220.0,2234.0,2084.0,1476.0,1621.0,1678.0,1731.0,3196.0,3959.0
Przepływy pieniężne z działalności inwestycyjnej,-916.0,-2545.0,-3586.0,-1253.0,-3230.0,-2649.0,-3199.0,-781.0,-684.0,10.0,-914.0,-2423.0,-1128.0,-1901.0,-2441.0,-2293.0,-214.0,-1885.0,-1650.0
CAPEX (niematerialne i rzeczowe),1668.0,2891.0,3150.0,766.0,3761.0,2429.0,3479.0,888.0,1424.0,1308.0,2278.0,2930.0,2468.0,1789.0,1720.0,2400.0,247.0,827.0,2338.0
Przepływy pieniężne z działalności finansowej,-462.0,-502.0,-1762.0,-2631.0,-1741.0,-1347.0,-1061.0,-633.0,-1997.0,-2619.0,2195.0,-1563.0,-6285.0,-4357.0,-1675.0,-1064.0,3404.0,1011.0,-4833.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,1010.0,1050.0,1111.0,808.0,505.0,0.0,0.0,1212.0,1414.0,2020.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0
Przepływy pieniężne razem,-1158.0,-1830.0,-1010.0,-1215.0,2825.0,-847.0,-4388.0,3013.0,3755.0,2859.0,-3004.0,-1354.0,-3820.0,1520.0,-783.0,913.0,7121.0,-2119.0,2188.0
