,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Aktywa trwałe,,-37.66,13.93,-0.65,-31.95,13.09,9.14,14.08,-0.34,95.91,14.7,2.81,37.52,11.66,19.8
Wartości niematerialne i prawne,,-78.61,-0.48,-12.4,-10.61,14.55,-11.95,36.43,9.28,287.11,7.01,19.26,92.86,19.31,27.04
Rzeczowe składniki majątku trwałego,,25.85,28.68,-2.62,-36.32,10.79,16.66,15.38,-3.66,21.1,37.03,-10.56,-19.22,-7.05,-8.57
Należności długoterminowe,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,-100.0,,,81.21,-100.0,,,
Pozostałe aktywa trwałe,,11.54,-63.3,119.38,-32.03,33.23,-35.25,-28.94,19.52,423.99,-62.06,51.22,50.23,13.66,47.6
Aktywa obrotowe,,-3.11,-0.29,-2.21,48.87,39.12,-2.69,7.43,23.45,-11.88,-0.07,-35.69,11.88,61.6,18.36
Zapasy,,90.1,-29.82,8.77,25.41,-1.57,14.39,21.32,35.48,26.75,-1.29,-38.35,9.97,20.05,8.14
Należności krótkoterminowe,,-8.75,-5.28,-9.59,19.71,30.55,36.41,-11.38,41.07,20.29,-6.89,-46.56,36.0,57.46,6.51
Inwestycje krótkoterminowe,,-19.13,61.93,7.96,108.12,66.45,-39.61,28.58,2.44,-90.87,100.62,57.62,0.1,132.28,66.67
Środki pieniężne i inne aktywa pieniężne,,-22.13,62.04,10.29,111.44,66.45,-39.64,28.63,2.44,-90.87,100.62,57.62,-4.59,139.61,68.67
Pozostałe aktywa obrotowe,,-30.99,-44.31,6.81,163.24,-27.56,5.14,156.48,-18.59,18.03,46.63,-2.98,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,-100.0,,-68.75,-100.0,,,,,,,
Aktywa razem,,-26.92,8.07,-1.24,-1.54,27.9,1.82,10.15,13.38,28.21,8.32,-12.53,30.01,24.24,19.33
Kapitał własny akcjonariuszy jednostki dominującej,,-57.99,17.51,19.49,28.03,26.4,-4.18,13.84,9.79,-11.95,9.26,0.09,28.71,18.11,31.17
Kapitał (fundusz) podstawowy,,1.08,0.0,0.61,0.3,2.11,-0.74,-0.45,0.0,0.0,-3.43,-2.94,-0.96,3.86,4.95
Udziały (akcje) własne,,,,,,,-370.14,100.0,,-199.09,40.06,62.91,100.0,,
Kapitał (fundusz) zapasowy,,20.32,-46.62,-14.76,1.47,15.69,-4.45,0.9,17.11,-8.99,25.21,21.12,11.29,26.31,34.95
Udziały niekontrolujące,,,,,100.0,,-90.91,-1475.0,107.27,-600.0,-220.0,81.25,2916.67,-19.82,1586.35
Zobowiązania długoterminowe,,75.54,16.3,-17.32,-63.29,80.68,38.95,47.65,3.49,129.17,-9.21,1.84,41.9,-39.34,29.31
Z tytułu dostaw i usług,,21.46,-14.51,-33.74,9.68,102.12,15.44,1.37,11.65,25.92,27.69,-50.49,138.64,39.43,0.83
Kredyty i pożyczki,,-0.55,1.18,-3.84,-49.07,-21.77,-86.32,-94.55,-100.0,,188.1,-46.12,41.42,394.58,41.03
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,0.93,23.91,0.7,-36.25,-7.3,15.51,31.92,26.8,58.49,7.3,-9.61,-13.49,-16.29,-7.03
Inne zobowiązania długoterminowe,,6.01,26.56,-9.42,-34.19,29.73,-55.13,56.18,39.93,717.84,-53.68,-7.31,265.22,-67.87,0.06
Zobowiązania krótkoterminowe,,4.84,-2.61,-6.17,-13.34,19.67,2.2,-10.43,26.86,49.17,21.97,-33.96,18.09,107.24,-7.94
Inne zobowiązania krótkoterminowe,,-7.47,-19.31,44.52,78.76,0.59,23.99,-40.5,63.9,58.53,3.16,-21.99,-81.64,951.94,-69.81
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,
Pasywa razem,,-26.92,8.07,-1.24,-1.54,27.9,1.82,10.15,13.38,28.21,8.32,-12.53,30.01,24.24,19.33
Przepływy pieniężne z działalności operacyjnej,,34.27,94.3,-1.54,50.3,14.07,-9.76,10.94,3.6,51.98,3.2,-30.36,-7.08,41.94,29.49
Amortyzacja,,25.4,18.25,42.93,-9.99,-18.85,9.28,6.59,6.0,25.57,36.26,-4.39,14.36,-1.92,0.75
Przepływy pieniężne z działalności inwestycyjnej,,-4.66,3.97,25.85,38.13,-108.38,79.74,-31.01,56.84,-818.79,49.67,-54.62,-130.18,8.13,-83.96
CAPEX (niematerialne i rzeczowe),,12.21,10.5,-26.15,-35.46,93.31,-81.97,61.75,-55.97,90.33,117.42,61.85,37.16,59.09,-2.73
Przepływy pieniężne z działalności finansowej,,-57.14,-87.06,-767.95,-95.84,64.91,-911.82,36.89,-29.02,-81.91,26.16,50.24,81.33,-178.71,101.36
Emisja akcji,,-86.61,-100.0,,-100.0,,,,,,,,,,
Dywidenda,,,,,,100.45,100.83,189.12,-47.83,96.64,-23.73,-74.21,100.0,80.0,21.15
Przepływy pieniężne razem,,-126.28,318.3,-73.13,1094.87,26.07,-199.21,132.34,-85.23,-3953.29,110.02,14.88,-112.55,3003.23,17.85
