,0,1,2,3,4,5,6,7,8,9,10,11
Zysk netto akcjonariuszy jednostki dominującej,11403.0,22360.0,26027.0,34442.0,42820.0,71410.0,64320.0,54738.0,17184.0,55587.0,57285.0,138010.0
Aktywa trwałe,12864.0,14909.0,20926.0,20236.0,37091.0,52910.0,41177.0,35469.0,32714.0,32799.0,31095.0,52859.0
Wartości niematerialne i prawne,18.0,51.0,31.0,50.0,25.0,6.0,69.0,79.0,333.0,224.0,21.0,54.0
Rzeczowe składniki majątku trwałego,3924.0,5606.0,9385.0,9480.0,9588.0,10317.0,10000.0,11945.0,12936.0,13164.0,13087.0,12224.0
Należności długoterminowe,92.0,411.0,2655.0,1118.0,824.0,239.0,0.0,0.0,100.0,62.0,55.0,47.0
Inwestycje długoterminowe,8750.0,8750.0,8750.0,8750.0,8955.0,8995.0,2311.0,2243.0,2099.0,2092.0,2097.0,18043.0
Pozostałe aktywa trwałe,80.0,91.0,105.0,838.0,17699.0,33353.0,28797.0,21202.0,17246.0,17257.0,15835.0,22491.0
Aktywa obrotowe,144782.0,158538.0,178533.0,293587.0,348318.0,517713.0,685401.0,652888.0,708813.0,812532.0,773535.0,786772.0
Zapasy,133018.0,138113.0,136334.0,174066.0,256205.0,331135.0,443554.0,451404.0,547905.0,641973.0,658306.0,460877.0
Należności krótkoterminowe,5995.0,6526.0,10982.0,20652.0,35478.0,51118.0,98987.0,78903.0,56950.0,106354.0,31806.0,78416.0
Inwestycje krótkoterminowe,5548.0,13798.0,31115.0,98576.0,56000.0,135082.0,140538.0,121327.0,103958.0,64205.0,83423.0,247479.0
Środki pieniężne i inne aktywa pieniężne,5548.0,13798.0,31053.0,98549.0,55987.0,135005.0,140470.0,121322.0,84407.0,28540.0,65388.0,236048.0
Pozostałe aktywa obrotowe,221.0,101.0,102.0,293.0,635.0,378.0,2322.0,1254.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,157646.0,173447.0,199459.0,313823.0,385409.0,570623.0,726578.0,688357.0,741527.0,845331.0,804630.0,839631.0
Kapitał własny akcjonariuszy jednostki dominującej,101333.0,121473.0,145279.0,209825.0,241485.0,298855.0,348055.0,366793.0,381208.0,406272.0,430049.0,539967.0
Kapitał (fundusz) podstawowy,3000.0,3000.0,3000.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,28739.0,25916.0,19818.0,92164.0,73320.0,159565.0,137801.0,140210.0,122370.0,122370.0,122370.0,122370.0
Udziały niekontrolujące,1661.0,2074.0,3165.0,180.0,1488.0,-1542.0,1584.0,542.0,-3009.0,-1339.0,630.0,1596.0
Zobowiązania długoterminowe,12146.0,21731.0,30443.0,73414.0,75765.0,182660.0,197444.0,202260.0,166623.0,308413.0,217835.0,160799.0
Z tytułu dostaw i usług,11256.0,12378.0,10555.0,10816.0,31260.0,52852.0,13199.0,101276.0,61897.0,103372.0,29997.0,77038.0
Kredyty i pożyczki,12077.0,0.0,0.0,0.0,31167.0,847.0,0.0,0.0,31415.0,6557.0,9157.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,855.0,345.0,99773.0,14641.0,77577.0,9521.0
Zobowiązania z tytułu leasingu finansowego,81.0,107.0,224.0,129.0,143.0,303.0,273.0,1949.0,2454.0,3031.0,3110.0,1977.0
Inne zobowiązania długoterminowe,172.0,208.0,91.0,4898.0,5872.0,9032.0,23298.0,15320.0,14929.0,36774.0,47484.0,52827.0
Zobowiązania krótkoterminowe,42506.0,28169.0,20572.0,30404.0,66671.0,90650.0,179495.0,118762.0,196705.0,131985.0,156116.0,137269.0
Inne zobowiązania krótkoterminowe,19092.0,15684.0,9793.0,19459.0,4101.0,36648.0,165168.0,15192.0,1166.0,4384.0,36275.0,48733.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,157646.0,173447.0,199459.0,313823.0,385409.0,570623.0,726578.0,688357.0,741527.0,845331.0,804630.0,839631.0
Przepływy pieniężne z działalności operacyjnej,3532.0,16180.0,16932.0,4933.0,-55810.0,34887.0,39279.0,46478.0,-110312.0,-31783.0,137881.0,347929.0
Amortyzacja,243.0,560.0,629.0,884.0,1073.0,1208.0,1404.0,2223.0,2446.0,3081.0,3108.0,2584.0
Przepływy pieniężne z działalności inwestycyjnej,-2532.0,-3384.0,-7176.0,2552.0,69.0,-163.0,-1137.0,-2629.0,-975.0,-1286.0,-734.0,-985.0
CAPEX (niematerialne i rzeczowe),3683.0,3384.0,4423.0,801.0,873.0,1241.0,1273.0,2874.0,991.0,1880.0,917.0,876.0
Przepływy pieniężne z działalności finansowej,-6386.0,-4546.0,7499.0,60010.0,13179.0,44303.0,-32688.0,-62986.0,74372.0,-22798.0,-100299.0,-176284.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,1433.0,1361.0,2303.0,9789.0,13961.0,20483.0,23486.0,44490.0,4071.0,14191.0,36983.0,33816.0
Przepływy pieniężne razem,-5386.0,8250.0,17255.0,67495.0,-42562.0,79027.0,5454.0,-19137.0,-36915.0,-55867.0,36848.0,170660.0
