,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Zysk netto akcjonariuszy jednostki dominującej,,-66.5,28.58,21.51,275.28,16.74,5.53,-4.25,74.21,-45.93,-390.49,186.37,-61.68,-127.75
Aktywa trwałe,,54.35,-2.59,-3.02,-4.66,14.81,30.88,5.95,87.68,116.54,-30.45,-9.02,-1.03,-36.2
Wartości niematerialne i prawne,,220.47,-26.76,-25.11,-9.38,186.52,-41.38,-24.31,16.46,1705.66,-8.75,-2.4,4.64,-78.04
Rzeczowe składniki majątku trwałego,,46.0,-5.69,-7.95,-0.82,10.37,45.91,2.1,39.79,154.69,-39.26,-8.04,-14.21,-22.29
Należności długoterminowe,,,,,-2.81,-22.42,18.94,68.31,-69.94,-100.0,,,1.09,0.54
Inwestycje długoterminowe,,,,,,,,,,-69.05,-100.0,,,14.6
Pozostałe aktywa trwałe,,59.28,53.4,-19.09,-30.61,-6.9,-3.43,45.14,-16.99,187.42,107.14,-36.06,-8.15,-28.56
Aktywa obrotowe,,22.24,1.41,-13.75,65.89,9.0,1.8,21.04,-4.82,71.25,-24.4,14.22,29.6,-30.56
Zapasy,,26.62,19.18,-31.92,89.35,23.2,-4.39,9.91,13.0,82.92,-22.72,10.53,46.66,-32.56
Należności krótkoterminowe,,-0.49,-22.54,36.03,5.86,-2.55,-1.38,17.5,-25.74,85.97,-53.89,18.91,24.75,-14.06
Inwestycje krótkoterminowe,,200.54,-32.69,-3.08,222.17,-44.18,77.91,95.49,-42.34,-19.02,49.56,37.54,-72.69,-33.87
Środki pieniężne i inne aktywa pieniężne,,180.65,-29.58,-1.07,221.68,-44.36,60.28,109.08,-57.91,14.39,51.66,35.16,-72.2,-33.87
Pozostałe aktywa obrotowe,,18.75,-23.68,30.46,20.26,72.16,27.34,14.7,4.37,0.77,-32.34,20.47,34.07,-18.12
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,
Aktywa razem,,31.49,0.06,-10.22,40.81,10.4,9.08,16.51,20.45,90.52,-27.32,3.46,17.13,-32.5
Kapitał własny akcjonariuszy jednostki dominującej,,-7.52,10.4,12.55,87.94,16.19,15.37,8.32,19.99,8.06,-40.61,29.86,9.92,-4.43
Kapitał (fundusz) podstawowy,,1.0,0.0,0.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,0.0,0.0,100.0,,,,-22.48,-30.48,0.0,0.0
Kapitał (fundusz) zapasowy,,5.54,15.92,25.09,63.26,12.59,9.01,8.94,3.08,11.11,19.78,-13.8,23.05,1.33
Udziały niekontrolujące,,,,,,,,,,,-110.48,116.23,-223.0,100.0
Zobowiązania długoterminowe,,72.38,-7.77,-41.18,-1.24,9.5,6.68,0.77,59.28,250.17,-37.49,-28.95,-44.32,-67.41
Z tytułu dostaw i usług,,83.92,-30.26,24.39,13.88,3.65,7.63,19.05,17.99,143.32,-18.72,28.65,7.2,-52.09
Kredyty i pożyczki,,-4.32,11.16,-99.9,121416.67,4.64,-8.47,49.07,12.47,100.76,-4.33,-19.85,162.69,-29.41
Z tytułu emisji dłużnych papierów wartościowych,,,-11.64,4613.66,-100.0,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,47.4,-17.53,61.68,-31.6,48.94,-20.61,-5.08,49.56,821.68,4.32,-17.16,-26.72,-53.97
Inne zobowiązania długoterminowe,,,,,2.55,66.8,33.83,13.38,-7.05,777.43,-13.23,-2.32,-3.91,-81.91
Zobowiązania krótkoterminowe,,42.24,-5.93,2.96,19.45,3.22,0.81,36.16,10.05,135.13,-9.14,5.11,38.62,-40.48
Inne zobowiązania krótkoterminowe,,68.15,119.05,-5.62,0.9,-12.76,8.51,88.56,-22.56,9.07,20.97,13.82,-24.65,-23.31
Rozliczenia międzyokresowe,,248.18,163.27,-100.0,,,,,,,,,,
Pasywa razem,,31.49,0.06,-10.22,40.81,10.4,9.08,16.51,20.45,90.52,-27.32,3.46,17.13,-32.5
Przepływy pieniężne z działalności operacyjnej,,-39.68,-31.04,1020.77,-146.49,193.34,233.73,-30.82,70.84,16.66,111.34,-14.14,-167.39,150.48
Amortyzacja,,59.5,30.92,-11.41,-20.77,5.65,29.73,22.03,15.23,531.25,-3.5,-30.71,-18.54,-35.7
Przepływy pieniężne z działalności inwestycyjnej,,30.07,59.7,10.35,33.23,-926.64,-128.11,43.42,-618.3,94.0,-100.12,43.77,-59.09,74.74
CAPEX (niematerialne i rzeczowe),,1886.67,140.1,-54.51,-10.45,852.49,85.5,-61.63,249.49,-27.92,-42.01,-49.0,71.47,-42.55
Przepływy pieniężne z działalności finansowej,,295.27,-183.87,-655.38,195.04,-148.82,-46.25,100.69,-532.89,-9012.77,-110.81,15.99,159.8,-161.31
Emisja akcji,,,-100.0,,,,,,,,,,,
Dywidenda,,1400.0,-100.0,,,,4.89,53.17,-16.66,-13.87,26.29,82.58,-62.5,-100.0
Przepływy pieniężne razem,,1350.63,-145.88,98.16,28736.0,-164.44,172.66,236.25,-208.69,109.71,147.73,74.76,-366.48,101.3
