,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Pozostałe aktywa trwałe,,-83.45,-77.1,-46.33,-36.02,11.65,12151.3,-100.0,,,,,,,
Aktywa obrotowe,,-78.32,-30.17,-41.47,-9.11,15.77,1626.38,-16.23,11.4,-2.18,-0.78,-78.14,236.52,-56.56,110.24
Zapasy,,-81.57,-85.17,-100.0,,-52.46,65.86,-100.0,,-99.42,0.0,-100.0,,-2.21,-100.0
Należności krótkoterminowe,,-93.8,714.8,-12.07,-16.12,9.12,1610.84,7.03,26.25,-80.75,-1.61,-10.99,69.06,-6.91,-26.36
Inwestycje krótkoterminowe,,-63.01,-22.06,-52.04,-10.95,34.57,-38.81,17.64,350.14,635.91,21.56,-89.51,478.42,-78.03,361.83
Środki pieniężne i inne aktywa pieniężne,,-88.44,-59.58,-61.52,200.0,-85.03,1317.42,-44.63,370.37,-59.04,30.41,103.76,513.65,-62.84,9.71
Pozostałe aktywa obrotowe,,-97.8,-36.36,-14.29,-66.67,50.0,-100.0,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,-42.78,-44.15,-0.72,-95.45,-100.0,,,
Aktywa razem,,-80.8,1.59,-28.03,-11.25,3.43,1822.93,-14.63,-19.42,-2.24,1.81,35.84,-10.76,-3.7,-20.61
Kapitał własny akcjonariuszy jednostki dominującej,,-61.44,30.55,-29.27,-10.83,1.94,1059.95,12.11,-25.19,-1.42,8.4,29.84,-14.23,3.09,5.37
Kapitał (fundusz) podstawowy,,0.0,-85.59,0.0,0.0,0.0,188.84,9.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,17.89,-20.27,43.37,-2.53,-47.33,-74.65,100.0,
Kapitał (fundusz) zapasowy,,16.34,0.0,0.0,0.0,0.0,284.12,24.9,4.28,-1.47,2.88,2.72,-2.39,5.52,-25.19
Udziały niekontrolujące,,,,,,,,-98.81,3493.08,-19.9,38.27,113.58,24.44,-13.14,-100.0
Zobowiązania długoterminowe,,-95.87,-59.12,183.03,-6.64,16.06,-100.0,,,,,,-44.81,-49.73,-14.69
Z tytułu dostaw i usług,,-89.62,-94.22,304.4,-40.49,191.78,8562.28,-49.42,28.61,-11.07,-17.49,-14.73,13.2,-0.6,-81.46
Kredyty i pożyczki,,-90.33,-100.0,,,,,-4.62,-9.12,41.7,-75.7,-76.37,63.17,-43.26,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,-17.21,-45.67,-100.0,,0.0,-100.0,,
Zobowiązania z tytułu leasingu finansowego,,-93.94,-97.63,-100.0,,,,,,,,-76.99,3.58,-69.46,-100.0
Inne zobowiązania długoterminowe,,-95.8,-61.06,213.42,-6.64,16.06,-100.0,,,,,,-41.66,-47.54,-6.23
Zobowiązania krótkoterminowe,,-91.12,-82.41,-54.78,-34.2,47.32,22604.61,-28.61,-26.4,1.08,-25.24,-42.32,-1.61,-6.28,-83.64
Inne zobowiązania krótkoterminowe,,-91.95,-45.65,-72.79,-29.4,-45.45,30485.48,-30.14,-59.8,88.66,-17.6,-58.35,9.25,3.02,-84.79
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,
Pasywa razem,,-80.8,1.59,-28.03,-11.25,3.43,1822.93,-14.63,-19.42,-2.24,1.81,35.84,-10.76,-3.7,-20.61
Przepływy pieniężne z działalności operacyjnej,,56.51,-86.18,-112.45,56.8,-167.77,-2108.62,-32.65,142.94,9.33,120.79,-14.83,-73.11,-952.36,58.74
Amortyzacja,,-18.64,-48.93,5.61,-19.03,-7.1,1081.18,18.58,-3.11,106.07,2.36,-27.68,7.76,20.07,-42.87
Przepływy pieniężne z działalności inwestycyjnej,,-41.65,91.69,155.29,208.51,-102.18,140952.62,37.61,-45.96,-97.69,-1601.09,11.83,573.46,-163.42,72.23
CAPEX (niematerialne i rzeczowe),,-69.31,-98.42,1625.0,-100.0,,14241.18,97.95,252.51,-85.92,70.41,60.79,-24.57,25.34,-38.46
Przepływy pieniężne z działalności finansowej,,-71.85,87.37,98.86,86.15,100.0,,-80.97,-55.5,46.99,-9.67,31.11,34.13,717.69,-41.38
Emisja akcji,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,173.47,-100.0,
Przepływy pieniężne razem,,-104.18,92.21,63.14,241.69,-227.55,318.8,-150.88,559.52,-174.98,121.1,344.98,908.66,-175.07,105.75
