,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,15.98
Aktywa razem,,-18.93,-27.28,-98.15,464.46,122.31,3493.71,25.7,-50.49,205.07,353.41,26.5,-4.16,-17.49
Kapitał własny akcjonariuszy jednostki dominującej,,-23.19,-34.57,-118.01,165.1,129.52,3503.35,2.88,-78.4,100.38,215.22,27.67,-80.45,-251.67
Kapitał (fundusz) podstawowy,,6.67,0.0,0.0,4.37,0.0,336.26,5.0,2.61,-2.55,0.0,69.9,0.0,0.0
Udziały (akcje) własne,,,,,,-100.0,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,9.06,2059.14,4.85,-100.0,,,,-78.05,0.0
Udziały niekontrolujące,,,,,,100.0,,,,,-100.0,,-274.34,176.51
Zobowiązania długoterminowe,,,,,,,,,-66.77,720.32,537.75,-18.8,15.28,-93.09
Z tytułu dostaw i usług,,1175.0,-10.78,-100.0,,66.67,8700.0,36.82,579.9,744.47,84.96,3.82,-7.27,-10.76
Kredyty i pożyczki,,260.0,115.85,-100.0,,,,,89.12,33.17,1604.5,61.36,14.69,72.58
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,-99.27,13588.75,497.33,-100.0,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,182.35,3133.33,344.14,24.74,-0.37,-15.08
Inne zobowiązania długoterminowe,,,,,,,,,25.55,158.72,373.71,1073.86,-76.76,-15.34
Zobowiązania krótkoterminowe,,317.37,78.69,9.39,-93.16,-50.94,2271.15,387.1,333.92,177.88,339.19,58.08,8.84,22.11
Inne zobowiązania krótkoterminowe,,558.33,-93.67,-100.0,,-54.37,1587.23,88.9,141.99,629.05,162.33,34.12,80.82,-56.73
Rozliczenia międzyokresowe,,,,,100.0,,25500.0,-100.0,,,,,,
Pasywa razem,,-18.93,-27.28,-98.15,464.46,122.31,3493.71,25.7,-50.49,205.07,353.41,26.5,-4.16,-17.49
Przepływy pieniężne z działalności operacyjnej,,,100.0,,-3264.29,12.95,862.93,-641.14,48.23,131.02,2915.89,-109.82,-645.64,128.15
Amortyzacja,,,-6.43,-92.8,-82.88,-34.21,-64.0,233.33,83.33,3423.64,161.25,190.18,46.6,-36.14
Przepływy pieniężne z działalności inwestycyjnej,,,116.67,-100.0,,151.94,-1153.59,116.91,977.67,-46.94,-4274.11,-12.35,105.53,596.65
CAPEX (niematerialne i rzeczowe),,,-100.0,,,-100.0,,-49.53,-35.19,2131.43,12254.03,37.28,25.82,-57.31
Przepływy pieniężne z działalności finansowej,,,-54.96,-95.21,3833.33,-92.63,2768.97,510.94,-72.27,246.95,1125.2,-38.36,-85.05,-727.76
Emisja akcji,,,-100.0,,,-92.44,-100.0,,,,,,-100.0,
Dywidenda,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,145.56,-97.48,-25.0,225.0,4541.03,-157.07,333.88,772.31,411.3,-165.16,51.71,39.66
