,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Zysk netto akcjonariuszy jednostki dominującej,,10.88,45.01,17.8,-10.8,-9.74,-253.05,120.33,275.72,-85.16,-105.32,-22682.5,113.6,-139.64,1348.51
Aktywa trwałe,,1.89,27.72,8.77,8.23,2.16,-0.14,3.64,6.52,4.81,7.71,-9.46,6.68,3.54,6.56
Wartości niematerialne i prawne,,1.24,61.43,155.08,-1.56,27.91,-0.78,-22.11,14.85,23.67,-50.76,-40.86,-1.61,42.58,8.3
Rzeczowe składniki majątku trwałego,,1.53,25.03,6.34,7.84,-1.1,0.13,5.92,6.54,4.12,12.43,-9.76,4.9,1.95,7.28
Należności długoterminowe,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,-1.28,21.6,65.64,76.7,25.4,7.47,9.2,5.23,3.88,1.64,34.78,-7.32,22.4,-39.65
Pozostałe aktywa trwałe,,35.42,155.62,-47.39,4.4,79.68,-16.04,-21.8,-16.7,-20.69,-44.17,-40.51,747.29,6.94,58.51
Aktywa obrotowe,,22.44,0.29,13.55,-17.47,33.58,-38.29,9.16,10.08,-3.95,50.7,11.79,-18.95,65.06,21.21
Zapasy,,-23.8,40.69,23.22,-28.1,147.56,-1.74,18.39,-35.07,-25.28,176.8,-9.34,-60.79,145.0,27.41
Należności krótkoterminowe,,21.78,19.58,8.21,-28.69,-7.89,3.14,4.84,5.52,7.76,19.46,-6.88,47.61,27.58,21.4
Inwestycje krótkoterminowe,,42.95,-59.15,68.87,74.59,-19.95,-72.44,20.13,194.15,-10.21,45.41,-36.03,16.18,91.02,45.62
Środki pieniężne i inne aktywa pieniężne,,42.81,-65.69,103.87,-38.22,123.09,-74.32,5.47,136.24,-9.41,50.29,-26.54,-10.39,105.89,-35.4
Pozostałe aktywa obrotowe,,29.93,32.78,-11.01,-72.5,30.9,-34.16,-20.62,-52.95,26.44,-8.9,-21.76,42.75,605.36,-73.8
Aktywa trwałe przeznaczone do sprzedaży,,-26.11,103.57,304.59,-8.76,3948.62,-98.66,9.58,-18.88,-13.82,65.62,8279.9,-99.47,-30.0,-28.57
Aktywa razem,,5.75,21.75,9.63,3.46,6.81,-7.2,4.32,6.98,3.65,12.99,-5.98,1.68,13.09,9.88
Kapitał własny akcjonariuszy jednostki dominującej,,24.0,6.26,3.9,6.73,3.69,-10.84,3.94,8.33,1.44,-0.57,-14.7,6.27,0.55,8.05
Kapitał (fundusz) podstawowy,,12.77,-44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,641.75,1460.32,7.29,13.64,15.0,8.5,-30.63,-2.13,11.16,-20.09,-6.8,-56.63,9.46,2.23
Udziały niekontrolujące,,-78.64,-9.05,6.89,-5.43,-93.54,-0.95,0.75,4.38,322.92,578.77,-0.76,-96.31,0.0,15.15
Zobowiązania długoterminowe,,1.06,86.66,20.42,1.71,26.22,-26.91,39.43,6.43,-10.64,31.46,4.84,-13.09,35.77,-5.05
Z tytułu dostaw i usług,,9.32,44.15,11.89,-23.01,-7.74,-57.65,4.94,25.63,8.18,-24.87,13.91,28.69,80.84,-7.03
Kredyty i pożyczki,,-45.49,-34.11,34.0,-0.82,121.88,409.01,-93.16,59.91,604.41,0.36,-40.48,44.94,-75.36,443.75
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-33.71,-37.06,-1.89,19.65,-22.31,1710.51,5.16,14.77,163.0,-27.55,-1.92,-12.13,6.42,24.51
Inne zobowiązania długoterminowe,,5.99,12.39,18.12,-3.64,13.17,-15.45,-12.22,0.27,-11.41,9.6,-20.03,8.68,-8.33,23.3
Zobowiązania krótkoterminowe,,6.52,16.74,11.45,-2.59,-8.35,54.39,-35.36,3.69,46.14,7.89,-7.0,35.64,2.8,39.96
Inne zobowiązania krótkoterminowe,,22.46,4.36,8.96,18.84,-21.33,38.31,9.8,-5.85,-11.76,36.42,8.77,40.08,14.18,25.52
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,
Pasywa razem,,5.75,21.75,9.63,3.46,6.81,-7.2,4.32,6.98,3.65,12.99,-5.98,1.68,13.09,9.88
Przepływy pieniężne z działalności operacyjnej,,28.38,-12.36,59.37,15.87,-35.82,29.4,-9.54,16.14,-42.2,-1.03,98.57,23.75,-44.52,66.34
Amortyzacja,,2.86,3.85,19.5,2.42,4.04,202.11,-69.26,1.48,1.67,15.68,-1.89,7.46,5.52,0.45
Przepływy pieniężne z działalności inwestycyjnej,,-11.41,-277.17,42.3,-27.34,18.99,-16.4,7.98,-6.73,16.79,-40.76,12.31,21.97,-28.13,-20.57
CAPEX (niematerialne i rzeczowe),,5.4,61.4,36.11,17.95,-11.93,14.69,-11.51,1.29,0.39,12.85,-3.16,-16.7,19.17,24.8
Przepływy pieniężne z działalności finansowej,,5.63,589.42,-94.09,-267.81,756.66,-132.14,212.28,28.69,54.21,147.12,-112.91,-436.08,175.79,-81.16
Emisja akcji,,,,,,,,,,,,,,,
Dywidenda,,-100.0,,106.67,-35.48,-4.65,-21.34,-100.0,,,,,,,
Przepływy pieniężne razem,,659.39,-294.5,139.75,-190.84,347.33,-224.62,102.5,1553.05,-98.52,5877.17,-177.91,66.26,404.81,-65.93
