,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Zobowiązania z tytułu leasingu finansowego,,,,,,,-17.48,155.08,-74.09,229.49,22.18,28.03,-33.08,97.03,263.21
Inne zobowiązania długoterminowe,,-100.0,,,,,,,,,,,,,744.62
Zobowiązania krótkoterminowe,,769.37,-90.58,258.78,11.28,908.99,-27.86,-20.15,-36.09,192.49,50.2,16.21,-21.0,138.99,21.12
Inne zobowiązania krótkoterminowe,,352.25,-83.47,346.99,-48.25,459.38,26.63,69.63,-46.99,27.06,37.58,63.75,-20.68,208.46,63.92
Rozliczenia międzyokresowe,,-53.33,28.57,11855.56,-40.52,102.81,48.54,89.21,152.47,35.81,84.79,63.65,-42.64,-11.72,-100.0
Pasywa razem,,65.74,177.26,-3.24,-0.18,44.92,113.85,44.85,0.78,35.42,35.39,37.21,-0.18,45.41,12.61
Przepływy pieniężne z działalności operacyjnej,,,-413.71,4.0,-162.57,52.91,-112.56,103.92,-32.58,-10220.0,-9.34,302.2,86.44,-7.8,-50.5
Amortyzacja,,-21.66,-57.06,180.82,142.93,25.5,16.96,14.36,-13.28,-21.79,72.49,638.85,60.74,-10.2,105.22
Przepływy pieniężne z działalności inwestycyjnej,,,-832.96,95.2,44.63,-264.18,-155.33,357.14,-116.04,-329.18,-93.65,-581.84,35.59,-232.98,15.04
CAPEX (niematerialne i rzeczowe),,,535.29,12.96,-3.28,101.69,161.76,14.93,-64.11,225.29,155.86,720.2,-48.54,113.51,110.15
Przepływy pieniężne z działalności finansowej,,,493.61,-100.0,,1.68,315.97,-125.02,90.45,4020.97,53.42,-93.89,246.78,407.93,-111.94
Emisja akcji,,,,-100.0,,,,,,,-100.0,,,1245.33,-100.0
Dywidenda,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,263.2,-180.39,50.0,214.02,772.73,-105.25,-49.03,130.81,1945.76,-118.89,4051.54,-78.43,-526.02
