,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Aktywa razem,,25.44,29.2,-30.71,15.44,17.35,2.5,2.5,-9.68,-20.37,8.67,-11.2,-11.29,0.79,-1.12,26.78,21.39,4.68
Kapitał własny akcjonariuszy jednostki dominującej,,51.84,1.8,-24.78,29.45,11.33,13.37,4.29,-9.03,-13.23,10.99,-11.0,-30.9,-5.07,0.87,38.89,33.73,12.03
Kapitał (fundusz) podstawowy,,-1.44,16.48,-1.54,-4.55,-30.39,-7.64,-23.94,1.73,-2.58,1.08,-8.27,3.1,-66.99,8.37,-0.33,1.97,-7.29
Udziały (akcje) własne,,,,1.54,33.38,-10.45,93.99,-1036.16,-168.41,1.04,-78.94,100.0,,,,,,
Kapitał (fundusz) zapasowy,,152.69,16.48,-1.54,-5.0,11.05,-9.07,1.44,-2.85,-8.83,-6.01,-25.12,3.1,-42.58,8.37,-0.33,1.97,-7.29
Udziały niekontrolujące,,-29.12,21.32,-5.59,21.58,3.51,-8.64,1.02,-25.65,-53.35,21.51,-29.2,9.31,7.78,4.79,11.67,14.85,-39.19
Zobowiązania długoterminowe,,-54.88,384.26,-72.67,-100.0,,4.17,-8.36,-85.11,-95.41,195.47,57.98,13.07,9232.58,-4.3,14.9,-19.96,-7.62
Z tytułu dostaw i usług,,31.27,59.2,-27.31,-6.57,6.15,41.43,-1.59,-7.98,-21.62,-5.92,9.75,81.95,-51.76,-12.3,16.11,-8.49,17.17
Kredyty i pożyczki,,-22.5,446.38,-79.51,-97.76,-38.04,117.52,70.51,-100.0,,,,,,,-100.0,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,-2.69,3.05,10.34,-15.53
Inne zobowiązania długoterminowe,,91.24,171.79,-12.79,-100.0,,4.17,-8.36,-85.11,-95.41,195.47,57.98,13.07,9.23,697.58,224.46,-38.72,-32.87
Zobowiązania krótkoterminowe,,17.68,119.94,-46.84,-16.84,33.18,-21.48,-1.92,13.36,-26.03,-5.82,-4.4,72.23,-32.2,-6.27,6.35,7.78,-3.69
Inne zobowiązania krótkoterminowe,,17.89,110.6,-42.57,-7.18,81.46,-86.82,-8.92,278.74,-38.87,-5.45,-56.9,-19.61,32.99,-17.72,-0.92,157.12,-59.07
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,25.44,29.2,-30.71,15.44,17.35,2.5,2.5,-9.68,-20.37,8.67,-11.2,-11.29,0.79,-1.12,26.78,21.39,4.68
Przepływy pieniężne z działalności operacyjnej,,41.49,-438.92,305.71,38.23,85.81,-83.83,284.77,-26.25,22.84,-18.98,-32.44,26.26,32.92,-54.34,103.79,10.33,-22.84
Amortyzacja,,151.87,66.05,-16.72,-30.01,13.94,31.49,2.95,20.92,-18.08,-21.48,-10.72,-8.9,169.19,-9.94,-9.55,13.97,-19.36
Przepływy pieniężne z działalności inwestycyjnej,,-158.25,19.8,84.02,-21.37,-209.65,29.41,-21.97,95.19,-218.77,-76.55,13.06,18.46,-116.77,76.34,-1.72,-60.33,-28.05
CAPEX (niematerialne i rzeczowe),,335.76,-23.28,-71.3,49.87,97.28,-26.09,22.61,-85.34,-6.64,87.62,27.48,-49.91,117.63,-69.87,14.65,23.96,112.17
Przepływy pieniężne z działalności finansowej,,4968.18,-27.35,-184.13,16.62,-252.19,12.02,30.67,-94.06,54.41,-54.87,18.01,-96.84,-19.31,87.27,-68.74,13.37,8.6
Emisja akcji,,,-100.0,,,,,,,,,,,,,,,
Dywidenda,,,36.71,-64.68,2444.96,105.89,200.14,-63.75,240.31,-60.13,60.44,-17.16,133.82,-58.33,-94.21,80.99,-23.86,14.56
Przepływy pieniężne razem,,-109.57,-464.85,192.2,86.54,10.21,-186.05,165.16,-147.03,377.0,-88.93,-226.43,-556.92,-7.21,144.8,138.65,21.12,-30.66
