,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Inwestycje długoterminowe,,2.74,129.07,84.63,-17.34,-13.58,-31.07,0.0,-29.07,-11.55,0.0,0.0,0.0,104.08,164.0,0.0,-21.21,90.58,-89.61
Pozostałe aktywa trwałe,,166.84,39.84,110.01,-17.19,58.48,36.39,-39.36,10.46,-10.7,96.11,39.25,53.0,-44.58,14.58,-46.39,-58.89,-51.29,8.81
Aktywa obrotowe,,33.37,-18.25,58.82,-25.06,-21.57,-0.17,0.6,21.13,13.37,39.91,-7.04,-10.67,20.72,-41.83,0.18,13.79,23.58,-16.4
Zapasy,,-6.85,-21.87,209.83,-62.17,-70.83,105.39,-71.1,249.9,-78.55,16.76,1514.12,-96.33,876.98,-68.4,-35.6,100.0,-23.25,14.95
Należności krótkoterminowe,,74.4,-30.3,50.11,-51.82,-28.44,34.56,22.08,-17.22,43.65,27.57,-21.59,-31.16,92.28,-37.21,-0.87,14.77,82.82,-29.85
Inwestycje krótkoterminowe,,-27.6,-19.11,-34.25,103.56,-13.37,-89.57,589.63,106.56,39.28,-13.41,-15.42,-51.45,51.87,-20.77,21.05,135.61,-23.6,22.57
Środki pieniężne i inne aktywa pieniężne,,-26.01,-19.4,-37.97,104.04,-7.72,-89.57,589.63,106.56,39.28,-13.41,-15.42,-51.45,42.05,-15.29,21.05,135.61,-24.89,23.55
Pozostałe aktywa obrotowe,,77.89,881.95,112.32,58.39,-5.92,4.75,-38.52,40.69,-27.44,149.58,-22.11,81.44,-26.9,-50.44,-5.25,-69.53,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,
Aktywa razem,,42.74,-9.18,44.8,-18.76,-14.59,2.64,-5.6,13.98,5.4,34.39,-2.22,-4.86,10.44,-30.26,-3.1,0.31,42.37,-15.08
Kapitał własny akcjonariuszy jednostki dominującej,,0.44,2.08,5.46,-1.31,-14.95,-14.21,9.72,2.68,5.18,-1.6,1.58,-6.01,13.2,-1.82,-0.62,-13.95,9.05,-3.44
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,11.47,0.29,-0.63,7.97,0.18,0.0,-13.56,0.0,0.0,0.0,0.0,-8.44,2.02,6.32,3.0,2.65,-31.17,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,-42.46
Zobowiązania długoterminowe,,,9.94,14.55,-10.16,-53.61,-47.47,23.21,190.58,-17.1,196.84,-48.18,-100.0,,,-86.9,-100.0,,78.18
Z tytułu dostaw i usług,,,,,-59.24,-19.29,47.45,-22.62,49.34,-55.39,158.09,0.83,-41.74,145.4,-34.67,18.1,-5.59,77.27,-25.99
Kredyty i pożyczki,,,,,,,,,,,,41.64,-37.92,-100.0,,,,5.14,-63.1
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,29.83,46.14,-55.35,35.21,70.42,24.21,-97.74,169.57,-95.16,-100.0,,-90.24,1025.0,2704.44,-21.63
Inne zobowiązania długoterminowe,,,,,,,,,,-100.0,,,,,,,,,682.86
Zobowiązania krótkoterminowe,,163.45,-26.69,110.35,-55.86,-12.06,39.5,-17.68,36.95,-31.12,121.67,1.81,-38.55,58.46,-35.11,12.35,21.63,75.17,-28.23
Inne zobowiązania krótkoterminowe,,,,,-26.14,22.55,61.23,0.86,-30.66,172.98,-16.61,-66.36,9.28,34.91,-44.83,-82.39,384.8,236.3,3.73
Rozliczenia międzyokresowe,,193.45,-19.36,180.05,64.17,-8.39,10.01,-21.35,-3.12,93.2,9.47,-1.63,67.34,-21.49,-63.22,-39.86,-4.52,-100.0,
Pasywa razem,,42.74,-9.18,44.8,-18.76,-14.59,2.64,-5.6,13.98,5.4,34.39,-2.22,-4.86,10.44,-30.26,-3.1,0.31,42.37,-15.08
Przepływy pieniężne z działalności operacyjnej,,453.18,256.45,-38.47,192.09,-59.61,-104.06,3558.59,45.38,-15.04,-178.37,161.42,36.51,116.48,-57.15,28.11,-7.94,-131.67,796.47
Amortyzacja,,52.95,48.93,27.73,5.65,5.86,-6.06,-20.77,5.48,-1.24,-0.22,0.63,-6.71,-29.17,9.82,3.52,3.16,84.63,23.87
Przepływy pieniężne z działalności inwestycyjnej,,-177.84,-40.9,65.06,-157.78,17.99,-20.76,75.59,12.42,101.46,-9240.0,-165.1,53.45,-68.53,-28.41,6.06,90.67,-780.84,12.47
CAPEX (niematerialne i rzeczowe),,73.32,8.96,-75.68,390.99,-35.42,43.23,-74.48,60.36,-8.15,74.16,28.62,-15.77,-27.51,-3.86,39.53,-89.71,234.82,182.71
Przepływy pieniężne z działalności finansowej,,-8.66,-251.0,-49.32,33.83,22.63,21.23,40.34,-215.48,-31.15,183.81,-171.21,-302.11,30.68,61.56,36.48,419.92,-70.3,-578.04
Emisja akcji,,,,,,,,,,,,,,,,,,,
Dywidenda,,,3.96,5.81,-27.27,-37.5,-100.0,,,16.67,42.86,-25.0,-100.0,,,,,,
Przepływy pieniężne razem,,-58.03,44.81,-20.3,332.51,-129.98,-418.06,168.66,24.63,-23.86,-205.07,54.93,-182.13,139.79,-151.51,216.6,679.96,-129.76,203.26
