,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Inne zobowiązania krótkoterminowe,,3.33,-36.42,78.22,59.79,476.99,5.57,89.45,-34.06,46.18,15.49,-12.08,36.3,46.4,-7.28
Rozliczenia międzyokresowe,,845.0,26.98,56.46,-30.23,-100.0,,,,,,,,,
Pasywa razem,,-22.62,99.97,11.46,34.82,319.28,33.5,10.73,-0.88,7.29,-1.86,21.15,71.13,50.4,3.94
Przepływy pieniężne z działalności operacyjnej,,-5.16,182.85,394.82,-28.7,-103.02,19968.06,-59.03,27.73,13.96,-30.52,333.93,1.41,74.99,20.85
Amortyzacja,,-25.37,57.79,24.42,65.51,51.18,67.19,127.04,11.32,7.66,6.44,-1.14,0.37,55.44,11.59
Przepływy pieniężne z działalności inwestycyjnej,,41.03,89.09,-4490.91,38.71,660.26,-174.36,87.14,-461.61,43.15,-7.02,22.68,-964.55,-352.78,84.4
CAPEX (niematerialne i rzeczowe),,-46.22,-88.36,3708.82,-33.47,-70.17,1420.04,-79.53,7.13,77.58,-35.8,0.72,525.11,708.99,-87.84
Przepływy pieniężne z działalności finansowej,,102.52,3110.34,-121.21,75.44,14826.8,-88.37,-388.44,-104.74,29.55,72.79,-99.04,2492.6,-33.94,-120.08
Emisja akcji,,-100.0,,-99.55,-100.0,,,,,,,,,,
Dywidenda,,,,,,,,,,-100.0,,,,0.0,217.05
Przepływy pieniężne razem,,89.98,902.6,-103.24,638.75,5611.6,-66.57,-99.09,-10648.0,80.33,141.58,2890.42,352.89,-125.03,207.19
