,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Kapitał (fundusz) zapasowy,,161.08,15.31,2.9,1.24,-7.99,5.46,8.6,2.04,7.82,1.97,-6.12,-0.31,0.06,-0.12,-8.25,1.73,5.7
Udziały niekontrolujące,,,,9.29,13.62,-0.05,14.91,12.27,76.42,46.87,-10.28,1.88,-93.01,26.48,73.02,0.0,-100.0,
Zobowiązania długoterminowe,,-7.13,-13.12,-10.54,59.36,-3.22,7.0,-1.63,4.19,177.87,-59.77,-18.14,-16.66,7.06,14.71,16.26,38.1,2.41
Z tytułu dostaw i usług,,-33.83,-28.32,-28.55,69.91,61.21,-4.11,15.1,-11.86,57.91,12.2,-37.69,-65.92,-35.01,-9.15,167.3,-21.71,49.5
Kredyty i pożyczki,,-100.0,,,,188.59,73.94,-99.07,-40.0,187754.55,99.48,-87.55,-78.25,-18.9,-14.69,-100.0,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,452.45,-52.48,-39.74,4.55,19.86,36.05,27.78,-80.27,58.9,1305.87,-88.81,20.85,120.2,-13.31,1427.19,-22.72,37.29
Inne zobowiązania długoterminowe,,-24.61,236.99,-12.97,114.68,-0.13,-0.01,3.09,1.18,14.72,9.37,-27.87,-3.44,-4.87,-9.68,61.67,-4.84,-3.27
Zobowiązania krótkoterminowe,,-31.31,39.49,-35.49,70.65,62.0,-22.03,54.36,-14.34,71.19,27.51,-59.52,-64.62,-23.0,-1.25,97.12,-9.26,24.37
Inne zobowiązania krótkoterminowe,,51.38,476.65,-40.6,67.67,59.39,-44.76,145.7,-15.22,-8.59,-30.51,-24.22,-57.46,-13.94,11.91,-64.81,132.96,-50.96
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,24.89,15.87,-12.03,16.38,26.59,-5.89,23.96,-4.01,43.76,-1.17,-52.61,-47.63,-6.12,-3.34,57.91,-16.19,14.03
Przepływy pieniężne z działalności operacyjnej,,449.58,-70.4,396.53,-71.09,-97.65,5104.2,1249.69,-123.45,-211.46,77.24,553.26,-102.72,-77.2,228.78,-382.19,105.41,-1156.21
Amortyzacja,,40.41,18.22,38.46,7.18,7.74,-13.44,-5.64,-12.73,2.98,16.45,-14.49,-22.25,-1.32,-3.27,-4.58,47.32,-25.58
Przepływy pieniężne z działalności inwestycyjnej,,114.01,-2322.66,-19.95,36.66,75.28,79.71,-619.74,19.86,-810.78,97.14,99.92,325800.0,-50.6,-104.04,-1072.31,93.04,-9.43
CAPEX (niematerialne i rzeczowe),,315.0,14.8,-5.45,-13.92,-72.2,-34.48,124.38,17.01,515.92,-95.02,-48.25,-54.32,-56.96,224.57,13.41,-57.61,10.22
Przepływy pieniężne z działalności finansowej,,231.19,-107.25,-90.5,246.83,-88.18,-717.43,-203.9,2.13,667.54,-88.83,-928.87,80.67,105.99,-59.72,2525.14,-87.32,255.99
Emisja akcji,,,-100.0,,,,,,,,,,,,,,,
Dywidenda,,,-100.0,,,,,16.03,100.83,7.88,-23.08,-28.99,-100.0,,,,,
Przepływy pieniężne razem,,810.9,-142.53,51.1,57.6,22.64,157.32,4215.27,-153.18,12.07,75.93,115.91,-1018.3,91.05,522.68,-198.99,136.87,-294.38
