,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Inwestycje długoterminowe,,,,,,50.0,0.0,-72.22,-100.0,,,,,,,,,
Pozostałe aktywa trwałe,,,1534.12,195.03,-21.4,-28.44,130.93,322.34,13.83,-4.33,-4.29,8.32,-23.61,-69.26,-45.82,12.82,-72.08,1339.33
Aktywa obrotowe,,495.02,-2.96,-23.14,106.38,-2.23,-34.15,7.93,42.01,-54.37,77.34,-17.99,-30.7,79.09,18.24,49.08,-66.1,320.62
Zapasy,,912.82,86.28,49.99,-4.97,-5.7,-52.34,41.54,-11.18,46.24,-21.62,44.88,-45.39,16.04,-49.45,27.79,-41.86,28.27
Należności krótkoterminowe,,128.95,148.76,-31.32,51.8,-5.18,-61.95,103.8,120.87,-79.74,-52.5,120.04,-46.85,534.01,-63.58,186.68,-39.21,340.23
Inwestycje krótkoterminowe,,2275.79,-75.61,-65.78,995.53,4.15,-3.43,-31.98,-15.34,-24.45,253.8,-45.49,-9.0,-47.2,331.07,32.05,-81.63,334.13
Środki pieniężne i inne aktywa pieniężne,,1605.56,-82.64,-36.49,991.49,7.6,-1.35,-31.8,-15.36,-24.46,253.95,-46.96,-6.47,-47.2,323.59,34.16,-82.51,356.83
Pozostałe aktywa obrotowe,,51.39,94.41,-1.44,64.82,-11.2,-29.02,1.81,-27.39,14.01,27.81,24.63,-70.46,414.17,-29.06,-83.35,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,
Aktywa razem,,533.23,23.94,-20.2,66.93,18.51,2.55,35.25,1.29,-8.64,29.96,-9.09,-13.95,5.33,13.58,37.92,17.85,53.4
Kapitał własny akcjonariuszy jednostki dominującej,,768.54,0.59,-44.33,155.66,34.48,-31.36,103.11,3.1,-9.41,11.19,6.92,-25.29,-9.72,59.78,38.42,5.55,11.92
Kapitał (fundusz) podstawowy,,2408.0,0.0,0.88,0.0,0.0,0.0,9.96,0.0,0.0,7.91,0.67,0.0,7.15,12.97,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,0.0,0.48,-77.84,6.21,-5.83,240.87,0.0,0.0,157.41,1.48,0.05,22.6,58.07,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,908.28,-17.61,90.95
Zobowiązania długoterminowe,,,1576.98,-88.55,-16.94,70.15,-66.67,884.21,298.13,-38.48,0.11,247.84,79.84,-62.38,26.24,-16.32,-32.1,396.4
Z tytułu dostaw i usług,,153.2,27.12,45.71,-1.75,-18.19,0.11,3.24,15.09,-51.93,41.89,-63.19,40.92,38.52,-32.21,56.89,134.13,154.62
Kredyty i pożyczki,,,645.38,156.39,-29.12,-99.49,79138.46,-72.24,-99.81,51509.09,321.3,-100.0,,593.51,-99.86,-60.61,142784.62,210.9
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,-100.0,,,,-98.27,-50.98,-44.0,-100.0,,,322.64,183.04,-48.9,194.75,27.64,-15.91
Inne zobowiązania długoterminowe,,,1544.64,-91.59,-5.16,112.93,-76.04,1396.0,298.13,-38.48,0.11,244.35,-56.06,49.09,-62.84,26.37,-36.14,1065.72
Zobowiązania krótkoterminowe,,165.82,108.5,49.89,-11.85,-23.79,160.65,-50.05,-28.04,8.11,147.56,-74.13,0.36,271.19,-81.62,82.48,218.77,182.91
Inne zobowiązania krótkoterminowe,,64.71,1318.37,-48.06,4.99,1.52,160.1,-42.72,-4.75,11.72,-58.03,455.47,-80.7,-13.66,115.61,106.65,-77.15,236.58
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,533.23,23.94,-20.2,66.93,18.51,2.55,35.25,1.29,-8.64,29.96,-9.09,-13.95,5.33,13.58,37.92,17.85,53.4
Przepływy pieniężne z działalności operacyjnej,,3.83,-374.67,179.17,742.24,-11.4,-64.41,235.71,4.7,-42.63,-75.22,641.05,-73.82,-116.99,2818.14,33.09,-41.27,124.04
Amortyzacja,,224.05,252.01,83.24,-42.64,3.53,-59.09,561.01,152.29,-74.5,43.64,62.81,-54.33,69.19,-1.89,5.65,-59.08,717.79
Przepływy pieniężne z działalności inwestycyjnej,,-995.12,24.3,5.0,-42.37,-65.89,-51.93,-7.12,11.65,4.21,-10.35,24.98,-16.87,20.04,-12.69,-92.1,-82.18,-3.59
CAPEX (niematerialne i rzeczowe),,96.59,488.93,-11.83,3.77,77.79,51.45,6.74,-13.23,-2.9,10.22,-25.03,17.34,-20.15,10.35,97.72,80.65,3.45
Przepływy pieniężne z działalności finansowej,,87068.0,-90.25,80.74,-175.23,-81.72,474.79,-123.89,-31.5,191.2,657.46,-155.75,166.15,0.74,-75.74,-110.92,4204.29,105.56
Emisja akcji,,,-100.0,,,,,,-100.0,,,,,,213.87,-100.0,,
Dywidenda,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,2266.08,-188.05,92.36,1861.44,-91.8,-118.73,-2282.35,67.75,-36.98,884.22,-165.46,92.7,-582.68,462.24,-55.25,-422.71,175.62
