,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Kapitał (fundusz) podstawowy,,29.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,-23.23,100.0,
Kapitał (fundusz) zapasowy,,901.43,27.19,23.71,27.23,31.08,6.57,2.78,10.59,9.34,3.38,8.5,21.87,17.52,-5.19,5.3,17.45,14.83
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,-21.44,-42.79,143.51,935.74,97.62,-9.73,-16.12,-16.51,-19.02,19.49,13.74,-30.95,-24.25,35.79,-5.66,-10.9,2.01
Z tytułu dostaw i usług,,-59.67,-12.95,23.87,37.29,-30.17,21.99,13.54,-8.81,40.11,136.7,-26.58,-26.61,3.87,154.64,122.14,-21.84,-8.18
Kredyty i pożyczki,,-93.42,269.49,-100.0,,,65.59,-17.88,-15.24,44.03,-18.98,-48.1,30.68,15.19,96.11,42.28,203.13,-76.82
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,1983.33,-21.2,4.06,-5.37,-89.18,300.0,1.19,0.0,-75.29,-100.0,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,-73.4,21.29,-15.91,44.44,62.88,46.17,-45.96,51.27,39.23,55.06,-35.02,-9.69,33.91,78.88,83.34,35.99,-44.13
Inne zobowiązania krótkoterminowe,,-88.06,756.25,127.01,152.41,-10.32,7.1,-663.13,118.42,11.64,250.4,-42.2,2.09,199.11,-40.95,-10.23,11.84,10.78
Rozliczenia międzyokresowe,,127.08,153.67,-19.71,93.47,-71.13,179.03,-54.19,31.55,48.44,-15.67,84.87,-33.47,-26.95,82.3,62.11,48.27,146.08
Pasywa razem,,18.71,20.76,18.27,48.07,22.97,6.27,-5.72,9.7,6.42,18.52,5.65,7.16,7.92,16.93,32.26,22.49,-10.5
Przepływy pieniężne z działalności operacyjnej,,1019.55,-202.25,277.68,-70.45,-158.44,271.13,352.59,-107.11,194.29,770.96,38.1,-33.9,89.18,-10.41,-91.07,-3695.35,261.42
Amortyzacja,,121.67,-6.0,20.07,8.97,-2.23,147.5,10.14,-0.05,-1.2,2.17,11.77,8.49,-0.43,22.12,21.46,0.41,11.83
Przepływy pieniężne z działalności inwestycyjnej,,73.74,-607.22,21.45,-251.81,-30.87,88.43,79.71,37.22,-1046.71,-128.56,2.83,38.68,-187.08,-57.47,68.13,30.6,-168.79
CAPEX (niematerialne i rzeczowe),,-63.23,407.1,-21.25,250.89,30.49,-83.78,-84.39,155.4,189.5,107.59,-2.72,-38.02,181.97,59.21,-68.07,-28.24,164.79
Przepływy pieniężne z działalności finansowej,,144.22,-84.18,-463.9,398.41,93.08,-101.3,-6509.22,114.74,-88.79,-801.95,-144.77,-10.96,32.15,270.23,-25.63,1158.21,-220.34
Emisja akcji,,,-100.0,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,96814.29,-198.11,142.58,-132.15,-87.71,139.18,-97.16,2657.89,-313.17,113.52,460.93,-150.06,148.82,34.78,-265.23,373.32,-117.38
