,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Zysk netto akcjonariuszy jednostki dominującej,,-79.34,180.26,-13.78,25.37,71.47,-50.73,137.65,9.6,10.09,222.77,4.72,6.56,30.41
Aktywa trwałe,,5.89,-0.88,35.8,29.43,7.99,4.58,16.05,13.39,20.94,16.82,34.61,18.9,27.52
Wartości niematerialne i prawne,,138.64,-0.54,1.97,45.59,26.71,18.36,10.5,29.99,29.72,37.32,31.2,54.39,26.75
Rzeczowe składniki majątku trwałego,,3.78,-0.34,39.92,30.5,8.03,4.57,16.64,12.36,20.52,15.84,32.92,16.32,22.85
Należności długoterminowe,,,,,270.51,-72.32,-100.0,,,-100.0,,,,832.44
Inwestycje długoterminowe,,,,,,,,,,0.0,0.0,15758.75,46.55,13.43
Pozostałe aktywa trwałe,,8.38,-9.81,-17.93,-17.46,-14.19,-19.83,-14.1,37.9,45.91,24.11,2.69,-12.68,79.68
Aktywa obrotowe,,60.35,-18.79,46.69,-2.52,5.03,38.18,-3.9,29.01,0.38,-1.16,34.05,51.65,-15.42
Zapasy,,53.59,-10.27,54.69,4.95,-8.93,35.61,-7.13,11.83,41.91,-10.71,60.42,71.27,-10.27
Należności krótkoterminowe,,72.49,-24.86,-10.2,26.42,16.24,35.59,-7.01,9.95,2.66,-1.81,14.44,9.76,2.84
Inwestycje krótkoterminowe,,-14.04,-59.2,2306.09,-64.6,40.04,74.46,-13.34,84.03,-18.54,2.67,-46.14,14.56,-6.83
Środki pieniężne i inne aktywa pieniężne,,-14.04,-59.2,2306.09,-64.6,25.5,73.73,-9.57,89.96,-15.35,-9.45,-56.85,23.35,-2.64
Pozostałe aktywa obrotowe,,-88.76,570.74,397.46,-2.45,-28.81,21.0,52.83,112.16,-43.47,28.6,128.27,105.98,-41.4
Aktywa trwałe przeznaczone do sprzedaży,,,-0.2,-54.54,-100.0,,,,,,,,,
Aktywa razem,,22.09,-7.88,39.55,17.87,7.1,14.45,8.98,18.28,13.93,11.42,34.46,27.61,13.96
Kapitał własny akcjonariuszy jednostki dominującej,,12.18,-28.3,77.26,9.27,13.57,2.24,11.26,14.5,11.88,42.33,28.58,20.86,21.31
Kapitał (fundusz) podstawowy,,8.7,-16.0,78.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,101.16,-11.22,126.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,5.62,0.13,18.62,28.71,28.17,-5.93,28.04,24.89,27.08,1.33,32.03,-4.45,29.03
Z tytułu dostaw i usług,,49.58,-14.12,14.37,-3.12,4.56,47.66,22.59,10.39,-1.07,-26.63,97.42,43.75,-23.23
Kredyty i pożyczki,,96.71,153.31,23.0,-20.17,-48.08,42.47,-56.25,55.05,10.63,64.34,19.89,298.07,0.01
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,63.67,1.83,108.17,108.94,7.31,68.1,-24.34,11.29,3.5,11.44,-13.78,-24.21,78.88
Inne zobowiązania długoterminowe,,2.04,10.3,-0.35,14.14,38.7,-1.69,3.0,-0.62,-0.44,52.78,2.95,-3.34,6.49
Zobowiązania krótkoterminowe,,57.6,6.06,30.61,17.87,-15.61,53.85,-7.16,14.92,0.99,-6.03,47.35,80.77,-3.66
Inne zobowiązania krótkoterminowe,,60.56,-40.53,109.26,118.11,-23.79,62.98,-21.94,17.47,1.34,5.7,16.82,89.81,17.73
Rozliczenia międzyokresowe,,,,,,,,,,,,,,
Pasywa razem,,22.09,-7.88,39.55,17.87,7.1,14.45,8.98,18.28,13.93,11.42,34.46,27.61,13.96
Przepływy pieniężne z działalności operacyjnej,,-52.93,299.43,-17.65,38.81,-36.29,57.8,124.99,-64.5,87.96,103.95,15.93,5.5,54.83
Amortyzacja,,11.28,8.72,28.82,29.33,11.4,14.87,12.0,-1.49,3.27,24.23,6.01,10.04,24.49
Przepływy pieniężne z działalności inwestycyjnej,,54.41,30.65,-431.0,-43.64,63.28,-6.71,-80.29,3.17,-64.46,-33.26,-93.68,8.24,2.46
CAPEX (niematerialne i rzeczowe),,-40.31,-45.06,434.43,33.93,-63.42,4.4,88.42,52.94,4.23,27.94,90.61,8.73,7.47
Przepływy pieniężne z działalności finansowej,,-60.66,-751.72,258.26,-64.91,-83.23,-290.62,-778.62,173.14,-54.36,-242.03,339.75,-18.21,-227.7
Emisja akcji,,0.05,-100.0,,-100.0,,,,,,,,,
Dywidenda,,-5.95,12.68,-71.84,-100.0,,,0.0,-100.0,,-100.0,,33.34,10.0
Przepływy pieniężne razem,,-2480.0,-263.31,1689.54,-167.6,113.85,264.41,-122.04,970.73,-132.05,44.57,-418.73,116.01,-115.42
