,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Aktywa trwałe,,46.03,3.76,22.32,21.92,-4.52,-2.86,-4.08,-18.18,3.84,5.06,7.25,-8.52,3.07,-3.11
Wartości niematerialne i prawne,,-9.2,17.91,-22.06,-51.47,-50.76,-92.31,-20.0,275.0,0.0,-33.33,-40.0,-33.33,-75.0,-100.0
Rzeczowe składniki majątku trwałego,,35.72,22.66,22.29,249.28,-16.64,10.7,-10.28,-73.82,-9.69,25.95,-6.17,-43.94,28.75,4.55
Należności długoterminowe,,-6.61,281.66,57.44,6.45,-70.49,-95.94,3045.23,2.86,17.87,-96.59,1891.94,-99.18,-42.03,-12.5
Inwestycje długoterminowe,,48.25,-2.26,20.36,20.7,-1.89,-2.21,-3.95,-18.43,3.4,8.16,7.6,-7.48,1.7,-3.36
Pozostałe aktywa trwałe,,-5.25,210.09,38.15,19.72,-3.67,-1.86,-25.35,6.86,8.25,-11.21,-19.76,-1.15,31.95,0.66
Aktywa obrotowe,,11.48,31.0,-58.36,0.91,30.07,-17.5,-3.45,11.23,-26.67,-30.3,31.34,27.28,5.64,29.74
Zapasy,,26.91,-1.99,3.81,-2.12,-2.09,-3.72,0.3,0.54,-21.68,-67.05,62.82,-10.47,115.24,70.17
Należności krótkoterminowe,,-13.89,279.41,-66.14,-19.13,236.64,-32.01,-19.01,32.75,-35.26,23.4,-1.33,-47.03,-42.71,9.15
Inwestycje krótkoterminowe,,732.75,-4.73,-55.36,103.04,-54.49,-30.32,70.34,12.7,-23.0,26.44,92.52,223.3,-26.28,-15.62
Środki pieniężne i inne aktywa pieniężne,,696.75,-0.43,-60.9,36.97,-25.42,-28.04,70.34,12.7,-23.0,26.44,92.52,95.12,-58.25,-33.03
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,-9.98,16.56,-98.41,-100.0,,,,,,,,,,
Aktywa razem,,31.59,13.41,-10.69,17.91,1.13,-5.93,-3.97,-12.73,-3.36,-1.27,10.29,-3.13,3.58,3.52
Kapitał własny akcjonariuszy jednostki dominującej,,66.55,40.8,-5.34,-3.32,-13.28,-13.01,4.16,0.58,2.81,5.37,15.05,0.14,6.82,4.81
Kapitał (fundusz) podstawowy,,14.31,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,,407.15,-2.77,-26.74,-2.48,-25.27,48.47,0.0,0.0,0.0,0.0,10.29,-74.0,0.0,0.0
Udziały niekontrolujące,,-100.0,,,,,,,,,,,,,
Zobowiązania długoterminowe,,43.87,11.28,-29.56,16.05,62.62,-22.44,18.94,-27.35,-41.78,63.52,-34.23,29.2,7.15,-73.29
Z tytułu dostaw i usług,,-16.76,238.21,-53.91,19.17,48.42,20.28,-3.66,-14.32,23.72,131.72,12.73,224.03,-8.92,17.59
Kredyty i pożyczki,,-36.37,-52.17,122.92,95.0,-74.22,233.59,-60.29,0.98,143.16,-88.13,544.38,-73.23,-33.38,824.42
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,-44.29,93.27
Inne zobowiązania długoterminowe,,-20.67,-80.38,-10.72,82.21,56.33,0.65,6.93,33.48,17.66,-2.89,-9.97,-16.03,105.14,-15.82
Zobowiązania krótkoterminowe,,-14.67,-36.41,28.36,89.45,-43.52,64.6,-49.25,2.53,76.16,-65.17,160.53,-41.63,-15.75,209.36
Inne zobowiązania krótkoterminowe,,76.04,-24.09,-46.24,78.74,78.73,-36.26,-21.0,8.48,-17.17,-9.93,25.92,-95.58,47.35,-42.71
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,
Pasywa razem,,31.59,13.41,-10.69,17.91,1.13,-5.93,-3.97,-12.73,-3.36,-1.27,10.29,-3.13,3.58,3.52
Przepływy pieniężne z działalności operacyjnej,,156.55,-2392.14,126.8,-132.39,422.15,-44.89,109.96,-41.43,164.33,5.86,-55.6,-77.16,-85.7,-5475.47
Amortyzacja,,-63.23,23.41,42.6,-4.25,-25.53,-37.3,-22.74,-11.09,-5.9,12.77,41.88,0.0,26.96,30.25
Przepływy pieniężne z działalności inwestycyjnej,,13.9,433.47,-67.14,-236.5,85.94,18.24,704.65,-309.77,104.1,-547.97,145.26,566.05,-114.68,357.45
CAPEX (niematerialne i rzeczowe),,32.48,149.14,-56.86,23.3,-25.01,-82.3,64.57,-88.83,-45.38,1322.09,-14.34,-64.76,-71.48,459.98
Przepływy pieniężne z działalności finansowej,,12.29,-200.71,-37.3,189.23,-122.15,51.58,-726.47,-62.31,55.28,50.72,36.39,-114.48,33.38,135.56
Emisja akcji,,,-100.0,,,,,,,,,,,,
Dywidenda,,,,349.98,-100.0,,,,,,,,,,
Przepływy pieniężne razem,,1076.71,-101.28,-5305.64,123.74,-173.52,-5.38,280.54,-3881.68,98.34,188.51,342.41,97.95,-219.5,76.33
