,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Udziały niekontrolujące,,,,-0.61,39.16,-530.69,2.51,17.39,52.05,27.24,74.3,245.65,2.99,-50.72,11.76,22868.42,-99.32,38.98
Zobowiązania długoterminowe,,113.43,40.1,-10.3,-3.46,-20.03,41.2,7.94,-34.99,36.05,-24.72,26.25,10.12,3.7,-8.1,21.27,-15.75,56.68
Z tytułu dostaw i usług,,-15.86,20.21,-22.72,18.07,48.17,-33.1,6.7,-0.4,36.28,14.79,24.11,18.86,-0.31,-0.64,7.96,18.12,18.82
Kredyty i pożyczki,,-62.59,68.92,114.71,-25.1,-43.17,-42.24,-88.48,583.67,-100.0,,,0.0,-99.97,-100.0,,,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,-97.46,-11.76,2529.5,-100.0,,-58.33,-100.0,,10.0,-53.4,-2.46,0.0
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,14.52,-64.77,-14.06,8360.68,-8.46,-23.98,13.66,20.68
Inne zobowiązania długoterminowe,,68.47,-66.56,2.14,-22.25,157.4,-8.1,-19.84,11.22,25.18,5.09,77.16,-7.29,-9.53,50.82,9.17,-6.1,20.98
Zobowiązania krótkoterminowe,,-18.66,174.21,-32.98,8.47,69.17,-45.48,-7.45,12.15,1.64,65.19,35.27,6.42,35.34,18.26,26.49,7.24,7.33
Inne zobowiązania krótkoterminowe,,95.62,507.93,-59.12,28.88,55.68,-27.01,-4.07,-30.21,47.96,56.05,59.13,10.22,33.0,29.07,43.39,1.38,7.92
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,35.52,40.93,-10.56,2.88,18.0,-8.16,-1.75,-7.09,9.13,12.8,20.89,6.21,16.62,9.87,19.19,6.04,10.98
Przepływy pieniężne z działalności operacyjnej,,26.48,-865.18,102.13,5732.19,-115.13,410.71,-106.9,1678.78,-129.23,762.58,-25.29,17.49,-30.38,319.19,-42.04,-48.29,31.51
Amortyzacja,,42.15,8.72,0.33,-1.98,2.94,22.2,4.84,3.82,35.29,23.63,34.47,30.89,55.76,-1.39,3.58,8.14,25.43
Przepływy pieniężne z działalności inwestycyjnej,,-106.15,4.56,85.85,-205.93,26.54,-21570.88,197.19,-115.82,162.97,-125.86,-3470.7,79.65,59.44,-116.99,-74.22,-224.74,92.73
CAPEX (niematerialne i rzeczowe),,,,,,,,,,,,,,,,,,
Przepływy pieniężne z działalności finansowej,,-60.24,125.68,-98.17,-2124.57,79.14,-610.84,16.7,-36.31,23.5,16.48,-80.01,-55.67,6.94,-77.85,0.95,5.0,7.09
Emisja akcji,,-100.0,,,,,,-75.01,-54.08,-100.0,,,,,,,,
Dywidenda,,,1260.02,-60.78,0.0,12.5,67.42,146.04,-40.15,2.28,44.51,55.92,51.1,19.58,5.58,6.01,5.62,58.07
Przepływy pieniężne razem,,-68.8,-208.0,113.81,2750.97,-126.71,-275.3,171.62,-102.67,-2373.8,299.24,-169.89,102.11,-1127.62,1239.19,-93.57,-1516.5,94.07
