,0,1,2,3,4,5,6,7,8,9,10,11,12
Należności krótkoterminowe,,18.42,22.48,43.06,48.54,52.71,37.88,53.26,48.63,53.95,63.18,52.84,2.09
Inwestycje krótkoterminowe,,2440.91,198.09,66.71,81.88,53.15,49.69,-13.28,8.26,18.57,53.13,-6.02,72.13
Środki pieniężne i inne aktywa pieniężne,,2440.91,-19.2,507.16,84.25,53.15,49.69,-13.28,8.26,18.57,53.13,-6.02,72.13
Pozostałe aktywa obrotowe,,,106.72,-96.75,62.86,-31.58,441.03,-24.64,-65.41,9.09,83.33,273.64,110.95
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,194.05,135.58,56.24,64.87,50.68,48.19,2.34,26.47,42.44,39.59,12.62,43.25
Kapitał własny akcjonariuszy jednostki dominującej,,370.0,148.76,52.69,84.29,49.58,51.22,1.31,20.14,44.78,36.46,15.96,40.64
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,0.0,-83.62,186.63,25.96,26.89,13.45,717.79,34.14,69.04,72.2,16.67,15.83
Udziały niekontrolujące,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,400.0,20.0,-33.33,-75.0,-100.0,,,23290.0,-34.33,-48.18,-90.58
Z tytułu dostaw i usług,,82.76,-56.6,1550.72,-68.04,83.52,233.98,25.82,54.04,12.3,40.47,63.51,35.22
Kredyty i pożyczki,,-100.0,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,-2.9,2.12,11.22
Inne zobowiązania długoterminowe,,,400.0,20.0,-33.33,-75.0,-100.0,,,-90.0,-100.0,,-100.0
Zobowiązania krótkoterminowe,,15.85,81.08,76.45,-29.61,64.98,13.14,18.24,110.15,-7.79,102.97,-7.2,77.9
Inne zobowiązania krótkoterminowe,,388.89,122.54,-10.13,11.84,59.27,-65.28,-7.66,371.31,-67.45,525.73,-91.83,1199.79
Rozliczenia międzyokresowe,,,,,,,,,,,,,
Pasywa razem,,194.05,135.58,56.24,64.87,50.68,48.19,2.34,26.47,42.44,39.59,12.62,43.25
Przepływy pieniężne z działalności operacyjnej,,,163.11,80.79,60.14,59.64,51.7,11.51,27.01,23.91,40.46,8.41,68.7
Amortyzacja,,,78.99,158.69,51.72,44.74,39.92,10.93,99.68,73.07,50.72,21.87,21.45
Przepływy pieniężne z działalności inwestycyjnej,,,-1575.0,134.47,-191.05,-36.02,-79.91,-33.61,-104.54,-65.64,21.07,-22.17,-92.68
CAPEX (niematerialne i rzeczowe),,,375.0,37.61,-14.07,27.3,85.45,32.91,102.53,63.34,-21.17,22.35,92.41
Przepływy pieniężne z działalności finansowej,,,-238.28,-311.52,-58.78,-91.91,-52.11,-71.3,-1.08,-8.6,-37.98,-41.61,-19.56
Emisja akcji,,,-100.0,,,,,,,,,,
Dywidenda,,,,311.24,58.78,91.91,52.11,71.3,1.08,7.49,37.81,42.24,19.8
Przepływy pieniężne razem,,,-119.93,2240.81,-1.98,19.54,43.27,-140.01,153.94,143.25,239.31,-117.36,1225.71
