,0,1,2,3,4,5,6,7,8,9,10,11,12
Inne zobowiązania krótkoterminowe,,198.56,61.11,-46.2,-33.92,41.39,1.47,39.55,9.25,55.37,-71.68,-74.88,-34.94
Rozliczenia międzyokresowe,,399.84,-67.98,-100.0,,,,,,,,,
Pasywa razem,,7.46,28.7,-3.32,23.28,19.4,-27.58,26.29,40.99,-0.11,6.97,8.19,-13.29
Przepływy pieniężne z działalności operacyjnej,,82.54,230.68,72.02,-172.56,114.95,1623.51,-87.67,883.12,112.4,-17.65,-79.34,870.63
Amortyzacja,,49.51,86.1,26.1,48.81,30.46,-14.42,14.82,274.85,15.44,-1.61,3.86,2.2
Przepływy pieniężne z działalności inwestycyjnej,,-118.36,-38.58,-48.24,16.42,89.58,-31.89,-410.83,19.3,54.17,-4.59,-202.59,-36.01
CAPEX (niematerialne i rzeczowe),,130.3,39.86,42.78,-6.6,-83.65,6.22,292.88,-14.49,-53.17,21.29,31.65,162.28
Przepływy pieniężne z działalności finansowej,,-99.45,3916.44,-65.06,563.35,-72.37,-395.87,126.73,-367.21,-180.27,0.35,98.42,-10166.1
Emisja akcji,,-22.69,-100.0,,,,,,,,,,
Dywidenda,,,,,,,,,,-100.0,,,-39.68
Przepływy pieniężne razem,,-183.84,134.98,-175.26,141.77,332.8,-127.66,-56.75,164.71,368.25,-110.94,-353.94,211.49
