,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Kredyty i pożyczki,,365.56,32.94,-64.08,-84.94,46.12,-8.65,627.71,-10.58,-28.39,122.3,5.54,-32.29,5.85,30.56,108.7,-45.09,46.09
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,22.75,47.49,-14.97,-11.52
Inne zobowiązania długoterminowe,,383.46,-2.25,-53.42,54.5,47.95,25.48,311.47,-6.13,-8.67,-9.91,-22.29,-21.2,-3.63,-60.59,35.21,44.27,7.9
Zobowiązania krótkoterminowe,,330.13,7.01,-54.04,-45.3,4.25,40.59,167.52,12.07,34.5,50.37,16.17,8.19,-16.74,15.63,52.38,-18.95,50.18
Inne zobowiązania krótkoterminowe,,1356.91,-51.56,14.89,2.49,-38.11,48.92,132.0,54.87,79.12,44.16,17.12,19.82,-29.6,22.18,15.84,-3.49,62.45
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,200.9,8.55,-21.98,-1.75,14.73,13.84,44.51,9.4,9.47,10.59,3.21,8.33,-9.25,-13.18,15.4,-9.26,29.13
Przepływy pieniężne z działalności operacyjnej,,-363.14,48.5,101.79,1144.95,-182.61,45.96,161.55,925.39,-59.8,238.39,-16.15,88.73,-127.84,168.34,44.83,95.8,-22.83
Amortyzacja,,211.39,-28.16,-12.67,-50.98,-8.44,-7.25,-6.03,12.13,8.96,29.79,13.01,11.9,23.94,30.26,-16.81,30.37,45.71
Przepływy pieniężne z działalności inwestycyjnej,,29.37,136.48,-133.88,760.5,-102.39,-3325.16,-21.68,-0.98,28.45,-23.66,-38.81,-6.72,302.89,6.46,-133.79,-234.35,82.86
CAPEX (niematerialne i rzeczowe),,-44.08,-45.2,-72.81,-80.45,1.26,1941.6,44.07,-26.11,-42.51,46.91,63.48,9.4,23.01,-74.38,-7.79,-8.55,-73.21
Przepływy pieniężne z działalności finansowej,,114.45,-95.67,-128.52,-829.4,188.78,42.33,-2.58,-39.18,-131.86,175.62,-329.58,-12.58,-753.04,-1.3,94.04,-2389.6,115.19
Emisja akcji,,189.17,-99.8,-100.0,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,-61.11,242.86,12.5,-100.0,,164.71,-11.11
Przepływy pieniężne razem,,190.1,-191.55,84.92,453.82,-60.51,-122.82,198.69,1254.89,-146.14,354.27,-109.4,1264.29,-202.72,128.5,-222.51,-1520.93,120.46
