,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Kapitał własny akcjonariuszy jednostki dominującej,,320.68,46.13,-25.83,-0.83,2.56,-2.14,-2.72,-20.13,0.66,12.21,3.01,-2.14,-3.14,-6.69,7.77,10.84,28.16,17.76
Kapitał (fundusz) podstawowy,,34.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,-62.36,-16.69,-29.34,-1.36,-3.34,-9.11,-23.4,-34.75,-6.71,-23.13,1.87,-26.47,-18.5,24.54,-3.28,32.77,9.08,76.55
Zobowiązania długoterminowe,,75.04,89.64,19.62,-15.27,-1.26,7.96,-36.68,-35.52,52.59,-25.08,-48.97,153.57,-6.83,-47.58,45.2,42.28,68.34,22.65
Z tytułu dostaw i usług,,27.58,107.75,17.87,41.42,37.81,36.11,5.35,-49.59,4.61,-12.22,35.25,-16.89,18.54,7.11,-15.38,53.44,16.98,2.61
Kredyty i pożyczki,,13.45,200.28,4.44,-3.59,-6.98,-16.73,8.52,-9.94,-16.93,-1.73,20.63,-57.81,41.15,95.67,-0.87,16.36,-8.56,16.66
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-5.5,28.52,34.51,17.81,-12.6,-15.63,17.83,-29.11,4.87,23.72,16.77,17.43,4.38,24.06,44.07,40.32,10.72,4.44
Inne zobowiązania długoterminowe,,7.91,580.34,50.31,-8.37,8.08,-1.0,-22.77,-48.89,12.96,-13.44,-6.09,-0.69,-5.0,2.19,3.7,20.37,8.3,20.21
Zobowiązania krótkoterminowe,,16.38,162.5,8.54,5.56,11.83,11.99,5.69,-31.49,-10.41,-7.1,26.69,-31.59,22.91,31.31,-1.76,31.0,9.28,4.26
Inne zobowiązania krótkoterminowe,,4.56,200.92,3.5,-44.27,-4.06,9.12,-8.19,59.07,-48.61,-3.11,2.01,-5.89,10.19,-0.81,108.22,-8.14,41.96,-25.04
Rozliczenia międzyokresowe,,-32.47,-100.0,,,,,,,,,,,,,,,,
Pasywa razem,,71.73,79.07,-1.44,-2.24,5.92,7.19,-6.47,-29.29,1.92,-5.65,5.62,-6.5,7.21,4.05,5.53,26.86,22.99,11.69
Przepływy pieniężne z działalności operacyjnej,,-748.05,72.79,245.35,173.18,-6.72,6.54,38.75,-88.34,127.81,53.38,67.53,20.14,17.12,-60.2,-51.74,267.4,82.59,26.14
Amortyzacja,,57.35,85.63,49.97,10.91,-11.21,-2.39,0.33,-22.01,-12.83,-4.59,-0.52,5.73,1.54,15.2,19.22,-2.97,18.73,11.04
Przepływy pieniężne z działalności inwestycyjnej,,-83.32,-2.6,96.77,793.82,-129.33,-177.04,196.4,-189.36,35.96,146.69,-331.4,64.05,-393.82,-105.79,50.44,-403.73,-19.99,2.81
CAPEX (niematerialne i rzeczowe),,11.03,10.65,14.97,-78.08,59.44,-1.2,-20.78,-0.43,-9.63,-40.08,41.31,26.23,-4.14,97.6,-32.01,200.1,12.45,-1.79
Przepływy pieniężne z działalności finansowej,,375.83,-71.79,-132.05,-320.94,36.23,20.21,-41.62,40.67,71.66,-284.0,-30.29,-27.84,79.21,59.25,-23.34,582.71,14.91,-41.49
Emisja akcji,,,-100.0,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,54226.67,-192.83,99.24,493.64,-222.47,121.82,9436.26,-196.16,105.44,-61.34,-480.06,144.75,3167.0,-127.83,17.6,-1.23,285.35,74.02
