,0,1,2,3,4,5,6,7,8,9,10,11
Środki pieniężne i inne aktywa pieniężne,,116.15,-42.94,-34.93,-85.32,237.5,-14.52,31.72,731.71,-67.14,-62.93,221.04
Pozostałe aktywa obrotowe,,25.31,22.56,-37.5,-2.18,-19.7,-100.0,,-55.06,208.11,-3.07,44.65
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,
Aktywa razem,,16.57,3.8,16.99,15.03,7.89,13.65,13.72,22.11,8.01,2.53,-2.34
Kapitał własny akcjonariuszy jednostki dominującej,,14.53,3.99,57.13,-13.57,3.84,2.98,-1.77,53.64,-7.94,16.8,-10.04
Kapitał (fundusz) podstawowy,,0.0,-0.3,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,-8.14,2.96,127.11,15.31,6.05,10.61,-15.26,17.37,130.56,-16.23,17.87
Udziały niekontrolujące,,,,,,,,,,,,
Zobowiązania długoterminowe,,30.41,-22.71,-18.4,77.15,-21.09,16.2,68.67,-9.02,-7.48,-9.02,-19.95
Z tytułu dostaw i usług,,-4.05,14.41,-4.97,41.46,38.39,19.53,7.29,26.92,23.2,-18.82,20.98
Kredyty i pożyczki,,141.84,-48.03,15.01,109.53,56.77,61.16,5.27,-74.46,313.12,32.35,9.03
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-52.18,741.1,-30.04,67.77,-67.43,-2.02,90.59,-1.98,31.52,75.8,-24.3
Inne zobowiązania długoterminowe,,5.45,-1.19,10.02,19.5,-28.19,-5.38,-2.48,25.65,-99.98,-100.0,
Zobowiązania krótkoterminowe,,10.29,23.44,-9.14,41.51,27.76,22.57,8.62,15.17,18.38,-2.8,11.14
Inne zobowiązania krótkoterminowe,,4.94,48.47,-14.56,-21.64,59.99,-22.94,-1.02,282.18,-72.78,-24.07,-23.41
Rozliczenia międzyokresowe,,,,,,,,,,469200.0,-15.01,-27.68
Pasywa razem,,16.57,3.8,16.99,15.03,7.89,13.65,13.72,22.11,8.01,2.53,-2.34
Przepływy pieniężne z działalności operacyjnej,,-81.67,1108.5,-46.28,50.74,-33.26,133.55,-18.24,289.47,-81.65,5.62,49.69
Amortyzacja,,-4.35,8.96,16.21,44.85,32.88,7.26,14.53,26.53,6.01,8.11,8.14
Przepływy pieniężne z działalności inwestycyjnej,,-25.88,-81.33,-0.45,-24.26,44.9,-328.32,58.34,-24.48,-3.66,10.21,39.41
CAPEX (niematerialne i rzeczowe),,27.49,81.9,8.75,55.4,-57.9,310.75,-44.34,-5.35,29.84,-23.23,-34.95
Przepływy pieniężne z działalności finansowej,,258.83,-257.61,97.38,-1158.66,25.34,397.07,-186.67,-760.28,97.25,33.26,-1026.32
Emisja akcji,,,,,-100.0,,,,,,,
Dywidenda,,,302.24,66.93,-8.46,-77.02,41.14,175.03,239.4,-100.0,,
Przepływy pieniężne razem,,2956.52,-179.96,53.62,-58.96,140.88,-120.63,314.29,2548.1,-176.07,69.13,230.4
