,0,1,2,3,4,5,6,7,8,9,10,11,12
Kredyty i pożyczki,,-22.73,13.49,4.81,-31.14,123.05,154.81,-10.04,136.08,13.62,-29.69,8.49,-7.67
Z tytułu emisji dłużnych papierów wartościowych,,,,-100.0,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,27.9,-50.25,18.72,59.75,170.91,351.29,79.77,-13.89,63.57,-39.47,181.43,-58.92
Inne zobowiązania długoterminowe,,,,,,25.74,178.84,61.78,32.53,-20.01,95.22,-61.95,11.42
Zobowiązania krótkoterminowe,,-13.4,50.48,17.81,6.92,110.67,34.05,63.82,14.37,3.01,29.47,-6.84,4.92
Inne zobowiązania krótkoterminowe,,54.03,-16.29,-7.65,96.09,-65.63,81.08,23.42,24.47,168.22,9.98,-7.76,135.22
Rozliczenia międzyokresowe,,-20.09,786.42,-2.18,-100.0,,,,,,,,
Pasywa razem,,12.98,29.3,25.89,51.21,42.36,18.01,63.52,6.01,-0.16,42.33,2.18,11.25
Przepływy pieniężne z działalności operacyjnej,,-376.67,265.77,-66.82,-1232.07,157.85,-7.27,-319.61,222.56,53.03,-55.96,84.13,-5.55
Amortyzacja,,-26.83,-38.48,10.59,3.05,17.86,51.1,33.8,29.4,7.32,9.34,29.42,4.4
Przepływy pieniężne z działalności inwestycyjnej,,108.26,-1824.28,-2.77,-79.89,14.96,-66.7,43.72,0.89,51.6,-77.7,-118.74,82.16
CAPEX (niematerialne i rzeczowe),,-98.46,3872.79,115.24,84.61,-4.53,30.77,-39.68,-11.25,-59.46,-34.21,397.99,-62.62
Przepływy pieniężne z działalności finansowej,,76.97,-65.93,-160.0,3784.03,-85.27,-150.49,1498.42,-115.74,-438.66,90.91,-314.81,4.04
Emisja akcji,,,-100.0,,,-100.0,,,,,,,
Dywidenda,,,,,,,,122.65,-100.0,,,,
Przepływy pieniężne razem,,183.95,119.08,-251.22,164.17,304.83,-132.12,152.41,1034.78,-18.06,-19.63,19.21,60.03
