,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,12.18,-12.39,-2.66,-0.57,343.31,542.34,1004.48,1458.04,13.95,74.13,-12.96,3.3,228.12,212.08,72.91,597.77,-12.5,26.32,28.23,-77.2,88.96,-10.0,32.44,47.41,14.67,-106.18,-8.53,-13.78,-40.05,811.27
Zysk netto akcjonariuszy jednostki dominującej,,,,,13.37,2.11,27.05,0.16,341.27,315.72,690.13,1154.72,-9.76,94.55,-21.7,6.37,280.52,232.89,82.58,674.28,-17.64,-10.43,20.54,-79.97,98.24,13.82,28.49,42.12,-1.67,-96.96,-8.45,-7.92,-34.98,1466.96
Aktywa trwałe,,,,,,350.81,,235.65,250.78,82.75,525.0,468.47,366.86,375.94,1.83,-1.85,28.01,102.6,86.1,486.72,373.54,309.53,323.74,40.1,41.51,7.99,9.62,3.33,2.37,-16.12,-27.21,-27.51,-27.73,-25.83
Wartości niematerialne i prawne,,,,,,195.96,,80.07,78.54,36.46,-19.27,-6.54,-8.74,-9.05,36.09,24.79,28.39,27.22,25.97,-38.33,14.89,16.43,16.55,101.82,4.26,0.32,-4.11,28.99,21.84,12.62,7.28,-20.65,-6.6,-4.12
Rzeczowe składniki majątku trwałego,,,,,,910.0,,129.45,93.89,6.6,-57.58,-59.4,-71.06,-73.07,-46.43,-55.15,-51.49,124.14,146.67,0.0,330.61,31.28,38.92,532.79,340.76,797.66,766.15,458.03,177.63,75.2,74.8,80.59,43.22,-13.29
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,-100.0,,
Inwestycje długoterminowe,,,,,,,,,2487.88,193.56,1411.67,1186.17,787.67,973.54,2.5,-2.41,30.27,110.16,91.79,543.85,404.64,326.01,343.76,39.35,40.73,7.48,8.78,2.01,0.02,-19.7,-30.68,-31.96,-31.05,-27.95
Pozostałe aktywa trwałe,,,,,,419.05,,732.35,851.61,299.08,262.63,30.74,26.44,-75.86,-87.47,-90.54,-90.88,0.0,33.33,1171.43,470.59,981.9,400.0,8.76,880.93,-65.85,36.83,37.6,144.67,1179.38,479.05,991.44,65.91,20.95
Aktywa obrotowe,,,,,,210.7,,183.3,222.55,43.24,29.27,59.34,23.91,36.13,74.16,57.59,76.78,66.73,62.82,33.94,63.25,58.02,54.88,29.75,21.04,37.93,31.57,76.72,20.59,6.08,11.2,12.09,6.36,6.26
Zapasy,,,,,,48.08,,10.83,14.57,44.89,25.48,17.96,1.55,3.83,53.02,63.14,85.03,42.82,42.04,-6.2,-2.91,21.49,24.87,89.09,83.68,56.33,40.07,29.28,36.99,52.5,59.29,61.66,56.32,36.12
Należności krótkoterminowe,,,,,,148.42,,132.02,162.7,93.78,0.82,165.21,34.13,42.23,116.33,31.71,170.92,213.82,246.38,211.76,148.55,44.76,19.81,-10.09,-4.0,-2.6,-12.42,20.45,-0.35,47.82,75.11,32.22,-15.42,-0.09
Inwestycje krótkoterminowe,,,,,,411.44,,538.66,683.98,34.19,33.26,58.32,29.77,47.53,74.81,61.06,50.58,41.47,44.1,11.65,72.74,83.62,73.7,-7.5,19.63,45.97,40.08,214.45,24.14,-9.0,-4.57,-0.32,-1.99,-0.58
Środki pieniężne i inne aktywa pieniężne,,,,,,411.44,,538.66,683.98,34.19,33.26,58.32,29.77,47.53,74.81,61.06,50.58,41.47,44.1,11.65,72.74,83.62,73.7,-7.71,-10.68,22.58,33.35,147.58,-4.78,-36.95,-4.42,-2.97,-11.97,-2.18
Pozostałe aktywa obrotowe,,,,,,-90.54,,-24.7,-13.63,5471.43,470.97,20.21,-37.83,-15.73,171.75,212.01,2156.57,741.68,167.15,-81.67,-79.32,-89.63,-35.33,18629.77,59.83,-100.0,-100.0,-100.0,-100.0,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,215.9,,186.8,224.55,45.33,65.19,91.28,50.19,58.76,54.33,43.8,65.16,73.89,67.03,105.64,120.54,116.51,109.07,34.42,29.15,24.76,22.61,42.16,12.67,-2.37,-2.83,-1.47,-7.09,-4.23
Kapitał własny akcjonariuszy jednostki dominującej,,,,,46.32,251.1,233.14,214.38,231.48,34.25,57.19,53.52,43.47,50.54,41.7,61.71,36.13,79.7,77.41,111.62,162.36,103.64,93.72,24.57,24.37,22.94,23.08,13.11,9.66,-4.07,-4.43,-6.79,-8.41,-4.35
Kapitał (fundusz) podstawowy,,,,,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,685.9,,317.73,317.73,15.04,19.21,8.36,8.23,8.23,9.25,4.43,8.96,18.22,13.42,76.71,69.59,56.17,70.88,61.09,62.44,-65.58,-68.66,-78.65,-78.83,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,152.8,40.35,18.93,42.77,70.31,197.26,290.25,275.95,293.68,194.22,205.76,102.92,65.06,49.88,22.07,29.57,82.41,141.53,142.12,125.37,75.84,37.56,37.05,23.05,28.7,3.12,4.85,-2.53,-11.2,-7.81
Zobowiązania długoterminowe,,,,,,2248.33,,342.22,3198.89,-95.32,83.0,549.25,-4.24,3950.0,12.15,11.38,62.54,151.96,140.61,857.44,487.97,442.05,437.57,41.15,43.33,11.07,9.41,10.75,5.36,3.11,-3.11,-5.39,0.77,-16.75
Z tytułu dostaw i usług,,,,,,135.8,,-56.89,205.03,474.35,660.61,582.74,11.99,21.06,50.73,-15.02,-80.06,101.2,62.91,231.67,1790.15,26.98,-26.26,34.45,35.57,249.54,171.54,2532.39,58.21,-9.93,32.05,12.01,72.1,44.55
Kredyty i pożyczki,,,,,,-100.0,,3138.89,-100.0,,,-100.0,,-86.48,,,-100.0,-100.0,-100.0,-100.0,,,,,-65.87,,,51.16,-47.03,1338.46,-100.0,-100.0,-100.0,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39,-78.72,63.92,102.11,25.72
Inne zobowiązania długoterminowe,,,,,,-88.33,,342.22,671.11,842.86,64500.0,549.25,309.65,3950.0,12.15,11.38,62.54,151.96,140.61,855.7,487.97,442.05,437.57,41.41,43.33,11.07,9.41,8.59,3.3,-2.26,-8.13,-8.1,-1.74,-16.49
Zobowiązania krótkoterminowe,,,,,,-16.68,,94.94,160.01,382.23,54.93,403.31,-3.73,-14.99,66.69,-51.82,706.34,3.77,4.41,-30.78,-63.27,19.37,92.53,37.81,-30.7,83.26,-22.31,1347.85,57.85,4.06,7.37,15.41,39.21,63.32
Inne zobowiązania krótkoterminowe,,,,,,-20.01,,34.21,288.24,165.53,4.07,805.86,-10.23,26.19,74.57,-54.53,1005.7,-21.59,-25.44,-65.33,-80.4,12.59,230.06,39.19,-62.68,-94.41,-92.17,-79.22,72.04,683.6,11.64,543.6,-22.62,249.63
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,64.98,215.9,237.7,186.8,224.55,45.33,65.19,91.28,50.19,58.76,54.33,43.8,65.16,73.89,67.03,105.64,120.54,116.51,109.07,34.42,29.15,24.76,22.61,42.16,12.67,-2.37,-2.83,-1.47,-7.09,-4.23
Przepływy pieniężne z działalności operacyjnej,,,,,-143.75,126.95,325.79,-5.3,4552.55,97.14,13.42,15333.96,-105.75,1776.99,350.46,-56.4,2717.73,0.62,96.58,-38.08,43.09,8.85,43.07,216.16,95.04,317.32,49.49,21.7,36.14,-89.89,-26.53,7.16,9.49,244.36
Amortyzacja,,,,,118.75,106.25,1366.67,64.29,54.29,121.21,-34.09,-15.22,-12.96,-26.03,65.52,261.54,104.26,361.11,283.33,5.67,133.33,-48.19,-52.17,23.49,23.21,-1.55,170.45,88.59,25.0,344.88,61.76,36.02,11.3,-26.55
Przepływy pieniężne z działalności inwestycyjnej,,,,,-1507.14,-4467.65,-92.5,86.79,-893.91,136.9,-16.88,285.71,99.39,-138.74,508.89,8588.46,-38258.33,28.83,2177.45,697.48,272.84,5971.52,-41.06,-160.02,-172.95,206.26,541.44,-406.71,-326.72,-83.7,236.72,10.85,-55.05,-788.27
CAPEX (niematerialne i rzeczowe),,,,,792.86,350.0,92.5,-86.79,-29.9,-101.96,224.68,-600.0,-100.0,7500.0,-92.0,398.57,,293.24,920.0,-74.16,-9.61,-66.44,143.14,396.3,35.55,-109.9,-80.65,243.28,-101.96,634.48,70.83,40.87,-5375.0,-43.23
Przepływy pieniężne z działalności finansowej,,,,,-53.06,3875.62,,991.89,323.06,-97.86,,-4577.88,-44.43,-15.88,,70.82,-1595.52,-193.1,-107.0,-894.25,252.03,1452.05,964.77,-197.03,-58.0,29.73,-192.09,87.35,-1609.09,-100.36,102.05,-13.82,0.31,8728.12
Emisja akcji,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,-99.52,,,,-100.0
Dywidenda,,,,,,,,,,,,,,,,-75.78,,,,1540.89,-100.0,526.06,,34.67,,628.64,,-84.89,,184.23,-100.0,31.34,1221.44,-80.8
Przepływy pieniężne razem,,,,,-99.54,9828.15,304.77,153.4,140850.0,-93.94,13.25,5932.48,-94.99,500.56,772.26,-10.16,-1394.81,-8.76,55.47,-315.27,975.88,182.56,34.67,-541.35,-17.18,207.56,91.15,61.07,-376.25,-88.93,107.49,12.07,-7.71,-234.49
