,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Koszty finansowe,,,,,95.51,-22.67,60.14,372.0,12.46,532.18,306.79,148.31,20.99,-18.45,-52.73,1.79,-12.17,292.87,-432.24,20.54,-7.27,-76.14,124.79,-37.62,74.11,16.53,246.57,150.28,66.69,209.18,-75.6,66.24,78.8,59.87,1878.04,37.51,23.38,57.6,-93.8,181.72
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.52
Zysk z działalności gospodarczej,,,,,51.76,71.12,25.74,19.3,76.26,-50.02,0.46,220.46,-66.19,31.02,72.93,-19.85,149.59,130.08,160.51,8.74,-31.26,-56.38,-54.57,-4.77,86.27,190.32,73.78,40.83,6.02,-52.5,-37.52,-34.11,-4.19,89.72,130.92,93.25,91.2,36.14,-18.67,-81.86
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,51.76,71.12,25.74,19.3,76.26,-50.02,0.46,220.46,-66.19,31.02,72.93,-19.85,149.59,130.08,160.51,8.74,-31.26,-56.38,-54.57,-4.77,86.27,190.32,73.78,40.83,6.02,-52.5,-37.52,-34.11,-4.19,89.72,130.92,93.25,91.2,36.14,-18.67,-81.86
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,50.71,84.14,58.39,-20.32,79.3,-26.58,-12.36,307.84,-65.89,-18.02,68.35,-19.84,140.66,145.93,148.48,12.55,-31.2,-57.74,-54.4,-3.62,91.81,214.12,68.1,38.7,7.83,-53.21,-37.98,-28.42,-10.76,92.07,141.25,87.41,100.1,35.37,-27.71,-58.61
Zysk netto akcjonariuszy jednostki dominującej,,,,,50.71,83.32,57.81,-18.71,79.3,-26.25,-12.04,299.76,-65.89,-18.02,68.35,-19.84,140.66,145.93,148.48,12.55,-31.2,-57.74,-54.4,-3.62,91.81,214.12,68.1,38.7,11.15,-55.66,-39.46,-29.59,-13.15,97.07,142.14,87.13,95.0,39.97,-25.49,-54.19
Aktywa trwałe,,,,,37.17,94.61,75.36,57.86,110.07,46.66,41.03,40.63,3.63,3.05,2.53,-0.8,0.18,0.13,2.96,6.31,6.15,11.79,19.08,30.28,32.09,25.16,16.93,24.32,24.0,25.15,22.84,7.7,6.86,6.11,6.48,1.75,1.73,6.54,10.17,9.89
Wartości niematerialne i prawne,,,,,7858.64,6038.1,6945.11,3.98,4.06,3.97,3.83,3.84,-0.45,-0.87,-1.01,0.28,1.4,5.81,9.26,11.91,10.22,6.71,1.48,-4.05,-2.31,-5.17,-5.0,38.26,35.02,39.66,44.43,41.59,41.64,40.08,39.11,8.82,10.61,11.65,9.75,10.31
Rzeczowe składniki majątku trwałego,,,,,117.3,241.1,258.04,66.97,133.07,52.44,46.03,45.81,3.99,3.1,1.7,-0.69,0.07,0.53,3.83,5.52,5.29,14.3,22.56,36.06,36.96,23.98,15.2,20.97,20.9,24.4,22.54,0.63,-0.11,-1.65,-2.12,-0.06,1.25,2.26,3.07,2.52
Należności długoterminowe,,,,,-39.58,-69.91,-45.09,37.0,-28.13,11.73,-4.07,40.71,33.19,59.1,181.0,-18.96,1.72,-61.6,-60.41,55.92,59.37,-7.98,-23.55,-79.14,-80.67,-45.13,-25.92,61.28,308.9,329.03,-100.0,80.18,-67.53,-71.77,,-7.46,-22.91,2436.62,1642.49,2241.88
Inwestycje długoterminowe,,,,,-87.73,-87.3,-91.06,2.86,1.13,-0.49,-4.59,-6.46,-4.85,-6.78,15.54,-0.31,-0.31,6.92,-13.98,7.7,7.7,-96.51,-96.5,-94.64,-23.5,5192.26,5203.87,3325.83,151.42,0.11,3.35,241.55,278.37,317.51,305.79,20.95,0.97,-7.24,-10.92,-4.11
Pozostałe aktywa trwałe,,,,,24.31,181.99,255.1,494.95,165.68,45.59,33.52,-58.06,-42.08,-38.43,-29.12,-2.02,14.87,9.58,10.32,27.27,35.07,35.2,48.07,32.47,33.23,88.39,76.58,104.04,275.87,67.96,50.81,59.58,-17.04,38.73,14.94,-3.54,-3.12,73.97,11.62,-0.35
Aktywa obrotowe,,,,,38.41,24.53,38.82,-4.06,12.42,33.28,31.76,41.36,20.99,15.29,10.8,20.13,33.14,65.35,66.88,62.81,43.7,-1.49,-13.2,8.4,12.95,23.84,40.87,16.65,28.51,49.54,56.29,58.28,64.95,44.54,23.8,12.59,-3.99,6.37,12.42,17.41
Zapasy,,,,,6.46,63.86,40.2,-12.13,80.39,51.2,48.38,70.16,23.19,19.48,64.7,48.17,40.07,53.64,45.15,42.89,30.21,16.05,-11.46,-2.57,6.5,33.23,80.1,97.35,163.65,105.22,85.59,43.99,5.92,31.46,37.84,50.96,40.54,24.92,14.9,27.45
Należności krótkoterminowe,,,,,37.43,-2.1,15.0,-10.76,21.77,57.33,81.51,88.27,22.94,22.37,3.27,21.59,35.7,63.4,43.25,29.07,10.92,-28.39,-31.68,8.71,25.26,36.82,28.68,5.38,-0.58,44.09,110.99,85.47,127.2,49.54,5.31,-0.72,-24.84,-4.81,19.0,-5.52
Inwestycje krótkoterminowe,,,,,76.42,148.06,147.77,15.45,-64.27,-33.21,-81.31,-49.34,-4.98,-26.28,-0.85,-29.9,-9.32,110.95,726.97,505.85,933.65,183.56,53.53,14.34,-11.19,-7.33,41.59,-3.41,19.75,11.7,-47.72,8.99,-13.9,49.25,103.47,4.92,56.84,16.98,-14.63,84.83
Środki pieniężne i inne aktywa pieniężne,,,,,90.26,167.62,161.99,20.75,-63.51,-32.03,-80.88,-49.05,-2.26,-25.33,-0.85,-29.9,-9.32,110.95,714.71,505.85,931.36,182.39,55.84,11.91,-11.0,-6.95,41.59,-1.67,17.18,10.9,-48.75,9.4,-12.01,50.32,107.57,4.23,55.33,14.13,-14.82,73.83
Pozostałe aktywa obrotowe,,,,,17.21,124.46,54.73,-16.29,48.6,-18.09,1.9,13.82,11.19,-31.93,-4.63,68.39,-11.09,68.05,-27.92,-36.3,13.8,-38.4,62.46,47.94,-43.41,-3.71,-18.02,-19.88,30.91,52.85,36.53,49.31,62.25,34.88,34.53,167.87,46.1,86.93,86.63,18.63
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,37.87,54.82,55.87,22.82,55.17,40.55,36.63,40.95,10.7,8.35,6.32,8.48,14.85,30.18,33.47,34.05,25.53,4.02,-0.19,17.23,20.78,24.43,29.35,20.09,26.49,38.6,41.75,34.79,39.47,28.98,17.27,8.57,-2.07,6.43,11.65,14.8
Kapitał własny akcjonariuszy jednostki dominującej,,,,,33.19,35.49,39.41,38.92,40.99,38.17,15.08,19.22,13.78,12.65,14.04,11.94,14.02,16.14,20.44,20.12,18.54,13.37,7.9,8.38,8.98,15.38,16.31,11.5,13.32,12.86,6.5,10.35,9.57,9.41,18.66,18.97,20.17,17.03,13.61,10.32
Kapitał (fundusz) podstawowy,,,,,0.7,0.7,14.14,14.14,14.14,14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.64,0.64,0.0,0.87,0.87,0.87,0.87,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,118.85,71.24,64.8,65.47,65.56,61.58,17.56,17.95,17.95,30.58,30.9,30.3,31.21,12.54,12.61,12.58,11.92,20.55,18.75,20.32,33.47,10.97,11.71,7.55,-2.8,13.99,12.59,-87.89,-87.93,-89.66,-89.48,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,343.4,536.17,48.58,89.01,85.29,11.67,18.7,-16.85,-18.08,-17.38,-24.54
Zobowiązania długoterminowe,,,,,-7.8,191.48,250.76,244.47,452.32,64.16,46.96,45.41,-10.99,11.96,8.03,-1.99,-2.92,1.06,6.37,6.95,11.81,8.8,16.77,62.61,74.18,49.23,38.33,46.67,29.24,39.68,48.24,5.9,10.01,0.99,-3.83,-4.48,1.56,-7.68,-4.86,-4.55
Z tytułu dostaw i usług,,,,,61.43,60.33,49.25,-29.72,14.5,18.89,52.54,85.9,31.41,17.6,11.77,8.64,-7.72,60.93,62.08,28.11,77.1,-11.63,-21.25,23.47,24.45,15.94,13.51,21.34,28.88,47.6,82.23,77.72,58.18,73.68,38.54,4.83,-13.5,-4.62,1.53,-8.21
Kredyty i pożyczki,,,,,248.21,37.99,32.81,-29.21,-13.52,309.74,424.07,82.92,-28.51,-78.06,-81.0,6.99,109.29,98.18,178.16,161.37,-2.77,97.33,20.14,-21.01,-10.66,50.52,113.06,65.08,131.84,135.29,162.02,172.91,230.65,57.55,11.64,-22.29,-45.41,6.29,51.68,344.72
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-9.1,30.14,74.43,135.05,138.4,72.14,47.88,28.21,24.86,32.81,9.51,11.58,8.65,9.85,6.61,12.48,8.11,19.62,31.21,24.06,40.49,21.48,23.14,48.78,38.03,45.4,93.75,3.75,4.52,-0.22,-24.2,15.75,27.18,48.93,34.86,22.93
Inne zobowiązania długoterminowe,,,,,22.37,133.31,146.9,124.86,130.71,6.87,-2.73,-1.4,-10.34,-0.17,4.66,-8.06,-14.43,-26.81,-22.56,-35.23,-22.45,-5.51,-10.49,22.81,17.56,16.24,23.9,120.74,122.95,94.91,99.19,15.53,4.22,16.57,17.3,7.14,41.58,-12.57,12.13,-11.25
Zobowiązania krótkoterminowe,,,,,56.28,50.5,41.56,-27.19,14.39,34.01,71.3,85.62,21.4,0.58,-4.0,9.12,25.38,69.05,67.12,67.01,40.4,-7.4,-14.52,12.69,16.8,23.66,40.73,11.61,33.56,64.4,71.3,75.11,77.82,55.09,25.0,6.14,-14.69,5.44,16.64,25.82
Inne zobowiązania krótkoterminowe,,,,,-11.88,15.69,10.11,-23.48,35.35,4.5,33.74,103.19,11.32,8.17,18.5,12.61,173.69,131.92,79.02,287.91,-10.59,-18.51,2.36,-1.96,-2.88,47.64,120.06,-27.36,18.48,89.61,5.79,29.69,79.27,-2.77,-2.04,40.16,17.92,59.07,47.21,8.56
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,37.87,54.82,55.87,22.82,55.17,40.55,36.63,40.95,10.7,8.35,6.32,8.48,14.85,30.18,33.47,34.05,25.53,4.02,-0.19,17.23,20.78,24.43,29.35,20.09,26.49,38.6,41.75,34.79,39.47,28.98,17.27,8.57,-2.07,6.43,11.65,14.8
Przepływy pieniężne z działalności operacyjnej,,,,,-24.05,3762.96,-131.04,-63.23,-31.41,-29.99,-494.32,338.06,51.36,-73.02,117.73,-63.67,-28.88,429.0,1744.75,277.37,74.11,-21.41,8.91,-28.16,-640.64,-90.55,23.75,52.09,99.64,-1345.89,-175.02,88.22,-88580.18,579.19,163.53,-51.28,104.14,-76.33,-225.99,-54.05
Amortyzacja,,,,,50.81,58.23,79.2,75.38,74.07,60.4,58.55,38.57,28.27,17.09,23.66,4.13,8.27,3.26,16.8,10.54,15.81,22.72,0.15,31.59,19.45,27.4,26.63,24.73,44.58,27.02,31.01,32.88,-0.25,6.56,3.35,4.58,4.65,4.39,7.98,2.93
Przepływy pieniężne z działalności inwestycyjnej,,,,,-1755.17,-7287.7,11.64,-1758.21,-9891.46,63.47,94.43,86.93,97.67,75.39,-219.46,-145.08,-80.65,-54.1,-231.34,-1441.72,-90.33,-546.55,-212.47,-112.26,-101.54,79.57,70.69,-28.75,26.78,50.0,-40.15,48.64,-7.75,-40.74,79.11,65.98,-50.01,21.85,-80.92,-50.15
CAPEX (niematerialne i rzeczowe),,,,,70.07,2293.27,4294.36,541.74,4818.11,70.71,-87.19,-19.88,-97.39,-76.69,56.65,-35.9,74.92,59.36,424.94,677.48,78.79,546.53,213.29,117.32,94.03,-78.8,-70.69,-80.73,-29.99,43.21,-8.82,238.19,-19.24,-39.61,-67.81,-65.4,114.96,-37.99,85.74,-0.41
Przepływy pieniężne z działalności finansowej,,,,,502.2,-547.36,370.81,30.12,328.26,148.72,-101.31,-871.61,-99.43,7.09,-1221.38,78.54,4693.18,19.74,126.4,21.07,-116.27,96.7,-459.4,282.53,560.31,-88.16,46.64,-417.55,-212.41,2509.14,827.53,-85.62,870.37,-205.74,-163.05,-69.48,-88.99,164.35,88.08,191.12
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,-100.0,,,12.49,,,,22.21,,,,-100.0,,,,,-100.0,,,-48.39,,,,158.81,,,,-100.0,,,,,
Przepływy pieniężne razem,,,,,23.33,-640.87,1111.75,-86.68,-220.94,242.52,-154.88,427.05,61.68,-44.05,40.18,-45.67,44.07,281.56,496.26,299.2,-30.42,-70.13,-79.27,-76.89,-214.23,-117.8,515.17,-309.54,51.85,667.74,-160.52,367.66,-146.62,783.34,122.91,-173.59,106.81,-35.43,-780.41,367.62
