,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Wartości niematerialne i prawne,13.0,23.0,25.0,26.0,7.0,17.0,52.0,53.0,39.0,72.0,86.0,99.0,58.0,58.0,81.0,110.0,76.0,83.0,99.0,133.0,68.0,68.0,68.0,83.0,101.0,110.0,206.0,28752.0,28418.0,28157.0,27895.0,27958.0,27697.0,27513.0,27557.0,27243.0,27434.0,27077.0,26752.0,26450.0,46479.0,46058.0,45569.0,45081.0,44692.0
Rzeczowe składniki majątku trwałego,34529.0,34913.0,34848.0,35493.0,35717.0,42329.0,47048.0,55367.0,56158.0,56803.0,57273.0,57594.0,64299.0,64748.0,65612.0,67436.0,68802.0,70410.0,73016.0,76601.0,82288.0,89675.0,92198.0,95388.0,104545.0,109011.0,111765.0,112524.0,115068.0,114930.0,114798.0,115727.0,115298.0,116131.0,119709.0,122542.0,138882.0,142547.0,148018.0,155319.0,158350.0,162884.0,159702.0,162848.0,163705.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,84.0,84.0,157.0,150.0,101.0,113.0,127.0,123.0,134.0,135.0,161.0,143.0,156.0,206.0,441.0,4136.0,9601.0,12190.0,14904.0,15908.0,17092.0,18623.0,24237.0,25865.0,28150.0,28090.0,28421.0,898.0,1986.0,4853.0,7126.0,10692.0,16977.0,17313.0,20664.0,1905.0,2303.0,2325.0,1913.0,1422.0,1626.0,44.0,56.0,32.0,24.0
Aktywa obrotowe,38746.0,41715.0,45389.0,47944.0,40388.0,49787.0,48716.0,52681.0,42336.0,54531.0,56723.0,65654.0,52412.0,57683.0,72761.0,79617.0,74083.0,114915.0,97526.0,118957.0,105107.0,130854.0,128339.0,136196.0,125518.0,143764.0,152940.0,147730.0,140696.0,167357.0,132271.0,158633.0,151427.0,227725.0,249179.0,394474.0,388310.0,458907.0,457334.0,330420.0,254509.0,297822.0,300924.0,311516.0,288973.0
Zapasy,21009.0,20409.0,18938.0,19943.0,20438.0,25366.0,25291.0,25280.0,18578.0,28757.0,28561.0,36037.0,26976.0,26540.0,34036.0,34206.0,33447.0,56091.0,51139.0,45767.0,42660.0,57312.0,65127.0,74271.0,66940.0,70746.0,68408.0,72066.0,69687.0,83150.0,55748.0,57661.0,83666.0,111677.0,138352.0,213230.0,239027.0,209223.0,214561.0,153052.0,101875.0,97814.0,102956.0,99328.0,91581.0
Należności krótkoterminowe,15792.0,20747.0,26001.0,26359.0,14423.0,22445.0,21866.0,25695.0,15789.0,22620.0,24570.0,28250.0,21848.0,28143.0,27139.0,31823.0,21908.0,39387.0,39233.0,43321.0,32541.0,45036.0,44913.0,45588.0,38160.0,58635.0,48825.0,53772.0,47359.0,63794.0,47069.0,44709.0,34055.0,68390.0,90578.0,128315.0,94009.0,139170.0,134251.0,95487.0,66525.0,91901.0,89253.0,83581.0,61459.0
Inwestycje krótkoterminowe,1908.0,515.0,343.0,1419.0,5500.0,1938.0,1540.0,1668.0,7955.0,3118.0,3526.0,1348.0,3567.0,2956.0,11505.0,13487.0,18705.0,19387.0,7078.0,29866.0,29870.0,28417.0,18150.0,16298.0,20401.0,14308.0,34833.0,21767.0,23584.0,20356.0,28760.0,55784.0,33119.0,46863.0,19714.0,33009.0,35606.0,89441.0,85287.0,60736.0,85136.0,106985.0,107833.0,127716.0,134994.0
Środki pieniężne i inne aktywa pieniężne,1908.0,515.0,343.0,1419.0,5500.0,1938.0,1540.0,1668.0,7955.0,3118.0,3526.0,1348.0,3567.0,2956.0,11505.0,13487.0,18075.0,19387.0,7078.0,29866.0,29870.0,28417.0,18150.0,16298.0,20401.0,14308.0,34833.0,21767.0,23584.0,20356.0,28760.0,55784.0,33119.0,46863.0,19714.0,33009.0,35606.0,89441.0,85287.0,60736.0,85136.0,106985.0,107833.0,127716.0,134994.0
Pozostałe aktywa obrotowe,37.0,44.0,107.0,223.0,27.0,38.0,19.0,38.0,14.0,36.0,66.0,19.0,21.0,44.0,81.0,101.0,23.0,50.0,76.0,3.0,36.0,89.0,149.0,39.0,17.0,75.0,874.0,125.0,66.0,57.0,694.0,479.0,587.0,795.0,535.0,19920.0,19668.0,21073.0,23235.0,21145.0,973.0,1122.0,882.0,891.0,939.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,73372.0,76735.0,80419.0,83613.0,76213.0,92246.0,95943.0,108224.0,98667.0,111541.0,114243.0,123490.0,116925.0,122695.0,138895.0,151299.0,152562.0,197598.0,185545.0,211599.0,204555.0,239220.0,244842.0,257532.0,258314.0,280975.0,293332.0,289904.0,286168.0,315297.0,282090.0,313010.0,311399.0,388682.0,417109.0,546164.0,556929.0,630856.0,634017.0,513611.0,460964.0,506808.0,506251.0,519477.0,497394.0
Kapitał własny akcjonariuszy jednostki dominującej,26592.0,26606.0,28286.0,30441.0,44173.0,45162.0,46258.0,48615.0,51953.0,53048.0,52135.0,54706.0,64139.0,66660.0,72034.0,76263.0,80800.0,87612.0,88112.0,110616.0,115218.0,125543.0,130301.0,134087.0,140567.0,148514.0,147821.0,155754.0,160284.0,168551.0,170194.0,175914.0,187299.0,206273.0,233772.0,295726.0,316077.0,332890.0,334953.0,330946.0,314368.0,315809.0,307489.0,308649.0,299568.0
Kapitał (fundusz) podstawowy,1000.0,1000.0,1000.0,1000.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,18923.0,23864.0,23864.0,23864.0,35273.0,35921.0,41151.0,41151.0,41151.0,41151.0,46863.0,46863.0,46863.0,46863.0,55511.0,55511.0,55511.0,55511.0,69726.0,86994.0,86892.0,86892.0,103444.0,103444.0,103444.0,103444.0,125795.0,125795.0,125795.0,125795.0,151351.0,151351.0,151351.0,151351.0,171758.0,171758.0,171758.0,171758.0,279233.0,279233.0,279233.0,279233.0,303954.0,303954.0,303954.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,7429.0,6753.0,7535.0,6434.0,8102.0,8180.0,10397.0,16540.0,9759.0,14827.0,15415.0,14865.0,15518.0,15252.0,15008.0,17749.0,20274.0,25650.0,28614.0,30102.0,31993.0,34376.0,33977.0,33441.0,37533.0,37103.0,37797.0,37235.0,37132.0,37637.0,36523.0,37489.0,41055.0,39724.0,40995.0,40995.0,44331.0,44743.0,47099.0,47219.0,49115.0,69180.0,69165.0,70266.0,65157.0
Z tytułu dostaw i usług,31125.0,35650.0,34801.0,36966.0,21167.0,28539.0,25414.0,28659.0,15210.0,29194.0,28874.0,36551.0,18447.0,23550.0,34262.0,39591.0,31265.0,57156.0,38824.0,44709.0,17015.0,33376.0,45181.0,42708.0,27390.0,46236.0,52039.0,42402.0,27885.0,59575.0,39614.0,52394.0,33632.0,76601.0,78856.0,155929.0,118994.0,182978.0,166864.0,78082.0,27198.0,67905.0,71433.0,83978.0,60163.0
Kredyty i pożyczki,7307.0,6641.0,8333.0,7591.0,1056.0,8549.0,11738.0,12263.0,12808.0,12190.0,15303.0,14809.0,15760.0,14917.0,13480.0,13638.0,15356.0,21910.0,26392.0,21419.0,23581.0,26968.0,15880.0,27758.0,32552.0,28751.0,26854.0,25220.0,32368.0,20738.0,29626.0,40381.0,40333.0,49172.0,41906.0,25073.0,47526.0,35113.0,54647.0,29783.0,38169.0,23986.0,29923.0,30230.0,47055.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,670.0,837.0,1096.0,1648.0,1384.0,1378.0,1573.0,1478.0,1517.0,1548.0,1514.0,1457.0,1381.0,1370.0,1308.0,1343.0,1378.0,1386.0,1101.0,1423.0,12984.0,13651.0,16361.0,16072.0,15989.0,15027.0,25534.0,25157.0,22753.0,22553.0,3223.0,3255.0,4436.0,8293.0,9210.0,9875.0,19005.0,20360.0,18396.0,20227.0,24366.0,23835.0,25035.0,23979.0,22285.0
Inne zobowiązania długoterminowe,2012.0,2109.0,1911.0,1983.0,1961.0,1912.0,2006.0,2118.0,2227.0,8263.0,9329.0,9578.0,10753.0,10875.0,11013.0,11112.0,13003.0,15782.0,16994.0,18456.0,18761.0,19370.0,19827.0,21775.0,25908.0,26487.0,26400.0,26546.0,26854.0,28508.0,28244.0,30030.0,34613.0,34344.0,36127.0,36385.0,36864.0,37037.0,37140.0,37408.0,36831.0,36589.0,36921.0,38002.0,36910.0
Zobowiązania krótkoterminowe,39351.0,43376.0,44598.0,46738.0,23938.0,38904.0,39288.0,43069.0,36955.0,43666.0,46693.0,53919.0,37268.0,40783.0,51853.0,57287.0,51488.0,84336.0,68819.0,70881.0,57344.0,79301.0,80564.0,90004.0,80214.0,95358.0,107714.0,96915.0,88752.0,109109.0,75373.0,99607.0,83045.0,142685.0,142342.0,209443.0,196521.0,253223.0,251965.0,135446.0,97481.0,121819.0,129597.0,140562.0,132669.0
Inne zobowiązania krótkoterminowe,249.0,248.0,368.0,533.0,331.0,438.0,563.0,669.0,7420.0,734.0,1002.0,1102.0,1680.0,946.0,2803.0,2715.0,3489.0,3884.0,2502.0,3330.0,3764.0,5306.0,3142.0,3466.0,4283.0,5344.0,3287.0,4136.0,5746.0,6243.0,2910.0,3577.0,4644.0,8619.0,12370.0,18566.0,10996.0,14772.0,12058.0,7354.0,7748.0,6093.0,3206.0,2375.0,3166.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,73372.0,76735.0,80419.0,83613.0,76213.0,92246.0,95943.0,108224.0,98667.0,111541.0,114243.0,123490.0,116925.0,122695.0,138895.0,151299.0,152562.0,197598.0,185545.0,211599.0,204555.0,239220.0,244842.0,257532.0,258314.0,280975.0,293332.0,289904.0,286168.0,315297.0,282090.0,313010.0,311399.0,388682.0,417109.0,546164.0,556929.0,630856.0,634017.0,513611.0,460964.0,506808.0,506251.0,519477.0,497394.0
Przepływy pieniężne z działalności operacyjnej,2631.0,661.0,-2718.0,3538.0,-2010.0,-4083.0,-19.0,2490.0,7338.0,-2020.0,-1031.0,1666.0,2756.0,1691.0,12657.0,2054.0,12138.0,-6368.0,-13105.0,17768.0,4334.0,2693.0,6042.0,-2570.0,7367.0,5038.0,16330.0,-2810.0,1883.0,12019.0,23641.0,20839.0,-20411.0,5210.0,-7364.0,34065.0,-16155.0,70902.0,-17196.0,34438.0,17313.0,23426.0,-5636.0,23113.0,3094.0
Amortyzacja,254.0,277.0,281.0,282.0,305.0,284.0,288.0,298.0,321.0,441.0,447.0,452.0,511.0,499.0,520.0,526.0,595.0,526.0,563.0,568.0,631.0,593.0,720.0,706.0,746.0,714.0,907.0,970.0,1247.0,1219.0,1238.0,1250.0,1294.0,1287.0,1307.0,1357.0,1428.0,1594.0,1641.0,1712.0,1805.0,2092.0,2181.0,2202.0,2156.0
Przepływy pieniężne z działalności inwestycyjnej,-5273.0,-671.0,2025.0,-927.0,1866.0,-6804.0,-4022.0,-8617.0,-1097.0,-1128.0,-931.0,-650.0,-1106.0,-947.0,-1081.0,-2442.0,-10894.0,-4509.0,-5491.0,-4821.0,-7115.0,-9275.0,-8588.0,-5480.0,-9409.0,-5435.0,-3516.0,-1509.0,-3313.0,-4153.0,-2909.0,-5424.0,-6472.0,-2416.0,-6900.0,-3146.0,-11048.0,-3966.0,-3037.0,-7811.0,-777.0,-4843.0,3289.0,-3951.0,-2693.0
CAPEX (niematerialne i rzeczowe),5273.0,671.0,175.0,927.0,262.0,6831.0,4145.0,8618.0,1096.0,1137.0,931.0,650.0,905.0,947.0,1084.0,2443.0,10894.0,4566.0,5626.0,4821.0,7114.0,9275.0,8913.0,5486.0,9492.0,5435.0,3516.0,1511.0,3323.0,4153.0,3096.0,5424.0,6472.0,2485.0,6908.0,3525.0,11123.0,4410.0,3137.0,7875.0,4210.0,4874.0,1550.0,3973.0,2693.0
Przepływy pieniężne z działalności finansowej,3199.0,-1383.0,518.0,-1532.0,4225.0,7324.0,3644.0,6255.0,45.0,-1688.0,2370.0,-3195.0,369.0,-1354.0,-3028.0,2371.0,3974.0,11559.0,6288.0,9841.0,3197.0,5129.0,-8453.0,6597.0,6034.0,-5662.0,7876.0,-9044.0,3467.0,-11811.0,-11777.0,11075.0,4052.0,11446.0,-12613.0,-17651.0,29855.0,-12610.0,14862.0,-51869.0,9250.0,3807.0,3686.0,-3336.0,12193.0
Emisja akcji,0.0,0.0,0.0,12430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17762.0,-495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3538.0,0.0,0.0,0.0,4163.0,0.0,0.0,0.0,5550.0,0.0,0.0,0.0,0.0,0.0,0.0,6607.0,0.0,0.0,0.0,0.0,26430.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,557.0,-1393.0,-175.0,1079.0,4081.0,-3563.0,-397.0,128.0,6286.0,-4836.0,408.0,-2179.0,2019.0,-610.0,8548.0,1983.0,5218.0,682.0,-12308.0,22788.0,416.0,-1453.0,-10999.0,-1453.0,3992.0,-6059.0,20690.0,-13363.0,2037.0,-3945.0,8955.0,26490.0,-22831.0,14240.0,-26877.0,13268.0,2652.0,54326.0,-5371.0,-25242.0,25786.0,22390.0,1339.0,15826.0,12594.0
