,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Koszty finansowe,,,,,-23.0,39.14,28.44,21.78,-1.58,-15.45,-45.48,-18.32,-31.57,-40.42,-11.03,-69.36,-100.0,15.72,-19.33,102.52,,4.82,18.88,-39.31,5.59,-0.06,-49.84,163.67,19.98,1.79,56.44,53.27,147.61,-86.82,95.6,-56.22,-52.85,668.57,-62.65,217.77,-10.95,-25.65,16.33,-52.94,-16.45,-1.75,189.66,181.31,201.45,568.02,-156.52,-67.85,-26.68,-57.49,173.97
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,100.0,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-222.32,-135.53,68.55,36.74,103.26,228.39,-12.83,2.24,1176.88,1.83,4.86,33.59,3.52,-54.05,38.58,-7.7,-129.5,-152.54,-107.42,-49.09,46.47,4.84,-618.05,-267.71,-1805.09,358.46,26.6,-64.47,10.33,-48.22,26.75,90.71,100.75,-264.34,82.67,473.63,16230.23,213.32,324.72,-96.58,-53.55,-37.8,1043.0,-30574.6,-77.19,-706.3,-29.79,119.83,1116.26,81.93,-140.97
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-222.32,-135.53,68.55,36.74,103.26,228.39,-12.83,2.24,1176.88,1.83,4.86,33.59,3.52,-54.05,38.58,-7.7,-129.5,-152.54,-107.42,-49.09,46.47,4.84,-618.05,-267.71,-1805.09,358.46,26.6,-64.47,10.33,-48.22,26.75,90.71,100.75,-264.34,82.67,473.63,16230.23,213.32,324.72,-96.58,-53.55,-37.8,1043.0,-30574.6,-77.19,-706.3,-29.79,119.83,1116.26,81.93,-140.97
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-200.33,-136.39,9.71,15.94,111.5,260.89,-3.18,-15.96,302.42,12.24,-2.01,21.24,881.27,-29.98,75.45,111.17,-108.28,-151.32,-102.52,-81.66,102.44,37.87,-1608.08,-314.46,-18993.94,423.4,55.65,-116.82,13.65,-118.09,-120.53,78.42,100.2,-129.53,133.13,166.48,53900.0,208.21,-153.47,40.93,-66.92,18.45,2332.42,-1815.99,-30.08,-679.84,-64.36,120.48,615.28,41.13,-149.59
Zysk netto akcjonariuszy jednostki dominującej,,,,,-200.33,-136.39,9.71,-5.69,111.5,260.89,-3.18,3.31,302.42,12.24,-2.01,21.24,881.27,-29.98,72.77,113.05,-108.28,-151.32,-114.32,-75.11,102.44,37.87,-205.23,-256.58,-18993.94,423.4,55.65,-116.82,13.65,-118.09,-120.53,78.42,100.2,-129.53,133.13,166.48,53900.0,208.21,-153.47,40.93,-66.92,18.45,2332.42,-1815.99,-30.08,-679.84,-64.36,120.48,615.28,41.13,-149.59
Aktywa trwałe,,,,,-21.55,-22.26,21.67,2.31,3.62,14.39,22.45,19.43,17.96,19.25,32.28,69.85,95.84,79.68,55.54,26.98,8.22,5.54,4.93,-1.55,-1.32,-3.27,-5.41,-3.93,-4.43,-5.1,-5.78,-4.45,-2.93,-4.13,-3.47,3.21,0.47,2.56,2.55,-4.19,-4.99,-3.22,-2.9,-2.79,-2.26,-3.42,-1.78,-1.04,0.89,0.93,-1.31,-3.13,-3.19,-4.8,-4.51
Wartości niematerialne i prawne,,,,,515.06,731.2,717.73,19.6,55.58,15.9,15.44,-0.43,-6.01,-1.88,-2.72,-2.0,-2.29,-5.05,-6.5,-9.37,-7.48,-6.06,-3.67,-0.87,-0.28,-0.8,-2.94,-3.45,-3.15,-2.78,-2.5,-3.65,-4.32,-5.28,-5.38,7.11,-4.96,-3.43,-3.07,-3.68,-0.55,9.25,9.86,-2.0,6.81,-2.36,-1.67,4.98,3.89,-4.0,-84.54,-85.25,-85.24,-84.85,0.0
Rzeczowe składniki majątku trwałego,,,,,11.82,7.12,6.01,-0.56,-2.58,13.47,21.29,23.24,23.82,25.16,41.41,81.92,94.07,75.75,49.2,17.6,7.92,4.92,4.29,0.33,-0.05,-2.49,-4.99,-5.39,-5.69,-6.0,-7.14,-7.75,-6.25,-6.78,-5.18,5.4,3.1,3.44,2.39,-7.62,-6.23,-3.69,-2.29,0.4,-1.09,-2.3,-2.23,-1.94,-1.07,-0.35,3.33,1.27,1.01,0.26,-4.48
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,-91.7,-91.88,307.22,0.0,-0.82,24.03,25.01,22.42,22.61,-2.6,-2.62,-2.63,-2.65,-2.67,-2.69,-41.36,-35.59,-34.17,-43.89,-14.71,-31.83,-10.85,2.72,25.13,47.49,-57.23,-54.51,144.16,134.26,475.38,450.28,-28.53,-28.79,-20.79,-14.75,13.75,-59.28,-91.79,-92.1,-94.74,-85.06,-29.5,-31.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,,,,,1722.73,4665.0,3425.0,419.55,257.61,32.74,232.8,-76.12,-92.26,-100.0,-99.25,-43.64,12130.63,,100900.0,18294.62,20.74,16.07,14.35,-9.43,-0.59,-0.17,-0.01,7.89,2.58,9.37,11.81,6.22,9.63,-4.54,-11.34,-6.45,-9.53,4.69,11.63,22.45,16.41,15.7,8.35,-5.27,-7.32,-11.14,1.86,3.17,14.64,12.6,-2.18,-1.42,-0.55,-10.88,-5.04
Aktywa obrotowe,,,,,17.57,4.5,4.78,3.11,-10.89,9.08,1.08,22.71,13.91,1.02,-3.51,-25.62,2.6,-15.59,-17.77,-1.46,-26.65,-15.98,-13.29,-9.72,-3.45,-14.66,-8.98,-10.35,-7.58,34.96,44.86,44.82,26.41,-9.48,-17.65,-13.91,3.33,27.86,16.35,23.62,35.53,18.07,11.33,-3.41,3.56,9.33,32.35,42.78,30.54,35.58,18.57,8.4,10.54,-8.87,-16.63
Zapasy,,,,,29.18,12.41,7.96,23.06,5.86,13.93,-12.73,-18.57,2.74,-0.48,29.32,-0.11,-9.44,0.81,-11.75,17.21,24.81,-4.85,14.51,-6.97,-15.36,-20.63,-23.04,-1.48,17.71,45.32,46.97,46.38,13.81,14.94,-2.89,-7.19,-9.78,2.37,-3.54,3.47,50.85,21.87,29.93,17.62,-1.69,-1.64,28.82,32.63,27.23,29.16,-6.07,-14.68,-26.64,-28.55,-26.48
Należności krótkoterminowe,,,,,30.42,2.07,20.96,-4.84,-19.46,-21.23,-29.91,-0.55,-10.59,14.73,1.35,-18.38,-4.48,-28.86,-13.59,4.84,-26.63,-16.89,-22.0,-31.4,18.78,6.38,4.75,9.22,-19.93,14.47,47.68,46.31,20.04,-26.12,-46.87,-9.77,39.49,93.91,102.99,43.44,24.0,14.76,0.42,-17.23,10.46,19.27,34.32,58.11,32.24,36.41,34.29,24.11,37.09,5.33,-8.31
Inwestycje krótkoterminowe,,,,,-42.41,-9.38,-62.87,119.91,-3.85,293.97,428.92,293.52,275.43,-30.34,-40.85,-55.57,32.13,-0.42,-39.42,-45.08,-74.51,-37.27,-55.13,95.79,-43.67,-62.23,1.05,-61.19,-69.87,169.66,27.62,-89.3,-36.12,-92.0,-46.38,1.61,-81.0,21.74,-80.87,40.04,344.0,48.45,-5.5,134.89,-40.0,-52.45,98.8,2.9,322.52,515.01,312.32,-78.95,-75.05,-96.82,-89.91
Środki pieniężne i inne aktywa pieniężne,,,,,-42.41,-9.38,-62.87,119.91,-3.85,293.97,428.92,293.52,275.43,-30.34,-40.85,-55.57,32.13,-0.42,-39.42,-45.08,-74.51,-37.27,-55.13,95.79,-43.67,-62.23,1.05,-61.19,-69.87,19.92,-91.28,-89.3,-36.12,-89.75,684.9,1.61,-81.0,19.85,-80.87,40.04,344.0,164.76,-5.5,134.89,-40.0,-52.45,98.8,2.9,322.52,515.01,312.32,-78.95,-75.05,-96.82,-89.91
Pozostałe aktywa obrotowe,,,,,-57.69,42.26,35.23,-78.35,29.82,33.29,66.53,72.09,51.85,52.69,18.84,-8.14,16.28,-20.86,-23.69,-24.57,-23.01,-3.69,-8.82,-11.14,-16.25,-26.21,-24.86,-5.46,4.01,10.88,0.0,609.11,349.97,311.0,725.84,-62.4,-77.88,-79.72,-88.11,-23.91,49.4,21.18,-21.33,-14.27,-41.76,-0.56,43.35,-72.84,-7.99,-9.43,-18.25,353.63,34.52,40.73,45.72
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,-4.88,-10.3,11.88,2.71,-4.03,11.63,10.86,21.08,15.98,9.98,14.58,21.19,51.05,35.16,25.0,18.08,-3.16,-0.74,-0.06,-3.68,-1.84,-6.08,-6.26,-5.5,-5.2,3.89,5.91,6.99,4.02,-5.69,-7.94,-2.17,1.3,9.64,6.44,3.5,6.91,3.73,1.49,-2.99,-0.09,1.32,9.77,13.37,12.33,14.82,6.81,1.65,2.97,-6.72,-10.0
Kapitał własny akcjonariuszy jednostki dominującej,,,,,121.97,18.63,9.04,-2.96,23.48,232.96,191.38,178.34,178.52,22.47,22.18,24.69,53.73,48.51,48.09,47.21,13.88,8.96,3.0,-1.96,-0.41,-0.27,-0.59,-4.38,-11.4,-8.07,-7.63,-12.22,-12.29,-15.51,-16.87,-18.22,-11.65,-14.23,-11.21,-2.61,7.1,13.05,11.91,14.79,8.01,8.55,19.91,-13.13,-14.05,-26.52,-30.39,0.76,15.07,23.08,15.6
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,8.87,8.87,8.87,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,1007.88,343.96,343.96,343.96,-59.93,471.18,471.18,471.18,471.18,26.95,26.95,26.95,26.95,30.32,30.32,30.32,30.32,63.38,63.38,63.38,63.38,5.77,5.77,5.77,5.77,-6.8,-6.8,-6.8,-6.8,-7.42,-3.86,-7.42,-7.42,-12.74,-15.97,-12.74,-12.74,0.66,0.66,0.66,0.66,13.12,13.12,13.12,13.12,-14.86,-14.86,-14.86,-14.86,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-31.86,-33.24,-3.97,-11.57,-11.51,-10.53,-10.81,-9.66,-8.84,-5.35,-6.2,-10.14,10.62,6.7,6.06,3.16,-44.73,36.74,38.55,-85.21,-78.18,-33.11,-38.32,645.58,662.56,-10.83,-2.82,-29.36,-24.17,-17.81,-18.43,12.5,1.91,25.21,45.17,76.7,73.09,56.11,51.85,8.54,13.84,-34.58,-1.15,9.99,11.21,101.23,9.42,-2.34,-6.46,-7.46,6.36
Z tytułu dostaw i usług,,,,,43.0,20.04,61.68,47.66,9.05,22.72,-3.5,57.03,58.82,33.77,49.48,45.44,55.44,33.28,23.66,-23.84,-36.97,-25.51,-23.56,-0.42,1.45,-2.4,5.8,3.78,27.57,51.66,47.34,54.03,50.76,11.11,0.13,14.48,7.84,27.27,16.29,-28.81,-14.34,-23.32,-36.8,-24.69,-17.29,-7.17,30.42,62.87,46.67,52.04,35.71,1.17,2.35,-22.91,-37.74
Kredyty i pożyczki,,,,,43.82,39.01,2.98,-35.16,-44.39,-72.73,-63.92,-4.69,-43.39,25.18,89.96,20.82,33.97,176.91,49.82,154.33,266.5,-22.13,-3.34,126.81,108.86,76.59,65.51,-70.12,-67.19,-8.31,-6.66,47.27,6.03,-2.12,7.32,-47.08,-24.97,-33.34,-42.62,17.44,3.47,7.59,13.65,8.24,-5.06,114.81,-29.7,-25.44,-24.8,-65.75,7.58,-0.58,6.7,3.18,-44.02
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,171.76,89.39,179.31,323.03,158.68,86.6,303.0,-52.85,-54.75,114.59,14.84,97.76,741.5,11.5,-2.6,45.14,-46.72,-60.22,-66.07,-73.52,-72.42,-23.86,-19.9,-24.0,-43.57,-46.83,-63.74,-74.79,-49.19,-48.68,-3.83,855.81,923.58,774.98,445.78,-10.38,-57.87,-24.55,-41.47,-50.33,7.5,42.72,64.91,53.7,62.81,-18.28,42.62,114.39,35.7,27.77,56.16
Inne zobowiązania długoterminowe,,,,,-89.93,-93.2,-91.84,-91.33,-34.39,-56.74,-50.0,722.12,1029.13,1398.36,1229.51,160.94,-32.76,796.72,912.82,454.59,949.49,2.23,2.64,-67.87,-42.9,-49.7,-90.72,-80.75,-83.67,-38.34,290.41,453.33,414.51,54.37,31.44,-79.42,-77.87,-45.66,-52.16,2774.74,2560.62,1087.61,1257.19,1.29,4.68,-12.92,-14.57,-11.77,-11.07,-0.69,-23.74,-24.48,-24.99,-24.98,49.78
Zobowiązania krótkoterminowe,,,,,36.44,25.24,33.23,23.85,-1.85,-7.13,-6.94,10.47,-3.4,15.99,28.22,43.64,85.82,47.39,22.91,9.13,8.55,-27.77,-24.27,33.04,18.27,15.68,21.13,-39.9,-35.73,23.34,22.0,47.38,33.69,6.06,2.19,1.77,7.66,17.13,2.65,-18.86,-14.64,-18.55,-27.12,-20.6,-13.49,21.91,13.55,36.3,30.54,3.04,31.76,5.33,4.72,-16.41,-31.6
Inne zobowiązania krótkoterminowe,,,,,-21.78,-11.14,9.07,1.13,86.33,101.9,24.46,-85.95,-91.54,-93.73,-88.6,-59.74,-54.75,-89.81,-78.69,-39.9,4519.51,-79.75,43.44,59.75,-88.89,-81.25,26.86,-35.32,-86.88,-100.0,-99.55,-59.04,-63.04,,-50.0,149.02,149.02,,-100.0,1076.38,92.13,,,-81.26,14.55,,-100.0,40.36,40.97,-100.0,,-61.7,-61.93,,212.14
Rozliczenia międzyokresowe,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,-4.88,-10.3,11.88,2.71,-4.03,11.63,10.86,21.08,15.98,9.98,14.58,21.19,51.05,35.16,25.0,18.08,-3.16,-0.74,-0.06,-3.68,-1.84,-6.08,-6.26,-5.5,-5.2,3.89,5.91,6.99,4.02,-5.69,-7.94,-2.17,1.3,9.64,6.44,3.5,6.91,3.73,1.49,-2.99,-0.09,1.32,9.77,13.37,12.33,14.82,6.81,1.65,2.97,-6.72,-10.0
Przepływy pieniężne z działalności operacyjnej,,,,,-146.49,159.15,68.96,1620.58,181.45,-101.24,137.12,14.36,-96.49,8218.18,-70.08,4.57,2166.14,10.96,-6.41,-55.34,-262.44,-41.21,-88.29,305.21,-221.93,99.6,411.79,-71.11,70.35,13.89,-199.97,96.69,264.67,-87.94,74.17,-52.85,-200.99,-91.58,-745.75,-108.82,105.59,2472.73,163.67,544.77,-572.05,-13.49,-178.53,-44.27,288.11,59.08,132.38,-282.2,-65.59,-34.22,671.72
Amortyzacja,,,,,13.52,9.6,16.62,9.61,7.16,-7.28,28.26,6.89,7.74,24.72,-8.95,13.99,18.16,29.51,26.67,12.51,11.33,7.31,1.1,14.81,47.46,18.63,28.19,9.8,-14.06,10.77,-12.86,73.6,-19.91,-23.02,-20.81,-40.73,24.2,14.97,19.23,-5.33,0.56,0.0,6.29,-5.52,-13.95,-7.48,-11.94,-21.21,-30.58,2.57,-11.61,-12.49,5.07,-39.02,36.64
Przepływy pieniężne z działalności inwestycyjnej,,,,,62.48,-102.57,-101.5,96.66,-80.24,212.84,-2382.82,26.47,4.49,-2330.97,21.56,-107.54,-733.84,34.05,59.12,-162.42,93.9,72.32,13.33,34.49,82.52,58.31,84.77,91.14,-1299.48,25.27,473.15,-630.67,88.08,-153.09,-118.67,145.34,259.32,65.19,794.13,-114.12,66.86,-125.21,-164.67,-607.59,619.98,-25.95,42.0,-19.76,-106.34,75.87,75.11,78.93,16.11,-82.44,-20.69
CAPEX (niematerialne i rzeczowe),,,,,-62.49,-13.64,-82.18,16.99,82.62,1561.26,591.1,-32.67,-3.74,51.7,119.09,442.17,720.9,-33.78,-57.21,10.09,-93.53,-70.32,-17.18,-35.87,-83.59,-58.39,-84.06,-90.98,1299.48,-29.32,466.91,61.85,-75.27,98.7,-88.26,6.5,-78.44,-50.84,-21.51,-69.34,1287.5,501.63,472.24,-603.12,-89.39,-54.32,-31.22,253.15,128.3,-75.73,-79.02,-78.09,-32.23,65.85,165.09
Przepływy pieniężne z działalności finansowej,,,,,392.96,69.53,70.73,-106.58,-149.61,147.73,167.39,-28.44,-118.2,-115.09,-706.58,478.21,429.14,-1988.77,81.37,-82.57,-81.2,94.15,73.43,-245.83,4.87,-1374.66,-28.32,27.08,-42.98,13.72,27.01,-58.83,-332.29,76.51,431.17,-34.26,193.36,141.57,-0.72,110.63,-123.18,-231.55,-175.87,0.64,-282.66,32.29,225.44,-8.92,57.97,-122.62,-111.92,-122.2,58.9,-41.06,-1386.23
Emisja akcji,,,,,,,,,,,,,-100.0,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-52.35,98.35,-103.53,125.48,-234.67,7713.21,6402.77,35.65,-330.52,-210.63,-350.19,1063.74,212.02,-130.96,88.43,-105.2,-107.0,123.25,2.92,568.19,-1164.27,-109.26,118.5,-87.43,58.23,1362.61,-520.27,-82.49,102.39,-180.84,225.2,-1151.44,-542.0,115.27,-98.69,112.21,48.42,96.53,-1412.28,411.99,-571.93,-61.76,153.21,-134.09,157.64,761.54,9.05,-689.06,-105.78,-110.49,-32.26
