,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Koszty finansowe,264.0,459.0,394.0,467.0,363.0,326.0,397.0,286.0,405.0,534.0,324.0,310.0,277.0,482.0,280.0,243.0,313.0,571.0,1215.0,1300.0,2472.0,1552.0,1954.0,3062.0,2274.0,1309.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,578.0,3965.0,1135.0,372.0,2808.0,1371.0,936.0,1218.0,1662.0,-302.0,1392.0,6698.0,917.0,1252.0,-432.0,3751.0,-1409.0,1264.0,-2713.0,-859.0,-1352.0,5814.0,-1693.0,-8906.0,-104.0,6955.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,578.0,3965.0,1135.0,372.0,2808.0,1371.0,936.0,1218.0,1662.0,-302.0,1392.0,6698.0,917.0,1252.0,-432.0,3751.0,-1409.0,1264.0,-2713.0,-859.0,-1352.0,5814.0,-1693.0,-8906.0,-104.0,6955.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,578.0,3964.0,1135.0,328.0,2805.0,1384.0,936.0,1218.0,1682.0,-371.0,1405.0,6683.0,906.0,1181.0,-459.0,3675.0,-1830.0,360.0,-2750.0,-1009.0,-930.0,4904.0,-2262.0,-8392.0,-103.0,6114.0
Zysk netto akcjonariuszy jednostki dominującej,578.0,3964.0,1135.0,328.0,2805.0,1384.0,936.0,1218.0,1682.0,-371.0,1405.0,6683.0,906.0,1181.0,-459.0,3675.0,-1830.0,360.0,-2750.0,-1009.0,-930.0,4904.0,-2262.0,-8392.0,-103.0,6114.0
Aktywa trwałe,0.0,97012.0,0.0,101265.0,103421.0,111842.0,117789.0,128195.0,142249.0,146110.0,157114.0,162646.0,170150.0,184770.0,194722.0,233998.0,242609.0,247907.0,251882.0,249751.0,245109.0,256375.0,254943.0,311123.0,346189.0,433090.0
Wartości niematerialne i prawne,0.0,5742.0,0.0,6630.0,6652.0,6601.0,6569.0,7352.0,7265.0,7253.0,7173.0,9863.0,9765.0,10986.0,11524.0,11741.0,11920.0,11856.0,12198.0,12603.0,15203.0,17004.0,18779.0,21725.0,24237.0,25135.0
Rzeczowe składniki majątku trwałego,0.0,90657.0,0.0,93842.0,96358.0,104804.0,110316.0,119656.0,133730.0,137956.0,148838.0,151207.0,158717.0,171961.0,181389.0,220373.0,228799.0,234187.0,237806.0,235231.0,227972.0,237725.0,234099.0,287356.0,320444.0,405206.0
Należności długoterminowe,0.0,613.0,0.0,630.0,214.0,214.0,124.0,394.0,388.0,171.0,344.0,409.0,482.0,1767.0,1766.0,1837.0,1832.0,1805.0,1799.0,1784.0,1750.0,1518.0,1539.0,1599.0,1065.0,2206.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,357.0,357.0,357.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,163.0,197.0,223.0,780.0,793.0,866.0,730.0,759.0,1167.0,1186.0,56.0,43.0,47.0,58.0,59.0,79.0,133.0,184.0,128.0,169.0,86.0,86.0,186.0
Aktywa obrotowe,0.0,38465.0,0.0,77443.0,84299.0,67504.0,66578.0,91549.0,84895.0,70080.0,76070.0,84370.0,135714.0,118758.0,116863.0,123949.0,132090.0,142308.0,123727.0,132798.0,141586.0,174815.0,137790.0,229160.0,187014.0,145586.0
Zapasy,0.0,5320.0,0.0,7421.0,11876.0,7290.0,9894.0,17340.0,13310.0,9615.0,19540.0,15426.0,18209.0,38266.0,35043.0,29539.0,51670.0,57706.0,62181.0,64092.0,61993.0,66483.0,64342.0,64344.0,63905.0,44079.0
Należności krótkoterminowe,0.0,30423.0,0.0,41162.0,60162.0,45104.0,41347.0,60446.0,60464.0,44842.0,43183.0,51164.0,50628.0,59956.0,57690.0,68073.0,60916.0,59855.0,57468.0,65665.0,76039.0,81273.0,68929.0,114057.0,106202.0,80790.0
Inwestycje krótkoterminowe,0.0,2375.0,0.0,28497.0,11833.0,14654.0,14856.0,13237.0,10575.0,15132.0,12840.0,17334.0,66441.0,20536.0,24130.0,26337.0,19504.0,24747.0,4078.0,3041.0,3554.0,27059.0,4519.0,50759.0,16907.0,20717.0
Środki pieniężne i inne aktywa pieniężne,0.0,2375.0,0.0,28490.0,11828.0,14650.0,14849.0,13237.0,10575.0,15132.0,12840.0,17334.0,66441.0,20536.0,24130.0,26337.0,19504.0,24747.0,4078.0,3041.0,3554.0,27059.0,4519.0,50759.0,16907.0,20717.0
Pozostałe aktywa obrotowe,0.0,347.0,0.0,363.0,428.0,456.0,481.0,526.0,546.0,491.0,507.0,446.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,135477.0,0.0,178708.0,187720.0,179346.0,184367.0,219744.0,227144.0,216190.0,233184.0,247016.0,305864.0,303528.0,311585.0,357947.0,374699.0,390215.0,375609.0,382549.0,386695.0,431190.0,392733.0,540283.0,533203.0,578676.0
Kapitał własny akcjonariuszy jednostki dominującej,26572.0,35702.0,41774.0,70045.0,73172.0,74838.0,75840.0,76172.0,77905.0,77376.0,78904.0,85937.0,142481.0,144350.0,143891.0,147566.0,145736.0,146200.0,143450.0,142440.0,141500.0,146407.0,144137.0,191890.0,191797.0,197910.0
Kapitał (fundusz) podstawowy,0.0,4368.0,0.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,6380.0,6380.0,6380.0,6380.0,6484.0,6484.0,6484.0,6484.0,6484.0,6484.0,7381.0,7381.0,7381.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,24128.0,0.0,61533.0,61533.0,61533.0,61533.0,67174.0,67174.0,67174.0,67174.0,70186.0,125449.0,91239.0,91239.0,91239.0,91239.0,91239.0,91239.0,91239.0,91239.0,81239.0,91239.0,146522.0,146522.0,146522.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,58080.0,0.0,58012.0,56813.0,59857.0,73033.0,93795.0,110531.0,92687.0,97436.0,96075.0,102032.0,95258.0,94201.0,101727.0,142843.0,146929.0,145871.0,121669.0,119387.0,133801.0,129085.0,158144.0,199315.0,228838.0
Z tytułu dostaw i usług,0.0,22625.0,0.0,19363.0,32079.0,23915.0,14522.0,25912.0,19428.0,24678.0,21585.0,22883.0,24212.0,31645.0,35730.0,52391.0,44384.0,56089.0,52373.0,53985.0,53132.0,75678.0,53890.0,127698.0,79759.0,71609.0
Kredyty i pożyczki,0.0,14474.0,0.0,26786.0,20312.0,15818.0,14133.0,15588.0,11635.0,15079.0,29492.0,34743.0,29484.0,29756.0,35252.0,51807.0,36281.0,33067.0,28436.0,58251.0,63716.0,68714.0,58544.0,51026.0,52175.0,71609.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,396.0,0.0,401.0,418.0,580.0,713.0,635.0,1305.0,537.0,1412.0,743.0,712.0,1788.0,1414.0,3322.0,4111.0,4100.0,3244.0,3277.0,3358.0,3335.0,3621.0,3668.0,3621.0,3691.0
Inne zobowiązania długoterminowe,0.0,37911.0,0.0,45581.0,44976.0,47903.0,53711.0,57198.0,61105.0,59991.0,59464.0,62463.0,62487.0,67605.0,67209.0,68282.0,70372.0,87144.0,89156.0,86456.0,83849.0,84789.0,84932.0,116328.0,126157.0,155308.0
Zobowiązania krótkoterminowe,0.0,41695.0,0.0,50651.0,57735.0,44651.0,35494.0,49777.0,38708.0,46127.0,56844.0,65004.0,61351.0,63920.0,73493.0,108654.0,86120.0,97086.0,86288.0,118440.0,125808.0,150982.0,119511.0,190249.0,142091.0,151928.0
Inne zobowiązania krótkoterminowe,0.0,4200.0,0.0,4101.0,4926.0,4338.0,6126.0,7642.0,6340.0,5833.0,4355.0,6635.0,6943.0,731.0,1097.0,1134.0,1344.0,3830.0,2235.0,2927.0,5602.0,3255.0,3456.0,7857.0,6536.0,5019.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,26572.0,135477.0,41774.0,178708.0,187720.0,179346.0,184367.0,219744.0,227144.0,216190.0,233184.0,247016.0,305864.0,303528.0,311585.0,357947.0,374699.0,390215.0,375609.0,382549.0,386695.0,431190.0,392733.0,540283.0,533203.0,578676.0
Przepływy pieniężne z działalności operacyjnej,5923.0,-11688.0,-6822.0,-4368.0,-5185.0,12173.0,-6604.0,-12649.0,-8759.0,20457.0,-5763.0,-1507.0,1840.0,-16482.0,6887.0,8546.0,-12629.0,7401.0,-2145.0,-9150.0,549.0,21066.0,-7281.0,51893.0,-34076.0,-4350.0
Amortyzacja,1417.0,2544.0,1828.0,1849.0,1973.0,1712.0,1947.0,1984.0,2412.0,2580.0,2509.0,2640.0,2704.0,2751.0,2882.0,4385.0,6124.0,6570.0,7025.0,7392.0,7499.0,7496.0,7303.0,6222.0,4534.0,4543.0
Przepływy pieniężne z działalności inwestycyjnej,-23030.0,5086.0,-4482.0,-8249.0,-4181.0,-8580.0,-3830.0,-11289.0,-10681.0,-12931.0,-17805.0,-2651.0,-11662.0,-16897.0,-10294.0,-18412.0,-23949.0,-2712.0,-16239.0,-7738.0,-3521.0,-18355.0,-4067.0,-53012.0,-41749.0,-72807.0
CAPEX (niematerialne i rzeczowe),23216.0,-5020.0,5160.0,7593.0,4182.0,8659.0,3672.0,12123.0,17927.0,6443.0,17805.0,6671.0,11662.0,17039.0,10294.0,18419.0,23986.0,6114.0,16337.0,7738.0,3578.0,18355.0,7410.0,53012.0,41466.0,73287.0
Przepływy pieniężne z działalności finansowej,16829.0,8197.0,11503.0,38533.0,-7296.0,-771.0,9557.0,23402.0,16778.0,-2969.0,21276.0,8652.0,58929.0,-12526.0,7001.0,12073.0,29745.0,554.0,-2285.0,15851.0,3485.0,20794.0,-11192.0,47359.0,41973.0,80967.0
Emisja akcji,0.0,2018.0,0.0,32615.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56179.0,0.0,1.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-278.0,1595.0,199.0,25916.0,-16662.0,2822.0,-877.0,-536.0,-2662.0,4557.0,-2292.0,4494.0,49107.0,-45905.0,3594.0,2207.0,-6833.0,5243.0,-20669.0,-1037.0,513.0,23505.0,-22540.0,46240.0,-33852.0,3810.0
