,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Należności krótkoterminowe,,,,,26175.0,3426.67,692.31,-1.92,-39.77,-5.95,28.71,28.99,45.97,0.2,57.0,85.86,113.96,132.2,78.38,42.12,-4.1,-27.21,-3.0,-3.59,25.63,108.31,37.56,22.66,-45.97,-55.21,-22.66,57.64,61.07,134.1,187.02,39.67,142.88,332.09,-1.96,93.7,80.04,-2.22,89.97,15.26,-25.64,-18.59,-23.52,-2.39
Inwestycje krótkoterminowe,,,,,3357.14,475.44,131.75,-5.43,570.66,-10.06,-54.68,1012.92,-32.29,509.49,6043.58,853.22,1709.83,219.52,-38.63,-42.03,-45.48,-48.83,-62.07,17.34,9.92,-5.35,-9.18,-85.14,-20.96,-24.15,-49.42,486.17,16.12,25.76,105.71,461.78,505.26,632.12,970.55,-30.01,-32.52,-35.26,17.11,11.52,7.92,-10.93,-65.65,-78.64
Środki pieniężne i inne aktywa pieniężne,,,,,3357.14,475.44,131.75,-5.43,570.66,-10.06,-54.68,1012.92,-32.29,-100.0,-100.0,458.3,-100.0,,,-59.83,,,,-54.75,,,,-5.04,,,,307.18,136.87,55.33,105.71,708.71,505.26,632.12,504.57,-30.01,-32.66,-35.41,14.34,11.52,8.13,-32.44,-49.01,-78.8
Pozostałe aktywa obrotowe,,,,,,,14.29,-13.04,25.0,,0.0,125.0,-10.0,37.5,25.0,-37.78,27.78,18.18,0.0,442.86,743.48,946.15,646.67,-7.89,-31.96,-30.15,-70.54,254.29,231.82,-42.11,65.15,-54.84,-42.01,1081.82,128.44,210.27,201.57,-11.08,1007.23,333.53,357.18,553.98,43.89,10.02,-7.91,-21.53,-36.9,-47.06
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,,136.8,17.82,67.87,3.38,-12.34,131.49,-13.51,166.97,1189.62,528.57,762.44,193.29,-27.8,-29.7,-35.87,-38.26,-43.57,19.92,16.43,18.13,13.95,-54.92,-9.63,-15.16,-11.84,155.88,30.59,58.11,106.44,282.43,310.3,338.01,292.16,-2.4,-1.67,35.01,56.07,24.17,12.44,-32.48,-51.29,-52.74
Kapitał własny akcjonariuszy jednostki dominującej,,,,,212.82,240.86,115.04,20.24,94.6,0.72,-27.3,141.55,-26.4,177.95,1608.49,610.44,973.44,202.44,-28.55,-31.84,-37.36,-40.77,-48.2,16.75,11.97,12.47,7.81,-57.61,-9.11,-14.53,-14.1,161.72,23.04,45.6,68.08,280.58,323.51,372.2,410.55,-1.67,-4.7,-98.13,-73.32,-62.53,-48.49,1397.55,-14.46,-57.78
Kapitał (fundusz) podstawowy,,,,,17.6,,15.71,10.2,10.2,10.49,10.49,10.49,24.07,41.9,68.16,68.16,49.75,18.5,0.0,0.0,0.0,0.0,0.0,22.26,22.26,22.26,22.26,0.0,12.5,12.5,12.5,21.47,7.97,7.97,7.97,0.0,0.0,9.4,9.4,9.4,9.4,0.0,4.91,4.91,4.91,4.91,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,281.48,147.7,147.7,80.16,80.38,29.77,204.05,174.41,640.08,928.3,338.9,169.6,-0.04,0.0,0.0,0.0,0.0,35.86,35.86,35.86,66.07,22.23,41.49,42.34,16.44,43.74,24.18,23.44,23.44,69.99,69.99,69.99,69.99,0.0,0.0,0.0,28.47,28.47,28.47,28.47,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,-53.57,91.18,91.18,91.18,400.0,-12.31,0.0,0.0,-69.23,-64.91,-69.23,-69.23,-100.0,60.0,190.0,150.0,,3.12,-43.1,-46.0,-73.17,-90.91,-84.85,-70.37,1290.91,2666.67,14840.0,17175.0,1191.5,2168.67,41.5,-33.07,-65.13,-63.36,10027.72,11241.3,10020.9,6390.87,-55.38,-62.91,-99.1
Z tytułu dostaw i usług,,,,,,,,22.11,,,,78.45,,,,112.08,,,,35.31,,,,102.53,,,,-52.12,,,,40.45,28.0,67.87,62.06,82.82,67.19,48.6,129.2,41.38,90.29,61.51,30.99,118.03,42.61,83.69,29.37,-38.41
Kredyty i pożyczki,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,-100.0,,,,,,,,,,,,5.88,7.69,,,-100.0,-100.0,80.0,72.73,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,-100.0,,,,,,,,-15.0,,,,-62.75,,,,63.16,,,,-100.0,,,,,,,,28.77,40.27,84.01,166.25,14.18,-20.41,-36.65,-3.29,-15.06,22.85,50.87,-2.1,10.42
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.37,0.0,1133.33,14040.0,16750.0,1636.36,113.51,-89.25,-94.07,-100.0,-100.0,139701.32,129042.5,,,-55.95,-63.16,-100.0
Zobowiązania krótkoterminowe,,,,,1600.0,1833.33,840.0,14.69,-41.18,22.41,104.68,71.89,160.95,94.84,38.05,53.0,41.06,88.19,5.12,29.23,3.75,4.23,30.95,60.1,66.58,85.01,117.72,-14.85,2.77,-1.59,0.65,110.37,103.71,104.66,207.29,245.82,171.76,223.64,79.89,4.53,43.36,23.88,6.67,15.57,6.96,-3.68,-11.07,242.72
Inne zobowiązania krótkoterminowe,,,,,,,,27.91,,,,27.27,,,,18.57,,,,37.35,,,,-14.04,,,,146.94,,,,105.51,109.96,89.55,244.86,396.78,266.07,343.49,67.15,-3.56,38.98,21.87,1.33,-11.35,-5.9,-26.66,-24.46,464.46
Rozliczenia międzyokresowe,,,,,,,,14.29,-100.0,,,50.0,,,,100.0,,,,329.17,,,,106.8,2118.18,149.6,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,280.57,266.05,136.8,17.82,67.87,3.38,-12.34,131.49,-13.51,166.97,1189.62,528.57,762.44,193.29,-27.8,-29.7,-35.87,-38.26,-43.57,19.92,16.43,18.13,13.95,-54.92,-9.63,-15.16,-11.84,155.88,30.59,58.11,106.44,282.43,310.3,338.01,292.16,-2.4,-1.67,35.01,56.07,24.17,12.44,-32.48,-51.29,-52.74
Przepływy pieniężne z działalności operacyjnej,,,,,,,152.89,-353.7,-94.16,-76.09,-478.91,-90.61,-156.02,-105.48,-279.38,-105.14,-16.89,-77.0,-8.48,3.44,-56.85,25.48,-60.02,37.62,-26.23,-67.87,15.9,-107.71,37.69,19.8,-12.77,-28.74,32.69,20.21,41.6,260.89,-399.7,-104.17,168.12,-166.57,42.93,20.21,-469.54,-149.74,-76.15,-214.23,-70.13,-1.65
Amortyzacja,,,,,83.33,83.33,416.67,600.0,454.55,500.0,112.9,16.88,13.11,9.09,-18.18,-37.78,-33.33,-34.72,-9.26,32.14,10.87,8.51,-10.2,-6.76,-13.73,-5.88,-6.82,-36.23,86.36,327.08,402.44,438.64,284.15,51.22,51.46,39.66,13.65,20.65,20.51,346.22,80.17,80.48,79.79,-25.39,76.59,91.85,66.86,-7.08
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,-646.67,-1600.0,,,96.43,101.76,-84.62,-1687.5,737.5,-15900.0,-12308.33,150.39,-645.1,20.89,100.97,-18.75,111.51,-2163.47,4500.0,16265.38,-1528.12,93.87,-500.15,-65.59,214.44,-935.58,157.7,-138.8,-339.96,72.13,-136.49,-145.16,-2054.42,1616.92,-177.05,-12.28,-26.35,27.45,17.53,-257.95,103.73,-93.75
CAPEX (niematerialne i rzeczowe),,,,,,,,314.63,,,-96.43,-97.06,84.62,1687.5,-737.5,5420.0,-100.0,-100.0,100.0,284.06,,,,12.08,,-100.0,6963.64,-52.86,,,-9.91,149.29,75.0,67.9,79.86,7.45,21.38,136.63,61.87,50.13,160.31,12.91,109.72,-44.58,21.45,10.39,-33.76,94.55
Przepływy pieniężne z działalności finansowej,,,,,,,-101.89,80.49,564.07,-98.39,150.0,35850.0,-92.14,31484.21,346300.0,-100.94,-109.09,-100.18,-100.07,37.04,-21.43,-163.64,35.71,70076.47,47.06,193.1,-444.44,-99.97,107633.33,1300.0,69.39,499766.65,-101.26,38.62,3260.0,333.52,-27.05,-132.06,-134.6,-100.25,-5.81,-11.9,23307.93,-60.0,-6.1,6.91,-100.52,4.92
Emisja akcji,,,,,,,,-100.0,,-100.0,,,-100.0,,,-100.0,,,-100.0,,,,,,,,,-100.0,,,,,,,,159.56,,,,-100.0,,,,,,,,-100.0
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,,,-129.83,-320.13,6633.33,-199.6,-350.93,388.77,-187.13,681.87,4000.41,-225.3,-272.08,-163.56,-112.05,7.24,45.79,24.88,-38.59,200.54,26.48,346.08,-0.66,-229.28,230.05,-89.89,21.02,323.92,-31.14,-656.16,-1.15,949.43,-581.97,-164.11,-919.49,-71.82,10.62,7.43,97.87,6.22,-33.13,-227.92,-1070.99,-133.31
