,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-62.45,-68.58,-30.88,-17.51,128.43,55.25,-11.45,39.58,0.4,-14.04,-77.98,-74.27,-73.82,45.04,578.93,85.89,-296.71,-118.22,-82.22,-297.48,-26.36,-338.02,-502.18,-49.02,-193.82,-26.13,138.66,41.58,-24.9
Zysk netto akcjonariuszy jednostki dominującej,,,,,-62.45,-68.58,-30.88,-17.51,128.43,55.25,-11.45,39.58,0.4,-14.04,-77.98,-74.27,-73.82,45.04,578.93,85.89,-296.71,-118.22,-82.22,-297.48,-26.36,-338.02,-502.18,-49.02,-193.82,-26.13,138.66,41.58,-24.9
Aktywa trwałe,,,,,57.41,63.31,83.61,68.46,39.32,46.7,41.11,43.16,29.36,28.98,28.58,26.4,27.96,17.95,37.33,34.65,30.59,-0.08,-21.21,-25.8,-26.73,-6.37,-6.79,-4.52,-5.43,-0.98,-0.88,-2.31,-6.32
Wartości niematerialne i prawne,,,,,12.92,15.96,8.25,6.46,-21.39,-27.02,-23.65,-26.5,180.79,218.12,215.79,220.52,-16.84,-24.02,693.27,728.68,566.93,554.82,-37.8,-45.9,-29.02,-28.43,-25.87,-17.42,-25.18,-27.9,-32.43,-32.37,-31.4
Rzeczowe składniki majątku trwałego,,,,,11.51,15.58,21.62,13.46,20.24,30.26,34.3,39.51,41.52,36.92,37.99,32.93,27.3,28.65,31.51,32.39,35.57,28.03,15.03,7.7,0.02,-1.07,-1.68,0.55,3.76,5.2,5.49,2.74,-2.28
Należności długoterminowe,,,,,0.0,0.0,,0.0,1.11,0.0,1.11,1.11,0.0,1.11,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,67.74,67.74,134.41,134.41,39.74,39.74,0.0,-28.44,-28.44,-28.44,-28.44
Inwestycje długoterminowe,,,,,613.66,613.66,808.14,808.14,51.12,51.12,20.01,13.76,-22.98,-22.97,-30.36,-25.62,-10.91,-76.51,-50.85,-59.87,-73.48,274.69,77.02,113.5,194.46,-61.06,-68.91,-70.39,-65.63,-40.8,-24.24,-17.56,-13.57
Pozostałe aktywa trwałe,,,,,140.92,156.12,201.2,137.31,95.64,103.18,98.14,93.45,56.1,58.66,57.43,47.89,54.49,48.25,45.18,40.02,34.17,-87.32,-88.04,-88.59,-84.15,75.97,69.32,65.83,-10.71,-16.19,-27.01,-23.08,-32.07
Aktywa obrotowe,,,,,501.08,482.12,333.28,344.26,-5.78,-10.76,-9.16,-16.2,-16.03,-12.95,-23.68,-27.97,-32.83,-39.41,-44.38,-33.26,-17.17,-7.59,0.4,174.69,134.37,120.73,156.22,-17.74,-14.75,-20.55,-27.48,-24.11,-20.13
Zapasy,,,,,1.94,-0.61,-17.54,-39.95,-7.61,-8.73,7.45,24.7,28.61,42.32,18.16,35.82,27.34,17.2,6.34,3.07,-1.0,-6.05,0.95,4.63,-21.45,0.75,10.39,20.77,64.21,30.24,1.45,-18.73,-31.21
Należności krótkoterminowe,,,,,31.4,19.16,-6.41,27.11,24.14,5.93,12.6,6.31,18.97,11.48,36.29,31.62,14.07,23.14,18.74,-6.95,-8.18,10.83,-21.16,-18.76,-35.18,-37.99,-17.49,7.22,23.7,20.33,20.89,19.49,43.13
Inwestycje krótkoterminowe,,,,,6410.49,9819.04,6743.08,5620.42,-9.38,-13.3,-14.01,-22.54,-26.5,-22.42,-40.82,-50.82,-54.94,-63.65,-84.17,-62.09,-34.06,-24.74,48.08,636.94,417.42,393.39,667.2,-27.54,-27.65,-34.16,-41.67,-35.55,-30.42
Środki pieniężne i inne aktywa pieniężne,,,,,6368.36,13447.6,12668.29,30811.16,-8.79,-12.75,-9.65,-22.49,-26.5,-25.0,-43.63,-50.82,-54.94,-62.64,-84.17,-62.09,-34.06,-24.28,48.08,636.94,236.07,201.44,352.58,-64.35,-43.91,-59.99,-77.85,-71.83,-60.97
Pozostałe aktywa obrotowe,,,,,-32.8,96.06,82.7,265.9,20.31,44.31,6.34,-61.13,82.85,40.05,52.4,182.78,-48.19,-8.48,-27.11,-27.89,201.25,62.44,143.53,-39.62,-83.18,-42.71,-65.47,58.96,64.65,46.19,39.47,-32.04,-35.36
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,175.91,180.67,166.68,149.26,13.08,13.3,13.94,12.17,7.36,9.79,6.06,5.19,4.91,-2.87,11.98,16.5,18.99,-1.78,-17.88,4.88,0.5,20.7,23.91,-9.82,-9.1,-8.6,-11.23,-10.28,-11.43
Kapitał własny akcjonariuszy jednostki dominującej,,,,,299.24,259.89,247.1,222.95,9.28,9.78,7.01,6.75,2.02,1.75,-1.26,-1.83,-0.82,-6.53,0.1,-0.24,-2.33,-12.76,-17.25,26.4,27.45,43.01,37.4,-12.41,-13.42,-11.8,-7.32,-6.4,-7.11
Kapitał (fundusz) podstawowy,,,,,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,13.33,13.33,13.42,0.08,0.08,0.08,0.04,0.04,0.04
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,498.02,498.02,317.59,317.59,9.49,9.49,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,2.17,2.17,2.17,2.17,4.67,56.06,56.06,56.06,45.51,-4.3,-4.3,-4.3,-9.27,-7.47,-7.47
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-17.28,-2.64,-75.59,-85.99,-43.83,-45.7,3.45,11.02,-29.82,-66.44,-56.71,-63.66,-83.81,3518.02,8346.99,11274.08,16247.42,106.65,56.73,61.29,110.55,-11.44,-13.34,-5.59,-30.1,-27.38,-28.07,-40.63,-19.84
Z tytułu dostaw i usług,,,,,-57.75,,,,1.18,,,,51.89,,,,-18.23,,,-15.72,145.72,228.07,88.47,55.07,-29.91,-7.85,-28.39,142.37,44.36,-1.17,-21.26,-46.03,-41.52
Kredyty i pożyczki,,,,,-100.0,,,,,,,,,,,,,,,,,,444.8,-100.0,-100.0,-100.0,-99.98,,,,-100.0,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,30.35,,,,-50.16,,,,-40.34,,,,53.67,,,578.71,97.82,-15.57,1085.56,-40.15,126.31,-80.02,-66.77,55.38,196.11,213.71,52.92,13.08,-63.33
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,91.02,59.39,45.59,139.62,-14.4,-14.87,-9.84,-32.75,-29.29,-28.76,-39.35,-19.3
Zobowiązania krótkoterminowe,,,,,-67.41,-35.69,-41.25,-52.83,37.15,42.52,76.52,-0.75,3.38,35.18,7.42,63.95,34.4,373.86,38.28,111.6,228.0,11.02,181.15,84.37,36.88,-30.6,0.88,4.11,34.83,27.99,-20.49,-10.78,-25.85
Inne zobowiązania krótkoterminowe,,,,,-86.45,,,,514.59,,,,-31.07,,,,138.97,,,47.86,181.21,-18.61,87.14,349.95,129.34,6.87,119.27,-29.91,17.25,18.46,-30.26,9.74,-29.16
Rozliczenia międzyokresowe,,,,,48.33,50.55,53.92,70.17,43.06,43.18,54.88,57.83,42.75,59.64,48.74,34.17,27.61,-95.03,13.2,28.67,37.27,-100.0,-100.0,-100.0,-100.0,,,,,,,,
Pasywa razem,,,,,175.91,180.67,166.68,149.26,13.08,13.3,13.94,12.17,7.36,9.79,6.06,5.19,4.91,-2.87,11.98,16.5,18.99,-1.78,-17.88,4.88,0.5,20.7,23.91,-9.82,-9.1,-8.6,-11.23,-10.28,-11.43
Przepływy pieniężne z działalności operacyjnej,,,,,-92.74,310.29,-160.39,-36.0,695.0,11.15,402.13,-78.63,16.54,80.85,-397.55,-420.72,-119.45,-44.47,120.86,497.22,1795.31,-51.28,-285.2,14.72,-46.72,-343.09,107.02,-151.77,32.72,-23.67,-1772.49,155.64,-67.05
Amortyzacja,,,,,10.26,107.11,-26.52,12.77,106.84,19.92,13.44,9.7,-28.3,15.98,16.58,21.27,25.52,3.82,58.37,47.77,86.31,83.71,33.51,81.69,-29.43,23.56,5.68,-16.8,32.77,1.04,10.33,8.95,38.63
Przepływy pieniężne z działalności inwestycyjnej,,,,,71.77,-61.07,-200.92,30.69,-209.4,-242.38,-94.1,-102.87,-84.99,-22.19,-21.7,2.9,52.39,-8.86,-163.85,10.21,-73.3,67.54,80.9,-2.9,-404.6,-6.33,-12.97,90.27,84.58,0.38,-36.94,-186.78,125.73
CAPEX (niematerialne i rzeczowe),,,,,-62.06,49.75,377.03,-53.24,169.32,231.0,-1.74,278.19,77.23,2.1,97.61,2.36,-46.41,32.12,93.98,2.59,111.46,-65.13,-74.93,-3.61,-78.1,10.35,17.09,-73.3,96.16,3.08,34.47,8.91,-42.41
Przepływy pieniężne z działalności finansowej,,,,,61577.84,-494.99,-435.67,-281.17,-100.33,83.07,-44.0,82.86,110.31,-88.15,3.57,65.69,221.05,68.51,67.88,6413.95,-289.75,-143.2,4.92,2179.4,-276.03,-276.64,-44.49,-110.12,-140.32,-294.15,-63.89,70.6,91.13
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,
Dywidenda,,,,,-100.0,,43.36,,,,20.45,-100.0,,,-5.88,,,,-50.0,,,,-100.0,,,,,369.84,,,,-68.95,
Przepływy pieniężne razem,,,,,11095.42,308.47,-228716.67,-356.4,-101.63,-381.98,-5.62,-378.36,-202.79,70.4,-171.59,-33.72,-5.25,-515.15,4.34,144.65,225.61,77.99,56.72,1417.81,-590.88,-771.66,30.4,-118.29,107.22,-42.1,-118.19,91.11,105.07
