,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Koszty finansowe,,,,,-24.32,145.26,-38.11,15.58,23.67,243.28,61.32,17.05,71.96,-33.93,-26.53,128.63,-40.57,-56.95,125.48,-71.97,1.04,21.33,-31.24,25.46,153.49,76.35,-68.65,-35.28,-40.02,-17.83,166.59,1236.92,-739.5,-209.92,126.25,-91.71,146.98,-77.63
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-84.36,-85.81,164.74,174.92,241.76,122.08,84.92,143.55,1.83,1317.57,47.66,39.04,-3.86,-15.07,-22.49,-81.16,-71.93,29.89,-51.71,112.65,166.12,80.73,110.88,140.8,137.85,83.79,146.52,10.25,-9.19,-21.14,-52.77,19.56,-23.55,25.36
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-84.36,-85.81,164.74,174.92,241.76,122.08,84.92,143.55,1.83,1317.57,47.66,39.04,-3.86,-15.07,-22.49,-81.16,-71.93,29.89,-51.71,112.65,166.12,80.73,110.88,140.8,137.85,83.79,146.52,10.25,-9.19,-21.14,-52.77,19.56,-23.55,25.36
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-83.71,71.92,159.35,171.05,232.59,-80.0,75.63,134.56,1.23,1135.79,43.39,37.58,-6.74,-18.22,-21.78,-81.27,-73.71,32.68,-51.32,112.62,186.29,88.04,116.8,135.48,134.77,66.4,124.52,12.67,-8.62,-18.11,-50.31,18.73,-23.66,25.47
Zysk netto akcjonariuszy jednostki dominującej,,,,,-84.0,105.09,146.1,180.83,229.14,-83.09,81.58,131.21,-0.98,1191.78,43.58,35.74,-3.28,-11.78,-20.56,-81.7,-74.12,32.78,-50.62,128.12,196.19,88.41,116.9,135.52,134.65,66.42,124.64,12.67,-8.62,-18.11,-50.31,18.73,-23.66,25.37
Aktywa trwałe,,,,,0.28,9.73,,8.26,8.37,-1.55,-1.01,-1.73,-8.4,-7.97,-8.92,-8.32,-0.02,-5.42,-8.21,-9.22,-10.4,4.99,6.9,38.98,39.23,21.35,23.53,-3.21,-4.73,9.15,6.47,6.14,7.9,-0.48,1.98,1.47,3.45,-6.78
Wartości niematerialne i prawne,,,,,,-0.05,,0.0,-0.03,0.03,0.04,-0.02,0.03,-0.02,0.01,0.01,0.0,0.0,-0.05,0.1,0.22,0.37,0.38,0.29,0.27,0.14,0.23,0.2,0.18,0.12,0.05,0.18,0.04,0.87,0.75,0.7,0.78,1.15
Rzeczowe składniki majątku trwałego,,,,,,18.09,,34.98,36.9,-5.86,4.08,-5.36,-4.57,-1.18,-10.44,-3.02,3.86,-11.01,13.58,6.19,-7.15,88.75,27.29,46.83,53.16,-9.53,13.97,4.03,1.85,19.49,11.16,19.95,26.93,3.04,1.29,-4.39,14.34,14.47
Należności długoterminowe,,,,,,,,,,-89.19,-68.33,-64.35,0.0,440.0,310.53,660.98,588.89,9.26,2.56,-26.6,-43.55,152.12,141.67,157.64,281.43,34.29,50.86,384.41,-16.73,-30.41,-33.37,-92.97,-27.29,-19.6,-25.9,107.46,-0.21,27.74
Inwestycje długoterminowe,,,,,,-2.47,,-2.46,-2.41,-0.01,0.0,-0.01,-14.16,-14.22,-14.17,-14.12,0.09,-7.77,-17.89,-17.94,-18.05,-0.02,12.2,21.45,21.45,6.15,6.18,-1.91,-1.91,-1.08,-1.08,-1.08,-1.08,5.6,5.59,5.6,5.6,-0.17
Pozostałe aktywa trwałe,,,,,-98.61,6493.78,,462.71,600.28,-11.72,-12.2,-15.49,-13.84,-11.58,-18.49,-16.57,-5.37,-16.37,-6.89,-15.42,-21.46,8.34,-2.46,399.47,384.84,263.16,285.85,-16.34,-16.91,38.58,29.45,31.82,31.89,-10.06,-0.85,-1.96,0.92,-32.31
Aktywa obrotowe,,,,,66.46,64.6,,44.04,30.3,29.45,24.76,26.91,23.63,21.51,14.04,12.1,8.52,5.54,16.09,23.9,42.3,30.72,23.7,15.99,16.11,15.54,8.87,6.84,-4.29,11.73,15.85,14.61,12.89,2.18,-1.32,-1.19,4.72,12.61
Zapasy,,,,,,63.17,,49.2,34.6,28.38,21.94,23.51,24.63,18.52,11.02,5.38,4.39,10.84,27.52,38.66,52.7,39.86,31.93,27.37,19.61,11.89,7.61,1.36,-2.94,-0.17,-4.9,0.85,0.45,7.37,17.5,14.92,17.14,6.95
Należności krótkoterminowe,,,,,,63.24,,85.17,9.69,-6.18,-51.54,100.53,17.04,5.53,54.73,27.67,82.83,69.11,-1.39,-23.54,-30.59,-46.46,-5.02,-21.1,13.13,48.53,-47.2,33.27,43.4,153.18,296.8,39.72,-48.9,-13.89,-40.78,6.64,211.63,-21.94
Inwestycje krótkoterminowe,,,,,,75.34,,17.25,12.82,44.39,89.51,35.29,18.89,41.81,21.53,43.41,21.8,-27.82,-27.71,-22.84,5.45,-21.37,-28.67,-54.44,-9.88,60.35,45.32,102.3,-27.27,104.57,187.11,140.5,203.72,-19.11,-56.55,-66.74,-63.87,54.88
Środki pieniężne i inne aktywa pieniężne,,,,,,-12.58,,-24.4,-4.91,37.2,46880.11,66.85,-6.9,53.47,130.57,27.96,19.04,-78.49,-86.43,-31.15,22.77,-51.28,111.84,-56.48,41.46,1121.68,228.29,216.83,-47.15,119.62,211.32,154.63,365.17,-22.89,-65.85,-74.52,-79.69,61.78
Pozostałe aktywa obrotowe,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,52.37,53.77,,38.51,27.23,25.09,21.54,23.45,19.81,18.25,11.71,10.14,7.74,4.6,14.08,21.25,37.83,28.71,22.58,17.36,17.38,15.91,9.72,6.12,-4.31,11.56,15.24,14.07,12.57,2.01,-1.12,-1.03,4.64,11.38
Kapitał własny akcjonariuszy jednostki dominującej,,,,,42.02,42.7,44.76,8.34,13.26,10.56,12.97,11.06,10.31,15.43,16.96,9.52,9.02,8.01,6.1,-6.25,-9.8,-8.1,-10.23,14.58,17.15,20.66,23.85,13.71,18.07,22.47,26.88,17.13,15.29,11.67,6.37,12.0,31.01,30.5
Kapitał (fundusz) podstawowy,,,,,20.18,20.18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62,11.62
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,183.85,,7.94,7.94,8.32,-69.75,-72.07,-72.07,-72.07,0.0,332.65,332.65,332.65,332.65,0.08,0.08,0.08,0.08,28.22,28.22,28.39,28.39,4.93,4.93,4.79,4.8,16.21,16.21,16.22,16.21,8.23,54.46,54.44
Udziały niekontrolujące,,,,,-19.72,-57.51,-54.28,-63.33,-41.8,-16.24,-9.88,11.81,26.01,50.05,58.67,100.0,87.04,83.01,91.94,,91.98,100.0,100.0,95.8,61.96,,,100.0,100.0,100.0,,,,,,,,
Zobowiązania długoterminowe,,,,,-20.36,-7.41,,33.83,110.35,107.29,40.86,48.33,4.57,-3.37,-6.26,-16.0,-6.99,25.83,47.38,164.61,165.66,133.52,85.67,1.64,-0.35,-24.01,-19.58,2.61,-9.13,28.58,48.11,-4.79,6.92,-32.01,-39.03,-8.25,-14.74,62.46
Z tytułu dostaw i usług,,,,,,-28.74,,21.13,82.51,221.95,-40.93,60.08,14.52,11.88,41.32,6.53,51.41,10.2,21.0,52.68,24.56,65.1,42.34,25.75,20.86,0.68,-9.89,85.04,-18.8,9.81,0.01,59.09,33.22,4.93,-3.63,-13.46,-19.07,6.83
Kredyty i pożyczki,,,,,,77.71,,137.97,32.88,10.93,33.25,-35.44,-45.81,-57.44,-53.22,-49.67,-33.26,-7.3,61.32,11.21,232.77,15.66,8.02,74.85,-57.71,69.4,-9.09,-7.09,22.32,-66.12,-80.82,-81.97,-100.0,-100.0,-100.0,68.85,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,304.43,,-59.88,-57.74,-6.93,-3.91,358.86,327.1,262.41,267.39,172.56,165.42,37.6,21.0,-52.99,-34.34,-39.66,-15.61,264.63,222.25,177.66,88.62,-74.13,-99.56,-46.07,-38.62,286.27,12553.81,89.38,88.58,-27.73,-23.65,-79.62
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.16,25.18,31.62,32.51,-0.94,-6.22,-8.05,-5.05,-16.96
Inne zobowiązania długoterminowe,,,,,-83.45,98.16,,-18.08,189.57,-55.21,-62.67,-13.77,-44.67,196.87,273.83,138.92,82.8,166.93,22.34,20.01,17.93,14.03,89.99,115.28,76.25,-25.73,5.59,-19.39,-21.95,113.31,153.4,130.3,85.07,-32.73,-53.81,-30.85,-46.65,41.32
Zobowiązania krótkoterminowe,,,,,232.98,133.5,,114.18,12.93,16.46,22.87,26.47,47.92,33.8,14.36,22.71,13.68,-9.73,7.32,-4.03,32.21,13.33,21.7,35.35,35.39,62.29,26.29,2.82,-17.0,-7.83,-16.36,25.34,14.34,20.13,31.74,-7.46,-8.12,-32.7
Inne zobowiązania krótkoterminowe,,,,,20.01,230.11,,235.61,0.01,10.43,47.68,55.4,164.82,60.53,9.76,20.29,-16.23,-32.62,-14.82,10.46,36.62,44.79,48.05,-19.94,25.73,36.52,21.96,56.83,55.99,30.36,9.33,-6.95,-4.25,10.32,24.41,7.07,-0.58,-16.2
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,52.37,53.77,210.57,38.51,27.23,25.09,21.54,23.45,19.81,18.25,11.71,10.14,7.74,4.6,14.08,21.25,37.83,28.71,22.58,17.36,17.38,15.91,9.72,6.12,-4.31,11.56,15.24,14.07,12.57,2.01,-1.12,-1.03,4.64,11.38
Przepływy pieniężne z działalności operacyjnej,,,,,623.77,-598.39,52.37,43.11,-127.24,89.96,282.65,48.13,485.75,523.35,-16.05,479.83,-52.9,-204.48,-187.04,-565.63,-325.46,227.97,-66.1,77.6,104.46,57.37,222.75,712.39,2823.39,149.87,174.77,-112.59,34.46,-138.96,-145.01,-542.13,-83.04,320.29
Amortyzacja,,,,,24.19,13.64,41.53,24.02,61.9,32.4,-6.29,13.02,-6.68,12.08,17.25,9.83,4.58,-1.89,40.6,17.14,33.7,166.21,21.71,-2.18,21.72,-38.91,6.21,66.74,42.93,27.53,9.6,-1.74,-9.19,7.02,14.5,16.21,6.61,19.43
Przepływy pieniężne z działalności inwestycyjnej,,,,,159.0,-73.21,165.93,-93.89,-147.79,124.74,58.33,1240.3,227.73,-747.92,-13255.79,-609.35,19546.71,460.77,145.96,90.82,-100.49,-114.53,-88.19,70.24,19.18,106.75,-113.41,92.0,-241.53,-1227.27,395.05,25750.0,1873.95,4770.16,578.4,-35.95,-88.18,-84.15
CAPEX (niematerialne i rzeczowe),,,,,-95.25,69.53,-73.1,2.89,2417.24,-55.99,-32.08,-45.51,-20.14,63.87,318.06,-230.93,-10.12,-107.03,-40.86,270.87,-61.64,1031.82,702.81,-648.39,-1.99,-45.37,-86.77,114.54,108.63,66.96,52.91,76.3,-63.5,503.21,48.79,79.67,169.33,2.66
Przepływy pieniężne z działalności finansowej,,,,,359.99,-106.02,-42.83,-42.62,-60.96,1145.59,-40.89,-121.67,-697.92,-151.97,-60.85,193.0,-12.39,102.08,-859.6,2412.28,169.6,-81283.01,216.03,-106.3,28.1,32.07,-206.96,-646.96,-301.76,114.07,69.18,47.41,6.16,-183.64,71.36,121.9,85.92,848.18
Emisja akcji,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,-45.34,478.59,,,83.91,1218.45,,,1493.97,-97.02,,,107.5,-94.48,,,32.95,-100.0,,,-100.0,,,,,,,,98.02,,,,-16.67,
Przepływy pieniężne razem,,,,,505.77,-1098.68,90.19,-43.24,-101.88,105.38,773.18,-138.65,-1215.23,526.99,-62.86,270.53,-92.29,-227.01,-432.66,503.88,102.63,-81.9,114.59,-123.55,7310.4,96.38,-122.83,128.58,-198.94,8352.78,6296.17,-819.59,52.06,-139.85,-152.64,-17.02,93.53,390.54
