,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Rzeczowe składniki majątku trwałego,,,,,20.58,39.92,,50.09,43.12,30.5,29.58,14.92,14.76,8.03,5.21,5.38,2.47,4.57,7.6,10.34,12.59,16.64,16.8,8.83,13.85,12.36,13.98,22.27,20.44,20.52,17.96,15.65,14.48,15.84,23.02,27.24,28.19,32.92,26.41,27.8,29.35,16.32,11.17,17.57,16.04,22.85
Należności długoterminowe,,,,,,,,-52.66,,270.51,0.0,0.0,-56.52,-72.32,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,366.42,621.65,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,832.44
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6.25,0.0,-100.0,-100.0,-100.0,15758.75,,,,46.55,26.94,82.65,72.55,13.43
Pozostałe aktywa trwałe,,,,,-14.09,-17.93,,-19.04,-13.82,-17.46,6.24,-6.48,-8.34,-14.19,-18.76,-12.72,-13.61,-19.83,3.01,-15.95,-11.47,-14.1,-19.73,93.93,96.99,37.9,31.55,-32.62,-21.89,45.91,64.58,64.66,51.16,24.11,138.01,152.49,139.27,2.69,-38.35,-39.33,-30.28,-12.68,-41.18,21.84,3.5,79.68
Aktywa obrotowe,,,,,64.74,46.69,,0.25,-12.39,-2.52,-15.01,-13.69,6.81,5.03,14.05,10.51,16.27,38.18,26.81,16.53,3.39,-3.9,-3.1,26.93,28.84,29.01,12.45,-2.91,4.49,0.38,20.26,4.29,3.75,-1.16,8.73,25.1,10.74,34.05,25.73,44.17,61.93,51.65,59.03,14.3,5.94,-15.42
Zapasy,,,,,35.05,54.69,,101.3,50.65,4.95,-45.06,-31.14,-18.59,-8.93,0.12,-10.24,21.87,35.61,42.33,24.7,-11.3,-7.13,-16.57,3.88,3.95,11.83,22.88,13.44,38.59,41.91,47.45,27.47,19.67,-10.71,-6.73,19.34,15.12,60.42,57.9,98.23,70.31,71.27,47.29,4.04,10.87,-10.27
Należności krótkoterminowe,,,,,-2.92,-10.2,,24.47,10.08,26.42,29.45,-7.2,21.28,16.24,20.99,27.29,17.91,35.59,25.65,13.19,7.73,-7.01,0.43,2.2,17.83,9.95,-5.61,13.37,7.05,2.66,25.44,-11.4,-1.58,-1.81,5.91,31.46,6.5,14.44,-2.65,7.0,50.42,9.76,73.09,16.99,-14.85,2.84
Inwestycje krótkoterminowe,,,,,1634.05,2306.09,,98.85,-88.01,-64.6,-25.82,129.04,114.27,40.04,111.4,-14.68,-8.7,74.46,-25.62,-3.33,37.12,-13.34,12.23,183.79,201.72,84.03,73.59,-53.62,-47.25,-18.54,-44.36,82.94,-47.65,2.67,136.98,-24.58,-39.49,-46.14,-11.51,99.46,126.5,14.56,-34.92,-67.3,-36.15,-6.83
Środki pieniężne i inne aktywa pieniężne,,,,,1630.59,2306.09,,114.91,-87.99,-64.6,-25.82,123.74,113.5,25.5,92.97,-25.34,-19.77,73.73,-37.62,-2.89,41.37,-9.57,30.73,212.96,224.16,89.96,82.94,-56.29,-48.92,-15.35,-40.8,104.93,-44.26,-9.45,136.98,-24.58,-39.49,-56.85,-28.81,45.04,8.39,23.35,-36.19,-63.84,12.93,-2.64
Pozostałe aktywa obrotowe,,,,,394.32,397.46,,-79.03,4.49,-2.45,3.24,-11.5,5.36,-28.81,-17.4,27.52,9.51,21.0,39.88,25.42,10.09,52.83,14.53,18.91,9.53,112.16,35.18,46.52,19.98,-43.47,-9.28,-19.84,38.22,28.6,19.35,65.4,37.33,128.27,80.21,9.35,64.47,105.98,99.12,113.17,65.79,-41.4
Aktywa trwałe przeznaczone do sprzedaży,,,,,-7.18,-54.54,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,34.53,39.55,,25.54,17.95,17.87,11.44,4.52,12.01,7.1,8.0,7.12,6.87,14.45,13.96,11.92,9.2,8.98,9.29,15.9,19.75,18.28,14.07,12.83,15.09,13.93,19.22,12.68,11.37,11.42,20.24,28.54,24.85,34.46,25.91,32.09,37.65,27.61,26.14,18.71,15.05,13.96
Kapitał własny akcjonariuszy jednostki dominującej,,,,,82.68,77.26,72.73,5.89,7.73,9.27,8.74,12.18,13.76,13.57,14.07,7.03,4.6,2.24,1.7,1.25,5.28,11.26,13.17,10.47,12.87,14.5,14.74,18.85,16.47,11.88,9.67,17.53,27.64,42.33,55.92,47.39,38.45,28.58,21.3,26.15,24.53,20.86,15.03,11.61,7.23,21.31
Kapitał (fundusz) podstawowy,,,,,78.78,78.78,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,126.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,3.59,18.62,,28.82,12.07,28.71,36.24,22.48,55.35,28.17,20.03,20.04,-5.28,-5.93,4.85,6.13,8.34,28.04,29.58,28.73,34.23,24.89,19.9,24.71,29.65,27.08,22.03,21.39,8.04,1.33,8.43,14.5,17.29,32.03,32.83,-12.44,-2.56,-4.45,3.3,45.16,42.17,29.03
Z tytułu dostaw i usług,,,,,19.95,14.37,,-4.2,-19.66,-3.12,11.23,5.89,47.39,4.56,-1.73,5.9,22.57,47.66,19.56,18.34,-5.0,22.59,26.4,55.97,42.59,10.39,2.35,-9.33,-0.68,-1.07,33.9,-9.37,-8.46,-26.63,-13.05,28.18,17.69,97.42,29.21,29.31,44.44,43.75,53.96,44.73,-11.78,-23.23
Kredyty i pożyczki,,,,,27.15,23.0,,9.23,15.27,-20.17,-19.91,-19.04,-56.87,-48.08,-45.07,-36.17,20.43,42.47,21.19,-7.23,-10.49,-56.25,-58.32,-55.99,-53.85,55.05,53.16,60.79,77.47,10.63,36.6,36.73,23.45,64.34,51.11,52.55,54.97,19.89,4.98,478.1,460.64,298.07,312.62,-27.76,7.9,0.01
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,63.56,108.17,,82700.0,133.86,108.94,280.2,74.35,72.07,7.31,22.61,72.5,51.44,68.1,11.55,-43.57,-30.49,-24.34,-35.86,-24.03,-2.16,11.29,46.78,55.42,8.3,3.5,19.99,16.32,14.31,11.44,-8.33,-13.0,-16.54,-13.78,-41.86,-3.47,-23.05,-24.21,16.18,40.7,118.08,78.88
Inne zobowiązania długoterminowe,,,,,3.62,-0.35,,-0.29,-0.65,14.14,18.13,12.92,59.19,38.7,33.84,39.0,-1.38,-1.69,-1.07,-0.64,0.29,3.0,2.28,1.9,-0.44,-0.62,-0.98,-1.16,0.68,-0.44,1.01,40.45,37.82,52.78,59.62,13.8,16.44,2.95,-5.9,-4.55,-3.53,-3.34,-7.61,-14.69,4.23,6.49
Zobowiązania krótkoterminowe,,,,,29.53,30.61,,42.02,31.92,17.87,-0.85,-11.54,-15.66,-15.61,-6.6,-3.43,22.84,53.85,35.7,28.41,13.45,-7.16,-9.68,9.33,13.56,14.92,6.83,-3.74,-0.22,0.99,25.45,-3.27,-0.13,-6.03,2.88,28.87,18.42,47.35,23.16,104.1,111.05,80.77,73.06,8.38,4.75,-3.66
Inne zobowiązania krótkoterminowe,,,,,72.08,109.26,,190.86,212.59,118.11,-24.01,-39.78,-53.1,-23.79,12.4,-27.32,1.26,62.98,82.83,193.08,152.73,-21.94,-22.1,-6.64,6.87,17.47,-5.13,-17.63,-13.82,1.34,8.51,-12.36,2.48,5.7,25.94,42.9,21.77,16.82,43.96,83.06,95.41,89.81,26.48,15.38,6.61,17.73
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,34.53,39.55,432.27,25.54,17.95,17.87,11.44,4.52,12.01,7.1,8.0,7.12,6.87,14.45,13.96,11.92,9.2,8.98,9.29,15.9,19.75,18.28,14.07,12.83,15.09,13.93,19.22,12.68,11.37,11.42,20.24,28.54,24.85,34.46,25.91,32.09,37.65,27.61,26.14,18.71,15.05,13.96
Przepływy pieniężne z działalności operacyjnej,,,,,84.53,-56.64,-155247.38,-121.96,175.56,656.97,71.76,455.69,-53.3,-75.83,132.83,9.47,17.51,0.21,-271.79,128.19,91.46,289.5,104.6,45.56,-69.73,-130.93,4057.41,-86.76,186.93,250.56,-58.84,607.35,31.1,175.6,1223.59,-39.1,33.56,-53.03,-51.66,44.97,13.77,76.43,-363.26,506.62,-132.24,247.8
Amortyzacja,,,,,20.65,67.95,61.41,34.94,41.74,-1.6,-2.17,21.57,12.14,14.94,23.68,15.78,12.67,8.9,13.23,10.99,12.4,11.44,3.81,1.07,-4.38,-6.16,-0.45,-1.61,3.46,12.11,19.11,31.8,26.82,19.58,4.13,8.42,5.4,5.91,10.44,-8.65,17.49,21.76,21.37,18.61,44.87,12.2
Przepływy pieniężne z działalności inwestycyjnej,,,,,-6111.82,-372.46,-111.27,-112.66,-21.96,-22.2,75.11,60.98,37.02,76.14,-133.18,-0.97,64.46,-79.19,31.99,-57.62,-135.57,-125.19,-444.22,-27.06,141.03,30.04,-39.38,-12.09,-725.87,26.54,40.3,-45.22,-36.4,-165.21,-253.18,-94.34,-29.62,-74.32,20.16,1.29,-1.78,7.56,84.31,-65.81,-47.21,14.0
CAPEX (niematerialne i rzeczowe),,,,,5725.42,392.66,110.76,112.9,21.36,6.24,-64.32,-61.04,-36.99,-80.14,64.94,2.84,-64.08,98.98,-37.4,74.75,130.51,144.42,485.36,15.23,184.08,-29.87,39.02,10.23,-8.59,-20.1,-40.34,48.96,36.33,123.75,202.33,86.74,32.97,89.87,-2.04,-2.66,16.19,19.1,-91.63,200.29,20.88,-27.96
Przepływy pieniężne z działalności finansowej,,,,,877.81,98.63,431.35,415.95,-132.77,-7485.25,-64.63,-98.76,75.27,64.76,-44.19,-6153.59,-262.56,459.4,-134.33,-53.03,-54.7,-158.59,910.43,36.93,113.44,434.03,-50.16,101.44,69.36,-88.93,-129.12,-2092.25,-458.37,-90.31,737.96,396.54,-16.35,18081.3,149.47,72.47,-69.84,-46.67,114.88,-935.73,356.01,-462.44
Emisja akcji,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,-71.84,,,,-100.0,,,,,,,,,,,,0.0,,,,-100.0,,,,,,,,-100.0,,,,,,,-100.0,,,,,-100.0,
Przepływy pieniężne razem,,,,,7905.95,-1163.2,-3988.22,-796.58,-98.82,118.35,87.42,165.3,6.52,-104.67,234.61,-248.83,91.63,6377.63,-541.34,88.53,393.5,-54.03,40.53,2229.66,243.42,-278.5,-102.13,-169.84,-38.64,182.68,-24.06,206.69,-196.43,93.6,117.34,-216.84,7.46,-71.66,225.62,133.24,-74.1,45.85,-107.7,-206.33,100.49,-20.54
