,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Koszty finansowe,1055.0,852.0,621.0,774.0,877.0,819.0,445.0,642.0,817.0,720.0,495.0,361.0,779.0,725.0,311.0,679.0,1121.0,855.0,618.0,676.0,682.0,5130.0,1077.0,1994.0,184.0,1127.0,826.0,935.0,736.0,1463.0,678.0,859.0,636.0,660.0,554.0,419.0,785.0,268.0,666.0,462.0,304.0,246.0,479.0,302.0,382.0,157.0,311.0,427.0,438.0,755.0,528.0,864.0,0.0,1166.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-996.0,-2540.0,1682.0,-934.0,-1591.0,2011.0,477.0,-149.0,-1325.0,-5353.0,1090.0,174.0,1082.0,478.0,15.0,8.0,-2225.0,2341.0,-2362.0,-315.0,-2263.0,-35140.0,342.0,-10331.0,-2473.0,-18327.0,-723.0,-14795.0,-180.0,17380.0,-384.0,-818.0,-767.0,-36249.0,460.0,562.0,675.0,2024.0,1643.0,-445.0,282.0,2833.0,-1295.0,3850.0,-614.0,3952.0,-716.0,3605.0,2108.0,3348.0,1117.0,3340.0,-2837.0,4951.0
Wynik zdarzeń nadzwyczajnych,14.0,6.0,0.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-982.0,-2534.0,1682.0,-934.0,-1591.0,1979.0,477.0,-149.0,-1325.0,-5353.0,1090.0,174.0,1082.0,478.0,15.0,8.0,-2225.0,2341.0,-2362.0,-315.0,-2263.0,-35140.0,342.0,-10331.0,-2473.0,-18327.0,-723.0,-14795.0,-180.0,17380.0,-384.0,-818.0,-767.0,-36249.0,460.0,562.0,675.0,2024.0,1643.0,-445.0,282.0,2833.0,-1295.0,3850.0,-614.0,3952.0,-716.0,3605.0,2108.0,3348.0,1117.0,3340.0,-2837.0,4951.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-899.0,-2124.0,988.0,-522.0,-1396.0,1455.0,327.0,-277.0,-1214.0,-4147.0,536.0,160.0,1129.0,512.0,15.0,-10.0,-1999.0,2109.0,-2255.0,-353.0,-1848.0,-32786.0,36.0,-9795.0,-3190.0,-10527.0,-707.0,-10742.0,-230.0,12267.0,-485.0,-810.0,-781.0,-30336.0,207.0,402.0,349.0,1525.0,1145.0,-426.0,94.0,3626.0,-1184.0,2956.0,-578.0,3055.0,-758.0,2732.0,1536.0,2571.0,742.0,2565.0,-2417.0,3868.0
Zysk netto akcjonariuszy jednostki dominującej,-899.0,-2124.0,988.0,-522.0,-1396.0,1455.0,327.0,-277.0,-1214.0,-4147.0,536.0,160.0,1129.0,512.0,15.0,-10.0,-1999.0,2109.0,-2255.0,-353.0,-1848.0,-32786.0,36.0,-9795.0,-3190.0,-10527.0,-707.0,-10742.0,-230.0,12267.0,-485.0,-810.0,-781.0,-30336.0,207.0,402.0,349.0,1525.0,1145.0,-426.0,94.0,3626.0,-1184.0,2956.0,-578.0,3055.0,-758.0,2732.0,1536.0,2571.0,742.0,2565.0,-2417.0,3868.0
Aktywa trwałe,53061.0,54669.0,55175.0,58405.0,59758.0,54586.0,55383.0,39654.0,39065.0,42597.0,42319.0,43863.0,44044.0,44419.0,45211.0,48901.0,49097.0,49251.0,51662.0,51892.0,80004.0,120010.0,119135.0,103618.0,102066.0,87203.0,130288.0,105469.0,101453.0,99196.0,98022.0,97584.0,96147.0,71910.0,70779.0,69386.0,68014.0,66350.0,64676.0,63868.0,62952.0,63834.0,66122.0,64067.0,69609.0,75991.0,77500.0,79784.0,95429.0,107729.0,119422.0,140926.0,181165.0,220331.0
Wartości niematerialne i prawne,931.0,871.0,800.0,1078.0,998.0,921.0,842.0,773.0,705.0,697.0,624.0,1161.0,1014.0,773.0,742.0,949.0,1044.0,1172.0,1435.0,1388.0,17372.0,30556.0,30957.0,30853.0,30751.0,18336.0,18252.0,18977.0,17710.0,17346.0,17116.0,17210.0,17022.0,1142.0,1441.0,1296.0,1161.0,1026.0,895.0,799.0,667.0,578.0,511.0,451.0,387.0,391.0,348.0,285.0,283.0,342.0,404.0,455.0,413.0,388.0
Rzeczowe składniki majątku trwałego,33357.0,31651.0,32089.0,33436.0,34204.0,34359.0,34731.0,35966.0,35741.0,36642.0,36721.0,36753.0,37357.0,38362.0,39086.0,41836.0,42141.0,41831.0,44610.0,44394.0,55843.0,83375.0,82651.0,63965.0,63268.0,55748.0,98886.0,70721.0,68221.0,72206.0,71358.0,70820.0,69628.0,56897.0,55755.0,54620.0,53682.0,52691.0,51660.0,50974.0,50389.0,50516.0,52765.0,51670.0,57224.0,62895.0,64529.0,67731.0,83916.0,96985.0,109000.0,131249.0,171043.0,208777.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.0,0.0,1771.0,1771.0,1771.0,1816.0,1471.0,1998.0,1878.0,1656.0,1612.0,1656.0,0.0,45.0,2809.0,2809.0,96.0,130.0,201.0,23.0,546.0,578.0,578.0,569.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,19.0,19.0,19.0,19.0,5.0,5.0,5.0,5.0,5.0
Inwestycje długoterminowe,17500.0,17250.0,16750.0,17350.0,17350.0,18097.0,18470.0,1419.0,1243.0,1243.0,1435.0,1243.0,1213.0,1213.0,1062.0,1062.0,1062.0,1063.0,1063.0,1063.0,1063.0,733.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,0.0,0.0,0.0,0.0,3270.0,3270.0,3270.0,3270.0,3270.0,3270.0,3270.0,3270.0,3270.0,3270.0,3270.0,3270.0,4336.0,4336.0,4336.0,4336.0,4336.0,4336.0,4341.0,4336.0,6959.0
Pozostałe aktywa trwałe,1273.0,4897.0,5536.0,6541.0,7206.0,1209.0,1340.0,1496.0,1376.0,2691.0,3539.0,2935.0,2689.0,2300.0,2505.0,3583.0,2852.0,3307.0,2898.0,3435.0,4070.0,5346.0,4994.0,5503.0,4750.0,12535.0,12532.0,15082.0,15011.0,9098.0,8970.0,8976.0,8928.0,10574.0,10286.0,10174.0,9874.0,9336.0,8824.0,8798.0,8599.0,9443.0,9549.0,8649.0,8701.0,8350.0,8268.0,7413.0,6875.0,6061.0,5677.0,4876.0,5368.0,4202.0
Aktywa obrotowe,19546.0,18799.0,21784.0,51571.0,45182.0,51669.0,55281.0,70735.0,54018.0,51530.0,53007.0,51412.0,53718.0,54134.0,55358.0,63502.0,75351.0,63076.0,78663.0,97621.0,77220.0,46154.0,43630.0,35399.0,33125.0,25454.0,21983.0,34782.0,33675.0,21831.0,23692.0,24301.0,18683.0,14346.0,16078.0,17847.0,15364.0,14759.0,13396.0,17633.0,17885.0,22027.0,18929.0,47975.0,34145.0,40836.0,44219.0,42998.0,31905.0,55370.0,54164.0,53023.0,45735.0,45571.0
Zapasy,12380.0,11698.0,11871.0,10562.0,10492.0,22779.0,30696.0,30480.0,35249.0,43028.0,44062.0,44262.0,45554.0,46162.0,46712.0,46910.0,47515.0,46407.0,55859.0,55922.0,56238.0,34749.0,33628.0,25444.0,21988.0,10724.0,7824.0,7892.0,7310.0,9319.0,9350.0,10668.0,10203.0,6939.0,6603.0,8001.0,9641.0,8628.0,8350.0,8450.0,9334.0,9098.0,10884.0,8802.0,10324.0,9326.0,10129.0,11202.0,11537.0,12677.0,14338.0,13356.0,16333.0,15485.0
Należności krótkoterminowe,6672.0,6024.0,8496.0,8535.0,8554.0,12514.0,14976.0,11537.0,8066.0,5631.0,7607.0,6695.0,7089.0,6373.0,6664.0,6224.0,7078.0,9974.0,6518.0,10949.0,13299.0,10573.0,8667.0,9118.0,10664.0,8131.0,7555.0,7323.0,6759.0,6721.0,7951.0,7465.0,4441.0,6484.0,6561.0,8624.0,3056.0,5226.0,4003.0,7306.0,7174.0,10646.0,6087.0,11242.0,10947.0,11613.0,8831.0,12979.0,16644.0,15072.0,13994.0,26223.0,22053.0,27420.0
Inwestycje krótkoterminowe,380.0,372.0,711.0,32474.0,26016.0,10264.0,695.0,18190.0,126.0,2082.0,263.0,294.0,113.0,876.0,1455.0,9582.0,19292.0,5883.0,14715.0,30077.0,6682.0,53.0,906.0,425.0,183.0,6382.0,6316.0,19378.0,19444.0,2319.0,2632.0,2549.0,352.0,600.0,2443.0,725.0,2361.0,660.0,274.0,1290.0,1020.0,1839.0,985.0,27212.0,12528.0,19467.0,24138.0,18031.0,3285.0,27092.0,24735.0,12586.0,6828.0,2175.0
Środki pieniężne i inne aktywa pieniężne,380.0,222.0,111.0,32474.0,24016.0,10264.0,695.0,389.0,126.0,2082.0,263.0,186.0,53.0,827.0,1455.0,9582.0,19292.0,5816.0,14648.0,30009.0,6614.0,53.0,906.0,425.0,183.0,5683.0,606.0,7.0,47.0,2319.0,2632.0,2549.0,352.0,58.0,1901.0,156.0,1792.0,660.0,274.0,1290.0,1020.0,1839.0,985.0,27212.0,7528.0,14296.0,24138.0,18031.0,3285.0,27092.0,24735.0,12586.0,6828.0,2175.0
Pozostałe aktywa obrotowe,114.0,705.0,706.0,0.0,120.0,6112.0,8914.0,10528.0,10577.0,789.0,1075.0,161.0,962.0,723.0,527.0,786.0,1466.0,812.0,1571.0,673.0,1001.0,779.0,429.0,412.0,290.0,217.0,288.0,189.0,162.0,202.0,489.0,349.0,417.0,323.0,471.0,497.0,306.0,245.0,769.0,587.0,357.0,444.0,973.0,719.0,346.0,430.0,1121.0,786.0,439.0,529.0,1097.0,858.0,521.0,491.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3270.0,3270.0,3270.0,3270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,72607.0,73468.0,76959.0,109976.0,104940.0,106255.0,110664.0,110389.0,93083.0,94127.0,95326.0,95275.0,97762.0,98553.0,100569.0,112403.0,124448.0,112327.0,130325.0,149513.0,157224.0,166164.0,162765.0,139017.0,135191.0,112657.0,152271.0,140251.0,135128.0,121027.0,121714.0,121885.0,114830.0,86256.0,86857.0,87233.0,83378.0,81109.0,78072.0,81501.0,80837.0,85861.0,85051.0,112042.0,103754.0,116827.0,121719.0,122782.0,127334.0,163099.0,173586.0,193949.0,226900.0,265902.0
Kapitał własny akcjonariuszy jednostki dominującej,16185.0,14059.0,15097.0,50085.0,48689.0,50063.0,50390.0,50114.0,48899.0,44752.0,45288.0,45448.0,46577.0,58489.0,58503.0,58493.0,56494.0,57246.0,54991.0,54638.0,52791.0,20004.0,20040.0,10245.0,7055.0,1127.0,47725.0,37706.0,37482.0,57808.0,62459.0,61649.0,60735.0,30400.0,30607.0,30993.0,31342.0,32867.0,34012.0,33586.0,33680.0,37306.0,36122.0,59603.0,58738.0,74552.0,73794.0,76526.0,78062.0,105560.0,106289.0,109622.0,107192.0,112639.0
Kapitał (fundusz) podstawowy,3000.0,3000.0,3000.0,3856.0,3856.0,3856.0,3856.0,3856.0,3856.0,3856.0,3856.0,3856.0,3856.0,3856.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,4426.0,5746.0,5746.0,6226.0,6226.0,6226.0,6226.0,6226.0,6226.0,6226.0,6226.0,6226.0,6226.0,6226.0,6226.0,6400.0,6400.0,6526.0,6526.0,6526.0,6526.0,7026.0,7026.0,7026.0,7026.0,7026.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,8427.0,8427.0,8427.0,45672.0,45672.0,45672.0,45672.0,46197.0,46197.0,46197.0,46197.0,46197.0,46197.0,57597.0,57027.0,57027.0,57027.0,57027.0,57027.0,57027.0,57027.0,57027.0,57027.0,57027.0,57027.0,57027.0,59616.0,60137.0,61703.0,57829.0,62485.0,62485.0,62352.0,62352.0,62352.0,62337.0,62337.0,62337.0,62337.0,62337.0,62337.0,62337.0,62337.0,82689.0,82402.0,95034.0,95034.0,95034.0,95034.0,119462.0,119448.0,120217.0,120204.0,120819.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,38483.0,35533.0,33778.0,34667.0,33727.0,31744.0,31029.0,14072.0,14615.0,19321.0,16081.0,16065.0,15795.0,20750.0,19875.0,20650.0,21585.0,20100.0,20788.0,19126.0,26578.0,27890.0,27151.0,23580.0,21203.0,34792.0,39755.0,37607.0,36984.0,37179.0,35372.0,35146.0,17070.0,33564.0,30068.0,27636.0,31021.0,27992.0,31676.0,30532.0,25071.0,23970.0,22565.0,30838.0,27082.0,25083.0,26339.0,23933.0,21629.0,33053.0,40008.0,58520.0,87948.0,122263.0
Z tytułu dostaw i usług,9435.0,9344.0,11011.0,8847.0,5888.0,7871.0,11503.0,9876.0,12038.0,14942.0,14944.0,13720.0,14455.0,5872.0,4555.0,4882.0,8026.0,7366.0,0.0,0.0,0.0,25067.0,0.0,0.0,0.0,1202.0,6394.0,7094.0,8213.0,19379.0,17791.0,17712.0,24863.0,10265.0,14055.0,16721.0,16723.0,16578.0,8153.0,8205.0,10885.0,13359.0,13094.0,12120.0,11619.0,9924.0,11267.0,10601.0,16528.0,13739.0,16473.0,13002.0,12213.0,18001.0
Kredyty i pożyczki,2563.0,3217.0,5884.0,5441.0,6173.0,3684.0,4374.0,19272.0,4254.0,3087.0,3075.0,4181.0,4628.0,4418.0,7758.0,8414.0,5816.0,10285.0,0.0,0.0,0.0,17155.0,0.0,0.0,0.0,15108.0,12336.0,11009.0,9119.0,2881.0,2695.0,3556.0,9339.0,9175.0,8996.0,8566.0,631.0,241.0,98.0,5378.0,7707.0,7435.0,9609.0,5445.0,2445.0,3634.0,6559.0,7845.0,7259.0,6799.0,6484.0,7924.0,14413.0,7914.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3529.0,0.0,0.0,0.0,1599.0,977.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,1800.0,1459.0,1562.0,1280.0,983.0,1392.0,1544.0,1627.0,1612.0,1720.0,1661.0,1182.0,1303.0,1822.0,1674.0,1526.0,1761.0,2042.0,0.0,0.0,0.0,3005.0,0.0,0.0,0.0,6549.0,6709.0,6863.0,15401.0,520.0,405.0,462.0,325.0,338.0,292.0,361.0,383.0,388.0,355.0,351.0,361.0,352.0,392.0,428.0,444.0,129.0,129.0,137.0,152.0,348.0,403.0,783.0,910.0,927.0
Inne zobowiązania długoterminowe,3302.0,3708.0,2303.0,3708.0,2153.0,2153.0,2153.0,0.0,875.0,4476.0,1775.0,1775.0,1775.0,0.0,0.0,1444.0,2046.0,1577.0,0.0,0.0,0.0,3414.0,0.0,0.0,0.0,15179.0,21342.0,19620.0,28104.0,26686.0,25173.0,25339.0,13760.0,30392.0,26931.0,24709.0,21958.0,12336.0,16134.0,21789.0,19455.0,18462.0,16796.0,25013.0,24272.0,22362.0,23532.0,21420.0,19071.0,25055.0,31628.0,43347.0,47326.0,61060.0
Zobowiązania krótkoterminowe,16931.0,17113.0,21143.0,18065.0,14544.0,15983.0,19724.0,35507.0,20901.0,26473.0,30897.0,30546.0,31627.0,15733.0,18599.0,20239.0,23262.0,24450.0,34805.0,40563.0,42758.0,111402.0,106494.0,96242.0,97580.0,67327.0,64791.0,64938.0,60662.0,26040.0,23883.0,25090.0,37025.0,22292.0,26182.0,28604.0,21015.0,20250.0,12384.0,17383.0,22086.0,24585.0,26364.0,21601.0,17934.0,17192.0,21586.0,22323.0,27643.0,24486.0,27289.0,25807.0,31760.0,31000.0
Inne zobowiązania krótkoterminowe,3133.0,3093.0,2686.0,2497.0,1500.0,3036.0,2303.0,4732.0,2997.0,6724.0,11217.0,11463.0,11241.0,3621.0,4612.0,5417.0,7659.0,4757.0,0.0,0.0,0.0,62646.0,0.0,0.0,0.0,42869.0,38375.0,39299.0,27929.0,3260.0,2992.0,3360.0,2498.0,2514.0,2839.0,2956.0,3278.0,3043.0,3778.0,3449.0,3133.0,3439.0,3269.0,3608.0,3426.0,3505.0,3631.0,3740.0,3704.0,3600.0,3929.0,4098.0,4224.0,4158.0
Rozliczenia międzyokresowe,1008.0,6763.0,6941.0,7159.0,7980.0,8465.0,9521.0,10696.0,8668.0,3581.0,3060.0,3216.0,3763.0,3581.0,3592.0,13021.0,23107.0,10531.0,19741.0,35186.0,35097.0,6868.0,9080.0,8950.0,9353.0,9411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,72607.0,73468.0,76959.0,109976.0,104940.0,106255.0,110664.0,110389.0,93083.0,94127.0,95326.0,95275.0,97762.0,98553.0,100569.0,112403.0,124448.0,112327.0,130325.0,149513.0,157224.0,166164.0,162765.0,139017.0,135191.0,112657.0,152271.0,140251.0,135128.0,121027.0,121714.0,121885.0,114830.0,86256.0,86857.0,87233.0,83378.0,81109.0,78072.0,81501.0,80837.0,85861.0,85051.0,112042.0,103754.0,116827.0,121719.0,122782.0,127334.0,163099.0,173586.0,193949.0,226900.0,265902.0
Przepływy pieniężne z działalności operacyjnej,0.0,-1249.0,0.0,0.0,0.0,-16405.0,0.0,0.0,-6714.0,-1690.0,-1703.0,659.0,806.0,-6581.0,-1293.0,10408.0,-11411.0,1029.0,1180.0,1114.0,-8718.0,3473.0,9286.0,-18722.0,2259.0,22947.0,2992.0,1557.0,3060.0,-3253.0,-3598.0,2145.0,-687.0,1520.0,4012.0,-2230.0,6463.0,-85.0,708.0,-3401.0,462.0,2574.0,756.0,124.0,-2591.0,-1570.0,-59.0,-1497.0,2674.0,1830.0,-425.0,-6380.0,-1007.0,2467.0
Amortyzacja,504.0,666.0,612.0,645.0,633.0,572.0,537.0,538.0,567.0,597.0,398.0,399.0,467.0,491.0,455.0,433.0,690.0,312.0,680.0,700.0,706.0,901.0,991.0,987.0,974.0,969.0,1191.0,1876.0,1783.0,1399.0,1499.0,1466.0,1539.0,1839.0,1422.0,1470.0,1475.0,1465.0,1482.0,1455.0,1464.0,1425.0,1472.0,1604.0,1434.0,1835.0,1607.0,1553.0,1535.0,1174.0,1579.0,1632.0,1784.0,1491.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,3101.0,0.0,0.0,0.0,-6168.0,0.0,0.0,14772.0,781.0,-404.0,-831.0,-375.0,127.0,-295.0,-1516.0,465.0,-522.0,-1184.0,-895.0,-27833.0,-11842.0,-386.0,-136.0,-175.0,-4072.0,-67.0,-16.0,64.0,5357.0,-422.0,-1021.0,-159.0,-1042.0,-578.0,-190.0,-402.0,480.0,-320.0,-813.0,-608.0,-284.0,-3061.0,-906.0,-6750.0,6232.0,2071.0,-8180.0,-13701.0,-7159.0,-1357.0,-13408.0,-36062.0,-22076.0
CAPEX (niematerialne i rzeczowe),0.0,40558.0,0.0,0.0,0.0,5474.0,0.0,0.0,2393.0,1309.0,404.0,834.0,402.0,-116.0,71.0,1987.0,1005.0,-427.0,874.0,23104.0,-1736.0,19645.0,386.0,381.0,175.0,4073.0,67.0,16.0,-64.0,385.0,422.0,1020.0,159.0,1043.0,578.0,190.0,402.0,-364.0,320.0,813.0,608.0,284.0,3061.0,906.0,7474.0,6987.0,363.0,5760.0,16231.0,14401.0,8728.0,26573.0,41070.0,36230.0
