,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Inwestycje długoterminowe,,,,195.2,,,908.0,-14.25,-22.4,-20.92,-12.82,-12.2,-3.28,-5.89,-7.38
Pozostałe aktywa trwałe,,,,-92.04,,,-56.85,69.68,23.42,25.14,242.4,-57.09,-76.09,-75.41,-96.41
Aktywa obrotowe,,,,-87.89,,,-90.39,-40.89,33.86,19.52,-53.34,-50.91,-68.68,0.47,51.97
Zapasy,,,,-93.32,,,-100.0,-98.05,87.5,,,-74.45,-99.5,310.78,3.4
Należności krótkoterminowe,,,,-63.18,,,67.71,-29.16,-21.23,-43.89,-82.42,-47.14,90.38,-34.19,153.06
Inwestycje krótkoterminowe,,,,-45.9,,,10.6,22.0,16.07,33.67,-38.71,-50.99,-65.6,-43.39,37.03
Środki pieniężne i inne aktywa pieniężne,,,,-24.99,,,-31.58,31.09,10.13,23.68,-3.99,-53.07,-70.49,-37.58,29.94
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,
Aktywa razem,,,,-32.92,,,-22.1,-18.22,-15.98,-16.99,-17.09,-15.91,-15.03,-4.2,-4.21
Kapitał własny akcjonariuszy jednostki dominującej,,,-50.03,-51.89,,,-55.9,-41.73,-35.6,-17.6,-10.56,-30.96,-27.63,-14.4,-28.45
Kapitał (fundusz) podstawowy,,,2.49,1.44,,,-0.97,137.09,126.13,132.54,134.17,-0.02,4.39,5.51,1.73
Udziały (akcje) własne,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,2.49,1.44,,,-0.97,10.95,5.82,8.82,9.59,-0.02,4.39,5.51,1.73
Udziały niekontrolujące,,,-88.65,-14.14,,,7.3,13.97,21.5,22.37,17.46,13.97,4.39,5.51,1.73
Zobowiązania długoterminowe,,,,-99.71,,,-100.0,79077.71,79911.75,88769.98,,-35.67,-29.81,-28.62,-20.72
Z tytułu dostaw i usług,,,,-71.8,,,-35.86,-20.0,-27.71,-51.51,-49.45,17.41,18.91,401.62,406.12
Kredyty i pożyczki,,,,-15.12,,,-13.4,-77.41,-66.89,-81.67,-78.74,-15.84,-44.64,1.32,-21.73
Z tytułu emisji dłużnych papierów wartościowych,,,,147.36,,,151.51,-100.0,-100.0,-96.27,-96.88,,,1033.25,1084.51
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,-94.6,,,-100.0,4281.11,4396.43,4884.88,,-5.76,-1.24,9.74,5.17
Zobowiązania krótkoterminowe,,,,22.81,,,34.09,-85.05,-80.03,-87.89,-89.33,122.29,55.05,158.3,165.92
Inne zobowiązania krótkoterminowe,,,,23.89,,,28.26,-52.08,-44.83,-75.98,-98.0,-48.61,-54.52,10.42,944.79
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,
Pasywa razem,,,20.55,-32.92,,,-22.1,-18.22,-15.98,-16.99,-17.09,-15.91,-15.03,-4.2,-4.21
Przepływy pieniężne z działalności operacyjnej,,,9.87,198.49,,,133.85,-93.43,-108.13,1005.6,-342.67,-116.47,-1253.58,175.75,239.12
Amortyzacja,,,-65.73,-505.65,,,-98.55,100.7,-25.94,218.42,-132.17,-95.78,-66.23,-88.34,106.78
Przepływy pieniężne z działalności inwestycyjnej,,,174.27,-111.85,,,-257.58,180.48,-149.26,-2201.72,129.59,-100.04,101.81,112.32,-100.15
CAPEX (niematerialne i rzeczowe),,,-13.4,-64.34,,,104.12,-192.64,,13525.49,-100.0,95.31,-100.0,-100.0,
Przepływy pieniężne z działalności finansowej,,,-199.62,97.0,,,97.02,250.19,-14.78,25.57,-640.05,-99.32,-24.61,-33.8,30.46
Emisja akcji,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,-56.08,-91.15,,,83.32,1401.63,-240.61,270.88,-65.5,-101.04,-99.66,264.79,104.06
