,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Aktywa razem,,,,,,62.96,66.03,55.56,45.79,-9.29,-11.13,-7.48,14.36,-0.1,6.37,1.82,-16.01,-28.32,-31.47,-24.09,-21.84,27.91,32.35,31.01,36.6,42.04,38.05,34.01,30.27,28.19,32.23,37.47,38.37,52.11
Kapitał własny akcjonariuszy jednostki dominującej,,,,,28.74,72.59,70.98,61.3,51.01,-9.24,-10.22,-9.03,14.53,-1.13,-3.42,-4.78,-23.56,-39.3,-36.17,-27.93,-24.2,38.95,44.85,38.93,42.44,47.41,40.81,31.72,24.65,27.33,29.44,37.19,40.73,46.16
Kapitał (fundusz) podstawowy,,,,,,5.0,5.0,5.0,5.0,0.0,0.0,0.0,13.33,13.33,13.33,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,117.55,117.55,74.26,74.26,19.38,19.38,1.37,26.07,26.07,26.07,24.38,0.0,0.0,0.0,1.37,1.37,-52.61,-52.61,-53.25,-53.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,2.78,105.02,62.7,67.59,63.83,1.89,44.73,59.37,-13.22,309.29,199.74,218.81,340.27,-13.22,-11.05,-17.65,-16.25,-10.15,-15.7,-24.26,-28.82,-43.36,-41.41,-38.84,-40.85,-36.28,-29.06,-45.55,4.65
Z tytułu dostaw i usług,,,,,,39.81,120.47,77.47,89.59,-7.96,-36.07,-27.4,-21.1,14.27,18.66,-10.08,22.65,-30.81,110.64,35.02,1.71,202.77,-15.06,85.82,153.68,49.52,96.11,81.42,114.46,70.49,140.93,154.86,88.44,103.77
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,0.41,,,1.21,2.31,4.23,2.69,-0.13,-0.13,-1.7,-11.78,7.32
Inne zobowiązania długoterminowe,,,,,,2.78,105.02,62.7,67.59,63.83,1.89,44.73,59.37,-13.22,309.29,199.74,218.81,340.27,-13.22,-11.05,-17.65,-79.76,-67.14,-69.14,-76.64,-0.92,-46.16,-29.97,-3.37,-0.77,30.09,45.02,11.75,85.4
Zobowiązania krótkoterminowe,,,,,,7.44,22.94,8.74,-4.07,-20.29,-23.82,-1.05,1.79,16.31,34.03,7.15,21.85,5.05,-6.7,0.78,-2.09,2.08,-6.88,14.94,38.43,51.6,81.12,98.94,104.49,59.54,71.22,50.88,37.52,96.2
Inne zobowiązania krótkoterminowe,,,,,,-1.8,-1.8,-16.52,-26.84,-25.3,-16.84,19.53,16.2,17.33,40.75,15.33,21.5,22.55,-75.46,-11.89,-3.73,-80.18,11.47,-55.79,-44.2,128.94,118.55,206.13,138.67,65.36,-48.6,-83.62,-45.93,107.01
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,44.86,62.96,66.03,55.56,45.79,-9.29,-11.13,-7.48,14.36,-0.1,6.37,1.82,-16.01,-28.32,-31.47,-24.09,-21.84,27.91,32.35,31.01,36.6,42.04,38.05,34.01,30.27,28.19,32.23,37.47,38.37,52.11
Przepływy pieniężne z działalności operacyjnej,,,,,152.35,-43.0,571.43,-845.49,-399.15,-108.05,-356.74,110.5,-93.37,32.19,-437.85,-1319.37,72.14,31.21,122.91,250.67,304.63,325.21,-153.59,8.44,69.48,-84.61,627.62,-55.77,-37.63,89.09,-104.6,-8.38,-56.83,717.63
Amortyzacja,,,,,-59.49,-42.86,-2.2,-18.26,81.25,494.44,46.07,36.17,4.31,-43.93,150.0,157.81,190.91,190.0,0.0,-12.42,-23.58,-21.55,-16.0,-12.46,-8.18,-9.89,-15.02,-7.91,-6.88,-0.41,5.6,9.44,13.91,6.94
Przepływy pieniężne z działalności inwestycyjnej,,,,,43.04,77.82,-1276.0,195.83,-348.89,-175.47,84.01,-30.43,65.35,81.51,54.55,-137.5,-12.86,96.3,-536.0,100.0,-12.66,-1100.0,127.67,,156.18,-216.67,-106.82,55.17,-32852.0,1068.42,66133.33,-15023.08,101.74,-583.42
CAPEX (niematerialne i rzeczowe),,,,,18.42,-78.71,421.21,-195.83,348.89,175.47,-73.26,347.83,-65.35,-81.51,-70.65,-70.18,14.29,-100.0,507.41,-100.0,13.75,,-79.27,,-59.34,-47.14,-85.29,-75.7,-2.7,894.59,2140.0,1215.38,47.22,-72.01
Przepływy pieniężne z działalności finansowej,,,,,-76.26,4144.53,-35400.0,16000.0,-304.92,-100.25,93.52,-107.23,120.0,36981.48,-882.61,-917.39,-968.0,-102.77,-28.32,16.67,7.83,65.22,35.52,2.56,4.5,-81.25,-7.49,-6.32,-60.21,-5.75,-41.29,46.04,40.52,-3.8
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,163.86,913.78,-11060.0,-777.98,-445.21,-122.86,21.15,112.45,-65.3,486.04,-399.55,-1496.2,63.94,-114.38,99.86,229.0,232.88,265.66,-12633.33,7.33,90.53,-94.2,376.7,-59.09,-563.26,584.75,55.06,-271.75,106.78,287.62
