,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,100.0,100.0,-100.0,,,,,-42.42,153.17,-509.59,1871.88,-770.18,-173.13,-13.21,41.44,-19.37,-938.78,72.23,-20.78,-2.85,1.96,-111.97,43.07,-83.16,208.82,93.1,-72.76,120.49,-69.24
Zysk z działalności gospodarczej,,,,,-224.53,9.46,-10.94,52.38,-199.88,-8.08,-196.35,-284.08,88.92,6.3,43.44,22.65,348.99,-2.44,74.53,52.25,120.72,7.66,-82.57,26.3,-2.53,-17.92,-39.57,17.97,-16.54,2.04,15.38,13.14,53.36,-8.44,13.93,-31.79,-7.28,36.23,-98.95,64.75,-28.74,-14.82,49.51,166.9,46.64,14.74,30.33,206.43,86.3,9.15,170.67,68.98,-40.24,13.62,-43.11,-40.55,19.62,6.3,-359.26,52.85,42.68,-2.1,282.55,218.03,75.12,17.18,-92.58,-26.5,-8.75,6.53,1034.23,46.3,-6.23,-8.41
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-224.53,9.46,-10.94,52.38,-199.88,-8.08,-196.35,-284.08,88.92,6.3,43.44,22.65,348.99,-2.44,74.53,52.25,120.72,7.66,-82.57,26.3,-2.53,-17.92,-39.57,17.97,-16.54,2.04,15.38,13.14,53.36,-8.44,13.93,-31.79,-7.28,36.23,-98.95,64.75,-28.74,-14.82,49.51,166.9,46.64,14.74,30.33,206.43,86.3,9.15,170.67,68.98,-40.24,13.62,-43.11,-40.55,19.62,6.3,-359.26,52.85,42.68,-2.1,282.55,218.03,75.12,17.18,-92.58,-26.5,-8.75,6.53,1034.23,46.3,-6.23,-8.41
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-362.15,18.36,-21.95,93.94,-88.32,-12.4,-213.93,-265.0,84.78,11.38,36.89,27.22,228.72,-3.59,75.93,48.61,128.69,4.01,-96.53,27.16,13.16,-16.26,-24.73,14.66,-20.02,14.3,34.24,24.0,65.76,-14.97,6.54,356.09,-10.83,29.67,-86.28,-140.26,-33.7,-12.67,36.97,123.52,61.73,12.8,15.66,281.58,82.92,-2.87,166.6,51.08,-44.37,23.47,-72.58,-42.54,25.14,8.14,-498.32,64.72,50.98,-1.9,296.85,225.79,72.5,18.69,-95.96,-26.89,-8.57,6.4,1927.51,58.91,3.01,-9.74
Zysk netto akcjonariuszy jednostki dominującej,,,,,-327.06,22.97,-62.52,-5.14,-109.36,-6.46,-137.53,-411.84,72.41,12.42,36.75,15.54,117.25,-5.66,60.25,44.17,910.13,3.72,-38.9,32.82,-14.13,-13.69,-8.74,27.92,-40.79,0.37,32.25,-0.15,108.63,-2.22,-4.69,322.89,-28.12,20.05,-88.4,-123.67,-85.09,-8.21,30.46,71.1,610.19,8.12,-10.56,416.2,124.17,-3.45,114.6,92.95,-55.36,24.08,-131.2,-33.11,42.71,5.9,-1022.77,75.81,47.2,-3.39,187.79,195.55,102.92,17.25,-123.19,-21.11,0.39,8.79,611.33,51.56,-11.58,-16.07
Aktywa trwałe,,,,,99.96,39.05,43.63,36.99,21.04,20.31,12.77,-11.68,-14.86,-10.55,-7.62,1.68,0.14,4.04,5.47,12.4,12.57,4.26,2.29,-1.91,4.4,3.66,1.7,1.49,-3.35,-6.74,-5.81,-3.72,-3.16,-0.12,0.32,3.64,4.56,-0.24,-1.38,-5.46,-6.24,-0.79,-0.72,0.67,0.85,0.51,0.35,-0.5,-0.33,-3.46,-3.86,-2.69,-3.46,0.53,2.4,1.41,28.78,25.68,27.05,31.51,4.91,7.48,4.72,0.17,0.35,2.41,6.17,9.21,9.91,7.42,5.82,5.03,16.04,15.14
Wartości niematerialne i prawne,,,,,68.31,3.14,22.44,67.5,64.8,86.6,50.38,12.97,13.52,0.62,3.24,-1.25,-0.62,-0.56,8.9,20.8,22.29,23.06,11.16,3.16,4.74,5.98,8.34,6.82,7.39,0.12,-2.3,-1.57,-5.0,-1.35,-1.43,-2.72,-2.36,-0.92,4.13,4.53,5.03,4.44,-0.16,0.16,-0.72,0.05,-1.07,-1.61,-0.82,-1.42,-0.45,-0.01,-0.06,0.59,0.71,0.45,38.08,36.67,36.83,44.0,5.15,7.31,7.47,-0.21,0.2,-0.27,-0.34,1.33,1.82,-0.06,-0.19,4.11,16.63,16.98
Rzeczowe składniki majątku trwałego,,,,,127.1,54.35,53.46,33.63,13.71,8.77,5.4,-21.06,-24.46,-17.4,-14.07,1.58,-1.41,12.66,8.09,13.76,18.24,-1.7,3.1,-16.96,-13.68,-14.16,-18.27,0.56,-5.47,-6.01,-3.68,-1.48,1.06,2.1,2.92,1.2,2.37,-0.55,-2.8,-3.2,-5.29,-1.97,-0.23,1.66,2.9,2.49,2.02,1.58,1.03,1.28,0.48,1.6,0.67,0.3,4.23,2.7,26.53,24.37,22.96,26.44,3.72,6.45,2.15,-0.87,-0.53,2.23,10.36,14.49,15.01,12.52,9.1,6.62,14.67,16.59
Należności długoterminowe,,,,,7.38,-10.51,95.62,75.7,70.6,87.81,-12.78,-3.07,-17.72,-1.09,3.47,3.67,25.55,-61.7,-65.66,-76.28,-77.53,-14.76,-15.52,185.69,190.57,130.51,138.36,-42.79,-47.71,-65.39,-71.5,-82.2,-82.46,-73.29,-66.85,-1.09,2.81,8.52,-21.23,-17.68,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,3.43,-5.07,0.88,-2.37,-1.46,-0.45,2.87,1.98,4.38,13.63,16.05,13.43,12.04,-39.1,-2.0,0.81,-37.39,-2.94,-44.6,146.46,321.21,372.97,349.2,-1.62,-10.42,-20.21,-11.78,-10.55,-9.89,-1.71,-5.14,-5.61,-3.12,-35.17,-37.29,-35.0,-34.01,-1.36,4.1,2.62,0.1,2.66,-3.23,-4.91,-4.12,-8.84,-3.6,-1.37,-3.09,1.94,-1.02,-5.3,-0.92,-4.78,2.73,2.02,0.31,5.59,-0.24,-0.93,0.28,-2.33,-1.06,1.37,3.13,0.22,-1.2,-6.51,-6.5,-8.83
Pozostałe aktywa trwałe,,,,,97.94,66.58,46.6,23.98,21.52,15.38,14.06,13.02,-3.32,18.74,16.23,5.36,3.94,-15.02,-23.1,-12.43,-21.35,1.98,0.78,-33.04,-9.85,-41.81,-4.03,-8.21,-23.74,1.06,-37.16,-30.54,-21.56,-17.11,2.55,347.58,305.23,267.69,216.72,-16.67,-14.56,-13.22,-15.31,-8.38,-9.98,-18.91,-3.32,-9.81,-6.83,-65.74,-86.84,-84.22,-84.5,0.78,-38.71,16.05,115.37,-1.89,342.16,183.05,81.88,68.03,71.61,48.48,28.85,69.75,27.14,19.51,24.26,10.12,26.77,4.01,80.2,8.91
Aktywa obrotowe,,,,,0.9,6.15,8.13,4.23,19.84,10.11,10.75,4.67,-2.21,-1.6,-6.51,-10.42,-4.32,-15.07,-18.94,-18.96,-12.59,-6.08,-8.34,-2.15,-6.52,10.62,6.93,18.4,17.21,0.45,1.41,-5.05,-7.61,-6.09,1.26,-3.3,-3.89,-3.37,-9.49,-5.81,-7.05,-4.05,4.46,7.28,6.37,-0.57,2.18,0.72,5.13,4.99,10.63,19.14,18.94,12.74,14.78,13.03,8.0,15.66,17.65,8.73,5.3,0.07,5.37,1.66,12.03,20.31,14.83,29.43,30.72,13.95,16.67,13.52,5.25,4.48
Zapasy,,,,,45.51,3.07,9.16,8.25,30.49,45.29,30.08,38.55,12.69,12.68,-7.8,-18.01,-13.86,-25.12,-20.88,-12.96,-12.35,-4.51,4.68,1.73,6.54,20.01,15.01,24.94,22.53,-0.76,3.08,-12.2,-12.2,10.53,2.92,4.11,-8.4,-17.36,-19.53,-12.64,-12.37,-2.29,0.61,6.11,8.25,-1.04,-2.82,-1.6,0.71,11.62,8.55,10.33,14.02,14.58,19.43,15.68,20.42,30.15,41.86,30.03,9.05,-0.29,-10.03,-10.87,5.92,19.62,32.49,52.5,51.63,30.46,22.8,20.06,6.82,2.86
Należności krótkoterminowe,,,,,-9.64,13.78,22.7,18.23,34.66,7.06,4.62,-25.63,-21.59,-14.22,-17.96,-1.72,-0.29,-1.49,4.46,-5.65,6.02,-3.83,-20.82,-0.88,-15.99,7.8,2.7,12.98,14.39,-0.96,-2.54,-3.97,-3.51,-12.76,-0.21,-4.86,3.13,4.09,2.62,0.63,-3.11,-7.15,13.81,9.97,6.99,3.88,-2.39,-1.14,5.8,0.72,5.73,14.22,8.38,8.78,10.84,7.89,3.5,8.7,3.14,0.2,2.55,-3.04,11.46,13.77,11.78,22.66,10.38,12.42,15.06,2.76,6.25,4.05,1.83,7.0
Inwestycje krótkoterminowe,,,,,-33.41,-32.79,-27.2,-33.69,-36.99,-33.86,-22.71,-48.47,-76.6,-42.94,-60.22,-44.41,87.15,6.85,-13.13,13.92,22.48,-50.23,-0.63,-47.32,-42.16,-26.03,-22.02,-2.13,-22.37,81.47,10.27,147.33,52.02,-11.08,19.13,-47.76,-18.74,13.93,2.16,5.5,17.08,68.74,-19.85,25.76,8.83,-57.13,135.51,46.25,47.71,48.74,51.79,119.59,137.91,79.81,13.21,22.91,-21.96,9.08,-22.28,-36.43,-3.23,44.09,87.96,26.5,52.45,3.29,-34.36,-4.98,-21.07,1.64,2.89,-8.57,6.9,-6.19
Środki pieniężne i inne aktywa pieniężne,,,,,-35.52,-32.57,-27.3,-30.43,-34.26,-32.99,-21.63,-48.53,-76.62,-54.57,-64.64,-44.35,87.22,-12.97,-2.31,13.93,-24.83,-36.01,-0.57,-47.29,-5.71,-11.28,-22.02,-2.13,-22.37,81.47,10.27,147.33,52.02,-11.08,19.13,-47.76,-18.74,13.93,2.16,5.5,17.08,68.74,-19.85,25.76,8.83,-57.13,135.51,46.25,47.71,48.74,51.79,119.59,137.91,79.81,13.21,22.91,-21.96,9.08,-22.28,-36.43,-3.23,44.09,87.96,26.5,52.45,3.29,-34.36,-4.98,-21.07,1.64,2.89,-8.57,6.9,-6.19
Pozostałe aktywa obrotowe,,,,,109.72,127.95,-1.15,-9.72,-25.72,-42.44,5.82,16.36,20.79,32.84,1.61,28.87,28.04,17.76,-7.66,-13.08,-2.4,-32.66,34.6,-3.05,7.99,33.03,-24.08,7.45,1.37,26.46,34.37,-30.27,-40.66,-34.4,-37.04,-16.99,7.31,-34.48,-13.45,36.28,7.7,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,-7.06
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,-100.0,,,,,,15.63,10.44,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,26.06,14.36,19.92,15.8,20.33,13.2,11.55,-2.16,-7.33,-4.48,-6.95,-5.86,-2.66,-9.3,-9.19,-6.19,-2.95,-2.5,-3.41,-2.04,-1.67,8.04,4.36,10.14,7.52,-2.11,-2.05,-4.45,-5.72,-4.07,0.82,-0.15,-0.21,-2.27,-5.78,-5.64,-6.68,-2.88,1.98,4.16,3.84,-0.17,1.33,0.17,2.7,1.87,3.94,9.25,9.26,8.46,9.48,8.35,15.94,18.92,21.41,17.33,5.14,2.62,5.1,1.03,7.09,13.87,11.22,20.94,22.47,11.83,12.35,10.3,9.1,7.8
Kapitał własny akcjonariuszy jednostki dominującej,,,,,8.94,9.89,9.1,9.57,7.5,4.39,-0.57,-9.12,-6.53,1.38,5.69,5.86,6.72,1.49,2.48,5.82,7.88,5.26,5.48,6.83,7.73,4.87,3.52,3.62,1.55,0.14,2.11,2.87,3.54,3.08,2.71,6.31,6.27,8.43,6.33,3.03,2.56,0.88,2.56,3.3,3.54,4.28,2.98,3.2,5.06,2.8,6.33,6.82,4.77,6.78,5.87,5.32,6.5,6.0,6.47,6.56,6.78,7.33,8.1,9.72,11.76,10.26,9.68,9.5,9.72,9.26,9.88,9.4,8.38,5.23
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,12.03,11.27,10.08,9.89,9.89,12.06,9.46,13.83,17.98,11.9,11.91,5.99,5.35,7.62,7.61,9.01,5.82,5.36,5.36,5.36,5.36,4.6,4.6,-63.21,-63.21,-64.83,-64.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,145.11,19.57,14.98,-14.87,-7.25,-14.45,-19.54,-20.87,-15.11,4.5,16.1,17.25,12.83,2.06,-0.88,4.41,-4.41,-3.92,-2.03,-2.11,6.25,2.63,-6.63,-6.06,-7.13,-5.19,4.64,3.07,1.29,-2.97,-6.53,-2.66,-0.88,9.85,9.17,1.21,6.28,2.23,5.62,13.33,8.15,9.04,9.23,8.44,7.39,3.41,8.67,13.29,13.59,18.63,14.16,10.6,10.12,9.29,12.4,10.65,15.53,14.05,15.2,17.58,28.28,15.61,12.66,11.0,9.52,19.67,13.69,13.47,15.76,4.57
Zobowiązania długoterminowe,,,,,16.17,30.68,54.2,106.55,191.48,59.77,22.82,-43.94,-54.9,-54.34,-34.87,57.62,89.96,88.72,3.77,-21.67,-68.43,-71.5,-61.78,-36.69,35.62,91.66,40.05,-5.82,38.17,-10.4,-18.32,-21.25,-51.95,-71.16,-47.94,-22.08,18.75,83.62,41.41,-32.78,-47.21,-37.3,-43.44,79.71,66.31,90.21,11.92,-72.59,-46.34,-57.09,12.38,183.59,94.52,67.89,-46.86,-78.91,18.67,4.78,173.86,707.56,29.11,55.56,53.38,-18.61,-32.94,-19.83,-5.11,-1.72,-2.61,-1.3,-7.38,23.59,70.3,64.95
Z tytułu dostaw i usług,,,,,33.98,4.14,22.94,29.37,45.31,18.17,16.97,-26.66,-34.2,-16.37,2.15,4.36,3.22,-19.05,-42.49,-16.3,-3.19,-1.31,11.57,11.36,15.33,22.68,15.66,29.56,-7.78,-9.8,-2.47,-18.83,4.54,-5.12,-5.03,-10.99,-3.78,3.42,1.63,14.82,-0.98,0.26,14.41,9.23,12.13,1.73,3.48,2.61,3.66,7.0,8.82,20.3,19.72,5.74,16.37,11.58,18.27,22.75,29.77,1.71,-3.52,-1.78,8.21,13.54,19.71,34.72,8.03,34.67,34.68,9.5,18.14,12.38,-6.91,0.69
Kredyty i pożyczki,,,,,36.58,29.72,15.91,-20.77,-33.05,-3.5,45.33,130.62,117.75,66.97,-15.6,-51.79,-49.55,-50.18,-12.66,-11.12,54.11,68.34,23.64,-10.55,-40.81,-18.8,-11.46,26.98,34.95,10.45,-3.31,3.22,-10.05,13.65,26.6,2.0,-19.47,-37.38,-57.35,-44.94,-31.46,-8.13,3.91,-37.7,-36.34,-43.19,-29.02,29.24,19.93,21.52,-53.42,-57.08,-39.78,-1.84,95.66,165.79,116.61,93.29,112.85,64.9,-6.21,-29.28,-68.56,-78.65,-53.58,-5.3,117.25,280.33,228.36,35.44,35.18,4.41,33.97,24.11
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67,200.05,43.09,30.13,26.34,1.02,9.61,20.84,25.33,0.39,6.34,-9.21,3.75,4.64
Inne zobowiązania długoterminowe,,,,,498.92,114.74,119.72,13.19,0.15,-7.4,-8.59,-11.15,-9.9,6.06,13.31,7.26,5.1,-7.44,-17.82,-4.61,-2.08,-1.43,5.68,-26.52,-22.36,-52.18,-26.09,-24.88,-30.11,-38.72,-51.22,-47.23,-41.98,-37.95,-18.35,-4.55,-8.79,109.05,25.82,33.14,45.0,9.63,11.65,10.41,6.2,-17.67,47.56,63.55,68.63,23.79,-32.48,-35.52,-45.8,-6.52,1.59,-10.71,13.74,9.05,14.0,18.46,0.75,7.3,-3.81,32.44,29.13,38.4,30.37,6.44,17.68,-10.31,23.13,-7.02,0.91,17.49
Zobowiązania krótkoterminowe,,,,,36.12,12.63,18.96,4.08,1.96,8.86,27.21,32.21,20.53,12.97,-5.45,-32.29,-31.16,-34.7,-29.54,-14.1,24.06,26.54,19.26,2.24,-17.63,1.28,0.58,28.73,10.13,-1.72,-4.91,-10.94,-3.28,3.55,11.46,-4.5,-11.25,-17.21,-31.82,-16.32,-14.55,-3.32,10.41,-6.22,-4.6,-13.9,-5.73,9.52,7.85,10.92,-4.41,2.12,7.34,4.67,26.77,29.27,34.63,39.03,45.86,18.11,-3.8,-8.24,-8.76,-12.85,3.5,22.49,17.33,50.88,53.17,14.3,19.85,9.23,2.46,6.34
Inne zobowiązania krótkoterminowe,,,,,,0.82,-15.2,-36.74,-8.92,-32.12,-70.28,-34.85,-57.86,57.1,203.75,15.07,23.78,-14.78,-22.9,-60.0,-46.94,45.87,100.4,651.06,304.94,16.89,5.23,45.1,-57.62,-18.02,-80.16,-87.3,-75.54,-5.07,180.03,77.35,252.94,5.3,-47.53,-67.86,-56.94,-12.85,-18.81,238.84,347.74,30.56,186.58,139.39,65.56,18.41,97.32,178.32,391.3,28.35,34.5,23.83,-55.11,-35.54,-73.42,-77.15,-36.78,15.26,254.45,334.45,67.67,26.77,-18.45,-23.68,-40.99,3.24,-1.79,-13.07,-38.3,-4.66
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,26.06,14.36,19.92,15.8,20.33,13.2,11.55,-2.16,-7.33,-4.48,-6.95,-5.86,-2.66,-9.3,-9.19,-6.19,-2.95,-2.5,-3.41,-2.04,-1.67,8.04,4.36,10.14,7.52,-2.11,-2.05,-4.45,-5.72,-4.07,0.82,-0.15,-0.21,-2.27,-5.78,-5.64,-6.68,-2.88,1.98,4.16,3.84,-0.17,1.33,0.17,2.7,1.87,3.94,9.25,9.26,8.46,9.48,8.35,15.94,18.92,21.41,17.33,5.14,2.62,5.1,1.03,7.09,13.87,11.22,20.94,22.47,11.83,12.35,10.3,9.1,7.8
Przepływy pieniężne z działalności operacyjnej,,,,,6.68,-119.27,50.92,2309.77,-56.58,-59.32,-6.42,-0.05,57.13,74.58,35.81,69.68,-72.02,-140.34,18.61,12.82,-15.04,41.87,-3.01,-62.87,89.46,-277.91,12.87,-73.86,-2258.82,79.03,9.08,322.51,81.4,-160.64,-23.39,-39.91,188.15,55.03,-0.25,-6.84,-139.95,21.1,-29.35,-0.77,325.08,2.3,27.56,-28.75,-112.48,35.8,7.7,29.48,-362.71,-290.15,10.25,6.72,-137.99,-36.4,-5.11,-136.55,373.93,100.1,33.13,593.49,-37.57,-73030.3,-48.34,-28.41,-126.02,108.51,45.65,40.95,-133.55,461.79
