,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Koszty finansowe,295.0,926.0,764.0,638.0,1348.0,791.0,3004.0,-52.0,-1123.0,1603.0,3684.0,-872.0,556.0,90.0,1386.0,4158.0,557.0,2957.0,2255.0,-224.0,241.0,726.0,2612.0,3031.0,3082.0,2489.0,23795.0,-1344.0,17647.0,640.0,2199.0,1102.0,1490.0,1323.0,11581.0,-6728.0,6357.0,2866.0,5972.0,4931.0,7653.0,-10409.0,2013.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,40.0,8.0,1.0,6.0,81.0,-815.0,-603.0,-978.0,0.0,0.0,0.0,-107.0,0.0,0.0,0.0,2438.0,570.0,-570.0,598.0,572.0,681.0
Zysk z działalności gospodarczej,4535.0,-90.0,3046.0,4596.0,4632.0,1338.0,993.0,6566.0,5499.0,2935.0,948.0,6066.0,3043.0,6854.0,1479.0,2804.0,5275.0,6987.0,1099.0,9752.0,6684.0,11662.0,-4839.0,6634.0,6606.0,6561.0,-25123.0,-1968.0,-4600.0,-13778.0,-1078.0,12691.0,16312.0,13890.0,-11553.0,13782.0,-4825.0,20763.0,-8372.0,-36921.0,-8110.0,59678.0,-4002.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,4535.0,-90.0,3046.0,4596.0,4632.0,1338.0,993.0,6566.0,5499.0,2935.0,948.0,6066.0,3043.0,6854.0,1479.0,2804.0,5275.0,6987.0,1099.0,9752.0,6684.0,11662.0,-4839.0,6634.0,6606.0,6561.0,-25123.0,-1968.0,-4600.0,-13778.0,-1078.0,12691.0,16312.0,13890.0,-11553.0,13782.0,-4825.0,20763.0,-8372.0,-36921.0,-8110.0,59678.0,-4002.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3561.0,-1108.0,0.0,0.0,0.0,0.0,-7467.0,0.0
Zysk netto,3628.0,156.0,2302.0,3767.0,3807.0,1510.0,728.0,5578.0,4507.0,2479.0,872.0,4945.0,2581.0,5629.0,1184.0,2274.0,4259.0,5714.0,782.0,7989.0,5362.0,9265.0,-4850.0,5210.0,6008.0,5141.0,-22689.0,-3116.0,-4422.0,-11529.0,-3534.0,10734.0,13031.0,12703.0,-11126.0,7679.0,-3852.0,18533.0,-8063.0,-32353.0,-7776.0,44817.0,-4006.0
Zysk netto akcjonariuszy jednostki dominującej,3628.0,156.0,2302.0,3767.0,3807.0,1510.0,728.0,5578.0,4507.0,2479.0,872.0,4945.0,2581.0,5629.0,1184.0,2274.0,4259.0,5714.0,782.0,7989.0,5362.0,9265.0,-3748.0,5437.0,5499.0,5463.0,-17362.0,-4151.0,-3271.0,-11966.0,-3056.0,10610.0,12241.0,11946.0,-8596.0,6365.0,-5116.0,19510.0,-6686.0,-25069.0,-6994.0,35374.0,-4006.0
Aktywa trwałe,27677.0,28025.0,27361.0,26658.0,26170.0,26718.0,26094.0,25847.0,28079.0,30676.0,31704.0,37244.0,39750.0,40148.0,41027.0,41686.0,42043.0,42538.0,43985.0,46070.0,49797.0,79835.0,147637.0,158694.0,164341.0,172875.0,165418.0,148948.0,135890.0,120241.0,116196.0,111803.0,109653.0,109395.0,102622.0,97888.0,98032.0,108265.0,106229.0,70709.0,70305.0,69076.0,67950.0
Wartości niematerialne i prawne,1268.0,1408.0,1248.0,1333.0,1316.0,1276.0,1576.0,1821.0,3291.0,3656.0,3719.0,3277.0,3267.0,2143.0,2187.0,2122.0,1945.0,1622.0,1581.0,1592.0,1724.0,1889.0,24869.0,24818.0,24871.0,34109.0,35270.0,34717.0,32656.0,31123.0,30970.0,30773.0,30432.0,30375.0,30356.0,30348.0,30155.0,31783.0,31396.0,7421.0,7185.0,6979.0,6697.0
Rzeczowe składniki majątku trwałego,23429.0,21378.0,22485.0,21927.0,21641.0,21203.0,20484.0,20161.0,21106.0,23401.0,23944.0,30506.0,32917.0,34144.0,34721.0,34745.0,34553.0,34861.0,34787.0,37709.0,41665.0,48732.0,111502.0,118978.0,123188.0,124116.0,114440.0,101898.0,92689.0,75389.0,73624.0,68947.0,68699.0,69325.0,62387.0,59422.0,55976.0,59476.0,56841.0,40786.0,40095.0,46219.0,44817.0
Należności długoterminowe,1886.0,2171.0,1987.0,1903.0,1848.0,2110.0,2072.0,1985.0,1814.0,1637.0,1882.0,1589.0,1666.0,1947.0,1958.0,2095.0,3034.0,3277.0,5130.0,1758.0,1220.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,975.0,905.0,830.0,927.0,947.0,1045.0,1071.0,932.0,793.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,172.0,0.0,0.0,2000.0,2000.0,25923.0,4008.0,8000.0,8004.0,8022.0,8001.0,3752.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8016.0,8585.0,8449.0,8615.0,9186.0,9867.0
Pozostałe aktywa trwałe,1094.0,3068.0,1641.0,1495.0,1365.0,2129.0,1962.0,1825.0,1868.0,1982.0,2159.0,1872.0,1900.0,1914.0,2161.0,2651.0,2339.0,2778.0,2487.0,3011.0,3188.0,2306.0,7258.0,6898.0,8278.0,6628.0,7707.0,8581.0,10527.0,13729.0,11602.0,12083.0,10522.0,8778.0,8904.0,7213.0,11071.0,8063.0,8460.0,13008.0,13339.0,5760.0,5776.0
Aktywa obrotowe,61994.0,50805.0,66116.0,57607.0,85981.0,84282.0,91680.0,92766.0,102174.0,91866.0,101901.0,102303.0,95293.0,93523.0,95290.0,104518.0,109160.0,113200.0,105858.0,114088.0,114296.0,107748.0,197356.0,204466.0,201267.0,184514.0,179064.0,162523.0,150546.0,139499.0,144311.0,147052.0,164355.0,159331.0,172618.0,197544.0,215408.0,206494.0,192305.0,182614.0,184206.0,143396.0,130450.0
Zapasy,36512.0,28050.0,35966.0,34913.0,45375.0,53113.0,62710.0,61051.0,69545.0,65434.0,68337.0,66426.0,60054.0,62562.0,63633.0,64732.0,72929.0,68762.0,70619.0,76764.0,72728.0,77703.0,150489.0,160321.0,151437.0,142138.0,141744.0,130807.0,117988.0,109849.0,111793.0,119250.0,121356.0,121420.0,143328.0,164968.0,183485.0,178074.0,161608.0,154426.0,152365.0,120090.0,106878.0
Należności krótkoterminowe,19646.0,19058.0,23601.0,18812.0,25522.0,20175.0,23164.0,20634.0,23036.0,19660.0,22380.0,24751.0,22753.0,19388.0,23882.0,23698.0,25816.0,22781.0,17611.0,23518.0,20479.0,16917.0,33910.0,30744.0,30256.0,31461.0,24884.0,19061.0,19057.0,14508.0,18132.0,18345.0,22623.0,17251.0,22738.0,16905.0,25638.0,21521.0,27324.0,22024.0,26011.0,18495.0,20001.0
Inwestycje krótkoterminowe,5405.0,3243.0,6183.0,3238.0,14274.0,10448.0,5403.0,10394.0,9031.0,5832.0,10497.0,10167.0,11851.0,10376.0,6809.0,15019.0,9509.0,20284.0,14826.0,12453.0,20036.0,11695.0,11972.0,11885.0,18391.0,9471.0,11221.0,11586.0,12555.0,14165.0,13662.0,8316.0,19531.0,19483.0,5570.0,4010.0,5154.0,5321.0,2016.0,4972.0,4535.0,3519.0,2629.0
Środki pieniężne i inne aktywa pieniężne,5405.0,3234.0,6181.0,3193.0,14031.0,10403.0,5316.0,9909.0,8547.0,5788.0,10497.0,9788.0,11797.0,9277.0,5794.0,14893.0,7622.0,19396.0,13921.0,11085.0,16628.0,8163.0,10716.0,11312.0,17890.0,9338.0,7554.0,10732.0,12215.0,14162.0,13662.0,8123.0,19196.0,19142.0,4870.0,3865.0,5154.0,5321.0,1967.0,4805.0,4535.0,3519.0,2598.0
Pozostałe aktywa obrotowe,431.0,454.0,366.0,644.0,810.0,546.0,403.0,687.0,562.0,940.0,687.0,959.0,635.0,1197.0,966.0,1069.0,906.0,1373.0,2802.0,1353.0,1053.0,1433.0,985.0,1516.0,1183.0,1444.0,1215.0,1069.0,946.0,977.0,724.0,1141.0,845.0,1177.0,982.0,1048.0,1131.0,1578.0,1357.0,1192.0,1295.0,1292.0,942.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,89671.0,78830.0,93477.0,84265.0,112151.0,111000.0,117774.0,118613.0,130253.0,122542.0,133605.0,139547.0,135043.0,133671.0,136317.0,146204.0,151203.0,155738.0,149843.0,160158.0,164093.0,187583.0,344993.0,363160.0,365608.0,357389.0,344482.0,311471.0,286436.0,259740.0,260507.0,258855.0,274008.0,268726.0,275240.0,295432.0,313440.0,314759.0,298534.0,253323.0,254511.0,212472.0,198400.0
Kapitał własny akcjonariuszy jednostki dominującej,28932.0,28980.0,31288.0,35046.0,38855.0,54466.0,55148.0,56252.0,60777.0,63284.0,64160.0,64240.0,66762.0,73008.0,74038.0,69120.0,73458.0,79084.0,78278.0,80303.0,85599.0,94891.0,91222.0,93119.0,98953.0,102542.0,86341.0,81606.0,79852.0,60901.0,56703.0,67576.0,79241.0,79085.0,73421.0,74369.0,69376.0,86930.0,80541.0,56487.0,49802.0,83082.0,78968.0
Kapitał (fundusz) podstawowy,2527.0,2527.0,2527.0,2527.0,2527.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0
Udziały (akcje) własne,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.0,-505.0,-525.0,-525.0,-525.0,-534.0,-643.0,-745.0,-824.0,-839.0,-839.0,-839.0,-839.0,-839.0,-839.0,-839.0,-839.0,-839.0,-839.0,-839.0
Kapitał (fundusz) zapasowy,27924.0,27722.0,27946.0,31677.0,31677.0,45260.0,47293.0,50960.0,50960.0,50960.0,50960.0,55572.0,55572.0,55554.0,55554.0,60518.0,60518.0,60518.0,60517.0,65380.0,65380.0,62380.0,67812.0,69312.0,69312.0,69312.0,74331.0,89343.0,89343.0,83022.0,83420.0,83591.0,83591.0,71566.0,71586.0,88061.0,88061.0,88061.0,88061.0,89231.0,89231.0,89231.0,102814.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,0.0,0.0,5880.0,552.0,553.0,-598.0,-616.0,-1094.0,-1187.0,-611.0,100.0,-1495.0,-366.0,824.0,-123.0,-1500.0,-8785.0,-9566.0,0.0,0.0
Zobowiązania długoterminowe,24379.0,14563.0,14485.0,14236.0,14149.0,14382.0,15529.0,15804.0,15558.0,15748.0,15347.0,16835.0,16456.0,16800.0,20231.0,19179.0,18072.0,16929.0,16263.0,16016.0,15365.0,26964.0,68092.0,73958.0,77033.0,94419.0,96653.0,88104.0,74789.0,59026.0,56122.0,50539.0,47284.0,41936.0,37664.0,30384.0,26450.0,23349.0,24443.0,21824.0,21770.0,7610.0,7083.0
Z tytułu dostaw i usług,20201.0,18133.0,21925.0,16866.0,26244.0,20649.0,19582.0,17592.0,21952.0,21402.0,19530.0,30827.0,19661.0,23036.0,19503.0,22299.0,26464.0,27425.0,20187.0,27062.0,19303.0,32358.0,85574.0,88983.0,75914.0,78734.0,61281.0,64740.0,68044.0,63996.0,72309.0,78267.0,89662.0,82330.0,106038.0,112162.0,113364.0,88259.0,79367.0,68756.0,80566.0,42286.0,42133.0
Kredyty i pożyczki,11748.0,12.0,11145.0,3093.0,17563.0,14582.0,22750.0,23729.0,25870.0,15258.0,26957.0,20212.0,25405.0,13965.0,15277.0,25437.0,23367.0,20818.0,27041.0,29635.0,36036.0,23413.0,72029.0,78146.0,84142.0,47003.0,70599.0,48778.0,34144.0,44970.0,45179.0,33533.0,28860.0,36043.0,31113.0,55267.0,81865.0,94681.0,93830.0,94336.0,92818.0,66834.0,57510.0
Z tytułu emisji dłużnych papierów wartościowych,160.0,9663.0,9741.0,9741.0,9781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,1262.0,1924.0,1313.0,1288.0,1309.0,1316.0,1426.0,1513.0,1858.0,1960.0,1986.0,2541.0,2682.0,1556.0,1647.0,1637.0,1573.0,1477.0,1319.0,1526.0,1408.0,2209.0,18931.0,20704.0,21648.0,20360.0,21664.0,19676.0,20699.0,21240.0,21311.0,19250.0,18598.0,17596.0,16893.0,14522.0,13497.0,12895.0,13517.0,12261.0,11472.0,5936.0,5663.0
Inne zobowiązania długoterminowe,570.0,235.0,241.0,231.0,228.0,241.0,239.0,236.0,234.0,402.0,292.0,318.0,361.0,538.0,531.0,550.0,547.0,610.0,595.0,584.0,570.0,567.0,556.0,858.0,897.0,4975.0,4947.0,4896.0,4257.0,4317.0,4319.0,4316.0,4169.0,4217.0,4173.0,4152.0,4143.0,4052.0,4047.0,4007.0,3934.0,733.0,736.0
Zobowiązania krótkoterminowe,36360.0,35287.0,47704.0,34983.0,59147.0,42152.0,47097.0,46557.0,53918.0,43510.0,54098.0,58472.0,51825.0,43863.0,42048.0,57905.0,59673.0,59725.0,55302.0,63839.0,63129.0,65728.0,185125.0,196083.0,189622.0,154548.0,160936.0,141208.0,132393.0,140429.0,148776.0,141927.0,148094.0,147605.0,165650.0,191045.0,216790.0,204603.0,195050.0,183797.0,192505.0,121780.0,112349.0
Inne zobowiązania krótkoterminowe,2989.0,5555.0,3580.0,3995.0,4250.0,5605.0,3339.0,3723.0,4238.0,4890.0,5625.0,4892.0,4077.0,5306.0,5621.0,8532.0,8269.0,10005.0,6755.0,5616.0,6382.0,7748.0,8591.0,8250.0,7918.0,8451.0,7392.0,8014.0,9506.0,10223.0,9977.0,10877.0,10974.0,11636.0,11606.0,9094.0,8064.0,8768.0,8336.0,8444.0,7649.0,6724.0,7043.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,89671.0,78830.0,93477.0,84265.0,112151.0,111000.0,117774.0,118613.0,130253.0,122542.0,133605.0,139547.0,135043.0,133671.0,136317.0,146204.0,151203.0,155738.0,149843.0,160158.0,164093.0,187583.0,344993.0,363160.0,365608.0,357389.0,344482.0,311471.0,286436.0,259740.0,260507.0,258855.0,274008.0,268726.0,275240.0,295432.0,313440.0,314759.0,298534.0,253323.0,254511.0,212472.0,198400.0
Przepływy pieniężne z działalności operacyjnej,5136.0,10559.0,-7448.0,6041.0,-2233.0,-4186.0,-11592.0,8030.0,-2121.0,12988.0,-6474.0,12847.0,4583.0,13423.0,-7490.0,8663.0,-921.0,16614.0,-9430.0,4773.0,8696.0,24775.0,-17062.0,9021.0,13544.0,28112.0,-12622.0,29905.0,31647.0,22113.0,7914.0,12244.0,24562.0,16280.0,-3657.0,-18175.0,-12511.0,-21471.0,494.0,6490.0,12035.0,1734.0,13672.0
Amortyzacja,330.0,1202.0,617.0,656.0,591.0,597.0,607.0,601.0,657.0,735.0,736.0,788.0,864.0,985.0,1018.0,1050.0,972.0,1076.0,1147.0,1179.0,1164.0,1253.0,6398.0,7615.0,7903.0,8024.0,8023.0,7705.0,6538.0,6626.0,6247.0,5252.0,4212.0,4307.0,5437.0,4480.0,4299.0,2090.0,4374.0,4765.0,2654.0,-1308.0,3234.0
Przepływy pieniężne z działalności inwestycyjnej,-212.0,-51.0,-91.0,-217.0,-223.0,103.0,-94.0,159.0,-605.0,-3854.0,-473.0,-5894.0,-2311.0,-1345.0,-972.0,-1146.0,-3469.0,-84.0,-2600.0,-2367.0,-8360.0,-27408.0,-2844.0,4926.0,-1282.0,-3244.0,-2618.0,-1365.0,-2461.0,1553.0,-74.0,-507.0,-1616.0,-553.0,-1732.0,-1486.0,-573.0,-330.0,231.0,846.0,-914.0,-1268.0,-1158.0
CAPEX (niematerialne i rzeczowe),227.0,60.0,177.0,221.0,268.0,-83.0,160.0,325.0,631.0,4437.0,500.0,5992.0,2475.0,1334.0,1000.0,1073.0,899.0,980.0,626.0,3172.0,6470.0,3544.0,4958.0,-135.0,1442.0,3691.0,896.0,3410.0,2731.0,-1264.0,74.0,606.0,1354.0,910.0,1511.0,1779.0,722.0,1036.0,358.0,303.0,968.0,1271.0,1177.0
Przepływy pieniężne z działalności finansowej,-3186.0,-12670.0,10479.0,-8815.0,13296.0,453.0,6598.0,-3710.0,1400.0,-11812.0,11838.0,-7852.0,-268.0,-14722.0,5141.0,1830.0,-3136.0,-3759.0,5784.0,-5577.0,5291.0,-5827.0,14642.0,-5248.0,-6005.0,-33370.0,11693.0,-25388.0,-27769.0,-21740.0,-8227.0,-17281.0,-11891.0,-15699.0,-8883.0,18674.0,14417.0,21842.0,-4080.0,-4497.0,-11407.0,515.0,-13438.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4522.0,0.0,0.0,0.0,4743.0,0.0,0.0,0.0,7265.0,0.0,0.0,6055.0,0.0,0.0,0.0,4739.0,452.0,24.0,0.0,0.0,0.0,6586.0,0.0,0.0,0.0,12025.0,0.0,0.0,4509.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,1738.0,-2162.0,2940.0,-2991.0,10840.0,-3630.0,-5088.0,4479.0,-1326.0,-2678.0,4891.0,-899.0,2004.0,-2644.0,-3321.0,9347.0,-7526.0,12771.0,-6246.0,-3171.0,5627.0,-8460.0,-5264.0,8699.0,6257.0,-8502.0,-3547.0,3152.0,1417.0,1926.0,-387.0,-5544.0,11055.0,28.0,-14272.0,-987.0,1333.0,41.0,-3355.0,2839.0,-286.0,981.0,-924.0
