,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Koszty finansowe,,,,,15.52,9.26,-15.27,50.0,5.97,106.78,1.8,356.06,-2.82,-12.3,-43.36,-75.42,-11.59,0.0,79.69,27.03,8.2,3.74,-3.48,73.4,9.09,-10.81,-27.93,-59.51,-6.94,-39.39,2.5,-37.88,113.43,-33.33,18.29,39.02,-78.32,20.0,-63.92,-47.37,-3.23,-31.25,62.86,-30.0,23.33,-15.15,-54.39,23.81,-13.51,92.86,23.08,3.85,6.25,-44.44,3.12,-40.74,-50.0,-73.33,-51.52,-168.75,-88.24,87.5,37.5,0.0,250.0,73.33,100.0,563.64,57.14,7.69,-86.36,-100.0
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,111.22,55.58,1340.0,-303.89,-612.68,-74.59,-124.07,-128.42,-36.54,284.12,434.23,59.79,8.85,-14.85,44.88,63.21,38.63,-28.42,-54.41,-160.51,11.87,-14.57,81.36,78.94,-223.67,-2.35,-1.25,-75.7,53.34,71.39,-19.46,-45.74,-42.43,-105.62,18.0,-7.66,25.43,1996.88,-22.42,-37.29,66.41,9.72,76.12,24.2,-196.97,-10.36,-41.5,121.5,50.26,-6.87,-19.85,-166.67,-76.92,95.86,125.24,-38.64,42.32,47.38,-38.79,-1260.66,144.72,-7.79,54.58,39.16,-65.17,-45.95,-15.44,-27.33
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,111.22,55.58,1340.0,-303.89,-612.68,-74.59,-124.07,-128.42,-36.54,284.12,426.15,59.79,8.85,-14.85,48.47,63.21,38.63,-28.42,-54.41,-160.51,11.87,-14.57,81.36,78.94,-223.67,-2.35,-1.25,-75.7,53.34,71.39,-19.46,-45.74,-42.43,-105.62,18.0,-7.66,25.43,1996.88,-22.42,-37.29,66.41,9.72,76.12,24.2,-196.97,-10.36,-41.5,121.5,50.26,-6.87,-19.85,-166.67,-76.92,95.86,125.24,-38.64,42.32,47.38,-38.79,-1260.66,144.72,-7.79,54.58,39.16,-65.17,-45.95,-15.44,-27.33
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,111.4,26.2,962.5,-241.39,-582.67,-72.56,-132.24,-207.73,-38.95,313.82,333.58,72.45,9.94,-6.36,70.62,56.35,38.63,-35.48,-57.33,-199.37,11.87,-16.05,78.11,93.66,-223.67,1.88,8.55,-416.67,53.34,74.46,-14.87,-87.1,-42.43,-100.88,15.78,8.62,25.43,11340.0,-29.17,-32.08,66.41,-8.72,71.7,26.0,-196.97,0.58,-40.56,116.99,50.26,-18.99,-19.78,-213.64,-76.92,119.38,120.78,8.0,42.32,55.07,-40.11,-1304.35,135.18,-21.24,57.42,45.82,-72.86,-42.77,-15.86,-44.57
Zysk netto akcjonariuszy jednostki dominującej,,,,,111.4,26.2,962.5,-241.39,-582.67,-72.56,-132.24,-207.73,-38.95,313.82,333.58,72.45,9.94,-6.36,70.62,56.35,38.63,-35.48,-57.33,-199.37,11.87,-16.05,78.11,93.66,-223.67,1.88,8.55,-416.67,53.34,74.46,-14.87,-87.1,-42.43,-100.88,15.78,8.62,25.43,11340.0,-29.17,-32.08,66.41,-8.72,71.7,26.0,-196.97,0.58,-40.56,116.99,50.26,-18.99,-19.78,-213.64,-76.92,119.38,120.78,8.0,42.32,55.07,-40.11,-1304.35,135.18,-21.24,57.42,45.82,-72.86,-42.77,-15.86,-44.57
Aktywa trwałe,,,,,-6.17,1.24,34.41,36.74,35.7,27.54,-1.38,-1.05,1.43,-2.58,-4.34,-5.62,-8.01,-7.7,-7.88,-7.08,7.1,6.21,7.85,8.31,-6.09,-6.49,-8.26,-10.31,-11.89,-8.45,-7.06,4.44,6.01,6.48,5.56,-1.48,17.09,13.39,14.05,10.37,-8.08,-5.16,-4.78,-2.98,-1.12,-4.37,5.51,5.85,8.89,10.0,3.69,6.85,3.64,3.8,0.14,-3.82,0.04,2.82,3.29,3.27,1.2,1.32,3.93,9.63,26.65,35.17,37.3,32.58,16.23,6.25,3.57,1.88
Wartości niematerialne i prawne,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.5,-100.0,-100.0,-100.0,-100.0,,,,,-100.0,-100.0,,,,,,,,,,,,,,
Rzeczowe składniki majątku trwałego,,,,,,,36.55,39.48,38.35,30.29,-0.99,-0.34,2.42,-1.72,-3.69,-3.99,-6.4,-7.24,-7.49,-7.62,6.55,6.95,8.63,9.08,-5.7,-6.54,-8.34,-10.35,-11.95,-8.37,-6.96,4.5,6.07,6.47,5.54,-1.93,16.94,13.11,13.78,10.61,-8.17,-5.18,-4.8,-3.84,-1.93,-4.71,5.39,5.11,8.18,9.1,2.68,6.26,2.91,2.54,-1.13,-4.5,-0.45,1.83,2.24,1.95,-0.16,0.98,3.72,9.28,27.31,35.48,37.72,33.24,15.91,5.81,3.0,-3.37
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,-3.74,-6.9,-7.28,-19.25,-11.67,-18.52,-22.51,-26.16,-23.27,-54.55,-59.46,-24.41,-22.13,27.14,48.33,-27.08,-26.32,-26.97,-26.97,-2.86,-2.86,-7.69,-7.69,-13.24,-13.24,0.0,1.67,6.78,6.78,30.0,27.87,31.75,31.75,-2.56,-2.56,-3.61,-3.61,38.16,38.16,8.75,8.75,43.81,44.76,60.92,60.92,25.83,25.0,43.57,43.57,13.68,13.68,27.86,27.86,31.94,31.94,7.78,7.78,15.44,15.44,29.6,29.6,22.19,22.19,14.48,14.48,17.91
Aktywa obrotowe,,,,,39.65,-4.82,-11.01,7.43,-2.43,-13.54,-5.75,0.32,-20.53,1.5,12.88,-3.79,-3.12,5.5,10.13,11.17,38.88,17.18,14.4,9.32,2.74,-12.3,-18.59,-5.71,-24.26,-0.33,-2.28,-8.38,17.55,10.63,-1.85,2.53,-5.47,-21.13,-9.44,1.91,3.28,19.8,5.5,13.76,18.58,14.77,22.42,17.81,-1.47,1.06,4.17,4.4,14.67,-1.69,-9.95,-10.12,-14.83,-2.89,11.45,13.01,36.77,14.22,10.18,13.12,11.02,7.1,6.31,-3.86,-11.39,-3.75,6.78,7.66
Zapasy,,,,,-20.1,35.0,35.27,32.54,43.24,1.85,16.14,4.77,-3.97,-1.87,-9.94,-12.49,-11.05,-17.67,-38.07,-1.12,15.83,38.03,99.57,11.59,18.36,-3.83,-5.3,12.49,-2.3,-5.49,-13.12,-20.86,-17.47,11.05,-15.28,8.61,-8.21,-13.69,5.46,0.11,0.99,5.59,8.36,6.5,35.38,5.2,8.5,15.57,13.82,29.26,15.38,16.43,-7.82,-8.28,-2.74,-12.32,-7.17,-18.33,7.5,2.15,19.05,-29.72,21.53,13.38,-0.37,140.06,28.73,30.26,46.17,5.36,-6.47,-2.44
Należności krótkoterminowe,,,,,121.79,100.42,-35.53,-19.75,-23.01,-24.02,-8.68,-8.76,-36.75,5.98,35.62,18.79,9.81,25.72,38.53,32.41,67.8,5.77,-7.01,5.23,-10.82,-18.91,-31.29,-37.22,-52.4,0.78,6.8,26.07,102.56,11.42,0.66,-4.44,-6.09,-29.81,-15.1,-0.2,7.2,37.6,11.04,34.19,5.05,23.69,32.9,7.65,-19.39,-17.17,-2.42,-7.84,50.62,1.85,-14.07,-11.76,-25.55,-28.0,-37.29,-35.56,-14.23,8.75,17.87,71.93,61.48,9.11,5.66,-28.69,-41.89,-7.39,17.79,13.36
Inwestycje krótkoterminowe,,,,,,,764.0,7.07,-76.15,-3.89,-75.09,13.68,-60.23,-40.46,-57.25,-59.34,-42.86,-35.92,-65.22,-75.51,100.0,22.73,20.0,308.33,-57.5,7.41,1104.17,450.0,923.53,247.13,-14.01,-47.87,20.69,-7.95,85.31,-12.46,-28.1,14.03,-32.14,71.14,-33.77,-33.75,-72.8,-78.62,-52.0,-52.38,-43.53,731.11,68.75,36.0,69.79,-21.93,25.93,149.26,-13.5,34.93,148.04,841.3,2881.56,358.76,1466.8,4.23,-13.68,-30.51,-21.67,-51.29,-35.46,-65.09,-76.59,-41.73,27.28,105.25
Środki pieniężne i inne aktywa pieniężne,,,,,,,764.0,7.07,-76.15,-3.89,-75.09,13.68,-60.23,-40.46,-57.25,-59.34,-42.86,-35.92,-65.22,-75.51,100.0,22.73,20.0,308.33,-57.5,7.41,1104.17,450.0,923.53,247.13,-14.01,-47.87,20.69,-7.95,85.31,-12.46,-28.1,14.03,-32.14,71.14,-33.77,-33.75,-72.8,-78.62,-52.0,-52.38,-43.53,731.11,68.75,36.0,69.79,-21.93,25.93,149.26,-13.5,34.93,148.04,841.3,2881.56,358.76,1466.8,4.23,-13.68,-30.51,-21.67,-51.29,-35.46,-65.09,-76.59,-41.73,27.28,105.25
Pozostałe aktywa obrotowe,,,,,,,-5.88,11.11,-9.0,-23.6,-16.67,60.0,-10.99,-13.24,0.0,6.25,-16.05,-8.47,0.0,-5.88,8.82,9.26,-30.0,-12.5,47.3,37.29,64.29,42.86,-22.02,-1.23,-2.17,-65.0,-80.0,-11.25,-17.78,-42.86,1241.18,130.99,151.35,50.0,-9.65,-1.22,22.58,1050.0,22.82,24.07,5.26,-28.99,-1.19,-2.99,23.33,40.82,10.4,4.62,-18.92,-31.88,1.09,8.33,49.17,68.09,1.79,1366.52,-12.29,0.0,10.21,-92.53,-11.46,-18.99,0.96,2.48,35.25,0.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,24.44,-3.5,-1.24,16.24,7.12,-4.13,-4.47,-0.17,-13.56,0.26,7.68,-4.43,-4.94,1.59,5.29,4.86,27.44,14.23,12.86,9.01,0.07,-10.84,-16.27,-7.11,-20.75,-2.46,-3.45,-4.61,13.91,9.61,-0.1,1.24,1.16,-12.87,-3.56,4.56,-0.59,12.03,2.45,8.22,12.38,9.72,17.77,14.26,1.4,3.12,4.05,5.07,11.39,-0.35,-7.47,-8.36,-10.72,-1.43,9.28,10.16,25.75,10.79,8.61,12.16,14.92,13.94,13.75,5.93,-3.8,-0.86,5.85,5.72
Kapitał własny akcjonariuszy jednostki dominującej,,,,,17.13,17.83,15.33,17.4,10.05,3.2,-12.1,-25.3,-27.92,-21.2,-6.37,7.61,8.19,7.62,11.95,18.73,23.67,17.7,5.91,1.4,1.97,0.99,5.85,12.71,4.92,4.78,5.18,3.59,10.07,12.95,9.9,8.39,6.75,-0.68,0.73,1.05,2.75,9.71,5.88,5.09,8.44,7.37,11.58,13.01,10.34,9.82,4.72,7.76,10.02,8.59,7.0,6.11,4.86,9.04,13.83,13.93,15.6,18.49,13.61,9.25,11.39,8.26,10.42,12.86,12.46,6.24,4.86,4.03
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85,-1.85,-1.85,-1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,0.0,3.02,3.02,3.02,3.02,7.67,7.67,7.67,7.67,-29.75,-29.75,-29.75,-29.75,9.6,9.6,9.6,9.6,23.19,23.19,23.19,23.19,1.67,1.67,1.67,1.67,15.12,15.12,15.12,15.12,4.18,4.18,4.18,4.18,9.71,9.72,9.72,9.72,1.21,1.2,1.2,1.2,5.83,5.83,5.83,5.83,14.76,14.76,14.76,14.76,8.66,8.66,8.66,8.66,6.77,6.77,6.77,6.77,15.34,15.34,15.34,15.34,10.06,10.06,10.06,10.06,11.13,11.13,11.13
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-17.65,148.31,123.73,2908.24,5090.0,1271.33,1383.71,44.0,12.0,-96.71,-97.09,-97.5,-98.11,-61.36,-30.7,3076.09,5236.36,8854.9,5500.0,27.96,20.64,2.43,-91.37,-90.83,-93.85,-92.37,890.58,748.98,1088.85,1013.73,-29.78,-11.85,2.68,-12.68,-77.64,-78.07,-86.49,13.54,394.61,464.3,647.12,-3.45,0.41,-20.21,-14.53,-81.9,-72.51,-69.74,-78.27,225.69,147.23,-18.9,3.44,-74.64,-73.52,-19.13,-21.19,10.19,9.23,30.62,-7.73,-29.51,-33.28,-44.29,-53.9,-33.48,-2.33,-8.2
Z tytułu dostaw i usług,,,,,,,,,,,,19.79,,,,-15.97,,,,5.88,,,,5.56,,,,-70.27,,,,19.79,,,,9.13,,,,2.79,,,,0.78,,,,120.62,,,,-14.26,,,,4.72,,,,-57.71,,,,145.91,,,,-36.11,,,,21.22
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,-74.71,,,,-50.0,,,,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,-5.49,,,,-18.71,,,,-41.27,,,,78.38,,,,3.03,,,,35.29,,,,8.15,,,,-29.15,,,,6.38,,,,21.33,,,,-1.65,,,,-14.53,,,,5.88,,,,43.21,,,,-34.05,,,,-6.54
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.31,,,,-9.56,,,,-9.49,,,,-100.0,,,,,,,,,,,,-16.59
Zobowiązania krótkoterminowe,,,,,32.82,-18.17,-13.74,-30.32,-42.17,-49.08,-40.15,18.04,-15.59,120.37,110.64,72.87,92.53,0.51,2.95,-49.0,-28.65,-33.99,-23.41,6.26,-22.32,-33.28,2.82,40.61,28.08,81.8,-52.84,-69.21,-43.4,-33.48,16.48,8.42,-16.52,-34.24,29.18,148.19,132.08,18.39,-41.27,-44.72,-42.17,23.59,45.73,44.83,-24.14,48.54,41.74,53.67,149.62,-36.34,-51.29,-42.85,-47.8,-19.27,6.97,-3.71,73.98,17.42,21.45,19.78,28.25,33.36,26.0,-22.2,-43.46,-21.26,7.52,10.41
Inne zobowiązania krótkoterminowe,,,,,,,,,,,,13.64,,,,-12.0,,,,13.26,,,,-4.35,,,,-10.14,,,,-4.67,,,,5.31,,,,992.25,,,,-68.1,,,,-60.85,,,,8.52,,,,-31.94,,,,99.62,,,,-50.67,,,,164.45,,,,9.75
Rozliczenia międzyokresowe,,,,,21.21,19.1,-6.58,-19.78,-22.27,-32.69,-26.21,7.62,3.14,0.91,7.71,-32.95,-29.76,-19.1,-15.09,6.14,6.21,26.21,11.54,19.35,15.25,-3.98,7.72,-3.03,0.15,1.84,2.13,9.84,-36.41,-52.26,-51.94,-42.39,-2.17,23.97,21.43,-3.21,-3.21,-9.16,-10.23,-2.81,-2.81,54.62,54.99,143.83,143.83,54.71,54.78,1.08,1.08,24.47,24.94,18.85,17.25,120.6,122.81,23.3,34.88,-41.15,-41.17,18.24,9.56,30.65,30.67,22.5,22.74,12.59,11.71,16.16
Pasywa razem,,,,,24.44,-3.5,-1.24,16.24,7.12,-4.13,-4.47,-0.17,-13.56,0.26,7.68,-4.43,-4.94,1.59,5.29,4.86,27.44,14.23,12.86,9.01,0.07,-10.84,-16.27,-7.11,-20.75,-2.46,-3.45,-4.61,13.91,9.61,-0.1,1.24,1.16,-12.87,-3.56,4.56,-0.59,12.03,2.45,8.22,12.38,9.72,17.77,14.26,1.4,3.12,4.05,5.07,11.39,-0.35,-7.47,-8.36,-10.72,-1.43,9.28,10.16,25.75,10.79,8.61,12.16,14.92,13.94,13.75,5.93,-3.8,-0.86,5.85,5.72
Przepływy pieniężne z działalności operacyjnej,,,,,166.06,49.4,193.12,-334.13,-578.7,132.14,-82.22,141.95,69.44,353.7,-89.09,42.02,113.61,-357.96,176.74,119.63,-1088.37,58.23,123.53,-39.96,-156.47,235.61,332.33,-102.91,76.51,-12.85,-55.39,4337.04,-135.55,71.79,184.21,-135.93,32.5,2.99,-49.31,68.37,-68.06,-142.39,33.83,-88.46,-58.19,138.03,41.96,732.24,11.46,-939.33,-37.54,-36.67,35.07,265.06,-91.11,111.11,40.51,69.75,1269.23,-127.62,244.32,-105.97,-44.76,-27.27,222.47,-387.2,74.41,-469.92,-78.22,134.15,107.77,74.86
Amortyzacja,,,,,-12.66,-3.36,-4.73,23.2,9.42,2.78,-9.94,-11.04,1.99,0.68,0.69,5.11,-11.04,-6.04,1.37,0.69,13.87,25.71,16.22,17.93,7.05,-14.2,-13.95,-20.47,-25.75,-15.23,-16.22,-11.03,-4.03,-2.34,-4.03,-4.13,0.0,-7.2,-8.4,-8.62,-21.85,-18.1,-16.51,-14.15,1.08,0.0,3.3,8.79,6.38,-6.32,-11.7,-16.16,-22.0,-12.36,0.0,-9.64,-2.56,-7.69,-15.66,-2.67,-2.63,5.56,12.86,5.48,16.22,6.58,10.13,29.87,16.28,23.46,21.84,11.0
Przepływy pieniężne z działalności inwestycyjnej,,,,,-741.18,-185.91,-933.56,54.44,87.41,17.61,93.24,-38.96,-1305.56,86.04,67.86,37.38,53.36,73.47,37.04,-23.88,-550.0,-323.08,-335.29,-61.45,82.27,100.0,97.3,100.0,82.35,,-2400.0,,-258.33,-8.0,90.0,68.79,-902.33,100.0,0.0,100.7,99.42,,-80.0,-5500.0,-1700.0,96.18,-4933.33,22.22,-156.67,-500.0,58.72,-361.9,73.59,100.0,127.81,63.4,-319.67,,-136.54,112.68,-2.34,75.45,-742.11,-3100.0,-271.37,-2703.7,7.5,52.22,57.66,110.17,0.68,331.78
CAPEX (niematerialne i rzeczowe),,,,,,,-58.62,10658.33,-87.41,-17.61,41.67,-91.32,1305.56,-84.33,-83.33,-24.11,-53.36,-76.36,0.0,-2.35,550.0,346.15,335.29,79.52,-82.27,-100.0,-97.3,-100.0,-82.35,,2400.0,,258.33,8.0,-90.0,-65.93,902.33,-100.0,0.0,-86.45,-99.42,,80.0,157.14,1700.0,-97.71,5011.11,-16.67,156.67,900.0,-59.35,331.11,-73.59,-100.0,-121.39,-63.4,319.67,,147.5,-97.18,2.34,-55.12,742.11,13400.0,296.95,1242.11,-7.5,-51.48,-60.38,-110.07,-0.68,-328.24
Przepływy pieniężne z działalności finansowej,,,,,-67.33,-22.67,83.8,141.69,846.94,-5.91,-209.33,-202.57,-60.99,-133.25,94.4,-61.15,-100.83,644.09,-884.62,-129.7,40366.67,-47.9,-75.78,49.76,-5.3,-179.72,-192.44,99.06,-107.34,88.15,59.12,-12885.71,835.71,1014.71,-430.48,86.36,89.97,-224.12,70.15,39.52,-68.65,223.06,-139.44,390.67,204.35,-109.05,7.45,-487.61,-53.39,-883.72,162.71,56.69,-61.69,-138.3,-153.04,-269.95,-55.0,194.74,88.85,98.08,-14.44,-150.99,-260.0,-357.69,-303.9,75.56,-26.19,21.01,28.03,5.04,135.85,323.4
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
