,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Koszty finansowe,4.0,0.0,0.0,0.0,17.0,32.0,0.0,2.0,2.0,104.0,0.0,0.0,0.0,34.0,3.0,21.0,10.0,11.0,9.0,639.0,-525.0,850.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Zysk z działalności gospodarczej,950.0,756.0,1092.0,1141.0,1819.0,1219.0,647.0,864.0,367.0,487.0,902.0,336.0,1502.0,-142.0,1364.0,1540.0,1958.0,-1218.0,501.0,-604.0,1139.0,-444.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,950.0,756.0,1092.0,1141.0,1819.0,1219.0,647.0,864.0,367.0,487.0,902.0,336.0,1502.0,-142.0,1364.0,1540.0,1958.0,-1218.0,501.0,-604.0,1139.0,-444.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,761.0,623.0,1018.0,636.0,2031.0,546.0,489.0,650.0,472.0,283.0,881.0,272.0,1295.0,20.0,1324.0,1339.0,1707.0,-1029.0,324.0,-369.0,1190.0,-394.0
Zysk netto akcjonariuszy jednostki dominującej,761.0,623.0,1018.0,636.0,2031.0,546.0,489.0,650.0,472.0,283.0,881.0,272.0,1295.0,20.0,1324.0,1339.0,1707.0,-1029.0,324.0,-369.0,1190.0,-394.0
Aktywa trwałe,0.0,151.0,113.0,0.0,477.0,688.0,810.0,829.0,722.0,677.0,613.0,465.0,356.0,1066.0,1002.0,1498.0,1658.0,1645.0,1639.0,3555.0,4145.0,5782.0
Wartości niematerialne i prawne,0.0,151.0,113.0,0.0,477.0,550.0,678.0,591.0,480.0,416.0,328.0,241.0,139.0,183.0,177.0,171.0,200.0,189.0,179.0,1787.0,2468.0,3969.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,0.0,0.0,138.0,132.0,125.0,128.0,120.0,112.0,105.0,97.0,717.0,666.0,560.0,512.0,465.0,419.0,437.0,382.0,327.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,92.0,92.0,90.0,92.0,91.0,92.0,98.0,101.0,99.0,110.0,118.0,121.0,116.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,612.0,610.0,607.0,605.0,603.0,640.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,49.0,81.0,29.0,28.0,75.0,67.0,55.0,233.0,282.0,324.0,608.0,571.0,730.0
Aktywa obrotowe,0.0,4669.0,6126.0,0.0,8182.0,10175.0,10822.0,16894.0,17503.0,17620.0,18629.0,18960.0,20247.0,19428.0,20993.0,21645.0,24318.0,21194.0,21700.0,21173.0,19317.0,17701.0
Zapasy,0.0,1296.0,2190.0,0.0,3116.0,4235.0,4722.0,3310.0,3424.0,3609.0,3424.0,3835.0,3007.0,2306.0,2897.0,3777.0,4772.0,5677.0,6651.0,6468.0,7214.0,8310.0
Należności krótkoterminowe,0.0,278.0,565.0,0.0,968.0,1233.0,1000.0,2011.0,2038.0,1770.0,1748.0,1708.0,2520.0,3116.0,2216.0,1896.0,2416.0,2355.0,2359.0,3992.0,3852.0,2066.0
Inwestycje krótkoterminowe,0.0,3003.0,3221.0,0.0,3840.0,4685.0,5061.0,11540.0,12013.0,12233.0,13449.0,13404.0,14708.0,13995.0,15880.0,15957.0,17116.0,13162.0,12690.0,10713.0,8251.0,7325.0
Środki pieniężne i inne aktywa pieniężne,0.0,3003.0,3221.0,0.0,1840.0,2737.0,3106.0,11540.0,12013.0,12233.0,10275.0,13404.0,14708.0,13995.0,15880.0,15957.0,17116.0,9124.0,4009.0,10713.0,8251.0,7325.0
Pozostałe aktywa obrotowe,0.0,92.0,150.0,0.0,258.0,22.0,39.0,33.0,28.0,8.0,8.0,13.0,12.0,11.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,4820.0,6239.0,0.0,8659.0,10863.0,11632.0,17723.0,18225.0,18297.0,19242.0,19425.0,20603.0,20494.0,21995.0,23143.0,25976.0,22839.0,23339.0,24728.0,23462.0,23483.0
Kapitał własny akcjonariuszy jednostki dominującej,4128.0,4751.0,5769.0,6405.0,8436.0,10692.0,11181.0,17331.0,17804.0,17682.0,18563.0,17016.0,18318.0,19045.0,20369.0,19323.0,21038.0,20008.0,20332.0,16894.0,18084.0,17460.0
Kapitał (fundusz) podstawowy,0.0,500.0,500.0,500.0,500.0,510.0,510.0,535.0,535.0,535.0,535.0,535.0,542.0,542.0,542.0,542.0,550.0,550.0,550.0,550.0,550.0,550.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,749.0,749.0,0.0,4262.0,5962.0,5962.0,15668.0,15668.0,15263.0,15263.0,15338.0,15338.0,15314.0,5071.0,15398.0,15398.0,5071.0,5071.0,5071.0,5071.0,5071.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,173.0,332.0,137.0,137.0,614.0,559.0,534.0,565.0,597.0,666.0,790.0,572.0,500.0
Z tytułu dostaw i usług,0.0,9.0,433.0,0.0,97.0,42.0,219.0,122.0,179.0,99.0,119.0,209.0,142.0,329.0,895.0,235.0,315.0,2080.0,2183.0,6859.0,4609.0,5336.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,149.0,152.0,154.0,158.0,185.0,197.0,187.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,173.0,332.0,137.0,137.0,151.0,139.0,181.0,251.0,323.0,433.0,569.0,393.0,381.0
Zobowiązania krótkoterminowe,0.0,69.0,470.0,0.0,223.0,171.0,451.0,392.0,414.0,442.0,347.0,2272.0,2148.0,835.0,1067.0,3286.0,4373.0,2234.0,2341.0,7044.0,4806.0,5523.0
Inne zobowiązania krótkoterminowe,0.0,60.0,37.0,0.0,126.0,129.0,232.0,270.0,235.0,343.0,228.0,2063.0,2006.0,506.0,0.0,2902.0,3906.0,0.0,0.0,0.0,0.0,0.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,4128.0,4820.0,6239.0,6405.0,8659.0,10863.0,11632.0,17723.0,18225.0,18297.0,19242.0,19425.0,20603.0,20494.0,21995.0,23143.0,25976.0,22839.0,23339.0,24728.0,23462.0,23483.0
Przepływy pieniężne z działalności operacyjnej,2499.0,175.0,218.0,467.0,407.0,1287.0,569.0,1575.0,-83.0,625.0,1207.0,-35.0,1204.0,1177.0,1931.0,737.0,1232.0,-1567.0,-717.0,235.0,1508.0,347.0
Amortyzacja,38.0,38.0,38.0,36.0,59.0,67.0,78.0,94.0,102.0,89.0,95.0,96.0,74.0,185.0,57.0,49.0,55.0,56.0,57.0,75.0,71.0,65.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,0.0,0.0,0.0,-2255.0,-139.0,-200.0,1925.0,-11.0,0.0,-3165.0,3164.0,93.0,-46.0,0.0,-614.0,-35.0,-3996.0,-4352.0,6534.0,-619.0,-1219.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,0.0,0.0,500.0,139.0,200.0,0.0,11.0,0.0,0.0,1.0,0.0,46.0,0.0,614.0,35.0,3996.0,0.0,1618.0,619.0,1564.0
Przepływy pieniężne z działalności finansowej,0.0,0.0,0.0,0.0,0.0,-250.0,0.0,5500.0,0.0,-404.0,0.0,0.0,7.0,-1843.0,-46.0,-46.0,-37.0,-2431.0,-46.0,-64.0,-3353.0,-52.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.0,0.0,0.0,2385.0,0.0,0.0,0.0,3300.0,0.0
Przepływy pieniężne razem,2499.0,175.0,218.0,467.0,-1848.0,898.0,369.0,9000.0,-94.0,221.0,-1958.0,3129.0,1304.0,-712.0,1885.0,77.0,1160.0,-7994.0,-5115.0,6705.0,-2464.0,-924.0
