,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Zysk z działalności gospodarczej,430.0,-117.0,-30.0,-204.0,-349.0,-426.0,-234.0,-101.0,-1253.0,-10.0,-20.0,-17.0,-1058.0,-521.0,-150.0,-112.0,-713.0,52.0,189.0,290.0,-46.0,576.0,608.0,518.0,509.0,1102.0,1679.0,991.0,-63.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,430.0,-117.0,-30.0,-204.0,-349.0,-426.0,-234.0,-101.0,-1253.0,-10.0,-20.0,-17.0,-1058.0,-521.0,-150.0,-112.0,-713.0,52.0,189.0,290.0,-46.0,576.0,608.0,518.0,509.0,1102.0,1679.0,991.0,-63.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,429.0,-109.0,-6.0,-205.0,-380.0,-345.0,-195.0,-95.0,-1120.0,-19.0,-15.0,49.0,-1012.0,-428.0,-147.0,-75.0,-699.0,35.0,122.0,208.0,-101.0,469.0,448.0,381.0,249.0,994.0,1833.0,855.0,-169.0
Zysk netto akcjonariuszy jednostki dominującej,429.0,-109.0,-6.0,-205.0,-380.0,-345.0,-195.0,-95.0,-1120.0,-19.0,-15.0,49.0,-1012.0,-428.0,-147.0,-75.0,-699.0,35.0,122.0,208.0,-101.0,469.0,448.0,381.0,249.0,994.0,1833.0,855.0,-169.0
Aktywa trwałe,806.0,801.0,737.0,720.0,1015.0,1224.0,1551.0,1651.0,4223.0,4376.0,4453.0,9865.0,9500.0,9274.0,9088.0,8825.0,8363.0,8540.0,8377.0,8260.0,8435.0,8564.0,8688.0,8913.0,9146.0,9781.0,11016.0,16702.0,15736.0
Wartości niematerialne i prawne,740.0,717.0,581.0,536.0,876.0,988.0,1235.0,1302.0,3655.0,2385.0,2785.0,3188.0,3544.0,3804.0,4047.0,4279.0,4449.0,4612.0,4749.0,5032.0,5463.0,5871.0,6318.0,6818.0,7342.0,7912.0,8491.0,8587.0,8664.0
Rzeczowe składniki majątku trwałego,15.0,23.0,61.0,89.0,89.0,99.0,143.0,169.0,137.0,171.0,1119.0,6119.0,5176.0,4552.0,4090.0,3536.0,2827.0,2818.0,2545.0,2221.0,2006.0,1786.0,1619.0,1449.0,1233.0,1000.0,1361.0,6769.0,5633.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,67.0,67.0,67.0,67.0,67.0,67.0,212.0,212.0,212.0
Inwestycje długoterminowe,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,49.0,59.0,95.0,95.0,50.0,137.0,173.0,180.0,431.0,1820.0,549.0,558.0,780.0,836.0,869.0,928.0,1005.0,1028.0,1001.0,925.0,899.0,840.0,684.0,579.0,504.0,802.0,952.0,1134.0,1227.0
Aktywa obrotowe,1067.0,1175.0,1622.0,1695.0,3663.0,3417.0,3095.0,2876.0,1871.0,2132.0,1891.0,2109.0,1726.0,1537.0,1962.0,1878.0,1824.0,1529.0,1902.0,1663.0,2958.0,3083.0,3851.0,3983.0,5069.0,6275.0,7356.0,7880.0,8776.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,649.0,677.0,782.0,886.0,732.0,882.0,1236.0,1248.0,1118.0,1323.0,1371.0,1742.0,1297.0,1288.0,1258.0,1175.0,734.0,610.0,760.0,1019.0,1041.0,839.0,1412.0,1538.0,2145.0,1851.0,2829.0,1613.0,1427.0
Inwestycje krótkoterminowe,196.0,270.0,343.0,310.0,2573.0,2131.0,1452.0,1053.0,636.0,720.0,411.0,280.0,358.0,169.0,630.0,669.0,972.0,802.0,1043.0,514.0,1731.0,1967.0,2097.0,2008.0,2406.0,3807.0,3836.0,5643.0,6699.0
Środki pieniężne i inne aktywa pieniężne,196.0,270.0,343.0,310.0,2573.0,2131.0,1452.0,1053.0,636.0,720.0,411.0,280.0,358.0,169.0,630.0,669.0,972.0,802.0,1043.0,514.0,1731.0,1967.0,2097.0,2008.0,2406.0,3804.0,3836.0,5643.0,6699.0
Pozostałe aktywa obrotowe,222.0,228.0,497.0,499.0,358.0,404.0,407.0,575.0,117.0,89.0,109.0,87.0,71.0,80.0,74.0,34.0,118.0,117.0,99.0,130.0,186.0,277.0,342.0,437.0,518.0,617.0,691.0,624.0,650.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1873.0,1976.0,2359.0,2415.0,4678.0,4641.0,4646.0,4527.0,6094.0,6508.0,6344.0,11974.0,11226.0,10811.0,11050.0,10703.0,10187.0,10069.0,10279.0,9923.0,11393.0,11647.0,12539.0,12896.0,14215.0,16056.0,18372.0,24582.0,24512.0
Kapitał własny akcjonariuszy jednostki dominującej,1337.0,1237.0,1219.0,953.0,3734.0,3367.0,3188.0,3119.0,2340.0,2317.0,2310.0,2336.0,1699.0,1254.0,3772.0,3706.0,3814.0,3831.0,3967.0,4165.0,4485.0,4943.0,5345.0,5679.0,6607.0,7627.0,9473.0,10280.0,10675.0
Kapitał (fundusz) podstawowy,173.0,173.0,173.0,173.0,189.0,200.0,200.0,200.0,201.0,201.0,201.0,201.0,202.0,202.0,216.0,216.0,216.0,216.0,216.0,216.0,220.0,220.0,220.0,221.0,221.0,221.0,221.0,221.0,223.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,1988.0,1988.0,1988.0,1988.0,1988.0,5185.0,5185.0,5185.0,5185.0,5185.0,5185.0,5185.0,5185.0,5185.0,7831.0,7831.0,7831.0,7831.0,7831.0,7831.0,7811.0,7831.0,7831.0,7831.0,7831.0,7831.0,7831.0,7831.0,7831.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,523.0,526.0,414.0,4319.0,3557.0,3227.0,2904.0,2524.0,2023.0,2115.0,1876.0,1637.0,2484.0,2249.0,2459.0,2326.0,2911.0,2711.0,3224.0,7735.0,7000.0
Z tytułu dostaw i usług,113.0,0.0,0.0,202.0,390.0,0.0,0.0,0.0,620.0,643.0,821.0,1058.0,1462.0,1316.0,516.0,983.0,820.0,742.0,624.0,999.0,999.0,767.0,1410.0,1201.0,1299.0,1403.0,1091.0,1382.0,1388.0
Kredyty i pożyczki,120.0,0.0,0.0,841.0,4.0,0.0,0.0,0.0,11.0,174.0,509.0,869.0,1397.0,2029.0,672.0,941.0,1053.0,1004.0,1110.0,999.0,999.0,872.0,277.0,295.0,293.0,291.0,368.0,290.0,308.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1192.0,932.0,601.0,1715.0,1704.0,1514.0,1431.0,1319.0,1126.0,1087.0,1099.0,1022.0,988.0,991.0,1104.0,988.0,820.0,646.0,403.0,1115.0,1313.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,35.0,46.0,80.0,206.0,265.0,276.0,308.0,308.0,345.0,375.0,401.0,1429.0,1440.0,1459.0,1477.0,2213.0,2165.0,2831.0,3557.0,2979.0
Zobowiązania krótkoterminowe,303.0,418.0,816.0,1146.0,733.0,599.0,643.0,733.0,3231.0,3665.0,3620.0,5319.0,5970.0,6330.0,4374.0,4473.0,4350.0,4123.0,4436.0,4121.0,4424.0,4455.0,4735.0,4891.0,4697.0,5718.0,5675.0,6567.0,6837.0
Inne zobowiązania krótkoterminowe,70.0,0.0,0.0,98.0,337.0,0.0,0.0,0.0,1408.0,1916.0,1689.0,1677.0,1407.0,1471.0,1755.0,1230.0,1351.0,1290.0,1603.0,1101.0,1438.0,1825.0,1944.0,2407.0,2285.0,3378.0,3813.0,3780.0,3828.0
Rozliczenia międzyokresowe,233.0,321.0,320.0,313.0,208.0,673.0,813.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1873.0,1976.0,2359.0,2415.0,4678.0,4641.0,4646.0,4527.0,6094.0,6508.0,6344.0,11974.0,11226.0,10811.0,11050.0,10703.0,10187.0,10069.0,10279.0,9923.0,11393.0,11647.0,12539.0,12896.0,14215.0,16056.0,18372.0,24582.0,24512.0
Przepływy pieniężne z działalności operacyjnej,182.0,57.0,-313.0,-294.0,108.0,-139.0,-573.0,-271.0,1977.0,781.0,668.0,83.0,992.0,17.0,52.0,1016.0,975.0,646.0,889.0,502.0,1366.0,1440.0,1313.0,1225.0,1214.0,2786.0,1407.0,3416.0,-368.0
Amortyzacja,31.0,34.0,144.0,55.0,67.0,83.0,74.0,123.0,1666.0,562.0,590.0,633.0,647.0,628.0,633.0,624.0,616.0,543.0,564.0,535.0,551.0,581.0,608.0,639.0,669.0,698.0,599.0,937.0,1038.0
Przepływy pieniężne z działalności inwestycyjnej,-201.0,-19.0,-41.0,-35.0,-221.0,-206.0,-122.0,-205.0,-731.0,-385.0,-833.0,-51.0,-944.0,-340.0,-397.0,-601.0,-411.0,-404.0,-413.0,-592.0,154.0,-767.0,-807.0,-854.0,-358.0,-965.0,-1075.0,-1552.0,1534.0
CAPEX (niematerialne i rzeczowe),202.0,19.0,41.0,35.0,221.0,206.0,122.0,205.0,731.0,385.0,833.0,53.0,943.0,340.0,400.0,604.0,412.0,404.0,413.0,592.0,725.0,767.0,807.0,858.0,936.0,965.0,1627.0,1553.0,-441.0
Przepływy pieniężne z działalności finansowej,8.0,0.0,427.0,296.0,2502.0,2.0,15.0,-20.0,-1663.0,-312.0,-144.0,-163.0,30.0,134.0,806.0,-376.0,-260.0,-412.0,-235.0,-439.0,-304.0,-437.0,-376.0,-460.0,-458.0,-422.0,-302.0,-56.0,-110.0
Emisja akcji,0.0,0.0,0.0,8.0,2992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-11.0,38.0,73.0,-33.0,2389.0,-343.0,-680.0,-496.0,-417.0,84.0,-309.0,-131.0,78.0,-189.0,461.0,39.0,304.0,-170.0,241.0,-529.0,1216.0,236.0,130.0,-89.0,398.0,1399.0,30.0,1808.0,1056.0
