,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Koszty finansowe,,,,,-63.54,-20.92,-62.52,227.67,-6.23,30.26,3.43,-13.38,-62.52,1.77,-51.24,-12.84,69.92,-84.75,-63.1,-78.96,-34.95,89.93,145.16,-47.89,-0.47,-29.33,-42.48,363.64,134.35,739.0,52.29,-201.96,-67.3,-76.1,-27.68,185.26,56.4,12.72,94.07,81.7,34.89,-14.16,-44.5,-24.28,-47.69,-35.82,11.29,-47.18,21.55,77.51,61.63,720.34,40.45,158.6,21.75,47.46,421.84
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,34.81,33.05,5.55,12.7,78.1,-34.09,-89.34,-111.85,-452.78,145.32,129.89,-227.66,48.02,-82.65,56.01,304.04,117.09,77.21,62.99,15.98,-1173.2,-42.25,-204.43,-33.69,-130.93,-395.54,165.26,82.44,76.29,148.22,-80.66,-634.04,66.05,-10.66,505.75,100.03,18.86,-33.8,-35.52,23829.17,4.62,-4.67,67.11,63.59,919.53,221.75,-32.09,-22.32,-59.05,-45.93,159.87,110.76,49.55
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,34.81,33.05,5.55,12.7,78.1,-34.09,-89.34,-111.85,-452.78,145.32,129.89,-227.66,48.02,-82.65,56.01,304.04,117.09,77.21,62.99,15.98,-1173.2,-42.25,-204.43,-33.69,-130.93,-395.54,165.26,82.44,76.29,148.22,-80.66,-634.04,66.05,-10.66,505.75,100.03,18.86,-33.8,-35.52,23829.17,4.62,-4.67,67.11,63.59,919.53,221.75,-32.09,-22.32,-59.05,-45.93,159.87,110.76,49.55
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,32.92,36.83,11.62,3.69,76.12,-35.19,-95.03,-110.04,-461.76,143.08,68.39,-168.44,45.57,-81.06,284.66,398.05,100.85,42.35,92.91,20.8,-19561.11,-38.76,-210.58,-35.96,-133.17,-450.49,162.34,90.06,76.86,145.55,-73.32,-621.56,51.96,-33.88,273.41,99.71,11.67,-16.09,-29.44,816.4,5.99,-13.65,65.16,476.0,598.54,293.54,-45.38,-24.55,-68.34,-46.84,226.49,86.28,-21.68
Zysk netto akcjonariuszy jednostki dominującej,,,,,34.58,38.94,12.64,7.02,81.63,-35.73,-93.48,-118.16,-685.16,135.41,-38.73,104.56,55.11,-83.04,717.24,9464.77,101.04,62.76,85.75,21.52,-19561.11,-24.85,-222.56,-32.39,-126.66,-393.83,158.75,72.67,75.54,146.53,-76.52,-641.06,53.24,-32.95,320.6,99.69,19.6,-18.6,-29.84,772.73,1.78,-14.04,65.45,483.03,624.27,282.42,-52.19,-28.62,-70.42,-45.19,280.24,97.44,-13.67
Aktywa trwałe,,,,,,,12.26,1.64,-5.28,-3.05,-9.67,32.19,10.51,4.69,10.98,-18.47,-0.07,10.72,6.14,8.24,-11.18,-17.7,-18.55,-11.41,3.63,5.29,7.7,1.84,5.14,14.08,10.01,10.2,12.04,5.01,5.32,15.07,13.79,10.49,9.83,-0.09,-4.71,-5.21,-4.4,-7.57,-6.53,-3.44,0.04,4.14,8.64,8.15,4.58,13.63,11.13,14.67,14.33,-3.03,-5.22
Wartości niematerialne i prawne,,,,,,,-1.36,-14.77,27.17,-13.02,-12.95,5.37,-28.29,3.72,3.82,1.86,-0.13,1.28,1.11,-1.16,-0.87,-5.82,-4.59,-6.72,-6.6,-2.04,-3.24,-1.41,-1.41,-1.31,-1.3,-1.25,-1.16,-1.17,-1.18,-1.17,-21.81,-21.52,-20.75,-17.83,4.38,4.36,4.81,1.69,1.47,4.09,2.74,1.93,1.49,-1.45,-1.64,-0.66,-0.67,0.97,0.9,-0.07,-0.07
Rzeczowe składniki majątku trwałego,,,,,,,20.75,8.6,-35.35,-7.83,-8.33,5.22,64.8,8.41,13.37,4.29,1.12,8.29,2.5,6.04,3.87,-3.76,-1.05,11.58,9.54,9.53,11.86,2.2,9.59,17.23,12.03,13.91,16.13,13.75,13.49,10.18,16.65,11.71,11.35,8.52,-6.22,-8.38,-7.03,-7.14,-6.18,-1.76,-0.36,0.69,-0.27,-0.06,-2.31,-0.82,0.15,0.49,-4.08,4.84,6.61
Należności długoterminowe,,,,,,,-9.21,5.09,-4.72,3.69,-97.87,1138.17,54.09,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,2.3,11.53,3.82,-12.74,-4.62,-13.88,-4.08,-12.73,90.32,101.76,104.31,194.47,49.07,81.63,84.0,-67.42,-70.87
Inwestycje długoterminowe,,,,,,,-13.09,63.59,53.99,97.45,73.01,-9.73,-4.13,-4.45,-4.73,-3.87,-3.89,-6.23,-9.18,-9.63,-8.6,-6.57,-28.49,-47.89,-47.94,-48.47,-33.08,-9.14,-11.2,13.74,17.57,50.42,51.89,19.35,19.69,-5.83,11.73,11.69,11.67,11.62,-6.21,-6.29,-6.38,10.55,10.72,10.97,11.25,-4.77,-2.89,-0.62,-0.37,212.82,230.26,224.92,278.46,5.18,-1.07
Pozostałe aktywa trwałe,,,,,,,31.1,2.33,-4.45,14.16,-13.18,17.4,15.74,15.29,23.18,11.95,17.74,40.25,26.42,37.55,-63.1,-65.7,-66.29,-58.28,42.41,40.14,37.71,12.31,3.83,36.95,25.05,10.63,14.05,-22.44,-19.44,84.79,24.05,21.43,14.24,-37.73,-11.88,-8.86,-7.02,-27.51,-27.37,-23.82,-3.51,47.34,41.2,34.95,5.46,-11.97,-12.79,-14.04,-18.27,13.69,8.73
Aktywa obrotowe,,,,,,,18.11,1.85,54.34,36.7,37.07,-0.42,-25.27,-25.09,-15.27,-12.82,4.76,11.86,-4.42,9.41,2.36,-0.1,10.89,2.55,-8.9,-15.81,-27.06,-22.24,-20.89,-22.63,-2.39,56.6,63.42,68.36,64.93,30.09,24.02,28.48,5.9,-16.72,-16.57,-18.91,-9.94,-4.26,1.97,11.85,-1.53,12.78,25.76,3.06,13.87,18.23,10.95,17.43,36.5,56.12,49.96
Zapasy,,,,,,,-13.56,240.02,55.84,15.82,70.3,8.56,-10.26,37.53,3.53,-11.4,13.47,20.87,-11.97,-0.5,73.27,51.67,87.67,44.29,-39.74,-44.79,-53.36,-56.35,7.95,59.98,111.13,147.52,66.27,5.4,14.35,74.39,10.38,1.54,-24.14,-37.7,-36.05,-19.19,-4.18,-16.63,4.58,20.56,-3.13,49.46,55.41,70.47,132.84,115.92,42.15,-14.96,-13.07,-13.84,-12.84
Należności krótkoterminowe,,,,,,,31.8,-1.62,59.09,19.88,24.86,-12.41,-25.13,-34.19,-17.81,-7.62,20.89,16.81,-4.53,4.01,-20.17,0.35,20.31,-57.43,-68.46,-58.33,-61.41,14.15,34.13,25.28,38.93,121.57,229.92,129.1,110.95,58.87,41.45,32.98,17.92,-0.74,-8.93,-21.82,-15.21,-3.2,-5.96,9.04,0.45,-16.36,1.49,-15.95,0.69,30.32,26.49,43.03,52.03,36.43,68.13
Inwestycje krótkoterminowe,,,,,,,6.64,-9.76,39.47,4693.44,165.28,44.24,-19.85,-6.07,-12.48,-28.66,-45.4,-5.56,16.72,43.55,96.93,-38.25,-83.63,146.53,167.86,402.16,1424.74,-33.13,-41.39,-73.87,-60.82,-0.16,-57.0,-56.51,-39.82,-28.21,-52.3,36.92,-78.95,-64.07,-86.34,10.7,238.0,-22.65,593.08,19.84,-31.82,363.21,351.11,129.6,49.36,-40.8,-58.95,-47.36,-12.72,246.94,17.83
Środki pieniężne i inne aktywa pieniężne,,,,,,,6.35,-9.84,39.47,18758.19,165.34,44.16,-20.03,-6.1,-12.52,-28.72,-45.51,-15.66,7.11,43.59,97.24,-31.08,-82.48,141.35,168.51,405.18,1441.44,-63.61,-71.91,-78.73,-60.43,87.74,-18.28,-61.47,-47.24,-30.59,-56.24,89.28,-75.99,-62.83,-83.65,11.01,237.82,-22.68,593.08,19.79,-31.79,362.96,351.11,129.69,49.36,-41.83,-58.95,-47.36,-12.72,253.44,17.83
Pozostałe aktywa obrotowe,,,,,,,-80.7,-30.44,37.27,28.84,107.64,159.29,-65.65,110.92,5.29,-1.58,-12.21,-45.86,-85.19,-63.42,-60.36,-62.77,302.08,-24.88,210.18,137.66,-42.74,-36.26,-74.97,-70.96,-57.96,-19.67,34.27,34.2,25.27,-6.05,-34.94,-6.51,-23.05,8.27,5.81,332.31,-7.69,234.72,197.13,-5.0,6.25,-82.81,-74.93,-74.38,-11.46,149.69,84.81,47.64,46.15,-25.09,52.58
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,-100.0,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,
Aktywa razem,,,,,,,15.87,1.78,28.75,21.97,19.77,10.04,-13.97,-16.31,-7.94,-14.99,2.8,11.44,-0.86,8.98,-2.98,-6.54,0.28,-2.57,-4.38,-9.01,-16.88,-14.21,-10.71,-8.93,2.31,38.22,39.75,38.75,40.62,25.35,20.24,22.11,7.1,-11.9,-12.43,-14.53,-8.21,-5.35,-1.26,6.42,-1.02,10.01,19.59,4.7,10.81,16.83,11.01,16.52,29.6,38.63,31.89
Kapitał własny akcjonariuszy jednostki dominującej,,,,,118.61,143.18,184.79,13.71,15.63,13.43,9.22,1.86,-0.27,2.29,1.73,6.52,7.91,3.13,4.61,5.25,4.97,5.72,6.59,7.2,6.8,2.6,-1.5,-3.08,-5.33,-6.04,-2.59,0.1,3.09,8.2,6.96,-30.02,-29.78,-29.85,-28.74,2.5,2.62,2.32,1.72,2.8,2.82,2.71,3.52,7.57,10.52,11.08,9.77,7.94,6.2,5.42,7.89,10.75,10.6
Kapitał (fundusz) podstawowy,,,,,37.5,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,4.69,4.69,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93,9.93,9.93,9.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,3.87,4.68,12.56,11.52,8.77,2.47,-1.76,-26.37,-14.65,-103.73,-108.98,-98.32,-100.0,100.0,100.0,152.94,,,,-73.75,-113.11,-103.6,-256.13,-646.84,-664.41,-550.0,83.88,96.06,117.07,238.46,341.03,758.82,51.95,19.05,-17.02,5.36,13.68,3.33,51.28,34.75,33.83,36.13,78.81,235.22,316.85,557.35,594.31,176.74,88.01,1.8,-5.53
Zobowiązania długoterminowe,,,,,,,-41.75,-2.83,4.74,-3.95,-25.44,42.93,-13.09,23.21,30.56,-18.56,32.7,3.78,-6.38,0.72,-54.16,-60.94,-56.12,-42.82,3.56,12.39,15.38,-11.57,-10.32,11.96,-1.94,-1.36,6.9,14.69,30.53,42.91,66.59,28.29,8.96,46.47,12.63,11.57,30.28,-1.95,-1.27,3.69,4.06,9.1,-1.39,-6.12,-9.34,4.1,14.3,25.1,79.48,90.53,71.49
Z tytułu dostaw i usług,,,,,,,-5.93,-8.82,29.93,16.4,13.45,15.01,-27.6,-45.07,-19.07,-40.15,36.06,79.53,22.41,45.37,-1.55,-7.89,7.87,-11.21,-31.8,-27.11,-41.81,-30.27,-22.47,-26.08,16.48,173.21,202.75,148.26,108.87,59.01,44.88,30.63,-39.5,-53.56,-63.63,-58.28,-20.81,-18.45,-19.27,-20.56,-33.62,-0.12,-9.18,5.66,41.14,11.68,65.67,82.61,45.65,38.41,25.68
Kredyty i pożyczki,,,,,,,18.52,-13.91,86.17,91.29,173.07,-15.11,-30.78,-37.68,-44.52,-1.49,-84.95,-71.92,-78.25,-74.69,8.51,-42.41,-27.1,15.31,39.75,61.12,84.28,19.87,17.51,55.73,31.31,5.03,33.11,19.73,14.94,40.25,35.02,98.4,51.54,-23.56,-32.19,-66.41,-27.75,-17.99,-22.53,-12.51,-52.1,-39.24,-56.66,-73.82,-67.77,146.6,274.41,477.46,216.72,-46.28,36.29
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,0.0,0.0,1743.57,0.0,0.0,33.33,-89.15,1.07,15.36,15.0,15.0,12.01,-1.86,-1.55,-1.55,0.0,0.0,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,4549.37,4070.25,3637.03,3103.16,-42.64,-43.41,-15.08,-9.8,0.39,10.71,-32.81,-31.12,-33.53,-30.69,-18.77,-19.38,-15.68,-20.6,-11.51,33.0,40.64
Inne zobowiązania długoterminowe,,,,,,,25.33,10.9,19.93,17.01,-18.66,-7.49,-19.65,1.38,21.08,11.44,31.98,12.07,-3.17,13.06,-56.77,-61.77,-60.95,-61.72,-19.87,-6.3,-3.3,-4.58,-3.23,-20.38,-21.97,-14.74,-10.91,7.54,46.48,54.82,78.67,83.61,26.04,27.97,7.41,11.05,22.03,28.73,31.08,23.81,27.04,20.7,-2.94,-8.21,-8.24,-17.12,-5.76,-0.84,-0.46,15.92,32.19
Zobowiązania krótkoterminowe,,,,,,,-3.35,-6.14,53.65,37.71,45.44,10.43,-26.64,-37.84,-21.12,-27.97,-5.11,30.01,-0.28,15.94,6.82,-1.67,9.58,-2.31,-20.63,-23.91,-34.14,-27.94,-20.03,-16.57,10.02,108.44,124.99,93.52,82.25,66.97,62.67,68.05,32.08,-21.4,-21.83,-23.79,-15.86,-9.36,-3.51,8.73,-3.91,11.33,28.73,3.23,14.55,22.73,12.58,20.75,33.09,43.17,36.36
Inne zobowiązania krótkoterminowe,,,,,,,-19.76,87.53,143.6,138.91,162.32,46.93,-5.33,25.62,47.47,3.15,38.89,53.14,24.74,55.67,42.8,42.51,27.71,23.17,-1.29,-27.99,-23.07,-34.19,-27.61,-13.74,-17.15,-12.04,2.69,0.99,12.54,146.16,144.45,237.48,539.48,132.13,149.96,81.96,-10.54,1.0,7.22,26.79,22.65,27.48,54.49,7.97,10.0,26.49,-5.72,-5.77,25.94,52.92,41.0
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,388.9,496.09,15.87,1.78,28.75,21.97,19.77,10.04,-13.97,-16.31,-7.94,-14.99,2.8,11.44,-0.86,8.98,-2.98,-6.54,0.28,-2.57,-4.38,-9.01,-16.88,-14.21,-10.71,-8.93,2.31,38.22,39.75,38.75,40.62,25.35,20.24,22.11,7.1,-11.9,-12.43,-14.53,-8.21,-5.35,-1.26,6.42,-1.02,10.01,19.59,4.7,10.81,16.83,11.01,16.52,29.6,38.63,31.89
Przepływy pieniężne z działalności operacyjnej,,,,,215.99,-189.19,611.97,290.05,-173.96,56.77,-132.76,181.57,27.92,73.26,105.39,-54.64,261.41,287.29,2490.09,50.74,-178.78,-416.13,-218.21,375.9,-133.43,49.52,35.01,-93.34,-15.41,-284.26,277.82,680.74,-145.34,57.21,-12.96,-26.95,-3.87,44.5,-54.16,-49.49,72.9,340.15,-260.58,-39.26,97.18,-46.87,33.86,436.11,-4684.79,-162.34,-439.9,-68.72,-2.25,144.12,5.19,518.62,-510.33
Amortyzacja,,,,,-5.81,26.42,13.53,-31.83,1.92,-18.19,-12.31,102.27,4.79,9.66,10.46,-7.7,10.08,10.37,12.76,27.89,10.34,11.8,5.88,-0.39,6.59,0.08,2.67,4.46,0.0,1.48,3.88,5.23,7.07,11.14,12.6,12.66,19.69,23.68,21.08,18.62,9.82,1.21,-3.67,-2.27,-8.58,-7.8,-0.21,4.29,9.42,8.95,5.31,3.85,6.25,12.59,6.91,4.04,6.02
Przepływy pieniężne z działalności inwestycyjnej,,,,,-57.55,435.29,143.36,-111.29,134.17,-31.46,-66.43,42.86,-90.23,-471.33,-578.01,-10.45,-830.08,79.39,69.36,64.47,-66.07,-50.61,-50.71,-143.63,89.71,15.69,-779.7,-4422.66,3487.65,2221.42,193.89,91.09,-203.81,-120.92,-119.12,102.06,94.12,145.27,-148.57,-1776.19,-56.85,-217.04,12.36,73.52,-35.5,49.61,104.64,-172.96,35.87,137.11,-925.88,-714.47,-13.58,-460.68,1087.75,110.57,218.27
CAPEX (niematerialne i rzeczowe),,,,,131.76,282.55,-0.25,-46.79,-94.79,-68.35,88.79,113.25,-1.78,497.81,9.85,2.41,474.6,-85.41,-64.07,-65.77,-92.78,323.96,635.7,143.23,490.71,-53.09,11.66,18.79,-53.19,801.58,-73.48,118.79,1698.81,-63.02,-22.08,-92.57,-90.95,-89.0,121.32,303.61,36.65,362.65,26.31,-59.2,29.57,-32.37,-78.27,211.82,-1.92,-52.04,66.03,-30.62,7.69,339.68,32.53,0.0,-74.43
Przepływy pieniężne z działalności finansowej,,,,,-295.5,-199.18,-267.63,-67.23,230.47,61.01,173.45,-232.0,-147.58,102.95,-137.63,58.4,-213.84,103.26,-100.51,71.24,90.84,-1255.08,50.95,247.65,49.86,-331.44,185.41,-110.76,-12.21,224.87,-230.38,-1088.31,260.86,-68.7,100.97,39.63,324.81,284.84,-60213.79,-52.4,-144.55,-155.0,154.85,-194.15,5.65,30.6,-159.68,67.98,1.17,-40.13,69.07,633.7,55.31,65.69,859.21,-61.41,-264.3
Emisja akcji,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.84,,
Przepływy pieniężne razem,,,,,62.56,-693.22,2474.59,-48.15,251.65,58.51,-104.63,-17.0,-245.28,52.94,-364.73,-54.75,-12.87,186.95,264.9,157.22,20.5,-492.58,-396.46,432.68,-60.42,20.13,33.26,-128.17,25.1,37.62,252.51,260.01,-292.97,-56.41,-24.83,-20.99,20.68,118.69,-203.03,-57.75,58.35,327.94,82.4,-79.75,74.0,-53.29,-426.32,1807.08,-380.89,-292.14,-212.79,-53.74,5.93,98.98,64.22,364.94,-469.64
