,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Kapitał własny akcjonariuszy jednostki dominującej,,,,,175.37,109.62,81.55,8.75,6.47,3.39,4.04,12.82,82.89,86.56,82.36,71.71,2.28,1.28,-0.31,-3.47,-2.91,0.14,0.48,34.72,35.55,35.18
Kapitał (fundusz) podstawowy,,,,,,29.35,,0.0,0.0,0.0,0.0,0.0,0.0,12.92,12.92,12.92,12.92,1.63,1.63,1.63,1.63,0.0,0.0,13.83,13.83,13.83
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,155.03,,9.17,9.17,9.17,9.17,4.48,86.75,35.82,35.82,30.0,-27.27,0.0,0.0,0.0,0.0,-10.96,0.0,60.59,60.59,80.36
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,3.06,,61.68,94.55,54.85,33.41,2.43,-7.69,2.77,-3.32,5.88,40.0,54.24,54.85,19.6,-16.42,-8.93,-11.51,29.98,66.95,71.03
Z tytułu dostaw i usług,,,,,,5.7,,33.82,-39.44,3.19,48.64,-11.69,24.62,28.23,65.53,128.95,83.31,77.24,46.58,3.04,19.71,34.92,2.9,136.54,50.11,-5.38
Kredyty i pożyczki,,,,,,9.29,,-41.81,-42.72,-4.67,108.67,122.88,153.41,97.33,19.53,49.11,23.05,11.13,-19.34,12.44,75.62,107.8,105.88,-12.4,-18.11,4.21
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,46.46,,58.35,212.2,-7.41,98.04,17.01,-45.44,232.96,0.14,347.11,477.39,129.31,129.42,-1.35,-18.32,-18.66,11.62,11.93,7.83,10.67
Inne zobowiązania długoterminowe,,,,,,26.36,,25.49,35.86,25.23,10.71,9.2,2.26,12.69,13.02,9.32,12.62,28.9,32.65,26.62,19.15,-2.7,-4.74,34.55,50.46,83.17
Zobowiązania krótkoterminowe,,,,,,7.09,,-1.73,-32.96,3.31,60.15,30.59,58.5,38.57,29.29,67.15,40.37,51.89,17.41,9.01,46.08,55.51,38.5,60.63,12.94,0.63
Inne zobowiązania krótkoterminowe,,,,,,3.29,,86.34,28.7,34.46,-28.91,-13.18,9.51,-87.47,-74.81,-82.91,-80.64,423.94,103.74,158.11,316.82,-15.01,54.63,168.43,16.67,54.19
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,606.46,32.38,341.34,22.96,21.0,20.54,26.48,12.41,34.66,40.4,33.62,44.91,22.51,28.56,20.55,6.87,3.2,10.5,4.56,41.23,37.89,34.2
Przepływy pieniężne z działalności operacyjnej,,,,,-187.54,204.15,3.2,-189.58,-68.93,68.05,12.73,88.09,121.01,-180.57,219.5,667.09,-786.36,144.9,-131.15,-207.07,104.35,184.64,-239.44,667.14,-6306.92,-120.65
Amortyzacja,,,,,39.24,-32.7,6.51,7.3,22.25,50.7,28.86,33.06,12.11,6.63,14.87,66.1,126.48,138.82,143.75,68.57,22.45,14.09,3.96,-15.83,-39.54,-39.39
Przepływy pieniężne z działalności inwestycyjnej,,,,,81.85,-268.7,14.55,-36.85,-155.47,-50.71,-364.88,76.52,-9.18,-30.67,42.18,-594.53,-105.36,83.95,-57.75,57.97,85.3,-576.81,74.96,-585.09,-1085.71,-296.66
CAPEX (niematerialne i rzeczowe),,,,,-81.99,272.49,-28.84,59.66,328.67,-25.59,384.89,-44.97,-34.95,164.46,-42.18,176.11,105.68,-64.12,58.7,-57.99,-85.08,200.21,-54.64,585.09,1058.92,299.28
Przepływy pieniężne z działalności finansowej,,,,,-143.35,-109.41,-16.92,-39.27,329.96,-285.08,122.62,-63.03,251.23,-321.89,-67.09,39.54,-49.52,104.42,-132.64,31.29,-88.28,3653.43,-389.8,198.78,1104.39,289.38
Emisja akcji,,,,,,-99.95,,-100.0,100.0,-100.0,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-5893.53,76.93,-540.7,-102.07,84.02,61.48,-161.35,938.43,1944.74,-1107.35,256.81,-50.89,-113.91,111.42,-675.1,-146.99,107.51,348.31,-9.05,4559.02,-6698.83,-83.79
