,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Inne zobowiązania krótkoterminowe,,,,,,,,-32.97,8.74,11.28,37.45,-27.96,22.55,-11.54,-10.9,165.18
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,
Pasywa razem,,,,,346.34,577.58,781.34,54.17,97.87,34.06,13.82,8.18,4.88,-7.98,6.84,7.03
Przepływy pieniężne z działalności operacyjnej,,,,,-336.15,-1282.33,-954.97,46.0,-81.59,-13.9,111.08,-48.26,80.16,169.52,-11.1,86.72
Amortyzacja,,,,,18.56,10.87,16.2,21.28,16.93,13.99,20.56,38.44,21.97,21.6,12.2,-3.59
Przepływy pieniężne z działalności inwestycyjnej,,,,,170.09,-5133.01,-6260.26,-3490.0,-192.49,97.5,91.2,-66.08,57.91,443.24,-2565.52,117.91
CAPEX (niematerialne i rzeczowe),,,,,-62.25,2374.14,509.86,521.07,700.0,-48.85,103.35,672.95,37.59,-258.99,-57.41,-91.83
Przepływy pieniężne z działalności finansowej,,,,,-3380.63,372.26,13196.19,319.54,142.88,-25.13,-110.86,-680.63,131.84,-263.09,170.78,-51.31
Emisja akcji,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,-100.0,,-100.0,,,,,,,
Przepływy pieniężne razem,,,,,-2562.52,-87.05,14.49,40.61,-1.92,33.39,-121.79,-98.05,128.96,56.88,123.02,3004.26
