,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Inwestycje długoterminowe,,,,,7.0,9.0,10.75,6.64,110.05,112.39,97.29,12.67,160.07,571.17,625.29,1151.68,176.65,-96.01,-75.0,-59.09,-59.31,975.4,69.72,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,63.16,88.24,-15.69,154.17,90.32,87.5,67.44,4.92,-5.08,-5.0,-30.56,106.25,101.79,112.28,168.0,-52.27,-31.86,-14.88,-35.07,323.81,193.51,148.54,206.9,-87.64,-91.59,-88.28,-53.18,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,
Aktywa obrotowe,,,,,1412.43,1373.5,1451.02,840.09,-22.55,-28.34,-31.97,-29.47,-66.59,-63.35,-59.47,-60.01,-18.33,88.49,56.93,35.15,37.78,-57.01,-50.75,9.37,24.67,32.73,32.89,-55.9,-29.94,-54.18,-54.58,-35.36,-51.77,13.13,32.53,241.42,208.86,157.18,-36.64,-83.31,-88.72,-86.92,-31.62,36.01,77.06,112.53,0.15,-19.51,-8.43,-11.49,65.19,114.19
Zapasy,,,,,,,,,,,,,,,,,,,,,,266.54,158.73,38.03,13.75,-8.97,-9.48,6.79,1.87,11.92,-3.55,-19.28,-19.97,1.9,23.18,128.46,283.79,-100.0,-100.0,-96.93,-93.5,,,1002.83,245.89,163.28,-100.0,-100.0,-75.98,-54.42,,
Należności krótkoterminowe,,,,,19.22,-5.99,29.15,35.94,125.23,85.68,62.26,27.14,0.73,22.0,-11.63,-12.66,-12.36,285.6,171.91,61.48,135.02,-68.72,-54.19,-7.6,1.55,-11.84,-11.22,-30.07,-63.71,-60.24,-68.96,-67.95,-35.41,63.71,242.69,693.35,72.48,-96.79,-56.98,-94.85,-86.6,405.26,-70.78,-43.41,-62.73,-54.17,291.74,569.86,800.0,379.55,-29.51,-22.09
Inwestycje krótkoterminowe,,,,,2108.16,2803.59,5945.89,9544.12,-25.38,-30.43,-34.44,-32.44,-71.34,-67.95,-62.91,-64.74,-19.85,35.88,20.27,-5.71,-43.33,-80.43,-79.74,7.17,59.18,143.47,143.5,-94.7,-97.03,-99.59,-89.48,-89.95,-55.17,627.27,-92.91,3790.48,23.08,785.0,7589.47,-3.92,112.5,-99.86,-89.66,-99.62,-91.18,27200.0,515.23,26366.67,6977.78,189.01,-21.53,19.14
Środki pieniężne i inne aktywa pieniężne,,,,,2108.16,2803.59,5945.89,9544.12,-25.38,-30.43,-34.44,-32.44,-71.34,-68.13,-63.0,-64.96,-20.14,36.38,20.27,-5.75,-43.86,-80.82,-80.16,-66.4,-65.53,-65.03,-80.23,-82.99,-99.2,-97.08,32.67,-89.95,680.0,627.27,-92.91,3790.48,23.08,785.0,-68.42,-3.92,112.5,-99.86,2416.67,-99.62,-91.18,27200.0,515.23,26366.67,6977.78,189.01,-21.53,19.14
Pozostałe aktywa obrotowe,,,,,171.79,-35.41,-66.46,-94.16,-67.45,-53.01,-61.21,-19.67,-31.88,-67.95,-60.94,-34.69,-10.64,44.0,76.0,275.0,78.57,111.11,70.45,-10.83,54.67,52.63,85.33,7.48,-3.45,77.59,48.2,81.74,104.46,-4.85,11.65,18.18,-18.78,-25.51,-36.52,-38.46,13.44,40.41,50.0,129.61,-100.0,-100.0,-100.0,-100.0,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,-100.0,,,,,,,,,,
Aktywa razem,,,,,351.25,323.75,315.15,153.26,-25.73,-27.0,-31.17,-4.31,-7.28,-8.5,-6.24,-9.15,-7.57,5.15,3.06,3.45,3.19,-12.77,-11.36,20.72,22.95,17.26,13.77,-45.52,-43.19,-64.84,-65.25,-60.1,-58.52,-24.61,-18.86,91.72,86.2,44.34,-60.5,86.04,77.55,127.36,719.13,2.04,3.5,6.04,0.01,-1.81,-0.73,-1.31,5.21,8.68
Kapitał własny akcjonariuszy jednostki dominującej,,,,,408.5,384.43,369.58,162.06,-29.94,-31.15,-34.09,-3.67,-7.12,-8.6,-6.97,-8.76,-8.59,5.19,2.62,-1.08,-5.22,-18.46,-19.12,7.35,7.66,1.13,-7.06,-66.04,-58.94,-81.94,-90.1,-72.69,-98.35,-175.44,-379.85,-411.14,-2057.28,-75.4,146.03,420.19,821.23,533.4,809.94,-6.16,-7.96,2.04,7.78,13.34,23.78,17.47,14.59,13.76
Kapitał (fundusz) podstawowy,,,,,31.25,29.01,29.01,29.01,0.0,0.0,0.0,0.0,-1.06,-1.06,-1.06,-1.06,0.0,114.3,114.3,146.66,146.66,15.1,15.1,0.0,0.0,0.0,0.0,0.0,10.84,10.84,10.84,40.92,56.48,56.48,56.48,23.08,0.0,29.69,29.69,130.12,130.12,77.45,77.45,0.0,0.0,0.0,2.72,2.72,2.72,2.72,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,951.61,577.75,577.75,577.75,9.9,0.0,0.0,-2.1,-2.1,-2.1,-2.1,0.0,0.0,34.17,34.17,36.34,36.34,4.04,4.04,2.38,2.38,0.0,0.0,0.0,4.93,4.93,9.71,9.71,11.6,11.6,6.74,6.73,0.0,7.49,18.76,45.95,45.95,35.78,-92.95,-94.26,-94.88,-94.89,-1.85,-1.85,10.07,38.32,25.66,25.66
Udziały niekontrolujące,,,,,109.09,277.78,360.0,44.44,8.7,-100.0,-100.0,-100.0,-100.0,,,,,,,,,-49.8,-37.86,257.14,473.33,-16.8,-30.47,-34.86,-52.91,-45.19,-62.92,-93.86,-123.46,-173.68,-321.21,-1471.43,-657.89,-328.57,100.0,100.0,100.0,100.0,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-43.27,-39.79,95.29,162.31,183.9,340.87,12.87,3.23,-22.39,-66.86,-67.46,-72.73,-77.69,-67.86,-81.75,-100.0,-43.1,-100.0,116.0,,-100.0,,-100.0,,,,,,,,,,,-87.56,-86.79,100.84,75.83,249.35,3104.05,287.93,427.01,852.42,-60.61,-100.0,-100.0,-100.0,-100.0,
Z tytułu dostaw i usług,,,,,157.69,61.58,30.02,20.03,55.41,36.93,31.35,95.16,-1.32,9.61,71.25,-19.84,19.22,13.03,-21.48,41.69,75.0,75.75,86.84,69.08,74.87,39.99,10.98,6.49,-25.28,-16.53,-19.33,-20.2,1.56,36.5,44.88,-7.4,94.68,-95.78,-94.14,-97.45,-97.68,1.68,-21.34,188.14,31.07,33.06,-40.31,-34.12,9.63,-34.16,53.25,-9.82
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51,50.45,-12.96,-11.47,-99.21,25.86,65.49,65.33,63362.5,177.2,188.28,-100.0,-91.1,-82.72,-78.2,,-88.72,-90.68,-100.0,-100.0,-100.0,-100.0,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-7.69,-33.59,554.0,41.09,87.04,243.68,-54.13,64.84,50.99,-5.35,-16.33,-27.67,-39.34,-55.12,-56.97,-62.21,-74.05,-84.25,-87.04,-90.24,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,-80.49,-91.73,-100.0
Inne zobowiązania długoterminowe,,,,,9.09,144.44,244.44,472.73,158.33,104.55,6.45,-39.68,-16.13,-37.78,-9.09,-39.47,-26.92,-25.0,-40.0,-100.0,73.68,-100.0,200.0,,-100.0,,-100.0,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,,,,54.14,40.25,46.83,105.3,52.2,26.15,12.87,-8.85,-4.29,11.93,17.67,-1.98,15.74,-2.62,2.08,37.14,75.58,52.39,55.71,83.75,91.1,105.02,109.65,14.12,-1.57,-20.2,-16.68,-48.53,-13.98,52.46,56.16,316.11,126.05,68.22,-94.65,-90.41,-87.98,-80.48,-10.55,-63.59,-72.64,-75.75,85.64,133.9,7.67,-40.91,-57.32,-64.45
Inne zobowiązania krótkoterminowe,,,,,12.06,45.26,-70.56,263.05,37.8,-21.08,312.26,-73.34,-30.29,28.61,-64.3,87.28,53.83,-0.92,319.23,58.83,125.75,41.0,24.31,22.41,33.67,9.87,-9.96,-22.85,6.59,-47.66,-30.33,-35.51,-69.63,78.26,49.02,-7.44,20.55,232.48,-67.89,-50.68,-64.86,-91.0,-6.15,-39.38,-41.2,-22.32,13.54,1.52,55.47,-11.05,-38.85,44.5
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,351.25,323.75,315.15,153.26,-25.73,-27.0,-31.17,-4.31,-7.28,-8.5,-6.24,-9.15,-7.57,5.15,3.06,3.45,3.19,-12.77,-11.36,20.72,22.95,17.26,13.77,-45.52,-43.19,-64.84,-65.25,-60.1,-58.52,-24.61,-18.86,91.72,86.2,44.34,-60.5,86.04,77.55,127.36,719.13,2.04,3.5,6.04,0.01,-1.81,-0.73,-1.31,5.21,8.68
Przepływy pieniężne z działalności operacyjnej,,,,,63.73,116.31,197.95,31.52,-148.08,-86.25,-123.79,-40.7,-53.28,179.84,231.4,-152.14,71.92,-541.79,621.69,-691.79,-525.65,71.43,-89.2,90.44,46.23,-105.71,-305.19,-396.39,-78.34,-41.73,74.02,-11.33,-25.9,64.45,-1440.71,-232.92,100.2,-125.33,-31.25,88.98,-16975.0,52.49,80.31,-21.39,28.3,19.34,565.56,167.7,223.55,139.03,-102.86,-47.71
Amortyzacja,,,,,62.09,60.27,74.77,79.37,-53.22,-54.13,-51.55,-53.0,9.38,-2.48,-18.09,105.85,115.43,143.31,112.99,-134.11,-83.02,-40.05,-64.02,193.18,629.69,106.55,282.2,295.12,-59.96,-67.02,-48.34,-143.21,-58.29,39.1,-37.34,174.76,105.13,-26.73,-207.53,-93.63,-93.13,-93.08,104.46,-110.0,-100.0,-100.0,-100.0,100.0,,,,
Przepływy pieniężne z działalności inwestycyjnej,,,,,-63.19,-102.19,-180.6,-161.43,-94.86,-2.59,37.29,67.37,-302.89,109.35,92.74,100.79,95.13,-3026.09,6305.19,22000.0,59.34,91.92,-105.48,-154.9,358.06,65.44,60.31,69.23,-179.69,1426.6,-523.08,750.0,100.0,-98.88,100.0,-100.0,,-185.71,,,,116.67,-97.01,-100.0,,-100.0,-100.0,,,,,
CAPEX (niematerialne i rzeczowe),,,,,63.19,90.92,198.06,162.2,39.97,-7.26,-30.6,-39.12,-76.72,-76.98,-87.74,-99.37,31.54,-218.75,768.06,377.78,-59.65,203.95,-77.04,1418.6,21.74,-58.54,-63.76,-65.7,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,-100.0,100.0,,,,,,,,,
Przepływy pieniężne z działalności finansowej,,,,,52311.43,-60.98,-184.21,125.64,-112.36,3246.97,20.37,-3780.0,108.81,-118.97,61.63,78.8,-136.18,85.28,493.94,-173.08,51.39,51.72,-104.62,655.87,54.29,2757.14,6166.67,23.9,11068.75,-107.26,179.67,-122.29,16.81,990.74,65.03,1744.95,-137.71,359.04,-39.88,-79.85,98.97,-82.65,-41.19,-57.1,6225.0,71.02,-342.09,-218.28,-254.29,-100.0,100.0,100.0
Emisja akcji,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,-2.82,-100.0,,,-100.0,,,,,,,,,,,,,,,-100.0,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,6854.07,-67.28,-166.48,-931.15,-123.64,367.49,-45.59,60.41,-58.27,-93.0,111.96,19.48,90.8,-7388.24,4141.36,-272.07,-185.14,85.11,-100.82,113.87,67.37,65.99,-212.5,-96.62,81.03,66.53,246.86,-3628.57,115.79,148.81,-123.74,423.08,-4372.22,2760.98,-1660.66,-2.38,100.0,-166.84,113.97,-119.0,,133.55,338.0,8.78,-2733.33,-41.83,-109.13,260.74
