,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Koszty finansowe,,,,,2.48,-4.4,303.7,-52.09,2.42,55.17,-31.65,78.64,14.17,-68.89,-59.06,-75.0,-55.86,-16.67,-6.56,-13.04,-10.94,220.0,45.61,7.5,7.02,-7.14,-68.67,11.63,27.87,26.92,157.69,95.83,-35.9,-53.79,-44.78,-43.62,-40.0,-60.66,-16.22,96.23,56.67,112.5,21296.77,798.08,100.0,115.69,-99.86,-82.98,-94.68,-100.0,-100.0,-93.71,40.0,,,11953.5,,,,,-67.99,6278.15
Pozostałe przychody (koszty),,,,,,,,,,,,,,,-100.0,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-172.48,-6.65,-15.01,80.71,-159.4,-100.52,100.47,-472.08,479.71,5633.33,-52.36,253.5,-204.89,251.81,-160.17,-75.78,74.31,-32.02,27.42,-50.12,11.47,-918.89,-216.19,-696.17,40.8,-8.92,61.1,-7.7,158.11,131.86,78.52,155.14,1313.02,232.71,-1565.59,-735.68,-85.88,-114.65,-238.02,71.6,-139.39,33.45,96.98,214.22,203.55,101.64,36.08,-109.17,-151.43,-1333.33,2208.91,-1040.33,,,,,-105.2,1328.59
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-172.48,-6.65,-15.01,80.71,-159.4,-100.52,100.47,-472.08,479.71,5633.33,-52.36,253.5,-204.89,251.81,-160.17,-75.78,74.31,-32.02,27.42,-50.12,11.47,-918.89,-216.19,-696.17,40.8,-8.92,61.1,-7.7,158.11,131.86,78.52,155.14,1313.02,232.71,-1565.59,-735.68,-85.88,-114.65,-238.02,71.6,-139.39,33.45,96.98,214.22,203.55,101.64,36.08,-109.17,-151.43,-1333.33,2208.91,-1040.33,,,,,-105.2,1328.59
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-171.16,-14.79,-18.66,92.53,-151.14,-53.77,42.42,1713.04,490.5,-113.06,-50.91,167.83,-229.28,3568.75,-248.32,-96.21,76.16,-77.3,18.19,705.31,-5.64,-1321.03,-65.12,-274.84,43.42,-21.29,57.39,-9.18,130.82,124.04,78.51,127.12,1541.5,237.01,-1129.81,-924.84,-87.03,-115.08,-244.64,65.61,-153.99,19.74,96.42,217.81,194.08,98.63,34.18,-110.04,-157.86,-1600.0,2128.85,-892.12,,,,,-104.15,1273.85
Zysk netto akcjonariuszy jednostki dominującej,,,,,-171.16,-37.78,10.43,71.65,-139.02,-38.5,-0.73,498.47,510.14,-131.09,-50.78,192.43,-229.33,1600.0,-256.32,-96.3,76.16,-77.3,18.19,705.31,-5.64,-1321.03,-65.12,-274.84,43.42,-21.29,57.39,-9.18,130.82,124.04,78.51,127.12,1541.5,237.01,-1129.81,-924.84,-87.03,-115.08,-244.64,65.61,-153.99,19.74,96.42,217.81,194.08,98.63,34.18,-110.04,-157.86,-1600.0,2128.85,-892.12,,,,,-104.71,1278.71
Aktywa trwałe,,,,,31.46,13.35,24.13,-23.37,-22.01,-1.61,1.62,-12.14,-38.09,-32.97,-30.32,-3.64,26.88,14.92,-5.05,-37.3,-34.1,-36.92,-27.91,-8.98,-17.56,-18.42,-21.77,-40.51,-42.68,-45.25,-48.28,-40.99,-32.0,-28.9,-23.18,-11.24,-9.42,4.69,-4.38,0.99,465.42,407.96,68.72,-6.96,-83.6,-84.3,-47.86,-6.86,-7.77,-2.29,-2.31,11.17,-5.21,-5.05,-99.08,-99.2,,,,,-75.53,156.62
Wartości niematerialne i prawne,,,,,,,,-21.75,,,,-35.13,-35.01,-37.66,-41.32,-2.54,-2.36,-25.1,-19.51,-64.15,-64.38,-51.52,-52.44,-50.94,-51.09,-51.64,-51.52,-4.95,-5.0,-5.08,-5.14,-6.36,-6.43,-5.95,-6.02,-5.56,-78.12,-79.11,-80.13,-81.05,-22.86,-21.21,-22.58,-24.14,-25.93,-30.77,-33.33,-36.36,-40.0,-44.44,-43.75,-50.0,-58.33,-70.0,-100.0,-100.0,,,,,-80.8,-98.01
Rzeczowe składniki majątku trwałego,,,,,,,,-22.19,,,,-32.34,-28.71,-5.28,16.39,71.82,57.07,15.57,-20.92,-36.21,-39.7,-38.06,-33.48,-44.23,-40.24,-41.41,-35.82,-3.9,-14.77,-13.64,-18.64,-22.6,-11.68,-11.21,-4.41,-99.17,-92.12,-99.3,-99.34,-29.41,-93.08,-28.57,-30.77,-25.0,-27.27,-30.0,-33.33,-66.67,37.5,42.86,50.0,166.67,-36.36,-90.0,-100.0,-100.0,,,,,-45.79,3514.73
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,318.74,82.35,197.76,88.18,-91.87,-89.33,-91.15,-92.65,-41.57,-39.53,-100.0,-100.0,-100.0,-100.0,,,,,18.1,,-100.0,,-100.0,-100.0,,,,,0.0,-36.84,0.0,-100.0,-100.0,,,,,-75.14,81.86
Inwestycje długoterminowe,,,,,,,,-25.15,,,,-6.83,-78.03,-85.38,-96.05,-76.64,-11.01,49.14,402.48,-95.41,-96.89,-98.23,-38.6,-64.06,-20.51,-26.92,-98.05,-34.78,-58.06,-42.11,-47.06,-46.67,-53.85,-63.64,-77.78,24075.0,32133.33,51350.0,101800.0,4.34,539.04,473.28,57.11,-3.96,-84.48,-83.9,-41.32,-4.08,-4.12,-4.21,-4.26,13.82,-4.35,-4.4,-100.0,-100.0,,,,,534.38,2266.35
Pozostałe aktywa trwałe,,,,,,,,5.0,,,,2173.02,3004.84,3610.2,4082.22,63.48,-3.64,16.39,4.52,-16.74,-0.05,-10.63,-36.91,1.85,-3.61,-19.04,10.15,-37.78,-46.0,-55.91,-57.13,-84.94,-83.01,-78.07,-77.99,-37.63,-43.29,-48.65,-38.76,51.72,73.12,96.05,54.43,-33.52,-29.19,-100.0,-100.0,-58.97,-83.33,,,-79.17,-5.26,4.55,-19.05,72.0,,,,,19.13,-100.0
Aktywa obrotowe,,,,,3.08,37.34,30.56,36.71,94.6,3.18,46.93,20.38,32.53,13.12,-20.37,-14.71,-51.17,-34.83,-47.9,-38.91,-2.33,12.49,53.0,18.47,14.15,-28.64,-8.24,-11.62,-45.48,-66.54,-86.12,-42.14,-9.8,135.13,303.41,18.11,53.49,78.97,72.53,13.33,-91.72,-94.82,-89.92,-81.14,12.71,-28.07,-2.82,44.81,109.71,905.48,305.14,87.54,233.44,50.64,59.45,51.4,,,,,-97.8,-76.52
Zapasy,,,,,266.39,414.47,482.19,136.62,59.51,118.67,80.71,69.64,-10.24,6.9,32.29,-27.6,-9.38,-39.61,-57.87,-50.73,-13.45,-26.27,66.12,-35.74,-87.25,-86.49,-65.26,-39.8,-95.31,-94.55,-97.98,-55.93,1533.33,1766.67,880.0,-32.69,-30.61,-46.43,-61.22,-5.71,114.71,213.33,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,-92.9,-39.25
Należności krótkoterminowe,,,,,-4.9,36.17,60.98,57.4,118.57,2.33,54.25,28.49,-5.18,-21.22,-43.3,-31.59,-45.77,-1.89,-35.47,-28.03,11.23,-0.31,70.38,19.62,34.83,-15.26,-2.67,-3.85,-45.71,-66.81,-87.11,-46.2,-75.82,-48.61,4.6,-79.53,-30.17,-29.16,-20.07,-60.4,-48.33,-56.2,-22.68,128.13,-9.44,-49.27,-74.81,32.5,-27.98,-15.71,-44.68,-89.83,-16.0,-20.91,246.15,2059.1,,,,,-99.22,-89.3
Inwestycje krótkoterminowe,,,,,,,,-42.68,,,,-71.94,853.13,494.9,569.55,783.96,-66.84,-96.66,-75.72,-78.22,-46.25,793.17,-62.32,28.49,-99.43,-99.64,-98.45,-95.93,350.0,-62.5,1637.5,1083.33,13591.11,241000.0,4753.96,1182.47,84.79,109.32,103.39,27.52,-99.11,-99.53,-98.72,-93.67,290.1,229.58,546.86,73.56,390.86,2420.51,422.35,377.02,311.69,54.71,54.51,-17.15,,,,,-95.45,-54.15
Środki pieniężne i inne aktywa pieniężne,,,,,,,,-42.68,,,,-71.94,178.11,14.02,152.49,127.43,-73.34,-82.74,-35.62,-15.34,129.13,800.4,-62.32,28.49,-99.43,-99.64,-98.45,-95.93,350.0,-62.5,1637.5,935.19,1235.56,21000.0,5.76,-61.54,-62.56,-77.88,-16.33,193.02,-55.11,-49.29,42.28,-47.3,37.62,223.94,-25.71,-55.72,554.68,2373.91,1973.85,881.63,-71.32,-79.63,-91.84,-80.63,,,,,-80.66,223.16
Pozostałe aktywa obrotowe,,,,,,,,292.31,,,,-34.31,120.0,156.1,580.0,34.33,6.82,-14.76,-71.73,51.11,-14.18,29.05,-14.45,-38.97,-25.62,-37.66,-25.0,30.12,-27.78,-34.72,-44.14,-60.19,-68.46,-64.89,14.52,2.33,2.44,133.33,-12.68,-11.36,135.71,6.49,-1.61,-10.26,-7.07,-9.76,-8.2,-5.71,-3.26,-1.35,-8.93,0.0,4.49,-20.55,-33.33,-60.91,,,,,686.36,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,18.6,25.65,27.62,3.92,23.92,1.08,26.78,7.3,5.59,-6.59,-23.91,-11.06,-33.71,-19.56,-33.91,-38.34,-15.93,-9.18,15.06,8.51,3.51,-25.53,-12.21,-20.42,-44.73,-59.44,-76.21,-41.88,-15.96,61.26,117.49,11.33,39.38,64.22,57.06,11.06,-10.52,-31.18,-70.51,-68.71,-75.98,-80.61,-34.36,19.06,35.82,218.95,134.14,57.76,131.5,37.74,22.67,10.03,,,,,-90.33,27.51
Kapitał własny akcjonariuszy jednostki dominującej,,,,,194.72,185.64,153.66,4.93,3.91,4.97,12.07,6.47,28.11,27.1,18.07,40.82,2.5,-13.78,-19.77,-39.71,-32.57,-20.13,-21.07,-3.48,-3.65,-32.31,-39.49,-58.91,-60.16,-94.19,-100.92,37.42,56.98,1638.88,12943.86,22.32,56.32,78.15,63.22,3.48,-17.93,-40.13,-70.61,-73.02,-78.4,-81.77,-32.97,80.51,125.93,444.04,229.31,93.08,82.85,-5.96,22.54,4.78,,,,,-86.61,-30.07
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.39,194.53,194.53,194.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.98,2.33,2.33,2.33,64.18,49.25,49.25,36.95,-8.25,-8.25,-5.4,,,,,-79.47,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,-46.87,,,,503.86,503.86,31.18,31.18,31.18,31.18,46.07,42.23,36.85,37.55,-20.47,-18.32,-24.06,-24.45,-2.56,-2.56,12.94,12.94,-85.04,-85.04,-22.04,-21.95,-87.51,-87.51,-97.67,-97.68,0.0,0.0,-0.65,-0.65,0.0,0.0,0.0,0.0,0.0,442.11,442.76,442.76,1514.47,197.82,835.15,835.15,214.38,236.23,6.96,,,,,-79.47,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-52.71,-61.34,-55.53,-69.07,-90.39,-31.79,-54.74,-83.81,-68.95,-96.16,-96.13,365.06,645.52,916.5,980.0,-29.79,-28.95,-19.96,-13.89,9.35,17.45,-39.02,-53.23,-26.55,-48.23,-41.29,-56.61,-77.64,-58.89,62.33,217.22,402.74,554.69,462.22,427.97,96.87,23.79,-28.09,-70.7,-67.96,-70.12,-81.92,-51.28,-100.0,-98.92,-99.72,-99.45,,320.0,3400.0,2400.0,72.0,,,,,-71.33,448.04
Z tytułu dostaw i usług,,,,,,,,76.22,,,,-18.77,-13.28,,-50.18,-31.92,-65.89,-45.75,-56.99,-23.08,98.26,53.2,293.8,73.22,12.52,3.94,-4.2,17.28,-32.2,-52.16,-78.61,-76.51,-55.49,-43.21,-20.16,-31.09,-35.75,-31.11,-12.57,-39.46,-40.96,-60.24,-77.72,-50.98,-54.33,-89.98,-88.74,-91.81,-88.71,-53.57,-36.59,-13.95,28.0,42.31,92.31,132.43,,,,,-96.26,-85.89
Kredyty i pożyczki,,,,,,,,-92.7,,,,2347.95,-100.0,,-100.0,-95.19,,,,-85.27,-92.22,-96.28,137.21,-100.0,3440.0,369.09,72.83,,-27.84,589.92,82.66,-6.68,-24.63,-39.1,-50.8,19.54,64.59,14.48,25.79,66.34,20.02,71.47,-100.0,-87.35,-87.38,-89.76,,113.46,-100.0,-100.0,-100.0,-100.0,,,,,,,,,-90.73,-47.64
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,-23.02,-53.85,,-77.92,-82.99,-75.4,-65.48,67.92,-21.21,-22.58,-20.69,-71.91,-11.54,145.83,152.17,124.0,-82.61,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,-1.24,,,,-60.85,-68.95,,-79.43,339.36,605.52,865.05,852.5,-34.46,-30.69,-42.45,-22.7,21.34,25.25,-11.89,-41.26,-35.75,-56.53,-53.97,-56.36,-73.88,-50.26,109.91,217.22,402.74,554.69,462.22,427.97,33.65,-13.84,-54.97,-91.54,-88.07,-89.47,-100.0,-100.0,-100.0,-95.61,,,,320.0,3400.0,2400.0,72.0,,,,,-91.76,2099.14
Zobowiązania krótkoterminowe,,,,,27.89,47.86,66.25,25.19,94.31,16.21,97.46,22.29,-26.4,-29.07,-55.43,-29.5,-34.7,-1.65,-30.5,-37.18,12.48,4.63,80.27,23.9,9.52,-18.53,10.48,18.78,-31.26,-34.55,-66.51,-67.71,-49.75,-42.88,-32.2,-18.22,-10.35,-16.2,-7.67,9.94,-1.93,4.26,-69.96,-60.03,-72.98,-76.97,-26.31,-31.74,-64.44,-65.46,-64.58,-74.53,687.36,1360.31,7.63,155.76,,,,,-95.53,-72.72
Inne zobowiązania krótkoterminowe,,,,,,,,21.25,,,,17.79,-36.97,,2.51,54.96,31.91,87.13,9.13,-48.75,-33.68,-10.92,-64.53,-47.92,-50.21,-56.08,90.26,-34.38,-32.95,-50.22,-83.9,-42.98,-49.23,-45.11,-2.74,-26.74,-34.51,-21.15,-68.18,44.27,64.19,20.4,301.36,2.56,-54.21,-13.44,-25.25,-39.9,4.08,-50.85,-49.43,-49.34,-23.86,3.03,-2.24,159.48,,,,,,-72.83
Rozliczenia międzyokresowe,,,,,5.85,27.77,15.67,18.28,35.39,-28.61,-46.39,-11.05,83.85,54.47,120.5,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,18.6,25.65,27.62,3.92,23.92,1.08,26.78,7.3,5.59,-6.59,-23.91,-11.06,-33.71,-19.56,-33.91,-38.34,-15.93,-9.18,15.06,8.51,3.51,-25.53,-12.21,-20.42,-44.73,-59.44,-76.21,-41.88,-15.96,61.26,117.49,11.33,39.38,64.22,57.06,11.06,-10.52,-31.18,-70.51,-68.71,-75.98,-80.61,-34.36,19.06,35.82,218.95,134.14,57.76,131.5,37.74,22.67,10.03,,,,,-90.33,27.51
Przepływy pieniężne z działalności operacyjnej,,,,,-8.64,-40.82,41.89,-703.83,16.81,1.86,-405.67,-184.48,567.39,-37.76,39.99,131.7,-134.15,48.96,100.0,-102.5,130.15,161.85,,2466.67,-661.32,97.65,57.44,-57.1,78.12,-120.75,68.58,-589.65,847.8,129.51,-71.23,-175.76,-105.65,-325.24,32.99,100.84,-77.52,-20.69,85.32,102.22,63.52,150.36,-1577.08,565.93,789.64,6.38,100.75,-120.96,-106.91,-69.33,-1583.33,34.34,,,,,140.51,300.18
Amortyzacja,,,,,-3.7,108.33,53.26,-50.81,73.08,-21.0,15.6,-7.19,-33.97,-31.33,-25.15,-29.68,31.25,19.35,-100.0,99.08,-34.43,-1.16,,-113.13,-46.93,-67.58,-28.21,231.58,-26.32,-57.83,-37.5,-62.67,-61.43,-22.86,-22.86,-7.14,-11.11,-14.81,-14.81,-15.38,-4.17,-4.35,0.0,0.0,0.0,0.0,0.0,4.55,-4.35,4.55,0.0,0.0,4.55,-4.35,-4.35,-94.13,,,,,-93.12,286.23
Przepływy pieniężne z działalności inwestycyjnej,,,,,-72.38,-113.83,106.77,265.47,-175.4,74.74,278.38,-296.51,6645.39,505.48,-96.8,41.01,-99.89,238.51,-100.0,183.96,1720.0,-129.14,,-72.63,-114.84,100.0,100.0,-124.92,1685.19,,,-3311.54,-1324.3,-1850.0,-75.0,199.98,99.08,101.43,-100.0,-99.7,100.0,-100.0,,-125.0,,,,-22850.0,,,,-21.57,-44775.0,-119.63,71.67,115.34,,,,,-238.86,-801.93
CAPEX (niematerialne i rzeczowe),,,,,679.31,898.55,652.21,284.55,-65.19,-69.52,-58.82,-70.69,437.71,376.19,47.71,887.9,-99.13,-47.8,-98.84,-111.76,1654.55,-71.26,5750.0,-359.03,-100.0,-73.33,-100.0,126.17,,-65.0,,-100.0,,-100.0,,,,,,,-100.0,,,100.0,,,,,,,,,-100.0,-100.0,,,,,,,,37525.2
Przepływy pieniężne z działalności finansowej,,,,,97.6,-183.02,-805.77,130.77,1485.29,220.42,826.33,-7387.5,-2740.34,-57.86,-28.33,121.27,111.61,-116.05,-100.0,-689.92,-101.8,34.46,,53.79,7496.15,-1637.11,21.43,71.3,-86.06,117.98,-54.58,4059.28,-96.27,-100.0,-99.76,-98.71,3400.0,,30900.0,350.51,-100.0,64.47,-50.97,-84.3,,-120.0,197.37,731.43,,7648.0,-100.0,-101.72,546.43,-74.83,,-145.01,,,,,-103.84,46.58
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,-100.94,,-100.0,,100.0,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,1348.72,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,37.72,-13325.81,63.43,-27.9,32.63,103.85,202.59,-1792.58,374.51,-1035.44,-92.97,91.48,-119.0,64.68,-100.0,185.98,262.22,188.51,,11.21,-281.64,-100.65,100.64,-94.73,99.32,-1300.0,1136.36,813.04,566.67,178.57,-457.35,-82.62,-90.48,-339.39,96.5,594.52,-13325.0,62.03,711.76,-69.03,63.52,403.33,-439.42,71.97,495.34,5152.75,-748.16,-564.07,-254.91,-82.68,68.64,105.05,,,,,140.72,291.38
