,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Koszty finansowe,,,,,-16.87,-3.87,-28.34,-17.05,-6.84,-12.09,11.24,-43.77,-4.65,0.69,-37.17,88.09,43.9,17.93,98.71,-0.44,-39.16,500.0,74.27,194.97,-73.02,-78.03,-23.31,-53.11,300.0,29.81,-17.92,-8.13,-13.59,-54.89,-18.29,-51.22,23.43,-59.39,20.22,10.26,-61.27,-8.21,-28.08,-34.63,25.66,-36.18,-35.07,41.39,14.66,380.89,69.77,102.34,-100.0,54.44
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-59.74,179.17,-71.64,84.05,16.72,-366.19,128.51,216.78,181.66,108.93,-98.62,-95.4,-305.64,389.75,-15846.67,-4037.5,-1.71,-1601.07,114.48,-3179.68,-9.28,47.85,-311.4,-43.21,92.72,194.83,46.89,94.47,-326.11,-308.57,219.79,168.7,188.01,105.58,257.17,-179.18,-58.22,39.97,-178.82,965.17,-317.73,39.5,44.71,-6.36,443.32,-15.28,256.01,-7.35,-234.58,47.88
Wynik zdarzeń nadzwyczajnych,,,,,-100.0,-633.33,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-62.02,178.1,-71.64,84.05,16.72,-370.49,128.51,216.78,181.66,108.93,-98.62,-95.4,-305.64,389.75,-15846.67,-4037.5,-1.71,-1601.07,114.48,-3179.68,-9.28,47.85,-311.4,-43.21,92.72,194.83,46.89,94.47,-326.11,-308.57,219.79,168.7,188.01,105.58,257.17,-179.18,-58.22,39.97,-178.82,965.17,-317.73,39.5,44.71,-6.36,443.32,-15.28,256.01,-7.35,-234.58,47.88
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-55.28,168.5,-66.9,46.93,13.04,-385.02,63.91,157.76,193.0,112.35,-97.2,-106.25,-277.06,311.91,-15133.33,-3430.0,7.55,-1654.58,101.6,-2674.79,-72.62,67.89,-2063.89,-9.67,92.79,216.53,31.4,92.46,-239.57,-347.3,142.68,149.63,144.69,105.03,453.14,-205.97,-73.07,137.77,-203.41,793.9,-714.89,-15.75,35.98,-7.58,365.74,-15.84,197.89,-6.11,-257.36,50.45
Zysk netto akcjonariuszy jednostki dominującej,,,,,-55.28,168.5,-66.9,46.93,13.04,-385.02,63.91,157.76,193.0,112.35,-97.2,-106.25,-277.06,311.91,-15133.33,-3430.0,7.55,-1654.58,101.6,-2674.79,-72.62,67.89,-2063.89,-9.67,92.79,216.53,31.4,92.46,-239.57,-347.3,142.68,149.63,144.69,105.03,453.14,-205.97,-73.07,137.77,-203.41,793.9,-714.89,-15.75,35.98,-7.58,365.74,-15.84,197.89,-6.11,-257.36,50.45
Aktywa trwałe,,,,,12.62,-0.15,0.38,-32.11,-34.63,-21.96,-23.59,10.61,12.75,4.28,6.83,11.49,11.47,10.88,14.27,6.12,62.95,143.67,130.6,99.68,27.58,-27.34,9.36,1.79,-0.6,13.75,-24.77,-7.48,-5.23,-27.51,-27.79,-28.9,-29.26,-7.73,-8.62,-7.95,-7.44,-3.79,2.24,0.31,10.57,19.04,17.21,24.53,37.09,41.77,54.09,76.63,89.84,104.52
Wartości niematerialne i prawne,,,,,7.2,5.74,5.25,-28.29,-29.36,-24.32,-25.89,50.19,43.83,10.9,18.91,-18.26,2.96,51.62,93.4,46.26,1563.98,2507.17,2057.28,2122.84,77.01,-39.99,-41.04,-38.49,-42.41,-5.4,-6.22,-9.31,-3.88,-93.42,-91.58,-92.47,-93.18,-10.16,-37.89,-38.35,-42.55,-43.66,-42.91,-43.55,-41.98,-32.35,-31.9,-36.81,-26.87,-12.53,16.09,59.65,45.94,13.45
Rzeczowe składniki majątku trwałego,,,,,2.54,8.56,8.23,7.57,4.49,6.64,5.73,2.19,4.52,4.69,6.44,13.83,12.81,9.04,14.13,6.11,32.51,99.31,85.27,44.08,13.3,-33.14,19.64,10.56,7.83,29.52,-27.84,0.14,2.06,-21.2,-21.87,-22.87,-22.9,-7.39,-7.34,-6.68,-6.13,-4.13,2.14,1.37,13.56,24.51,22.3,31.08,46.64,54.2,68.92,93.78,103.83,115.27
Należności długoterminowe,,,,,,,,,,,,,,33.76,,-16.94,12.82,6.04,-8.81,9.59,-17.12,-100.0,-97.28,74.26,69.63,,188.89,-92.84,-99.18,468.75,344.62,187.56,2373.91,-95.05,-95.33,-95.5,-95.25,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,-29.63,-29.63,-29.63,-29.63,-73.68,-73.68,-73.68,-73.68,0.0
Inwestycje długoterminowe,,,,,-0.86,4.91,10.27,-91.82,-92.84,-93.13,-92.23,-12.4,-2.41,-2.41,-25.99,-14.56,-12.45,-12.37,0.09,0.09,0.09,-31.04,-54.09,-54.09,-54.09,-33.42,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,32.6,32.6,32.6,0.0,0.0,0.12,0.0,60.49
Pozostałe aktywa trwałe,,,,,466.06,-75.31,-75.79,-77.13,-80.9,122.58,164.1,96.19,95.42,-14.53,-29.22,22.08,6.06,43.78,15.69,-4.13,42.71,61.66,72.33,60.2,16.71,134.47,150.94,174.07,216.02,-27.42,-28.42,-40.49,-40.52,16.22,14.67,13.35,10.6,-11.71,-14.21,-13.52,-12.91,1.15,8.22,-1.69,1.19,-11.57,-13.42,-14.29,-20.99,-27.41,-31.34,-34.22,-21.92,-30.67
Aktywa obrotowe,,,,,131.16,174.85,153.77,37.16,19.56,-0.27,-4.11,-27.32,-0.56,5.05,4.44,23.52,40.27,16.52,42.1,53.73,2.48,-26.83,-44.54,-63.74,-57.1,-44.85,-49.61,-1.74,1.66,-14.23,7.77,-30.13,-44.52,-34.29,-32.14,-26.56,-17.76,2.88,-16.68,-1.2,16.41,49.24,41.3,172.08,90.91,85.39,133.6,-10.37,-6.56,35.59,22.49,23.32,43.35,-17.7
Zapasy,,,,,-15.25,94.73,158.58,188.58,235.96,88.89,43.54,45.22,29.23,7.28,6.01,5.98,4.3,0.53,19.58,19.21,18.36,-25.12,-39.8,-54.5,-60.9,-69.14,-76.73,-68.98,-66.75,-13.1,19.5,35.17,39.58,-25.54,-29.38,-25.0,-5.51,24.34,26.46,5.61,-3.18,5.45,30.35,4.17,10.61,2.51,-6.94,27.27,11.75,35.93,41.55,19.23,41.57,22.15
Należności krótkoterminowe,,,,,28.21,107.74,76.27,35.17,-5.7,-55.0,-49.21,-41.97,-12.11,13.18,-12.4,-7.04,-0.16,56.5,-2.19,75.92,87.89,6.01,32.97,-16.72,-19.81,-23.1,-12.83,-19.69,-36.62,-17.34,5.24,1.94,-34.3,-3.53,-17.48,15.53,-31.19,-19.4,-38.99,-15.28,134.75,103.71,52.06,53.87,52.59,9.08,45.08,15.45,52.04,29.79,58.46,102.04,32.5,81.93
Inwestycje krótkoterminowe,,,,,6746.32,2659.14,-2.25,-43.99,-99.52,-79.72,-62.16,-98.38,-10.32,-57.93,453.23,3159.18,16972.57,571.58,911.34,213.89,-65.36,-99.1,-93.84,-98.59,-97.26,11941.51,597.13,4459.53,10525.14,-63.66,-58.33,-86.85,-98.19,-74.13,-7.18,-71.56,570.74,10.0,-88.78,77.93,-56.8,178.64,259.49,2009.46,1128.24,958.56,2350.56,-33.74,-73.78,39.17,2.47,-30.2,107.85,-91.97
Środki pieniężne i inne aktywa pieniężne,,,,,6220.0,4523.42,526.13,-98.8,-99.48,-79.72,-62.16,-52.19,-57.94,-60.28,453.23,5051.61,36300.0,603.26,906.74,213.18,-65.72,-99.09,-93.81,-98.58,-97.23,10622.64,-33.11,-98.35,-74.32,-59.19,334.32,36314.29,648.94,-97.5,-27.77,-93.88,409.09,1037.93,-85.59,726.92,-43.08,178.64,259.49,2009.46,638.04,677.38,2350.56,-33.74,-56.36,89.51,2.47,-30.2,107.85,-91.97
Pozostałe aktywa obrotowe,,,,,5.26,766.95,1162.61,,8714.17,-87.09,-87.94,-98.47,-90.9,-8.37,-50.98,388.2,52.39,12.31,198.1,-14.38,-31.72,-4.06,-72.69,-38.78,-71.03,-72.14,-32.87,-54.13,-44.14,-6.91,69.79,84.66,157.41,59.9,-3.68,42.41,-26.62,-24.15,63.27,18.11,16.67,81.22,26.53,22.49,-3.08,-3.15,15.21,9.32,26.88,23.02,-2.14,9.16,18.68,-7.18
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,44.53,44.63,43.8,0.38,-11.3,-11.41,-13.86,-13.69,5.03,4.7,5.5,17.98,27.3,13.98,29.59,33.02,26.34,47.93,24.89,-7.02,-14.01,-32.2,-6.45,0.89,-0.05,7.43,-20.07,-13.1,-15.02,-28.73,-28.64,-28.43,-27.39,-5.97,-10.11,-6.57,-3.05,5.86,8.94,37.47,28.35,36.07,43.11,9.59,22.73,39.61,42.61,57.96,78.19,63.03
Kapitał własny akcjonariuszy jednostki dominującej,,,,,200.83,256.09,233.77,0.06,0.43,-10.61,-10.13,-9.31,-4.75,30.7,29.18,28.7,21.29,-2.13,-6.0,-6.59,-6.55,-65.06,-63.56,-81.25,-86.64,-94.37,138.15,268.04,431.28,5029.37,30.87,63.5,62.04,-47.41,-51.0,-49.73,-48.4,8.12,11.12,8.37,7.46,13.51,6.2,77.46,74.4,99.84,104.29,28.39,32.9,41.59,44.03,43.25,37.32,6.71
Kapitał (fundusz) podstawowy,,,,,28.53,28.53,28.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.78,14.78,14.78,14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.82,29.82,40.67,40.67,8.35,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,2.79,4.82,4.82,1.97,1.97,7.66,7.66,7.66,7.66,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,441.97,441.97,441.97,1.15,1.15,1.15,1.15,0.0,0.0,24.68,23.44,23.44,23.44,-0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,5.45,8.2,1.41,4.81,3.9,1.05,7.82,-0.21,-0.24,-0.02,-0.02,-0.02,0.0,0.0,0.0,0.0,32.65,32.19,52.45,52.45,14.93,15.33,25.7,25.69,26.5,26.49,1.14
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-12.36,-10.66,-8.14,-59.41,-56.67,-39.13,-48.17,14.16,8.07,7.4,23.59,28.54,36.66,-3.13,4.59,-7.38,23.13,38.76,30.61,23.29,-20.22,24.75,46.42,59.49,74.43,6.86,-11.03,-6.54,-53.84,-9.72,-14.99,-21.37,81.73,-16.6,5.35,10.48,-19.18,-14.37,-28.76,1.0,8.02,4.64,16.73,-22.39,-20.14,31.77,51.9,144.52,306.62,269.9
Z tytułu dostaw i usług,,,,,-37.59,-15.76,4.47,11.63,104.45,89.84,29.91,38.92,20.08,-60.7,-69.52,-64.42,-44.48,25.44,-100.0,-100.0,-100.0,240.31,,,,-95.2,,,,1512.23,178.25,149.68,202.73,-47.03,-21.0,-5.6,-32.74,61.5,-41.99,-50.93,-34.91,-19.42,60.6,47.71,6.74,-25.71,-13.95,-12.53,42.25,38.44,46.21,22.65,-26.11,31.02
Kredyty i pożyczki,,,,,140.85,14.52,-25.66,254.2,-31.09,-16.21,-29.7,-78.31,8.79,43.12,152.29,101.24,25.67,132.8,-100.0,-100.0,-100.0,66.8,,,,-11.93,,,,-80.93,-78.15,-67.7,2.41,218.47,233.8,140.89,-93.24,-97.37,-98.91,-37.22,1121.39,2985.06,9705.1,1.25,-68.28,-51.12,-31.74,44.08,196.89,87.09,-1.14,1.01,98.55,16.4
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,-54.69,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-45.39,-4.59,-1.15,27.11,63.99,23.56,7.58,-27.35,-19.17,5.93,0.78,29.1,35.15,12.07,-100.0,-100.0,-100.0,47.16,,,,117.94,,,,-92.06,-93.96,-93.27,-97.89,-35.0,-27.9,-21.86,17.85,14.79,21.58,-2.77,-5.74,-9.28,10.42,21.94,22.99,-63.35,-67.09,-67.99,-65.77,169.77,212.4,471.53,498.68,166.38
Inne zobowiązania długoterminowe,,,,,-34.8,-41.94,-6.51,-100.0,-59.36,107.9,-17.56,,102.86,-100.0,-100.0,-18.65,15.27,,,-100.0,-100.0,116.49,,,,344.61,,,,75.81,17.95,29.15,-51.04,13.89,6.98,-2.49,59.58,-59.41,-40.09,-11.82,-11.4,49.66,4.1,14.8,24.76,21.12,40.1,-14.36,-21.43,12.04,34.4,102.37,148.16,143.7
Zobowiązania krótkoterminowe,,,,,-14.1,-6.6,-6.71,96.55,43.71,65.63,56.65,-13.97,51.32,-40.57,-39.8,-33.74,-26.45,55.41,87.13,100.42,83.81,355.63,205.97,137.27,128.21,-39.56,-39.16,-32.53,-37.83,-61.32,-63.14,-61.36,-38.97,-14.39,9.63,14.01,-43.24,-9.16,-52.7,-39.23,5.1,21.41,112.89,24.27,-18.8,-30.07,-18.12,3.34,54.14,42.43,26.42,15.61,14.89,26.6
Inne zobowiązania krótkoterminowe,,,,,-52.12,-1.84,-14.26,89.51,99.8,121.48,387.06,142.24,275.08,-46.15,-58.88,-52.74,-31.87,31.37,-100.0,-100.0,-100.0,1216.92,,,,-31.57,,,,-92.4,-92.2,-91.45,-91.06,-22.88,-5.11,-12.02,31.22,21.04,33.08,16.68,-4.42,13.01,-13.47,4.61,9.35,1.92,11.07,3.66,8.11,2.71,8.21,9.57,14.04,15.5
Rozliczenia międzyokresowe,,,,,691.67,25.17,37.17,49.41,8.62,-57.7,-67.86,-69.93,-56.59,0.0,17.39,304.88,514.06,194.08,449.58,170.23,51.89,-34.78,-54.0,-74.56,-73.35,37.03,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,44.53,44.63,43.8,0.38,-11.3,-11.41,-13.86,-13.69,5.03,4.7,5.5,17.98,27.3,13.98,29.59,33.02,26.34,47.93,24.89,-7.02,-14.01,-32.2,-6.45,0.89,-0.05,7.43,-20.07,-13.1,-15.02,-28.73,-28.64,-28.43,-27.39,-5.97,-10.11,-6.57,-3.05,5.86,8.94,37.47,28.35,36.07,43.11,9.59,22.73,39.61,42.61,57.96,78.19,63.03
Przepływy pieniężne z działalności operacyjnej,,,,,,-1213.45,,,,89.7,,,112.0,-289.41,24.08,1479.36,-1515.76,115.64,191.26,-89.3,23.6,237.51,686.95,-1780.61,125.91,560.73,-67.78,108.32,35.46,-114.18,-220.25,37.76,-122.45,146.73,211.51,-203.96,1040.76,-105.59,-82.35,-52.51,-92.85,3128.24,6.78,103.65,-660.82,-160.99,-107.8,-1307.26,203.2,216.56,-620.34,-326.19,-137.66,34.81
Amortyzacja,,,,,25.6,-14.11,-12.25,-16.59,-10.43,4.37,-25.88,-25.84,-17.64,-17.76,14.32,8.52,47.75,-36.46,49.45,61.66,2.32,188.78,45.74,41.0,37.96,7.55,20.18,90.07,83.06,44.38,25.86,-21.86,-13.68,31.45,-5.14,0.27,-4.16,-20.34,4.22,-1.02,-0.75,-2.73,-0.67,10.24,-2.05,28.77,9.17,-3.18,7.04,-36.02,-1.74,5.09,16.22,27.0
Przepływy pieniężne z działalności inwestycyjnej,,,,,,-298.9,,,,112.66,,,-102.54,-83.74,26.98,-82.43,224.0,-511.02,-301.36,40.96,-6085.59,-2168.58,67.4,84.8,99.37,65.61,82.64,88.24,136.57,231.56,-529.85,-6281.25,-348.44,-119.45,-36.97,81.39,-152.83,146.07,44.64,-327.89,-51.24,-159.17,-856.56,-11.44,-1010.2,2294.37,167.66,-802.87,-102.98,-214.87,-165.52,-63.91,-163.21,-208.37
CAPEX (niematerialne i rzeczowe),,,,,,-86.5,,,,-76.09,,,-83.2,-108.86,-82.43,138.25,150.0,-268.1,1130.99,1062.76,-272.74,4700.7,-55.84,-98.35,110.08,-79.27,-82.64,-95.8,-136.57,-90.55,529.85,6275.0,348.44,170.91,36.97,-81.37,152.83,-134.9,-44.64,327.89,51.24,178.02,856.56,11.44,1129.28,2360.21,-88.14,535.76,117.17,106.11,2304.41,361.34,153.03,151.58
Przepływy pieniężne z działalności finansowej,,,,,,1868.76,,,,-91.41,,,96.9,157.99,706.25,-528.9,3762.41,-293.44,302.92,2140.7,-36.3,112.93,-191.07,21.36,-117.68,-1116.92,61.09,-110.89,-32.55,100.91,238.42,39.63,56.21,-560.12,-136.71,155.79,-227.7,-97.54,51.35,675.96,97.17,3.73,287.47,416.41,-8174.4,243.33,439.7,-86.79,64.04,1282.82,-107.36,114.09,941.92,-48.67
Emisja akcji,,,,,,,,,,-100.0,,,,,,,,,,,,,,-100.0,,,,,,-100.0,,,,,,,,,,,,,,,,,,-100.0,,-100.0,,,,
Dywidenda,,,,,,-47.93,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,,125437.5,,,,-81.15,,,98.69,-59.06,132.97,814900.0,7400.75,-1838.97,1359.83,88.48,-340.93,51.32,-90.34,-103.13,98.97,107.45,-124.15,4.37,116.94,364.62,252.43,81.74,-5456.1,-112.98,486.94,-1978.57,174.54,-283.73,-120.94,158.19,-116.55,172.44,-121.24,2481.3,-7163.47,725.49,1252.58,-123.29,25.09,251.71,-123.96,-98.87,60.95,-119.55
