,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Wartości niematerialne i prawne,,,,,,,,,,,,,,,,-20.84,4568.0,4322.35,3916.3,4301.06,1393.14,17.61,3.41,9.85,3.56
Rzeczowe składniki majątku trwałego,,,,,-36.21,-39.62,-28.07,-37.5,-45.95,-50.0,-48.78,40.0,70.0,287.5,271.43,251.43,311.76,774.19,475.64,530.08,407.86,17.16,26.95,-36.26,-39.8
Należności długoterminowe,,,,,0.0,-7.69,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,6.16,6.16,43.34,-100.0,88.95,1392.7,1098.61,,53.42,-14.99,53.52,-1.55,726.49,85.09,21.09,24.99,-19.35
Pozostałe aktywa trwałe,,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,835.9,395.95,370.93,593.67,303.56
Aktywa obrotowe,,,,,70.57,52.2,45.6,5.4,7.45,2.34,66.75,113.92,161.5,183.96,88.31,71.01,97.75,7.95,-33.46,-46.89,-63.2,-43.99,-24.04,-22.84,-30.99
Zapasy,,,,,78.98,58.44,39.31,27.95,6.69,-2.96,-23.81,-23.46,15.31,11.32,42.21,81.86,83.93,-100.0,-100.0,-100.0,-100.0,,,,
Należności krótkoterminowe,,,,,977.53,76.7,96.45,-28.1,-42.65,-0.16,149.67,296.61,310.73,580.35,73.32,78.73,128.24,26.3,47.56,17.85,33.44,19.32,-25.82,-4.93,-39.42
Inwestycje krótkoterminowe,,,,,-75.0,-23.3,-49.18,-82.61,206.54,46.49,2721.94,3475.36,1250.46,1131.03,152.35,64.05,100.33,72.57,-29.1,-34.54,-68.11,-66.43,-22.5,-35.61,-20.74
Środki pieniężne i inne aktywa pieniężne,,,,,-75.0,-23.3,-49.18,-82.61,205.14,46.49,2721.94,3475.36,1256.66,1129.62,151.78,63.37,17.59,-94.8,-83.76,-76.3,-58.77,748.57,110.35,24.28,-36.62
Pozostałe aktywa obrotowe,,,,,2240.0,407.55,473.77,3480.0,46.15,29.74,39.43,35.75,-12.57,15.76,-16.39,36.01,59.87,-100.0,-100.0,-100.0,-100.0,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,82.86,63.07,55.64,9.49,6.58,1.84,64.03,105.15,156.17,278.64,150.97,154.18,102.03,58.46,44.77,11.88,18.58,-0.24,0.68,4.47,-11.21
Kapitał własny akcjonariuszy jednostki dominującej,,,,,90.24,77.82,61.33,13.91,13.67,7.85,61.57,43.3,117.32,206.25,117.56,199.61,59.1,54.7,41.76,8.56,31.75,-10.35,-5.3,-2.26,-21.87
Kapitał (fundusz) podstawowy,,,,,4.38,4.38,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,95.15,102.45,102.45,3.68,3.74,0.0,0.0,0.0,0.0,0.0,132.04,132.04,86.59,-3.61,-58.46,-58.46,-48.34,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,5.74,133.87,48.79,-1.82,-9.81,2.74,-8.08,2.21,1.72,-8.57
Zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,2475.5,40.59,28.79,11.81,26.01
Z tytułu dostaw i usług,,,,,-42.19,-73.48,-78.28,-31.91,3.6,-27.87,147.17,121.88,190.43,390.91,85.5,530.99,226.95,558.33,591.77,204.91,95.79,145.64,92.33,185.21,61.46
Kredyty i pożyczki,,,,,-100.0,,,,,,,,,,,,,0.0,32.44,42.11,-1.03,476.24,-54.22,-100.0,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,18.96,67.32,159.41,23.04
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,41.72,29.67,11.64,5.37
Zobowiązania krótkoterminowe,,,,,-30.15,-56.67,-52.26,-60.98,0.55,9.62,967.72,2616.67,170.65,250.0,-39.6,-22.85,459.24,360.65,264.1,131.61,5.35,135.36,26.09,88.63,34.94
Inne zobowiązania krótkoterminowe,,,,,46.94,330.0,236.36,-78.95,-4.17,62.79,1555.41,7606.25,137.68,17.14,-89.47,-87.1,578.05,26.83,331.01,86.16,-99.64,-100.0,-100.0,-19.93,5900.0
Rozliczenia międzyokresowe,,,,,114.59,-1.25,68.93,-22.72,-100.0,-100.0,-100.0,-100.0,,,,,503.33,-90.92,-100.0,-100.0,-100.0,-100.0,,,
Pasywa razem,,,,,82.86,63.07,55.64,9.49,6.58,1.84,64.03,105.15,156.17,278.64,150.97,154.18,102.03,58.46,44.77,11.88,18.58,-0.24,0.68,4.47,-11.21
Przepływy pieniężne z działalności operacyjnej,,,,,-29.4,67.27,163.94,110.37,166.67,121.11,1689.57,-1570.83,-637.22,-3361.4,-93.43,-95.18,-2.25,10.11,-136.69,175.18,63.71,155.89,1091.21,-38.74,91.45
Amortyzacja,,,,,0.0,-20.0,0.0,-40.0,100.0,0.0,0.0,66.67,0.0,50.0,150.0,160.0,166.67,6500.0,3310.0,2115.38,5987.5,71.21,-13.2,105.21,30.39
Przepływy pieniężne z działalności inwestycyjnej,,,,,-1165.0,,-100.0,-1100.0,100.0,,,-615.0,,,-74.77,1740.56,-115.75,-261.05,-1317.01,-118.97,648.7,36.35,65.48,-138.2,-140.77
CAPEX (niematerialne i rzeczowe),,,,,-100.0,,,,,,,,,,930.0,183.33,16640.0,1566.67,2632.04,4880.39,138.83,-36.1,-60.91,-30.98,-63.28
Przepływy pieniężne z działalności finansowej,,,,,-83.33,-100.0,,-100.0,-100.0,,,,,,,-81.11,-42.83,-74.96,-217.4,-107.76,-42.21,-113.09,98.59,-45.16,-111.96
Emisja akcji,,,,,-32.46,-100.0,,,-100.0,,,,,,,-79.88,-92.76,-73.09,-95.26,-78.5,208.63,-100.0,-100.0,-100.0,-100.0
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0
Przepływy pieniężne razem,,,,,-251.63,-20.0,164.72,-94.12,145.74,121.11,1636.97,5721.15,226.91,-347.37,-37.38,-64.39,-214.75,-2138.3,-338.39,-2.88,185.36,85.71,98.46,-118.91,-158.82
