,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Zysk z działalności gospodarczej,,,,,-181.16,-264.1,-680.0,50.49,-259.03,97.65,91.45,83.17,15.56,-5110.0,-650.0,-558.82,32.61,109.98,226.0,358.93,93.55,1007.69,221.69,78.62,1206.52,91.32,176.15,91.31,-112.38
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-181.16,-264.1,-680.0,50.49,-259.03,97.65,91.45,83.17,15.56,-5110.0,-650.0,-558.82,32.61,109.98,226.0,358.93,93.55,1007.69,221.69,78.62,1206.52,91.32,176.15,91.31,-112.38
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-188.58,-216.51,-3150.0,53.66,-194.74,94.49,92.31,151.58,9.64,-2152.63,-880.0,-253.06,30.93,108.18,182.99,377.33,85.55,1240.0,267.21,83.17,346.53,111.94,309.15,124.41,-167.87
Zysk netto akcjonariuszy jednostki dominującej,,,,,-188.58,-216.51,-3150.0,53.66,-194.74,94.49,92.31,151.58,9.64,-2152.63,-880.0,-253.06,30.93,108.18,182.99,377.33,85.55,1240.0,267.21,83.17,346.53,111.94,309.15,124.41,-167.87
Aktywa trwałe,,,,,25.93,52.81,110.45,129.31,316.06,257.52,187.11,497.52,124.96,111.93,104.09,-10.54,-11.97,-7.91,-7.82,-6.4,0.86,0.28,3.71,7.91,8.43,14.21,26.8,87.39,72.05
Wartości niematerialne i prawne,,,,,18.38,37.8,112.56,142.91,317.24,141.4,125.51,144.85,-3.04,59.5,45.31,34.22,25.54,21.24,17.35,17.6,22.79,27.3,33.04,35.49,34.4,34.76,34.39,25.95,18.01
Rzeczowe składniki majątku trwałego,,,,,493.33,330.43,134.43,89.89,53.93,72.73,682.52,3520.71,3678.1,2561.99,265.5,-42.21,-45.38,-38.09,-37.78,-37.19,-29.04,-36.62,-36.39,-34.76,-38.53,-44.01,-15.94,367.15,356.85
Należności długoterminowe,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-18.29,-18.29,-18.29,-18.29,0.0,0.0,216.42,216.42,216.42
Inwestycje długoterminowe,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,2.04,132.2,82.11,89.47,762.0,1228.47,217.34,210.0,80.97,-54.07,58.29,66.31,28.85,22.97,15.19,-0.32,-10.55,-18.29,-31.67,-37.41,-43.94,-4.52,39.18,95.85,143.45
Aktywa obrotowe,,,,,243.3,190.81,90.81,69.68,-48.92,-37.61,-38.9,-26.67,-7.75,-27.91,3.75,-10.95,5.68,-0.52,-3.06,-11.45,62.17,101.64,102.47,139.51,71.37,103.54,91.02,97.84,73.13
Zapasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,12.79,30.28,58.06,40.86,52.73,50.0,10.92,39.58,16.01,-2.65,-8.24,-32.55,-43.41,-52.64,-39.59,-13.28,41.83,37.54,85.79,50.93,106.05,120.62,100.35,4.88,-33.47
Inwestycje krótkoterminowe,,,,,1212.76,689.26,323.32,239.68,-75.28,-66.21,-71.69,-73.41,-43.71,-76.53,53.28,138.93,171.51,374.56,65.56,-23.17,78.09,145.26,101.05,290.66,38.99,93.54,82.93,181.03,178.43
Środki pieniężne i inne aktywa pieniężne,,,,,1212.76,689.26,323.32,239.68,-75.28,-66.21,-71.69,-73.41,-43.71,-76.53,53.28,138.93,171.51,374.56,65.56,-23.17,78.09,145.26,101.05,290.66,38.99,93.39,82.93,181.03,178.43
Pozostałe aktywa obrotowe,,,,,61.26,77.19,-18.11,15.23,-67.32,-77.97,-73.22,-84.87,-39.32,-10.11,-32.11,-60.92,66.2,46.25,33.78,282.35,57.63,136.75,245.45,236.15,178.49,122.74,102.05,42.79,25.48
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,149.76,134.87,96.95,87.45,30.27,40.23,36.55,164.5,84.21,66.12,74.18,-10.61,-9.26,-6.86,-6.98,-7.29,11.84,15.67,21.99,29.96,24.77,37.86,46.52,90.62,72.44
Kapitał własny akcjonariuszy jednostki dominującej,,,,,179.28,172.19,161.53,227.28,-37.33,-31.19,-27.54,-25.1,-27.39,-45.88,63.29,58.65,124.48,205.5,5.17,12.39,17.59,29.03,34.74,36.35,47.31,54.3,77.23,81.02,61.57
Kapitał (fundusz) podstawowy,,,,,9.25,15.61,15.61,15.61,6.35,0.5,0.5,0.5,0.5,0.5,7.46,7.46,6.93,6.93,0.0,0.0,1.85,1.85,1.85,2.31,0.45,0.45,0.45,0.0,0.9
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,0.0,160.81,160.81,160.81,160.81,0.0,0.0,0.0,0.0,0.0,51.03,51.03,51.03,51.03,0.0,0.0,-0.26,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,-50.0,-66.67,17333.33,26200.0,20600.0,431800.0,580.11,513.5,601.45,-41.56,-43.13,-34.46,-35.4,-35.14,22.79,6.34,31.08,42.09,17.19,20.54,31.11,232.55,140.47
Z tytułu dostaw i usług,,,,,245.13,,,-100.0,58.97,,,,135.81,104.67,-37.15,-7.09,-43.91,-43.62,20.93,1.63,21.83,3.37,125.96,20.22,30.03,82.92,-22.62,15.07,6.85
Kredyty i pożyczki,,,,,-96.67,,,-100.0,175.0,,,,12600.0,1066.09,32.02,8.29,-24.62,-50.52,65.18,6.16,-5.13,-13.15,-75.05,-70.47,-70.67,-66.63,32.85,-1.69,5.12
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,-100.0,59500.0,,,,42.95,62.45,138.1,-23.09,-33.92,-28.2,-23.2,-22.52,-12.26,-8.83,0.45,-3.33,-17.0,-34.81,-63.5,12.85,60.12
Inne zobowiązania długoterminowe,,,,,,,,,,,,,2475.0,657.14,500.0,285.0,49.51,30.19,35.87,30.19,363.96,317.39,289.07,268.33,54.86,50.35,94.04,140.83,34.61
Zobowiązania krótkoterminowe,,,,,141.91,43.3,-21.2,-36.04,340.79,511.85,462.99,625.65,84.77,72.71,20.83,-15.91,-27.14,-34.87,1.42,-7.87,1.7,8.05,6.74,18.68,6.17,28.35,19.85,34.27,45.56
Inne zobowiązania krótkoterminowe,,,,,381.43,,,-100.0,317.8,,,,-0.07,-23.23,3.91,-26.65,-3.98,-12.3,-8.66,-10.49,6.44,41.47,21.27,118.62,58.9,85.1,96.14,57.04,67.53
Rozliczenia międzyokresowe,,,,,-10.73,109.66,154.06,115.34,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,149.76,134.87,96.95,87.45,30.27,40.23,36.55,164.5,84.21,66.12,74.18,-10.61,-9.26,-6.86,-6.98,-7.29,11.84,15.67,21.99,29.96,24.77,37.86,46.52,90.62,72.44
Przepływy pieniężne z działalności operacyjnej,,,,,-40.66,-343.86,-83.07,7.82,1730.56,661.87,216.58,130.63,-49.82,-97.82,-92.22,1124.1,-1.71,3700.0,1609.62,-50.59,40.1,122.91,47.69,144.02,-11.13,93.47,7.16,178.86,-130.31
Amortyzacja,,,,,116.13,144.12,-48.61,123.64,2386.57,577.11,697.3,414.63,-61.16,11.74,7.29,-1.42,-4.79,-13.54,-10.9,-14.26,-10.55,7.0,7.8,19.44,21.42,20.14,-1.48,46.64,55.16
Przepływy pieniężne z działalności inwestycyjnej,,,,,-9.95,-984.21,-197.56,-485.71,-230.77,-86.89,-582.79,75.12,-29.14,11.69,52.34,-1078.43,56.46,-18.82,-4.03,1.5,137.47,-89.85,-95.4,-44.26,-332.47,-25.81,-33.21,-81.73,528.49
CAPEX (niematerialne i rzeczowe),,,,,9.41,984.21,197.56,485.71,230.77,86.89,582.79,-74.15,29.0,-11.69,-51.98,1039.62,-56.31,18.82,3.25,-1.99,75.97,89.85,95.4,44.93,29.1,25.81,101.61,81.0,-147.12
Przepływy pieniężne z działalności finansowej,,,,,31175.0,,-96.49,-106.76,-166.47,-15700.0,-1060.0,-715.0,101.8,142.95,659.72,-130.67,-966.67,-407.46,-129.16,-16.76,-16.92,-6.07,-60.0,-4.78,-50.66,3.43,19.68,87.83,75.98
Emisja akcji,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,21818.18,-1002.63,-1031.51,-1403.03,-117.46,124.49,54.56,73.59,118.71,-325.0,249.19,129.77,289.74,10.05,-47.72,-1456.41,300.0,238.82,-46.06,83.18,-67.27,492.8,-76.92,2131.46,165.33
