,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Zobowiązania długoterminowe,,,,,20.0,0.0,-100.0,-100.0,-33.33,0.0,,,-75.0,-80.0,,,-100.0,-100.0,,,,,,,,,,,23290.0,,-34.33,-54.25,-34.33,-35.74,-40.8,-45.52,-48.18,-52.11,-59.56,-72.18,-90.58,-100.0,321.6,743.56
Z tytułu dostaw i usług,,,,,1550.72,-90.87,1176.47,-66.24,-68.04,300.85,46.66,482.5,83.52,45.88,-17.83,136.91,233.98,218.12,166.25,195.2,25.82,42.92,23.88,43.91,54.04,44.41,30.06,-0.81,12.3,38.87,34.23,54.45,40.47,39.06,49.66,-13.61,63.51,47.04,68.66,173.45,35.22,21.4,-43.5,-48.04
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95,354.49,-2.9,-2.8,-2.7,-2.84,2.12,1.88,1.77,1.91,11.22,-7.01,-34.7,-62.55
Inne zobowiązania długoterminowe,,,,,20.0,0.0,-100.0,-100.0,-33.33,0.0,,,-75.0,-80.0,,,-100.0,-100.0,,,,,,,,,,,-90.0,,,-65.22,-100.0,,,-100.0,,,-100.0,,-100.0,-100.0,,
Zobowiązania krótkoterminowe,,,,,76.45,6.85,121.14,-12.2,-29.61,-38.0,-21.53,106.65,64.98,67.97,28.88,-1.02,13.14,-12.67,-4.45,21.92,18.24,73.21,47.72,74.87,110.15,42.01,34.16,-22.45,-7.79,24.28,27.69,71.03,102.97,138.6,254.72,76.47,-7.2,-19.13,-31.11,23.73,77.9,29.76,339.15,310.59
Inne zobowiązania krótkoterminowe,,,,,-10.13,110.5,63.59,-3.62,11.84,-53.59,-50.54,85.75,59.27,76.74,87.81,-25.07,-65.28,-88.31,-98.68,-73.59,-7.66,343.5,2704.0,265.6,371.31,35.11,-46.79,-84.13,-67.45,-76.26,-26.81,157.98,525.73,2259.43,5547.25,974.75,-91.83,-91.26,-91.14,-83.44,1199.79,220.08,4818.74,4839.5
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,56.24,45.25,72.71,62.89,64.87,63.28,42.05,57.93,50.68,51.58,43.08,44.94,48.19,40.29,45.35,33.01,2.34,9.57,27.04,25.73,26.47,18.04,32.74,23.33,42.44,44.86,48.22,53.49,39.59,40.13,40.87,23.64,12.62,14.96,11.26,30.45,43.25,36.03,25.6,14.81
Przepływy pieniężne z działalności operacyjnej,,,,,296.65,98.28,44.07,56.65,50.79,39.66,84.65,122.46,16.51,53.48,32.33,32.31,95.33,10.49,26.23,20.97,-6.47,38.04,20.13,28.76,22.0,-6.31,27.56,11.87,64.63,76.72,31.95,51.49,17.4,68.52,51.77,-19.44,-49.41,-8.88,19.06,168.51,245.6,27.68,1.9,-32.69
Amortyzacja,,,,,92.08,39.64,71.68,85.71,23.71,78.71,45.88,29.55,37.5,27.8,40.64,37.81,51.52,55.37,48.49,44.44,-80.0,38.36,47.72,51.18,1053.0,66.62,56.59,51.3,107.98,75.47,74.76,71.65,11.22,30.07,16.87,22.51,18.9,15.0,24.64,20.72,25.23,35.25,36.52,35.5
Przepływy pieniężne z działalności inwestycyjnej,,,,,-69.22,-12.76,-88.68,-711.94,58.43,40.27,-202.67,-72.44,21.22,-30.08,-71.39,91.09,-619.53,-26.77,-51.03,-2347.62,37.53,-25.42,-206.58,-90.01,-107.79,-79.46,21.42,-1.77,-231.04,-9.19,-44.58,-26.96,64.3,-32.34,-11.54,-27.84,-18.97,-28.1,-30.3,-202.62,-88.05,-43.52,-34.73,49.25
CAPEX (niematerialne i rzeczowe),,,,,66.31,9.07,-498.41,399.27,-55.55,-34.02,198.41,72.44,-38.76,21.3,122.1,-90.52,624.92,26.77,40.05,2256.72,-36.37,25.42,198.27,88.41,104.82,81.21,-22.95,0.97,225.84,9.48,43.74,25.9,-64.48,30.72,11.59,31.36,16.87,28.1,30.3,194.83,93.2,43.52,34.73,-49.25
Przepływy pieniężne z działalności finansowej,,,,,-100.0,,-58.78,,,,-91.91,,,,-52.11,,,,-30.56,,,,5.67,,-22.73,,-6.02,,-14.95,,-33.89,-6966.67,-44.66,3.35,-48.72,2.91,-27.47,-2.97,-16.29,-2.0,-27.82,-10.58,-37.78,-11.27
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,58.78,,,,91.91,,,,52.11,,,,30.56,,,,-5.67,,22.73,,6.01,,11.11,,33.33,,48.34,,48.94,,28.08,,16.43,,28.07,,37.73,100.0
Przepływy pieniężne razem,,,,,585.95,174.31,-2033.09,36.19,85.18,68.87,-119.92,128.44,19.18,56.5,-64.67,43.46,70.84,8.74,-33.41,7.92,-104.67,39.62,8.4,20.97,-264.1,-15.96,10.78,13.9,59.48,91.06,-36.9,54.61,403.34,74.2,-41.26,-26.51,-931.6,-12.8,-15.31,161.57,127.15,25.36,-70.23,-27.98
