,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Inne zobowiązania długoterminowe,0.0,10503.0,0.0,14586.0,16743.0,14406.0,16967.0,15053.0,15382.0,14151.0,77596.0,26813.0,29250.0,28817.0,28944.0,39834.0,40276.0,45306.0,47126.0,53096.0,56271.0,44685.0,46272.0,51406.0,37268.0,40292.0,39012.0,41317.0,97550.0,38797.0,38774.0,43158.0,40930.0,54288.0,60104.0,86902.0
Zobowiązania krótkoterminowe,0.0,156202.0,0.0,170063.0,236474.0,289577.0,269673.0,211585.0,225036.0,273061.0,367829.0,347045.0,392053.0,471268.0,571487.0,464070.0,601114.0,533569.0,475278.0,570066.0,501469.0,541137.0,545308.0,462340.0,641809.0,668886.0,743520.0,577220.0,385383.0,523534.0,430945.0,419264.0,555431.0,569888.0,1461832.0,770562.0
Inne zobowiązania krótkoterminowe,0.0,3416.0,0.0,3606.0,3619.0,3281.0,3280.0,11216.0,4065.0,4065.0,5624.0,6725.0,6523.0,8522.0,15220.0,14300.0,16346.0,13829.0,12495.0,18304.0,23173.0,55906.0,42456.0,39439.0,162133.0,25256.0,22791.0,26474.0,28478.0,20230.0,22578.0,28367.0,23846.0,17120.0,37929.0,35712.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,252316.0,506404.0,276739.0,541686.0,607700.0,731062.0,766859.0,714714.0,787135.0,818557.0,1043778.0,1031928.0,1100021.0,1147158.0,1264739.0,1171439.0,1277663.0,1308545.0,1249072.0,1381443.0,1452570.0,1546189.0,1545464.0,1460027.0,1494946.0,1433229.0,1471102.0,1352522.0,1372198.0,1393680.0,1344325.0,1326943.0,1430943.0,1449080.0,2529492.0,2433435.0
Przepływy pieniężne z działalności operacyjnej,-1915.0,-37577.0,7002.0,-3274.0,14649.0,13169.0,-26589.0,-18840.0,15562.0,-13221.0,-14811.0,11536.0,30939.0,-4615.0,44710.0,38174.0,917.0,48962.0,-30562.0,-401.0,-12080.0,-24239.0,41657.0,-572.0,48236.0,85567.0,121194.0,-26512.0,57838.0,-44819.0,38009.0,28642.0,26836.0,111075.0,28273.0,954384.0
Amortyzacja,278.0,317.0,312.0,299.0,308.0,74.0,298.0,292.0,217.0,507.0,420.0,440.0,489.0,536.0,166.0,700.0,681.0,647.0,751.0,702.0,651.0,640.0,780.0,744.0,711.0,684.0,657.0,652.0,689.0,739.0,801.0,799.0,816.0,590.0,1206.0,1640.0
Przepływy pieniężne z działalności inwestycyjnej,94965.0,27927.0,-1285.0,1107.0,-9774.0,274.0,-25837.0,732.0,-2624.0,8321.0,-22880.0,-7159.0,-4203.0,-6509.0,-16483.0,-68003.0,-10763.0,-4416.0,60988.0,-33669.0,-7947.0,100460.0,2025.0,7508.0,-1420.0,-4297.0,-3287.0,-289.0,-253.0,-318.0,-45687.0,38698.0,-1407.0,58642.0,14003.0,-38546.0
CAPEX (niematerialne i rzeczowe),442.0,516.0,618.0,452.0,274.0,33571.0,1877.0,-436.0,1613.0,-55.0,5903.0,8038.0,4912.0,7788.0,16153.0,14563.0,10927.0,2929.0,14285.0,29765.0,10080.0,35126.0,4863.0,-4463.0,2049.0,-1461.0,9976.0,1455.0,253.0,1299.0,3887.0,1506.0,352.0,3571.0,401.0,4887.0
Przepływy pieniężne z działalności finansowej,-54077.0,-23062.0,-1406.0,-105.0,7983.0,-51010.0,138093.0,-5554.0,53752.0,14783.0,2789.0,11149.0,10021.0,-29859.0,45166.0,-3568.0,115.0,51854.0,-122462.0,3798.0,84628.0,6341.0,-67923.0,-47378.0,-36172.0,-1117.0,-55027.0,-59358.0,27720.0,-5604.0,-60405.0,-33899.0,54007.0,-67855.0,-111517.0,227399.0
Emisja akcji,0.0,23409.0,0.0,0.0,0.0,0.0,71129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,21416.0,0.0,0.0,18623.0,0.0,5377.0,0.0,36873.0,0.0,0.0,0.0,0.0,30996.0,16429.0,0.0,0.0,0.0,64946.0,0.0,0.0,30291.0,31831.0,0.0,0.0,3594.0,27981.0,0.0,0.0,54421.0,0.0
Przepływy pieniężne razem,38973.0,-32712.0,4311.0,-2272.0,12858.0,-37567.0,85667.0,-23662.0,66690.0,9883.0,-34902.0,15526.0,36757.0,-40983.0,73393.0,-33397.0,-9731.0,96400.0,-92036.0,-30272.0,64601.0,82562.0,-24241.0,-40442.0,10644.0,80153.0,62880.0,-86159.0,85305.0,-50741.0,-68083.0,33441.0,79436.0,101862.0,-69241.0,1143237.0
