,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Koszty finansowe,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,18.0,17.0,4.0,6.0,4.0,2.0,16.0,49.0,20.0,-80.0,76.0,98.0,18.0,42.0,26.0,22.0,-18.0,-10.0,2.0,0.0,0.0,62.0,7.0,6.0,9.0,76.0,23.0,13.0,7.0,12.0,11.0,13.0,11.0,38.0,32.0,119.0,-63.0,131.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,223.0,-73.0,-65.0,242.0,12.0,-279.0,-294.0,-700.0,-496.0,-494.0,-880.0,-1099.0,-1388.0,-1488.0,-1697.0,-1996.0,-1184.0,-2497.0,-1660.0,-2232.0,-2156.0,-2154.0,-2351.0,-2439.0,-3092.0,-2499.0,-5152.0,-2963.0,-3431.0,-3607.0,-3356.0,-633.0,-3450.0,-876.0,-1689.0,-261.0,-5006.0,3662.0,-2907.0,-956.0,-7130.0,-106273.0,-3642.0,-11192.0,8993.0,-18418.0,-6257.0,-3458.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,223.0,-73.0,-65.0,242.0,12.0,-279.0,-294.0,-700.0,-496.0,-494.0,-880.0,-1099.0,-1388.0,-1488.0,-1697.0,-1996.0,-1184.0,-2497.0,-1660.0,-2232.0,-2156.0,-2154.0,-2351.0,-2439.0,-3092.0,-2499.0,-5152.0,-2963.0,-3431.0,-3607.0,-3356.0,-633.0,-3450.0,-876.0,-1689.0,-261.0,-5006.0,3662.0,-2907.0,-956.0,-7130.0,-106273.0,-3642.0,-11192.0,8993.0,-18418.0,-6257.0,-3458.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,204.0,-73.0,-64.0,260.0,13.0,-280.0,-294.0,-689.0,-496.0,-505.0,-880.0,-1076.0,-1388.0,-1512.0,-1697.0,-1985.0,-1184.0,-2507.0,-1661.0,-2241.0,-2156.0,-2154.0,-2341.0,-2487.0,3102.0,-8693.0,-5179.0,-2980.0,-3432.0,-3608.0,-3357.0,-647.0,-3454.0,-971.0,-1712.0,-3186.0,-5006.0,3662.0,-2907.0,2603.0,-7286.0,-70456.0,-20180.0,-18822.0,4275.0,-17573.0,-8160.0,-6691.0
Zysk netto akcjonariuszy jednostki dominującej,204.0,-73.0,-64.0,260.0,13.0,-280.0,-294.0,-689.0,-496.0,-505.0,-880.0,-1076.0,-1388.0,-1512.0,-1697.0,-1985.0,-1184.0,-2507.0,-1661.0,-2241.0,-2156.0,-2154.0,-2341.0,-2487.0,-3102.0,-2489.0,-5179.0,-2980.0,-3432.0,-3608.0,-3357.0,-647.0,-3454.0,-971.0,-1712.0,-186.0,-5006.0,3662.0,-3177.0,2873.0,-7286.0,-70456.0,-20180.0,-18822.0,4275.0,-17573.0,-8160.0,-6691.0
Aktywa trwałe,0.0,0.0,499.0,561.0,552.0,533.0,721.0,843.0,848.0,776.0,704.0,740.0,661.0,710.0,599.0,861.0,1413.0,1296.0,1518.0,2149.0,2011.0,2238.0,2364.0,2851.0,2967.0,3261.0,3601.0,4113.0,4579.0,4949.0,5437.0,6598.0,7268.0,8115.0,9058.0,11304.0,12236.0,14615.0,19988.0,23838.0,25598.0,63613.0,51354.0,37501.0,34965.0,32244.0,30115.0,26326.0
Wartości niematerialne i prawne,0.0,0.0,499.0,499.0,489.0,478.0,673.0,790.0,730.0,670.0,610.0,550.0,505.0,575.0,416.0,670.0,1260.0,1117.0,1339.0,1514.0,1749.0,1944.0,2080.0,2585.0,2719.0,2828.0,3284.0,3815.0,4287.0,4785.0,5290.0,5863.0,6565.0,7516.0,8527.0,9763.0,10680.0,13249.0,15080.0,15886.0,18453.0,21026.0,24862.0,19530.0,22282.0,19530.0,19530.0,19111.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,61.0,62.0,55.0,48.0,41.0,118.0,106.0,94.0,162.0,156.0,135.0,183.0,167.0,153.0,179.0,159.0,166.0,192.0,224.0,214.0,191.0,173.0,156.0,137.0,122.0,117.0,118.0,97.0,683.0,626.0,545.0,479.0,1460.0,1515.0,1366.0,1200.0,1170.0,990.0,1036.0,1909.0,1561.0,1498.0,1273.0,1081.0,859.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,71.0,71.0,275.0,173.0,173.0,173.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,151.0,152.0,152.0,152.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,4.0,4.0,2.0,7.0,3.0,2.0,4.0,8.0,11.0,36.0,13.0,11.0,40.0,0.0,0.0,3708.0,6782.0,6155.0,41551.0,24583.0,16258.0,11034.0,11289.0,9352.0,6204.0
Aktywa obrotowe,0.0,0.0,490.0,870.0,1309.0,2044.0,1621.0,843.0,2276.0,1888.0,1349.0,3163.0,2041.0,6402.0,25877.0,23672.0,21890.0,19563.0,17597.0,15097.0,12934.0,10640.0,8422.0,17831.0,14434.0,11952.0,8690.0,5211.0,11147.0,7958.0,5399.0,17260.0,13268.0,12292.0,13312.0,79937.0,72023.0,74770.0,67739.0,65214.0,57252.0,57066.0,85565.0,73074.0,58188.0,49237.0,36575.0,25929.0
Zapasy,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,4.0,30.0,91.0,626.0,1051.0,1058.0,721.0,614.0,633.0,995.0,928.0,792.0,924.0,997.0,1457.0,1472.0,1977.0,2315.0,2599.0,2092.0,1896.0,1685.0,2521.0,2017.0,2382.0,3510.0,3468.0,2474.0,1287.0,1572.0,2682.0,3900.0,2073.0,3680.0,7698.0,5447.0,5035.0,15901.0,7547.0,10551.0,9065.0,15548.0,14337.0,12161.0,6741.0,12657.0,10965.0,11870.0
Inwestycje krótkoterminowe,7.0,171.0,378.0,221.0,242.0,984.0,876.0,209.0,1623.0,885.0,397.0,2326.0,1099.0,5394.0,24390.0,22172.0,19890.0,17235.0,14968.0,12853.0,10844.0,8819.0,5677.0,15082.0,11920.0,8347.0,5156.0,2241.0,9422.0,6331.0,2608.0,13136.0,10941.0,7962.0,5365.0,73795.0,66222.0,58291.0,57435.0,51650.0,44685.0,37738.0,67261.0,57598.0,48222.0,33614.0,23107.0,12304.0
Środki pieniężne i inne aktywa pieniężne,7.0,171.0,378.0,221.0,242.0,984.0,876.0,209.0,1623.0,885.0,397.0,2326.0,1099.0,0.0,0.0,12986.0,0.0,0.0,0.0,5216.0,0.0,0.0,0.0,2360.0,0.0,0.0,0.0,2241.0,4619.0,5126.0,2608.0,9125.0,10941.0,7962.0,5365.0,73795.0,66222.0,58291.0,32435.0,51650.0,44595.0,37648.0,37085.0,57598.0,48222.0,25435.0,18908.0,12210.0
Pozostałe aktywa obrotowe,0.0,0.0,21.0,23.0,16.0,0.0,24.0,20.0,20.0,8.0,24.0,45.0,18.0,11.0,30.0,28.0,23.0,13.0,30.0,152.0,194.0,136.0,224.0,140.0,132.0,95.0,66.0,496.0,438.0,55.0,109.0,224.0,254.0,650.0,249.0,695.0,766.0,578.0,2757.0,3013.0,3502.0,3780.0,3967.0,3315.0,3225.0,2966.0,2503.0,1755.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,0.0,989.0,1431.0,1861.0,2577.0,2342.0,1686.0,3124.0,2664.0,2053.0,3903.0,2702.0,7112.0,26476.0,24533.0,23303.0,20859.0,19115.0,17246.0,14945.0,12878.0,10786.0,20682.0,17401.0,15213.0,12291.0,9324.0,15726.0,12907.0,10836.0,23858.0,20536.0,20407.0,22370.0,91241.0,84259.0,89385.0,87727.0,89052.0,82850.0,120679.0,136919.0,110575.0,93153.0,81481.0,66690.0,52255.0
Kapitał własny akcjonariuszy jednostki dominującej,468.0,695.0,964.0,1151.0,1464.0,2369.0,2073.0,1384.0,2849.0,2386.0,1507.0,3343.0,2097.0,6632.0,25747.0,23750.0,22510.0,20058.0,18397.0,16188.0,14100.0,11881.0,9530.0,18899.0,15788.0,13362.0,10274.0,8011.0,14350.0,11420.0,8825.0,20966.0,17656.0,16627.0,14833.0,79793.0,74775.0,78512.0,75730.0,78462.0,71263.0,1469.0,20202.0,29399.0,36711.0,21999.0,17280.0,12412.0
Kapitał (fundusz) podstawowy,125.0,0.0,140.0,147.0,147.0,162.0,162.0,162.0,162.0,179.0,179.0,179.0,201.0,254.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,368.0,368.0,368.0,368.0,368.0,414.0,414.0,414.0,447.0,447.0,447.0,447.0,447.0,447.0,489.0,489.0,489.0,489.0,489.0,513.0,513.0,513.0,513.0,513.0,513.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,648.0,998.0,998.0,2475.0,2472.0,2472.0,2472.0,4459.0,4459.0,3208.0,7516.0,12236.0,33000.0,32988.0,32988.0,32988.0,32988.0,32988.0,32988.0,32988.0,32988.0,44818.0,44818.0,44818.0,54783.0,54783.0,63414.0,63792.0,63792.0,78746.0,78746.0,78746.0,78746.0,133859.0,133859.0,133859.0,133859.0,133859.0,133859.0,133859.0,171967.0,171968.0,171968.0,171968.0,171968.0,171968.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,28.0,34.0,34.0,34.0,13.0,65.0,65.0,65.0,65.0,57.0,65.0,65.0,20.0,20.0,20.0,20.0,0.0,32.0,58.0,50.0,41.0,33.0,33.0,27.0,11.0,3.0,5.0,8.0,153.0,83.0,747.0,1382.0,1976.0,1883.0,1057.0,925.0,689.0,690.0,107050.0,104907.0,69733.0,44787.0,47769.0,38907.0,626.0
Z tytułu dostaw i usług,0.0,0.0,0.0,95.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,439.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,576.0,650.0,554.0,543.0,809.0,832.0,930.0,880.0,1479.0,1391.0,1382.0,2017.0,2091.0,2647.0,2232.0,2642.0,4559.0,3775.0,4100.0,3418.0,2808.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,0.0,0.0,18.0,28.0,20.0,22.0,0.0,0.0,36.0,38.0,35.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,447.0,344.0,240.0,564.0,627.0,633.0,639.0,644.0,499.0,401.0,618.0,547.0,613.0,605.0,605.0,604.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,3.0,5.0,8.0,11.0,37.0,707.0,1348.0,191.0,79.0,76.0,80.0,0.0,0.0,106249.0,103314.0,68457.0,43630.0,46807.0,38059.0,0.0
Zobowiązania krótkoterminowe,21.0,9.0,25.0,245.0,357.0,174.0,235.0,281.0,210.0,213.0,481.0,483.0,548.0,415.0,664.0,739.0,773.0,781.0,698.0,955.0,802.0,814.0,914.0,1529.0,1336.0,1506.0,1990.0,1302.0,1373.0,1482.0,2003.0,2739.0,2797.0,3033.0,6155.0,9472.0,7601.0,9816.0,11072.0,9901.0,10897.0,12160.0,11810.0,11443.0,11655.0,11713.0,10503.0,39217.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,129.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,726.0,723.0,928.0,1460.0,1492.0,1518.0,1759.0,5035.0,7412.0,5557.0,7801.0,8416.0,7148.0,7723.0,9507.0,8528.0,6337.0,7267.0,6972.0,6442.0,35770.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,7.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,103.0,11.0,125.0,292.0,213.0,244.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,489.0,704.0,989.0,1431.0,1861.0,2577.0,2342.0,1686.0,3124.0,2664.0,2053.0,3903.0,2702.0,7112.0,26476.0,24533.0,23303.0,20859.0,19115.0,17246.0,14945.0,12878.0,10786.0,20682.0,17401.0,15213.0,12291.0,9324.0,15726.0,12907.0,10836.0,23858.0,20536.0,20407.0,22370.0,91241.0,84259.0,89385.0,87727.0,89052.0,82850.0,120679.0,136919.0,110575.0,93153.0,81481.0,66690.0,52255.0
Przepływy pieniężne z działalności operacyjnej,0.0,0.0,-242.0,-108.0,-274.0,-435.0,128.0,-490.0,-532.0,-766.0,-485.0,-934.0,-1362.0,-1574.0,-1840.0,-1916.0,-1592.0,-2786.0,-1996.0,-1850.0,-2497.0,-2076.0,-3194.0,-1154.0,-3152.0,-3485.0,-2686.0,-2397.0,-1964.0,-2795.0,-3029.0,-3086.0,-1322.0,-2230.0,-1769.0,4965.0,-6606.0,-4553.0,1205.0,-3305.0,-3770.0,-3633.0,-4453.0,-8254.0,-6641.0,-11416.0,-7576.0,-8390.0
Amortyzacja,6.0,6.0,6.0,11.0,11.0,11.0,31.0,77.0,61.0,66.0,66.0,90.0,69.0,72.0,54.0,56.0,46.0,47.0,49.0,74.0,51.0,51.0,44.0,69.0,44.0,48.0,41.0,44.0,82.0,205.0,206.0,237.0,315.0,310.0,312.0,331.0,358.0,374.0,376.0,1477.0,645.0,675.0,676.0,1102.0,1139.0,1295.0,1128.0,1024.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,0.0,-30.0,-10.0,0.0,0.0,-224.0,-170.0,-13.0,8.0,-8.0,3.0,-24.0,-127.0,51.0,-474.0,-2978.0,64.0,-278.0,-375.0,29.0,52.0,32.0,-8488.0,1334.0,8510.0,-457.0,-520.0,-5338.0,2928.0,523.0,-5385.0,3080.0,-1136.0,-1255.0,-1501.0,-1124.0,-2785.0,-27038.0,22769.0,-3114.0,-3127.0,-34163.0,29018.0,-2568.0,-11193.0,1275.0,1813.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,0.0,41.0,0.0,0.0,224.0,170.0,13.0,-8.0,8.0,5.0,24.0,127.0,-51.0,276.0,0.0,0.0,0.0,1060.0,0.0,8.0,11.0,1188.0,0.0,0.0,777.0,560.0,548.0,704.0,700.0,1396.0,959.0,1182.0,1259.0,1500.0,1164.0,2797.0,2038.0,2252.0,3030.0,3158.0,4274.0,1248.0,3680.0,3486.0,2831.0,2428.0
Przepływy pieniężne z działalności finansowej,0.0,0.0,634.0,-41.0,295.0,1177.0,-12.0,-8.0,1959.0,19.0,6.0,2860.0,154.0,6001.0,20784.0,-27.0,-14.0,-11.0,-14.0,-17.0,-17.0,-29.0,-9.0,11896.0,-9.0,27.0,-49.0,3.0,9678.0,378.0,-15.0,14996.0,-122.0,524.0,474.0,65011.0,-155.0,-168.0,-164.0,-165.0,-164.0,-188.0,38061.0,-264.0,-174.0,-175.0,-198.0,-251.0
Emisja akcji,0.0,0.0,0.0,606.0,0.0,1483.0,0.0,0.0,2003.0,0.0,0.0,80.0,0.0,0.0,26989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25108.0,0.0,0.0,0.0,65171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38134.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,0.0,0.0,362.0,-159.0,21.0,742.0,-108.0,-668.0,1414.0,-739.0,-487.0,1929.0,-1232.0,4300.0,18995.0,-2417.0,-4584.0,-2733.0,-2288.0,-2242.0,-2485.0,-2053.0,-3171.0,2254.0,-1827.0,5052.0,-3192.0,-2914.0,2376.0,511.0,-2521.0,6525.0,1636.0,-2842.0,-2550.0,68475.0,-7885.0,-7506.0,-25997.0,19299.0,-7048.0,-6948.0,-555.0,20500.0,-9383.0,-22784.0,-6499.0,-6828.0
