,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Koszty finansowe,178.0,-95.0,72.0,1050.0,460.0,3499.0,1440.0,3534.0,2175.0,49880.0,1377.0,3331.0,1224.0,5003.0,2687.0,1749.0,1471.0,2274.0,1895.0,5842.0,4318.0,4381.0,4971.0,1664.0,4884.0,3499.0,3091.0,3500.0,1847.0,2748.0,3515.0,1011.0,3064.0,3464.0,3590.0,1443.0,1988.0,4490.0,2371.0,3296.0,2114.0,2652.0,489.0,6985.0,1312.0,1627.0,2359.0,2212.0,3288.0,2996.0,2508.0,2738.0,2796.0,4038.0,5149.0,596.0,2104.0,5597.0,1872.0,2687.0,2787.0,6734.0,4657.0,10504.0,8943.0,11751.0,10639.0,16519.0,5759.0,15478.0
Pozostałe przychody (koszty),165.0,-165.0,0.0,134.0,567.0,-701.0,0.0,0.0,0.0,-70.0,-2.0,2.0,0.0,-32.0,263.0,0.0,1507.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,-64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.0,-115.0,-197.0,-93.0,-1046.0,-148.0,-611.0,60684.0,2114.0
Zysk z działalności gospodarczej,2176.0,8597.0,6791.0,12159.0,12433.0,7847.0,12753.0,8335.0,26246.0,-33037.0,18165.0,13542.0,12515.0,12101.0,6045.0,18974.0,13019.0,-19050.0,-15440.0,-16814.0,6749.0,4502.0,4402.0,6411.0,5722.0,6964.0,825.0,4325.0,10072.0,9872.0,3290.0,9922.0,7512.0,15330.0,6069.0,16623.0,15560.0,6577.0,10980.0,24279.0,5209.0,2752.0,3455.0,5935.0,10021.0,10982.0,7079.0,-43778.0,7628.0,7454.0,3372.0,17638.0,16636.0,11240.0,1274.0,16752.0,25307.0,20920.0,-2062.0,28714.0,23229.0,35514.0,2462.0,3130.0,6172.0,-13380.0,-15002.0,6312.0,97797.0,-38633.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2176.0,8597.0,6791.0,12159.0,12433.0,7847.0,12753.0,8335.0,26246.0,-33037.0,18165.0,13542.0,12515.0,12101.0,6045.0,18974.0,13019.0,-19050.0,-15440.0,-16814.0,6749.0,4502.0,4402.0,6411.0,5722.0,6964.0,825.0,4325.0,10072.0,9872.0,3290.0,9922.0,7512.0,15330.0,6069.0,16623.0,15560.0,6577.0,10980.0,24279.0,5209.0,2752.0,3455.0,5935.0,10021.0,10982.0,7079.0,-43778.0,7628.0,7454.0,3372.0,17638.0,16636.0,11240.0,1274.0,16752.0,25307.0,20920.0,-2062.0,28714.0,23229.0,35514.0,2462.0,3130.0,6172.0,-13380.0,-15002.0,6312.0,97797.0,-38633.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32534.0,-1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2165.0,5961.0,4537.0,10302.0,10783.0,6213.0,8101.0,7693.0,20878.0,-26195.0,12336.0,10916.0,11851.0,7483.0,4579.0,14673.0,8454.0,-15556.0,-14373.0,-14215.0,4360.0,4513.0,3275.0,5059.0,4577.0,5616.0,410.0,2229.0,7940.0,7500.0,1423.0,6912.0,7280.0,12277.0,5538.0,10779.0,11301.0,4071.0,8235.0,-16428.0,7282.0,1987.0,97.0,6898.0,7908.0,9029.0,4619.0,-34529.0,5129.0,3645.0,1823.0,14324.0,12186.0,6711.0,-424.0,12120.0,23124.0,15553.0,-5817.0,21047.0,-19732.0,25840.0,108.0,-1557.0,3330.0,9113.0,-15193.0,10534.0,71739.0,-43785.0
Zysk netto akcjonariuszy jednostki dominującej,2165.0,5961.0,4537.0,10302.0,10947.0,5999.0,8005.0,7669.0,20568.0,-26960.0,12346.0,10929.0,11213.0,7163.0,4557.0,14558.0,8872.0,-15893.0,-14217.0,-14451.0,4010.0,4300.0,3206.0,4739.0,4122.0,5156.0,353.0,1998.0,7668.0,7198.0,1303.0,6740.0,6998.0,11390.0,5198.0,10109.0,10847.0,1692.0,7234.0,13957.0,-25061.0,5661.0,97.0,7039.0,7821.0,7606.0,4463.0,-32888.0,4814.0,3233.0,1819.0,14006.0,11619.0,6191.0,-521.0,11687.0,22367.0,13128.0,-7431.0,21354.0,-18425.0,25840.0,108.0,-1557.0,3330.0,6410.0,-13392.0,3467.0,67620.0,-47692.0
Aktywa trwałe,12755.0,13569.0,20509.0,20013.0,41155.0,45993.0,49303.0,86332.0,86875.0,99656.0,91453.0,88026.0,88494.0,92964.0,89905.0,86808.0,95759.0,112611.0,116845.0,119558.0,130241.0,126702.0,125864.0,138317.0,117578.0,123826.0,117411.0,122307.0,116817.0,117755.0,115997.0,128569.0,128887.0,162161.0,156821.0,176584.0,175861.0,174585.0,185225.0,107224.0,107467.0,103496.0,128565.0,139406.0,120501.0,121098.0,154911.0,160312.0,159397.0,157655.0,189748.0,182648.0,183330.0,189734.0,192065.0,191138.0,194614.0,209723.0,241418.0,289077.0,305417.0,329472.0,386955.0,380494.0,398203.0,442555.0,497110.0,436814.0,444767.0,476900.0
Wartości niematerialne i prawne,1581.0,1682.0,1713.0,1681.0,1874.0,1854.0,6551.0,20007.0,19937.0,20033.0,20080.0,20059.0,20021.0,20441.0,20542.0,20541.0,20557.0,20508.0,20703.0,20633.0,20585.0,20704.0,20703.0,20690.0,20679.0,22169.0,22101.0,22008.0,21914.0,21818.0,22067.0,21785.0,21788.0,24259.0,24278.0,25404.0,25303.0,25231.0,25131.0,25022.0,24949.0,24926.0,24975.0,22968.0,22968.0,22968.0,47886.0,39698.0,39352.0,39462.0,39467.0,39278.0,39744.0,39303.0,40430.0,40099.0,40332.0,53192.0,40844.0,51421.0,51766.0,51147.0,51810.0,51932.0,56469.0,55134.0,54850.0,53829.0,53998.0,53822.0
Rzeczowe składniki majątku trwałego,3708.0,4871.0,5690.0,6832.0,16720.0,16667.0,19896.0,36181.0,38336.0,37162.0,36390.0,36841.0,36205.0,35891.0,31100.0,35626.0,34262.0,33343.0,33492.0,32944.0,32807.0,29666.0,31038.0,29649.0,28580.0,34968.0,34448.0,32850.0,32096.0,35494.0,35861.0,37102.0,36265.0,41291.0,44295.0,45595.0,45938.0,45963.0,45209.0,40484.0,39699.0,46073.0,45605.0,48780.0,48746.0,49283.0,58855.0,67050.0,64512.0,72498.0,97618.0,95375.0,99950.0,105107.0,107189.0,104949.0,103230.0,104154.0,135519.0,139116.0,140116.0,167932.0,185850.0,194810.0,202148.0,195867.0,243118.0,220459.0,219583.0,233900.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,192.0,1359.0,188.0,255.0,298.0,486.0,192.0,216.0,54.0,103.0,127.0,54.0,130.0,40.0,30.0,18.0,120.0,0.0,770.0,1550.0,1550.0,1552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16911.0,14888.0,13808.0,15473.0,9535.0,16455.0,13024.0,8723.0,9080.0,7489.0,6191.0,7788.0,12004.0,11091.0,15305.0,16889.0,14432.0,15642.0,13569.0,11057.0,8576.0,10676.0,10985.0,9482.0,9296.0
Inwestycje długoterminowe,2377.0,1499.0,2706.0,1953.0,15278.0,13567.0,10998.0,13652.0,12436.0,13279.0,13103.0,11662.0,10946.0,15043.0,15261.0,8260.0,24532.0,35257.0,35685.0,33918.0,36773.0,37463.0,35911.0,37316.0,23844.0,26671.0,23815.0,25206.0,25993.0,24978.0,23378.0,29200.0,28618.0,51931.0,54918.0,62758.0,61863.0,64311.0,77376.0,3220.0,3281.0,2876.0,6534.0,26566.0,4706.0,8922.0,11095.0,7704.0,7800.0,5750.0,5745.0,2393.0,2605.0,2720.0,2544.0,3390.0,3437.0,7120.0,7771.0,40493.0,46962.0,46465.0,73111.0,66827.0,65116.0,100620.0,100468.0,63952.0,65521.0,70732.0
Pozostałe aktywa trwałe,5089.0,5517.0,10400.0,9547.0,7283.0,13713.0,10499.0,16304.0,15911.0,28884.0,21394.0,19272.0,21106.0,21535.0,22899.0,22254.0,16354.0,23373.0,26925.0,32033.0,40058.0,38749.0,38212.0,49892.0,42925.0,38468.0,35495.0,42243.0,36814.0,35465.0,34691.0,40482.0,42216.0,44680.0,33330.0,42827.0,42757.0,39080.0,37509.0,38498.0,39538.0,29621.0,51451.0,41092.0,44081.0,23014.0,22187.0,32052.0,32260.0,30410.0,30463.0,32578.0,32308.0,33524.0,34413.0,36509.0,39827.0,33253.0,46193.0,42742.0,49684.0,49496.0,60542.0,53356.0,63413.0,82358.0,87998.0,87589.0,96183.0,109150.0
Aktywa obrotowe,118488.0,139787.0,191843.0,326936.0,404548.0,445177.0,481281.0,457478.0,494167.0,548281.0,459018.0,480902.0,526417.0,515285.0,510925.0,561913.0,556421.0,511275.0,563498.0,661245.0,731055.0,648060.0,615655.0,620231.0,773126.0,695867.0,582582.0,564641.0,646397.0,678175.0,685880.0,765035.0,822406.0,889284.0,781640.0,873455.0,903019.0,924304.0,831798.0,986845.0,960555.0,843801.0,712730.0,811476.0,876778.0,821587.0,808858.0,861833.0,892867.0,940745.0,898615.0,1010616.0,959882.0,983761.0,1018633.0,1001462.0,1083710.0,990140.0,955661.0,1236596.0,1567431.0,1503718.0,1611657.0,1705978.0,1716039.0,1573713.0,1520887.0,1535175.0,1710591.0,1496933.0
Zapasy,1662.0,352.0,1278.0,1463.0,97180.0,118599.0,129843.0,140498.0,139271.0,144632.0,151965.0,138214.0,115945.0,99501.0,102706.0,104248.0,107823.0,95872.0,103103.0,113936.0,111815.0,107943.0,119226.0,128806.0,124339.0,115293.0,108941.0,104584.0,109693.0,110554.0,111034.0,113815.0,110705.0,112363.0,108468.0,128531.0,117415.0,127987.0,117024.0,10686.0,8800.0,2757.0,4012.0,3750.0,6719.0,11577.0,22673.0,15980.0,15951.0,20100.0,25971.0,55716.0,81377.0,87320.0,115862.0,16885.0,16199.0,25728.0,15221.0,36916.0,40123.0,67446.0,192578.0,215498.0,164788.0,160239.0,155848.0,137872.0,148266.0,139664.0
Należności krótkoterminowe,78961.0,76292.0,98033.0,133426.0,118792.0,100954.0,169793.0,196886.0,214428.0,217344.0,146897.0,179435.0,247527.0,187185.0,201052.0,256036.0,242109.0,179077.0,285422.0,393264.0,361211.0,242563.0,259231.0,259271.0,371700.0,274093.0,234441.0,234184.0,245065.0,232275.0,267795.0,300456.0,358048.0,323302.0,316567.0,441431.0,372295.0,331525.0,361340.0,537113.0,501515.0,394854.0,373609.0,650717.0,693738.0,603347.0,654888.0,734414.0,768621.0,693447.0,763517.0,831290.0,745754.0,725246.0,679369.0,799977.0,867441.0,602461.0,681455.0,1028569.0,1116419.0,969010.0,1083215.0,1307595.0,1334736.0,1197587.0,1122160.0,1179893.0,1346674.0,1032017.0
Inwestycje krótkoterminowe,20842.0,29836.0,60274.0,151103.0,155842.0,200358.0,139812.0,59640.0,63738.0,115834.0,106813.0,106954.0,110007.0,175678.0,125019.0,118032.0,107582.0,152259.0,53343.0,64634.0,76702.0,161862.0,79092.0,71024.0,107532.0,202158.0,132781.0,80243.0,95490.0,124811.0,111395.0,113508.0,101838.0,265542.0,162346.0,133089.0,176828.0,259577.0,165888.0,120856.0,134511.0,280061.0,173574.0,152113.0,171161.0,201301.0,123396.0,103927.0,101444.0,221350.0,100999.0,117603.0,126375.0,164619.0,214856.0,177262.0,194106.0,356923.0,250208.0,163049.0,403367.0,453377.0,315088.0,170672.0,205980.0,208727.0,231495.0,207372.0,206573.0,317256.0
Środki pieniężne i inne aktywa pieniężne,19701.0,29472.0,58975.0,151090.0,96228.0,128382.0,85544.0,59331.0,63477.0,115581.0,104809.0,105037.0,107376.0,172547.0,122194.0,109633.0,104597.0,147229.0,47102.0,60698.0,76249.0,161291.0,78544.0,70232.0,93536.0,201769.0,86573.0,79901.0,95151.0,124591.0,111171.0,113283.0,93948.0,209260.0,158905.0,126842.0,173063.0,254138.0,160404.0,115262.0,128922.0,257273.0,141380.0,141367.0,139098.0,190170.0,112140.0,91922.0,89857.0,206608.0,99172.0,109830.0,121627.0,148240.0,191567.0,165631.0,170213.0,292588.0,218805.0,117291.0,353853.0,363210.0,279529.0,146431.0,180637.0,163961.0,195633.0,179675.0,182081.0,263119.0
Pozostałe aktywa obrotowe,17023.0,33107.0,32258.0,40944.0,32734.0,25266.0,41833.0,60454.0,76730.0,70471.0,53343.0,56299.0,52938.0,52921.0,82148.0,83597.0,98907.0,84067.0,121630.0,89411.0,181327.0,135692.0,158106.0,161130.0,169555.0,104323.0,106419.0,145630.0,196149.0,210535.0,195656.0,237256.0,251815.0,188077.0,194259.0,170404.0,236481.0,202080.0,187546.0,170267.0,167786.0,166129.0,161535.0,4896.0,5160.0,5362.0,7901.0,7512.0,6851.0,5848.0,8128.0,6007.0,6376.0,6576.0,8546.0,7338.0,5964.0,5028.0,8777.0,8062.0,7522.0,13885.0,20776.0,12213.0,10535.0,7160.0,11384.0,10038.0,9078.0,7996.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3135.0,0.0,147923.0,147943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,131243.0,153356.0,212352.0,346949.0,445703.0,491170.0,530584.0,543810.0,581042.0,647937.0,550471.0,568928.0,614911.0,608249.0,600830.0,648721.0,652180.0,623886.0,680343.0,780803.0,861296.0,774762.0,741519.0,758548.0,890704.0,819693.0,699993.0,686948.0,763214.0,795930.0,801877.0,893604.0,951293.0,1051445.0,938461.0,1050039.0,1078880.0,1098889.0,1017023.0,1094069.0,1068022.0,947297.0,841295.0,950882.0,997279.0,942685.0,963769.0,1022145.0,1052264.0,1098400.0,1088363.0,1193264.0,1143212.0,1173495.0,1210698.0,1192600.0,1278324.0,1199863.0,1197079.0,1525673.0,1872848.0,1833190.0,1998612.0,2086472.0,2114242.0,2016268.0,2017997.0,1971989.0,2155358.0,1973833.0
Kapitał własny akcjonariuszy jednostki dominującej,32918.0,41062.0,46655.0,173201.0,184182.0,192486.0,200100.0,207224.0,227799.0,201379.0,213852.0,224825.0,227436.0,235547.0,240075.0,250777.0,261117.0,239199.0,225707.0,210674.0,216060.0,220622.0,222798.0,228148.0,232058.0,237652.0,238868.0,241412.0,248771.0,255002.0,256735.0,256276.0,263305.0,274339.0,283532.0,285229.0,295724.0,298875.0,304471.0,248538.0,256850.0,251660.0,254989.0,261177.0,268264.0,275857.0,275336.0,223031.0,227835.0,233174.0,235282.0,248795.0,261754.0,266685.0,269633.0,280292.0,286881.0,301052.0,322882.0,319268.0,575242.0,552867.0,553778.0,530381.0,536251.0,540881.0,527014.0,514498.0,581839.0,537543.0
Kapitał (fundusz) podstawowy,200.0,1000.0,1007.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1257.0,1260.0,1260.0,1260.0,1260.0,1264.0,1264.0,1264.0,1264.0,1264.0,1268.0,1268.0,1268.0,1268.0,1271.0,1271.0,1271.0,1271.0,1276.0,1276.0,1276.0,1276.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1210.0,1210.0,1210.0,1210.0,1193.0,1193.0,1193.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1994.0,-1994.0,-1994.0,-1571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20000.0,-20000.0,-70000.0,-70000.0,-20000.0,-20000.0,-20000.0,-20000.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,23915.0,23754.0,24596.0,152553.0,155727.0,154412.0,157789.0,181908.0,181908.0,181913.0,181648.0,182379.0,175960.0,178510.0,178510.0,214547.0,215272.0,209558.0,210296.0,239640.0,240091.0,240255.0,242290.0,215067.0,214967.0,215336.0,216474.0,222200.0,222204.0,222750.0,222783.0,222622.0,222734.0,223362.0,223120.0,229129.0,229129.0,229619.0,227493.0,223516.0,223516.0,213197.0,213197.0,213197.0,213197.0,213197.0,213197.0,211643.0,211643.0,211931.0,212216.0,211931.0,211931.0,211931.0,211931.0,211931.0,211956.0,195497.0,195497.0,197805.0,197805.0,207074.0,231314.0,262074.0,262074.0,254769.0,242573.0,274048.0,304048.0,281353.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,15847.0,17452.0,16482.0,18842.0,19152.0,19836.0,20164.0,20151.0,2379.0,2892.0,2914.0,3285.0,2847.0,9381.0,9226.0,9302.0,9771.0,9825.0,9975.0,10129.0,10539.0,13791.0,11362.0,11410.0,11638.0,11964.0,11880.0,11986.0,12273.0,13192.0,13419.0,13943.0,14416.0,16912.0,20080.0,21914.0,21850.0,9145.0,8767.0,8766.0,8864.0,9999.0,10221.0,7680.0,7715.0,7737.0,7356.0,7043.0,7608.0,8131.0,8259.0,6644.0,6991.0,9441.0,7820.0,10402.0,124670.0,131866.0,131801.0,122306.0,122727.0,124597.0,122494.0,129367.0,133497.0,137403.0
Zobowiązania długoterminowe,6722.0,6604.0,7795.0,11378.0,31773.0,44538.0,19958.0,68508.0,78480.0,90243.0,88953.0,81645.0,62571.0,40884.0,43985.0,70117.0,59872.0,53904.0,59973.0,61161.0,131193.0,108668.0,106990.0,113555.0,103517.0,103597.0,99782.0,106075.0,52147.0,61308.0,117607.0,144898.0,146946.0,144797.0,128267.0,144084.0,160752.0,138245.0,123010.0,104843.0,102778.0,81203.0,94554.0,25776.0,80693.0,78998.0,86324.0,106982.0,108762.0,112939.0,140467.0,133238.0,141147.0,139874.0,127887.0,128886.0,82718.0,75695.0,128647.0,124796.0,202145.0,207997.0,213849.0,219960.0,223690.0,243609.0,312464.0,225282.0,239206.0,232868.0
