,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Koszty finansowe,,,,,,,-85.08,-15.05,-6.12,204.76,-44.44,-100.0,-100.0,-100.0,-100.0,,,,,42.42,,200.0,,31.91,,39400.0,600.0,-51.61,,-99.66,-73.33,-80.0,-100.0,46425.0,49875.0,-5466.67,,-74.64,-90.1,250.31,-83.92,18.64,116.67,-143.18,214.54,-39.29,-41.03,256.46
Pozostałe przychody (koszty),,,,,,,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,-100.0,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-146.67,-285.71,-137.31,97.37,319.48,242.31,151.0,14665.33,-357.99,-146.85,1445.1,-184.37,66.28,-4996.15,-106.73,31.41,398.64,-16.49,-439.62,-8.85,-152.85,18.66,85.31,114.11,92.67,96.54,21.43,-105.18,-241.18,-8532.18,-25072.73,8996.08,18115.52,54.62,82.97,-187.88,-148.33,-190.55,-344.73,-400.83,52.04,89.82,80.03,95.61
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-146.67,-285.71,-137.31,97.37,319.48,242.31,151.0,14665.33,-357.99,-146.85,1445.1,-184.37,66.28,-4996.15,-106.73,31.41,398.64,-16.49,-439.62,-8.85,-152.85,18.66,85.31,114.11,92.67,96.54,21.43,-105.18,-241.18,-8532.18,-25072.73,8996.08,18115.52,54.62,82.97,-187.88,-148.33,-190.55,-344.73,-400.83,52.04,89.82,80.03,95.61
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-147.27,-283.33,-138.31,270.45,250.0,311.69,227.0,11508.0,-417.95,-139.26,387.4,-187.03,503.76,-4920.31,-210.82,31.71,-93.87,20.45,70.41,-14.03,-331.52,-91.31,79.31,121.46,92.02,98.22,21.43,-104.03,-241.18,-7103.45,-27687.88,5286.27,14963.79,46.64,91.66,-147.56,-140.53,-179.69,-733.33,-1594.67,21.15,77.93,76.31,99.07
Zysk netto akcjonariuszy jednostki dominującej,,,,,-147.27,-283.33,-138.31,270.45,250.0,212.99,198.0,11648.0,-417.95,-173.56,531.63,-185.99,503.76,-4920.31,-210.82,31.71,-93.87,20.45,70.41,-14.03,-331.52,-91.31,79.31,121.46,92.02,98.22,21.43,-104.03,-241.18,-7103.45,-27687.88,5286.27,14963.79,46.64,91.66,-147.56,-140.53,-179.69,-707.45,-1583.94,23.84,80.23,79.16,97.99
Aktywa trwałe,,,,,,,-16.49,213.87,159.47,193.74,211.8,-97.6,-92.17,-92.76,-93.04,78.94,-27.45,27.22,22.15,147.39,111.09,0.0,0.0,33.6,53.86,-98.2,-97.38,-100.0,-100.0,-100.0,-100.0,,,,,,,-11.25,-17.46,-9.44,14.22,-24.07,-30.8,-76.01,-74.76,-61.27,-55.09,51.44
Wartości niematerialne i prawne,,,,,,,,,,,,,-97.62,-98.81,-98.82,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,-7.71,-13.48,-7.8,12.72,-28.35,-35.08,-96.99,-74.15,-58.21,-49.95,1206.8
Rzeczowe składniki majątku trwałego,,,,,,,8.46,-80.95,2.37,-83.47,-84.99,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,10.59,-29.66,-22.99,-21.5,-25.43,-24.68,179.51,-48.07,-49.59,-53.12,-88.16
Należności długoterminowe,,,,,,,,-2.89,,,106.43,-100.0,,,-52.25,,6.52,6.52,6.52,-100.0,6.12,0.0,0.0,,5.77,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,3.03,-1.92,0.0,0.0,0.0,-8.82,-7.84,-7.84,-100.0
Inwestycje długoterminowe,,,,,,,-17.94,310.73,-16.32,36.64,52.22,-97.55,-89.83,-91.98,-91.97,9.59,39.96,20.34,-2.65,-6.06,-8.99,0.0,0.0,-100.0,43.15,-95.25,-92.16,,-100.0,-100.0,-100.0,,,,,,,,,-60.94,0.0,0.0,-80.39,-100.0,-100.0,-100.0,-100.0,
Pozostałe aktywa trwałe,,,,,,,-90.57,21.57,60.0,572.55,43.14,-93.55,588.75,75.51,653.42,5800.0,-57.17,70.27,86.36,687.71,527.54,0.0,0.0,29.26,63.47,-100.0,-100.0,-100.0,-100.0,,,,,,,,,-60.48,-52.97,-12.55,103.35,62.78,42.39,-65.24,-100.03,-100.0,-100.0,-100.0
Aktywa obrotowe,,,,,,,-6.22,72.03,937.64,68.29,127.89,1988.08,370.08,1665.09,1444.38,-29.57,-27.93,-36.61,-37.57,-39.77,-35.7,0.0,0.0,-77.33,-81.25,-98.64,-99.59,-98.31,-97.61,-91.09,-69.62,-44.0,-3.23,36030.43,23187.5,39714.29,53323.33,61.7,192.56,6.4,-72.94,-21.21,-60.19,-63.44,-49.13,-39.57,-25.15,39.67
Zapasy,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,-100.0,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,-4.44,-21.24,-17.33,-53.36,621.4,64.72,48.9,-75.35,-97.97,-89.22,-87.4,-62.26,-53.97,-50.63,-45.74,120.0,72.41,10.26,7.84,104.55,60.0,130.23,40.0,-44.44,-36.25,-86.87,-76.62,-54.0,-35.29,55661.54,17550.0,44539.13,96318.18,76.38,395.31,6.51,-74.68,-20.31,-58.97,-61.6,-48.14,-37.61,-30.54,42.53
Inwestycje krótkoterminowe,,,,,,,15.09,219.85,1844.58,73.09,239.34,2347.57,821.0,3029.73,2371.9,-29.53,-27.86,-36.59,-37.58,-39.91,-35.84,0.0,0.0,-77.94,-81.76,-99.16,-99.99,-100.0,-99.56,-93.67,500.0,,118.18,1970.0,25700.0,25200.0,195.83,-47.34,-95.03,-23.72,769.01,265.14,-31.17,-64.51,-62.07,-89.7,632.08,-48.18
Środki pieniężne i inne aktywa pieniężne,,,,,-23.21,613.21,160.56,1079.05,1855.81,82.54,477.3,-97.66,-99.17,-98.26,-98.88,651.72,121.43,525.0,925.0,-55.05,187.1,0.0,0.0,-55.1,-73.03,37.33,-99.19,-100.0,-54.17,-90.29,500.0,,118.18,1970.0,25700.0,25200.0,195.83,-47.34,-95.03,-23.72,769.01,265.14,-31.17,-64.51,-62.07,-89.7,632.08,-48.18
Pozostałe aktywa obrotowe,,,,,,,-11.11,0.0,-33.33,-27.27,-25.0,-75.0,0.0,12.5,-100.0,400.0,-60.0,-44.44,,-80.0,-75.0,0.0,0.0,-100.0,0.0,-80.0,-100.0,,-100.0,-100.0,,,,,,12400.0,5400.0,-36.53,-37.73,44.0,-100.0,-100.0,-100.0,-100.0,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,,-15.41,198.85,219.73,177.93,202.02,29.48,24.0,41.39,42.06,-27.68,-27.91,-33.59,-34.91,-31.71,-28.72,0.0,0.0,-60.02,-62.21,-98.6,-99.4,-99.19,-98.98,-92.12,-80.8,-44.0,-3.23,223413.04,226937.5,195332.14,110045.0,0.54,4.08,-6.22,-28.06,-23.33,-39.27,-73.11,-70.08,-55.47,-49.43,47.74
Kapitał własny akcjonariuszy jednostki dominującej,,,,,6.65,2.11,-24.07,585.16,602.63,636.93,802.84,52.37,53.13,49.38,50.82,-26.76,-26.68,-31.86,-35.84,-37.51,-36.46,0.0,0.0,-69.8,-71.75,-106.9,-107.4,-101.44,-102.02,87.58,85.4,-341.82,-313.7,-12013.21,-14630.57,-11607.41,7652.65,201.06,165.78,161.29,-38.88,-76.43,-72.66,-192.19,-234.36,-501.83,-344.33,-25.36
Kapitał (fundusz) podstawowy,,,,,,,0.0,0.0,103.3,103.3,103.3,103.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.77,699.77,699.77,1292.11,74.06,74.06,74.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,0.0,16.36,589.88,592.14,592.14,480.75,-2.06,48.57,48.57,52.17,52.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.07,-113.07,-100.0,47.26,1226.9,1226.9,,0.0,0.0,0.0,0.0,0.0,0.0,15.78,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.47,43.18
Zobowiązania długoterminowe,,,,,-16.13,-11.83,-4.52,-0.31,14.87,-47.1,-47.55,-80.16,-80.66,-46.47,-40.82,-3.69,-13.41,-33.79,67.25,2.8,17.55,0.0,0.0,0.57,-2.26,-85.99,-93.65,-85.88,-83.06,-100.0,-100.0,-100.0,-100.0,,,,,-14.78,8.28,-29.73,-5.8,-12.91,-64.38,-74.82,-56.58,43.93,29.77,50.4
Z tytułu dostaw i usług,,,,,,,,236.5,100.74,-52.62,27.41,-100.0,-98.15,-96.13,-96.22,,-60.0,-42.86,118.75,-81.25,775.0,0.0,0.0,-100.0,-8.57,225.0,-88.57,,-90.62,-15.38,-50.0,,966.67,42909.09,269600.0,,21506.25,-16.28,2.8,334.72,114.35,301.51,168.73,19.47,16.73,-10.88,2.43,65.18
Kredyty i pożyczki,,,,,,,337.13,985.4,880.29,,0.07,-100.0,-100.0,-100.0,-100.0,,,,,-100.0,,,,,,,,,,,,,,11745.88,,,,-90.97,-94.91,-98.02,-96.49,133.22,170.99,1360.82,5972.34,-56.67,-33.92,-55.79
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,243.9,,,,49.17,0.0,0.0,-100.0,2.85,33.84,14.12,,-100.0,-100.0,-100.0,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43,-24.0,-96.76,38.97,-6.53,19.45,-26.5,-51.07,-23.58,-31.23,1.83
Inne zobowiązania długoterminowe,,,,,,,,-100.0,,,,,-40.59,-100.0,-100.0,-35.58,-100.0,,,-100.0,,,0.0,,-70.9,,-100.0,-100.0,-100.0,,,,,,,,,27374.07,,-49.1,-41.39,-67.97,-72.1,-81.31,-73.4,-40.7,-19.66,-0.55
Zobowiązania krótkoterminowe,,,,,-10.47,-15.86,-19.37,22.95,21.96,-11.38,8.42,-92.7,-87.64,-84.11,-85.88,410.3,221.72,283.85,347.58,50.12,96.86,0.0,0.08,28.4,-2.84,48.0,9.96,-99.63,-99.82,-87.68,-83.62,4416.67,11966.67,22685.16,22447.93,21443.91,6903.59,-52.14,-59.53,-71.8,-34.05,22.26,8.19,47.0,46.14,-22.76,-7.21,32.64
Inne zobowiązania krótkoterminowe,,,,,,,-95.5,-93.12,-79.51,-92.26,67.47,63.37,-96.0,125.89,82.01,380.61,-18.18,-96.05,-94.07,-95.84,4277.78,0.0,6.67,4818.18,-20.56,1370.0,-75.0,-99.63,-100.0,-99.32,5275.0,4416.67,,1620200.0,5877.67,3911.07,4000.61,-24.53,-8.47,-87.0,-91.82,-70.06,-84.31,-6.37,-1.9,-35.02,-18.04,11.64
Rozliczenia międzyokresowe,,,,,,,-90.51,350.85,2362.22,481.25,1623.08,968.05,153.25,928.67,1232.59,-68.07,-67.71,-78.75,-99.97,-3.97,-10.6,0.0,-100.0,-94.72,-94.69,-100.0,,-100.0,-100.0,,,,,,,,,-100.0,-100.0,,,,,,,,,
Pasywa razem,,,,,-7.95,-8.42,-15.41,198.85,219.73,177.93,202.02,29.48,24.0,41.39,42.06,-27.68,-27.91,-33.59,-34.91,-31.71,-28.72,0.0,0.0,-60.02,-62.21,-98.6,-99.4,-99.19,-98.98,-92.12,-80.8,-44.0,-3.23,223413.04,226937.5,195332.14,110045.0,0.54,4.08,-6.22,-28.06,-23.33,-39.27,-73.11,-70.08,-55.47,-49.43,47.74
Przepływy pieniężne z działalności operacyjnej,,,,,,,-161.38,300.36,,,249.57,-85.21,-126.86,91.21,-112.39,-156.1,-34.82,-3.54,-86.05,-22.83,29.8,-332.48,430.0,-374.34,-27.36,21.15,-10.23,81.16,86.67,90.73,-118.57,72.28,-250.0,5289.19,4763.64,-11753.57,-32925.4,687.08,-82.85,232.63,123.63,-101.01,-1392.33,-126.62,-115.15,-903.92,126.12,-495.82
Amortyzacja,,,,,132.5,-98.84,75.61,-6.15,-37.63,4300.0,-44.44,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,-34.57,18.33,28.47,83.75,70.74,12.07,-60.78,-88.07,-82.42,-86.14,-103.3
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,-90.0,252.12,,,-100.0,-603.81,100.0,-100.0,,107.96,,,,-122.78,129.17,2876.74,-3319.51,3525.0,139.29,-10.94,100.0,-93.11,-100.0,-100.0,,-100.0,,,,,,49.4,57.68,-132.14,-121.19,115.01,104.76,107.3,63.69,-271.44,-1256.16,50.89
CAPEX (niematerialne i rzeczowe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.5,-57.46,157.53,-16.9,-63.26,-44.76,-102.53,-63.62,-30.08,-0.24,561.59
Przepływy pieniężne z działalności finansowej,,,,,,,66.73,193.75,,,87.37,5185.11,-37.42,104.95,612.5,-97.62,-38.14,4.46,38.21,110.17,16.67,-270.09,-79.41,-274.19,-31.43,-232.66,-1074.29,107.87,-37.5,105.29,111.73,47.06,183.33,26845.71,16247.5,18284.0,2138.82,-185.37,-58.95,-71.98,-140.15,85.96,51.27,-33.07,396.47,378.58,-79.14,604.52
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,,,-191.61,4458.82,,,177.46,-57.23,-108.67,99.9,-75.23,-81.15,-1146.67,4400.0,-38.75,-120.0,95.72,1237.21,-2351.02,2024.0,-150.0,-86.26,90.57,-99.79,160.0,-102.53,96.15,-400.0,83.33,-126200.0,33625.0,-34600.0,-2072.73,101.54,-102.39,129.68,155.07,-687.18,-971.88,-73.14,-58.58,14.85,201.17,-481.93
