,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Koszty finansowe,10.0,0.0,11.0,-11.0,11.0,0.0,164.0,338.0,-337.0,309.0,-309.0,608.0,-564.0,2.0,0.0,5.0,0.0,0.0,1356.0,19.0,139.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,105.0,555.0,-516.0,-31.0,6.0,8.0,9.0,477.0,-369.0,63.0,33.0,121.0,214.0,77.0,87.0,84.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,1833.0,2458.0,3000.0,3057.0,3597.0,4153.0,5214.0,6709.0,7068.0,7340.0,8516.0,8992.0,10223.0,11320.0,12185.0,14973.0,14989.0,13768.0,14912.0,15420.0,15880.0,17665.0,17462.0,17006.0,18853.0,18225.0,20382.0,19710.0,23560.0,25271.0,24383.0,28018.0,29432.0,28458.0,35369.0,31498.0,32617.0,38738.0,42436.0,50812.0,53089.0,48313.0,42303.0,47373.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1833.0,2458.0,3000.0,3057.0,3597.0,4153.0,5214.0,6709.0,7068.0,7340.0,8516.0,8992.0,10223.0,11320.0,12185.0,14973.0,14989.0,13768.0,14912.0,15420.0,15880.0,17665.0,17462.0,17006.0,18853.0,18225.0,20382.0,19710.0,23560.0,25271.0,24383.0,28018.0,29432.0,28458.0,35369.0,31498.0,32617.0,38738.0,42436.0,50812.0,53089.0,48313.0,42303.0,47373.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1361.0,1980.0,2389.0,2472.0,2859.0,3323.0,4157.0,5429.0,5648.0,5889.0,6823.0,7251.0,8110.0,9089.0,9742.0,12049.0,12037.0,11074.0,12022.0,12407.0,12802.0,14226.0,14102.0,13740.0,15178.0,14714.0,16368.0,15815.0,29222.0,20802.0,25637.0,26206.0,27515.0,26612.0,32682.0,29423.0,30306.0,35892.0,39674.0,47184.0,49607.0,45167.0,39453.0,43884.0
Zysk netto akcjonariuszy jednostki dominującej,1361.0,1980.0,2389.0,2472.0,2859.0,3323.0,4157.0,5429.0,5648.0,5889.0,6823.0,7251.0,8110.0,9089.0,9742.0,12049.0,12037.0,11074.0,12022.0,12407.0,12802.0,14226.0,14102.0,13740.0,15178.0,14714.0,16368.0,15815.0,29222.0,20802.0,25637.0,26206.0,27515.0,26612.0,32682.0,29423.0,30306.0,35892.0,39674.0,47184.0,49607.0,45167.0,39453.0,43884.0
Aktywa trwałe,1180.0,2497.0,2682.0,1872.0,3101.0,3482.0,3548.0,3728.0,3931.0,4040.0,4551.0,4893.0,5552.0,6090.0,6947.0,7510.0,8062.0,8694.0,9245.0,10200.0,11439.0,12191.0,15141.0,16861.0,18569.0,20025.0,24987.0,26823.0,33071.0,34380.0,34950.0,36053.0,37168.0,38133.0,39653.0,40639.0,42231.0,43892.0,46124.0,57062.0,60375.0,63023.0,70086.0,72350.0
Wartości niematerialne i prawne,727.0,1427.0,367.0,1348.0,1207.0,2320.0,2744.0,2852.0,3057.0,2832.0,3154.0,3441.0,3778.0,4308.0,4779.0,4411.0,6059.0,6643.0,7049.0,7474.0,8463.0,8957.0,9661.0,12628.0,13809.0,15309.0,16627.0,17714.0,26528.0,27478.0,27355.0,29561.0,33083.0,34240.0,35925.0,36894.0,38456.0,40136.0,42330.0,53413.0,56992.0,60026.0,63118.0,65917.0
Rzeczowe składniki majątku trwałego,372.0,382.0,1338.0,393.0,381.0,407.0,383.0,383.0,355.0,363.0,474.0,524.0,568.0,588.0,574.0,580.0,572.0,621.0,655.0,755.0,1231.0,1278.0,1228.0,1519.0,1530.0,1503.0,5074.0,5259.0,4321.0,4070.0,3914.0,3721.0,3657.0,3458.0,3234.0,3221.0,3232.0,3157.0,3024.0,2889.0,2673.0,2218.0,1838.0,1459.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,53.0,0.0,53.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,188.0,168.0,168.0,154.0,148.0,148.0,148.0,148.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,189.0,194.0,198.0,205.0,201.0,201.0,201.0,202.0,201.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,81.0,688.0,977.0,131.0,1513.0,755.0,421.0,492.0,472.0,845.0,870.0,928.0,1153.0,1154.0,1554.0,2479.0,1391.0,1390.0,1501.0,1931.0,1557.0,1788.0,4084.0,2560.0,3082.0,3065.0,3138.0,3702.0,2040.0,2650.0,3499.0,2589.0,246.0,253.0,312.0,335.0,349.0,401.0,565.0,559.0,509.0,578.0,4928.0,4773.0
Aktywa obrotowe,7084.0,9029.0,4023.0,7719.0,9811.0,13259.0,8032.0,11895.0,17357.0,23295.0,11898.0,19780.0,26524.0,35345.0,16588.0,28251.0,39471.0,49436.0,24962.0,37364.0,37205.0,51500.0,28316.0,42940.0,42952.0,55157.0,32697.0,46932.0,54557.0,74528.0,50548.0,77155.0,85150.0,114485.0,80791.0,99335.0,95521.0,131565.0,87880.0,125534.0,136956.0,175647.0,98225.0,137286.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,1008.0,2453.0,1194.0,1190.0,1442.0,1578.0,1821.0,2083.0,2142.0,2346.0,2695.0,2834.0,3271.0,3436.0,3890.0,4326.0,4510.0,5150.0,6031.0,6418.0,6912.0,8124.0,8412.0,8418.0,10273.0,11391.0,9851.0,7412.0,15815.0,14593.0,19284.0,20060.0,25807.0,18067.0,24875.0,24481.0,39444.0,43361.0,45835.0,33903.0,40269.0,38635.0,40839.0,44120.0
Inwestycje krótkoterminowe,4999.0,6571.0,2829.0,5348.0,8334.0,11668.0,6199.0,9802.0,15158.0,20712.0,9021.0,16853.0,23214.0,31907.0,12653.0,23888.0,34750.0,44202.0,18518.0,30641.0,30134.0,43331.0,19804.0,34470.0,32624.0,43715.0,22724.0,39430.0,38682.0,59873.0,31136.0,56964.0,59233.0,96146.0,55552.0,74534.0,55666.0,87856.0,41045.0,90698.0,95820.0,136173.0,56488.0,92247.0
Środki pieniężne i inne aktywa pieniężne,1355.0,6303.0,2829.0,5348.0,8227.0,11516.0,6199.0,9627.0,15158.0,20712.0,9021.0,16853.0,23214.0,31907.0,12653.0,23888.0,34750.0,44202.0,18518.0,30641.0,30134.0,43331.0,19804.0,34470.0,32624.0,43715.0,22724.0,39430.0,38682.0,59873.0,31136.0,56964.0,59233.0,96146.0,55552.0,74534.0,55666.0,87856.0,41045.0,90698.0,95820.0,136173.0,56488.0,92247.0
Pozostałe aktywa obrotowe,1077.0,5.0,0.0,1181.0,35.0,13.0,12.0,10.0,57.0,237.0,182.0,93.0,39.0,2.0,45.0,37.0,211.0,84.0,413.0,305.0,159.0,45.0,100.0,52.0,55.0,51.0,122.0,90.0,60.0,62.0,128.0,131.0,110.0,272.0,364.0,320.0,411.0,348.0,1000.0,933.0,867.0,839.0,898.0,919.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,8264.0,11526.0,6705.0,9591.0,12912.0,16741.0,11580.0,15623.0,21288.0,27335.0,16449.0,24673.0,32076.0,41435.0,23535.0,35761.0,47533.0,58130.0,34207.0,47564.0,48644.0,63691.0,43457.0,59801.0,61521.0,75182.0,57684.0,73755.0,87628.0,108908.0,85498.0,113208.0,122318.0,152618.0,120444.0,139974.0,137752.0,175457.0,134004.0,182596.0,197331.0,238670.0,168311.0,209636.0
Kapitał własny akcjonariuszy jednostki dominującej,7015.0,9009.0,5385.0,7856.0,10711.0,14052.0,8672.0,14104.0,19739.0,25666.0,14167.0,21534.0,29526.0,38639.0,20594.0,32654.0,44649.0,55689.0,31397.0,43776.0,45234.0,59463.0,39306.0,53177.0,54345.0,69178.0,49170.0,64810.0,78681.0,99311.0,76453.0,102680.0,107370.0,133442.0,94075.0,123520.0,124510.0,160402.0,116165.0,163148.0,175115.0,219987.0,90053.0,128642.0
Kapitał (fundusz) podstawowy,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,172.0,172.0,493.0,493.0,493.0,493.0,621.0,621.0,621.0,621.0,788.0,788.0,788.0,788.0,894.0,894.0,894.0,894.0,7311.0,7311.0,7311.0,7311.0,9807.0,9807.0,9807.0,9807.0,16579.0,16578.0,16578.0,16578.0,28547.0,28547.0,28547.0,28547.0,33306.0,33306.0,33306.0,33306.0,38580.0,38580.0,38580.0,38580.0,57092.0,57092.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,5.0,5.0,5.0,5.0,6.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2945.0,3808.0,2339.0,2135.0,1934.0,1742.0,1536.0,1372.0,1145.0,949.0,796.0,657.0,463.0,264.0,75.0,0.0,1952.0,2227.0
Z tytułu dostaw i usług,69.0,1293.0,68.0,237.0,1139.0,118.0,868.0,80.0,364.0,473.0,1273.0,466.0,668.0,690.0,1046.0,1104.0,2231.0,2195.0,2785.0,3259.0,2807.0,3137.0,3450.0,4690.0,4324.0,4530.0,4487.0,4652.0,4856.0,6291.0,6023.0,7185.0,6821.0,8748.0,9014.0,6207.0,11153.0,12863.0,15203.0,16973.0,15081.0,15616.0,8589.0,8820.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,178.0,827.0,821.0,815.0,809.0,803.0,798.0,793.0,786.0,820.0,813.0,807.0,801.0,912.0,756.0,527.0,300.0
Inne zobowiązania długoterminowe,5.0,5.0,5.0,5.0,6.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,23.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1952.0,2227.0
Zobowiązania krótkoterminowe,1244.0,2512.0,1315.0,1730.0,2195.0,2684.0,2908.0,1519.0,1545.0,1664.0,2282.0,3139.0,2549.0,2795.0,2941.0,3107.0,2884.0,2441.0,2810.0,3788.0,3410.0,4228.0,4151.0,6624.0,7166.0,6004.0,5569.0,5137.0,6608.0,7462.0,7111.0,8786.0,13412.0,17804.0,25224.0,15505.0,12446.0,14398.0,17376.0,19184.0,22141.0,18683.0,76306.0,78767.0
Inne zobowiązania krótkoterminowe,1175.0,1219.0,1247.0,1493.0,1056.0,2566.0,2040.0,1439.0,1181.0,1191.0,1009.0,2673.0,1881.0,2105.0,1895.0,2003.0,653.0,246.0,25.0,529.0,603.0,1091.0,701.0,1934.0,2842.0,1474.0,373.0,307.0,925.0,350.0,273.0,792.0,5788.0,8258.0,15417.0,8512.0,473.0,722.0,1366.0,1410.0,6148.0,2311.0,67190.0,69647.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,8264.0,11526.0,6705.0,9591.0,12912.0,16741.0,11580.0,15623.0,21288.0,27335.0,16449.0,24673.0,32076.0,41435.0,23535.0,35761.0,47533.0,58130.0,34207.0,47564.0,48644.0,63691.0,43457.0,59801.0,61521.0,75182.0,57684.0,73755.0,87628.0,108908.0,85498.0,113208.0,122318.0,152618.0,120444.0,139974.0,137752.0,175457.0,134004.0,182596.0,197331.0,238670.0,168311.0,209636.0
Przepływy pieniężne z działalności operacyjnej,955.0,2265.0,2637.0,2450.0,3788.0,4491.0,3799.0,3838.0,5712.0,6272.0,7015.0,8538.0,6655.0,9626.0,9283.0,11297.0,12999.0,10636.0,11718.0,13666.0,12158.0,14682.0,14077.0,17597.0,14833.0,13756.0,17957.0,19685.0,24419.0,24310.0,23694.0,29821.0,28669.0,40967.0,35960.0,24023.0,14505.0,37331.0,42814.0,64504.0,50129.0,47663.0,43629.0,43419.0
Amortyzacja,101.0,111.0,113.0,133.0,194.0,155.0,194.0,247.0,240.0,277.0,283.0,320.0,330.0,354.0,398.0,441.0,500.0,550.0,591.0,637.0,100.0,761.0,873.0,963.0,1153.0,1268.0,1367.0,1457.0,2398.0,2225.0,2389.0,2501.0,2667.0,2894.0,2792.0,3064.0,3171.0,3328.0,3480.0,3699.0,3971.0,4501.0,4751.0,5012.0
Przepływy pieniężne z działalności inwestycyjnej,-536.0,-1066.0,3638.0,67.0,-907.0,-1202.0,412.0,-410.0,-377.0,-718.0,-423.0,-707.0,-297.0,-934.0,-725.0,-63.0,-2137.0,-1184.0,-1095.0,-1542.0,-1335.0,-1485.0,-3357.0,-2930.0,-2774.0,-2665.0,-2638.0,-2982.0,-9183.0,-2910.0,-3814.0,-3786.0,-3278.0,-3851.0,-4254.0,-4840.0,-3900.0,-4933.0,-5543.0,-14647.0,-7334.0,-7080.0,-7468.0,-7433.0
CAPEX (niematerialne i rzeczowe),656.0,1070.0,-63.0,-137.0,1091.0,1167.0,-377.0,410.0,485.0,770.0,371.0,707.0,297.0,934.0,824.0,67.0,2153.0,1184.0,1154.0,1579.0,1370.0,1485.0,3442.0,2975.0,2806.0,2691.0,2652.0,3004.0,9143.0,2946.0,3812.0,3782.0,3248.0,3851.0,4254.0,4968.0,3796.0,4933.0,5543.0,14647.0,7334.0,7080.0,7468.0,7433.0
Przepływy pieniężne z działalności finansowej,1.0,0.0,-6000.0,0.0,0.0,0.0,-9527.0,0.0,0.0,0.0,-18283.0,0.0,0.0,0.0,-27810.0,0.0,0.0,0.0,-36308.0,0.0,-11330.0,0.0,-34248.0,0.0,-13905.0,0.0,-36311.0,3.0,-15984.0,-209.0,-48617.0,-206.0,-23122.0,-202.0,-72301.0,-200.0,-29474.0,-208.0,-84082.0,-204.0,-37673.0,-230.0,-115846.0,-227.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,6000.0,0.0,0.0,0.0,9527.0,0.0,0.0,0.0,18283.0,0.0,0.0,0.0,27810.0,0.0,0.0,0.0,36308.0,0.0,11330.0,0.0,34248.0,0.0,13905.0,0.0,36308.0,0.0,15450.0,0.0,48410.0,0.0,22918.0,0.0,72100.0,0.0,29354.0,0.0,83945.0,-1.0,37595.0,0.0,115617.0,0.0
Przepływy pieniężne razem,420.0,1199.0,275.0,2517.0,2881.0,3289.0,-5316.0,3428.0,5335.0,5554.0,-11691.0,7831.0,6358.0,8692.0,-19252.0,11234.0,10862.0,9452.0,-25685.0,12124.0,-507.0,13197.0,-23528.0,14667.0,-1846.0,11091.0,-20992.0,16706.0,-748.0,21191.0,-28737.0,25829.0,2269.0,36914.0,-40595.0,18983.0,-18869.0,32190.0,-46811.0,49653.0,5122.0,40353.0,-79685.0,35759.0
