,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Zapasy,,,,,-2.72,24.29,33.55,26.76,-9.1,13.37,12.93,42.55,45.2,-7.71,19.17,-5.08,23.99,111.35,50.25,33.8,27.55,2.18,27.35,62.28,56.92,23.44,5.04,-2.97,4.1,17.53,-18.51,-19.99,20.06,34.31,148.17,269.8,185.69,87.35,55.08,-28.22,-57.38,-53.25,-52.02,-35.1,-10.1
Należności krótkoterminowe,,,,,-8.67,8.18,-15.9,-2.52,9.47,0.78,12.37,9.94,38.37,24.42,10.46,12.65,0.27,39.95,44.56,36.13,48.53,14.34,14.48,5.23,17.27,30.2,8.71,17.95,24.11,8.8,-3.6,-16.85,-28.09,7.2,92.44,187.0,176.05,103.49,48.22,-25.58,-29.24,-33.96,-33.52,-12.47,-7.62
Inwestycje krótkoterminowe,,,,,188.26,276.31,348.98,17.55,44.64,60.89,128.96,-19.18,-55.16,-5.2,226.29,900.52,424.39,555.85,-38.48,121.44,59.69,46.58,156.43,-45.43,-31.7,-49.65,91.92,33.56,15.6,42.27,-17.43,156.28,40.43,130.22,-31.45,-40.83,7.51,90.86,332.62,84.0,139.11,19.62,26.44,110.28,58.56
Środki pieniężne i inne aktywa pieniężne,,,,,188.26,276.31,348.98,17.55,44.64,60.89,128.96,-19.18,-55.16,-5.2,226.29,900.52,406.73,555.85,-38.48,121.44,65.26,46.58,156.43,-45.43,-31.7,-49.65,91.92,33.56,15.6,42.27,-17.43,156.28,40.43,130.22,-31.45,-40.83,7.51,90.86,332.62,84.0,139.11,19.62,26.44,110.28,58.56
Pozostałe aktywa obrotowe,,,,,-27.03,-13.64,-82.24,-82.96,-48.15,-5.26,247.37,-50.0,50.0,22.22,22.73,431.58,9.52,13.64,-6.17,-97.03,56.52,78.0,96.05,1200.0,-52.78,-15.73,486.58,220.51,288.24,-24.0,-20.59,283.2,789.39,1294.74,-22.91,4058.66,3250.6,2550.69,4242.99,6.15,-95.05,-94.68,-96.2,-95.79,-3.49
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,3.87,20.21,19.3,29.43,29.46,20.92,19.07,14.11,18.5,10.0,21.58,22.52,30.48,61.05,33.59,39.85,34.08,21.06,31.96,21.71,26.28,17.45,19.8,12.57,10.78,12.22,-3.83,7.97,8.82,23.27,47.86,74.49,78.85,62.31,52.0,-5.96,-17.23,-19.66,-20.15,1.14,7.9
Kapitał własny akcjonariuszy jednostki dominującej,,,,,66.11,69.74,63.54,59.7,17.61,17.46,12.7,12.53,23.46,25.66,38.17,39.41,25.98,31.43,22.32,45.05,42.6,43.29,47.88,21.22,22.0,18.3,13.45,16.16,14.03,13.49,15.14,12.94,16.85,22.38,37.36,68.11,68.76,61.38,43.28,11.91,-0.54,-5.13,-8.2,-6.74,-4.71
Kapitał (fundusz) podstawowy,,,,,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,8.28,8.28,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,86.4,50.52,72.44,72.44,16.66,14.56,13.88,13.88,13.88,13.88,18.45,18.45,18.45,18.45,25.61,56.71,56.53,56.53,48.36,18.91,19.05,19.05,21.61,21.61,21.61,21.61,20.32,20.32,20.32,20.32,13.48,13.48,13.48,13.48,62.57,62.57,62.57,62.57,8.85,8.85,8.85
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,9.06,21.13,37.98,157.07,20.45,81.26,48.26,-10.13,59.01,2.87,-2.64,19.4,30.65,68.17,90.66,69.6,57.8,34.02,18.74,11.09,17.32,7.93,11.24,11.35,-1.07,1.44,-3.37,0.68,10.57,5.55,12.24,9.35,7.98,12.63,14.89,15.18,10.79,54.62,46.85,48.81,32.66
Z tytułu dostaw i usług,,,,,-31.99,-19.95,-26.97,-22.47,-28.14,2.3,13.61,27.54,21.28,-19.33,18.66,8.32,69.49,142.7,13.32,12.93,-45.58,-41.61,16.37,-4.48,60.98,38.53,15.18,-0.72,1.81,28.85,-23.88,23.56,20.61,28.58,99.06,197.61,253.81,138.87,111.61,-49.92,-77.14,-62.89,-57.19,7.55,121.2
Kredyty i pożyczki,,,,,-85.55,28.73,40.86,61.55,1112.88,42.59,30.37,20.76,23.05,22.37,-11.91,-7.91,-2.56,46.88,95.79,57.05,53.56,23.09,-39.83,29.6,38.04,6.61,69.11,-9.14,-0.57,-27.87,10.32,60.11,24.61,137.11,41.45,-37.91,17.83,-28.59,30.4,18.79,-19.69,-31.69,-45.24,1.5,23.28
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,106.57,64.64,43.52,-10.32,9.61,12.34,-3.75,-1.42,-8.97,-11.5,-13.61,-7.82,-0.22,1.17,-15.83,5.96,842.24,884.92,1386.01,1029.44,23.14,10.08,56.07,56.53,42.3,50.08,-87.38,-87.06,-80.5,-63.23,185.76,203.38,328.43,145.51,99.74,104.83,28.21,17.07,36.09,18.55,-8.54
Inne zobowiązania długoterminowe,,,,,-2.53,-9.34,4.97,6.81,13.56,332.17,365.05,352.22,382.85,31.61,18.05,16.02,20.92,45.12,54.31,66.09,44.28,22.73,16.67,17.98,38.09,36.74,33.15,21.91,3.65,7.63,6.98,13.12,28.89,20.47,27.91,21.16,6.5,7.84,2.8,2.81,-0.09,-1.21,-0.59,1.59,0.21
Zobowiązania krótkoterminowe,,,,,-39.17,-10.31,-11.91,-7.85,54.38,12.24,18.85,25.19,0.85,-6.6,11.05,6.25,38.16,106.79,32.72,23.73,11.37,-5.97,17.07,26.98,39.88,20.25,33.7,7.68,10.64,14.42,-30.02,2.78,-6.43,30.77,88.85,110.27,136.64,77.47,77.01,-35.33,-50.4,-51.89,-48.57,3.78,36.1
Inne zobowiązania krótkoterminowe,,,,,32.93,76.61,52.99,25.52,2141.69,67.58,77.98,64.72,-77.36,28.88,179.74,146.37,107.68,310.57,-10.74,22.65,7.88,36.61,25.58,4.08,13.79,0.72,4.61,19.33,34.16,16.82,-11.47,-13.52,-19.18,38.06,325.09,419.04,136.78,71.39,-2.52,-60.39,-29.54,-58.75,-73.41,-67.7,-59.14
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,3.87,20.21,19.3,29.43,29.46,20.92,19.07,14.11,18.5,10.0,21.58,22.52,30.48,61.05,33.59,39.85,34.08,21.06,31.96,21.71,26.28,17.45,19.8,12.57,10.78,12.22,-3.83,7.97,8.82,23.27,47.86,74.49,78.85,62.31,52.0,-5.96,-17.23,-19.66,-20.15,1.14,7.9
Przepływy pieniężne z działalności operacyjnej,,,,,-176.4,-717.7,99.3,-29.62,465.07,50.53,-5326.32,-33.09,-62.44,183.71,1327.64,23.29,340.42,-476.58,-203.54,765.04,-64.29,142.29,146.1,-114.46,69.98,87.08,170.27,-9.34,-74.44,138.57,44.77,841.6,-1183.96,-56.65,-131.15,63.47,20.85,1260.88,-133.51,1.09,207.17,-66.96,67.22,-32.89,-82.13
Amortyzacja,,,,,20.08,2.53,2.49,5.67,5.25,55.28,55.21,51.68,59.19,13.15,16.33,16.37,16.44,5.41,8.27,7.98,6.05,12.74,27.89,24.3,18.23,20.4,25.97,37.39,67.16,70.73,36.49,28.87,3.77,5.58,5.57,8.56,10.36,23.85,25.55,26.16,26.4,31.24,32.91,28.62,19.45
Przepływy pieniężne z działalności inwestycyjnej,,,,,135.39,-914.01,-298.62,-829.56,-158.79,83.42,76.85,92.46,-0.82,16.05,-16.11,-275.69,-884.99,-376.14,-407.96,-97.42,34.69,-105.7,-56.4,-13.67,-32.24,41.4,59.06,72.46,64.79,23.59,17.26,-259.44,-95.35,41.83,-137.19,42.0,-70.7,-64.16,55.99,-148.28,92.97,-22.11,208.3,49.42,-246.59
CAPEX (niematerialne i rzeczowe),,,,,-95.03,918.03,2268.57,829.67,318.32,-83.36,-77.54,-92.46,-17.43,-16.71,16.43,275.85,1103.76,382.15,419.0,97.34,-34.7,103.13,58.43,13.79,33.43,-41.4,-60.55,-72.46,-64.99,-23.59,-11.95,258.97,94.76,-40.16,123.13,-35.01,71.86,77.46,-54.59,123.4,-62.15,10.52,-50.59,-49.55,-36.03
Przepływy pieniężne z działalności finansowej,,,,,32.07,629.57,603.47,508.29,-98.93,-123.05,-34.96,-151.08,720.0,19.79,-227.76,174.21,976.96,953.69,307.66,315.06,-19.55,-55.63,-234.43,-32.96,88.74,-210.39,193.17,-237.09,-42.54,-108.6,-249.53,222.46,16.87,196.91,-7.1,-259.38,636.8,-210.17,217.83,-193.86,-69.02,130.19,-75.2,93.57,31.82
Emisja akcji,,,,,,,,-100.0,,,,,,,,,,,,,,,,-100.0,100.0,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,-100.0,,,,,,,,17.67,,,,33.32,,,,-100.0,,,,,,,-100.0,,,,,-100.0,
Przepływy pieniężne razem,,,,,632.68,-155.78,-126.86,-88.14,54.03,-35.73,202.77,-1802.34,-67.88,87.39,1995.1,191.01,158.44,211.8,-243.99,1049.17,-92.03,-313.05,10.64,-106.38,859.62,-317.0,288.11,-819.68,-48.97,34.89,-56.72,298.23,-1220.81,460.96,-400.13,-49.91,111.62,281.5,80.02,-290.25,872.32,-58.79,124.93,162.7,-51.16
