,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Koszty finansowe,121.0,91.0,54.0,215.0,124.0,87.0,218.0,103.0,127.0,135.0,149.0,184.0,145.0,42.0,61.0,46.0,64.0,35.0,57.0,40.0,57.0,112.0,83.0,43.0,61.0,104.0,26.0,48.0,78.0,132.0,67.0,94.0,50.0,61.0,37.0,53.0,30.0,24.0,31.0,104.0,47.0,51.0,6633.0,934.0,94.0,110.0,9.0,159.0,5.0,0.0,0.0,10.0,7.0,24.0,36.0,1205.0,12773.0,119.0,1248.0,404.0,4089.0,7590.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,-848.0,5135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,367.0,617.0,993.0,-1021.0,-266.0,576.0,844.0,-197.0,-690.0,-3.0,1692.0,-1127.0,2620.0,166.0,806.0,1730.0,-2748.0,584.0,-485.0,419.0,-706.0,397.0,-352.0,209.0,-625.0,-3251.0,-1113.0,-1246.0,-370.0,-3541.0,-433.0,-1342.0,215.0,1128.0,-93.0,740.0,3038.0,3753.0,-1549.0,-4704.0,429.0,-550.0,-5236.0,-1336.0,-169.0,-366.0,-158.0,1526.0,175.0,6.0,-101.0,-140.0,-90.0,-74.0,2130.0,-1596.0,63804.0,-5044.0,-1228.0,-38754.0,-3316.0,61970.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,367.0,617.0,993.0,-1021.0,-266.0,576.0,844.0,-197.0,-690.0,-3.0,1692.0,-1127.0,2620.0,166.0,806.0,1730.0,-2748.0,584.0,-485.0,419.0,-706.0,397.0,-352.0,209.0,-625.0,-3251.0,-1113.0,-1246.0,-370.0,-3541.0,-433.0,-1342.0,215.0,1128.0,-93.0,740.0,3038.0,3753.0,-1549.0,-4704.0,429.0,-550.0,-5236.0,-1336.0,-169.0,-366.0,-158.0,1526.0,175.0,6.0,-101.0,-140.0,-90.0,-74.0,2130.0,-1596.0,63804.0,-5044.0,-1228.0,-38754.0,-3316.0,61970.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-277.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2652.0,1806.0,0.0
Zysk netto,371.0,622.0,997.0,-924.0,-264.0,530.0,811.0,-69.0,-663.0,245.0,1155.0,1113.0,2589.0,-32.0,567.0,2981.0,-3347.0,1110.0,-841.0,113.0,-798.0,252.0,-688.0,910.0,-843.0,-3077.0,-1136.0,-1591.0,-477.0,-3732.0,-484.0,-1737.0,147.0,897.0,-104.0,471.0,2413.0,3023.0,-1279.0,-3885.0,313.0,-456.0,-4408.0,-1336.0,-169.0,-366.0,-158.0,1574.0,159.0,-5.0,-104.0,-158.0,-92.0,-85.0,2110.0,-1568.0,51362.0,-5327.0,-1232.0,-36098.0,-2132.0,62531.0
Zysk netto akcjonariuszy jednostki dominującej,371.0,622.0,997.0,-924.0,-264.0,387.0,1101.0,-262.0,-631.0,238.0,1093.0,1044.0,2588.0,-74.0,538.0,3053.0,-3347.0,1110.0,-841.0,113.0,-798.0,252.0,-688.0,910.0,-843.0,-3077.0,-1136.0,-1591.0,-477.0,-3732.0,-484.0,-1737.0,147.0,897.0,-104.0,471.0,2413.0,3023.0,-1279.0,-3885.0,313.0,-456.0,-4408.0,-1336.0,-169.0,-366.0,-158.0,1574.0,159.0,-5.0,-104.0,-158.0,-92.0,-85.0,2110.0,-1568.0,51362.0,-5327.0,-1232.0,-36098.0,-2421.0,62790.0
Aktywa trwałe,14379.0,13394.0,12084.0,19243.0,18903.0,15182.0,15000.0,14745.0,14743.0,14938.0,15243.0,12955.0,9127.0,10013.0,10622.0,12484.0,11580.0,11507.0,10086.0,7827.0,7631.0,7259.0,7271.0,7124.0,6291.0,5922.0,5688.0,4238.0,3606.0,3242.0,2942.0,2501.0,2452.0,2305.0,2260.0,2220.0,2221.0,2413.0,2161.0,2242.0,12558.0,12257.0,3646.0,2086.0,2060.0,1924.0,1901.0,1943.0,1900.0,1880.0,1857.0,2160.0,1801.0,1785.0,17.0,17.0,778866.0,156708.0,133433.0,113654.0,190603.0,402141.0
Wartości niematerialne i prawne,0.0,0.0,0.0,2092.0,0.0,0.0,0.0,1637.0,1628.0,1617.0,1607.0,1062.0,1058.0,1008.0,943.0,1035.0,1033.0,755.0,759.0,371.0,368.0,366.0,361.0,182.0,180.0,177.0,175.0,173.0,171.0,168.0,166.0,162.0,160.0,158.0,156.0,153.0,35.0,33.0,31.0,29.0,27.0,26.0,24.0,22.0,20.0,18.0,16.0,14.0,12.0,10.0,9.0,7.0,5.0,3.0,0.0,0.0,686671.0,143865.0,122777.0,103718.0,131841.0,2862.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,8527.0,0.0,0.0,0.0,6635.0,6643.0,6550.0,6457.0,4489.0,4736.0,6204.0,7515.0,7713.0,7439.0,7170.0,5943.0,4920.0,4486.0,4441.0,3953.0,2744.0,2681.0,2602.0,2537.0,2637.0,2285.0,2247.0,2064.0,2041.0,2018.0,1995.0,1973.0,17.0,159.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,7.0,6.0,3.0,11.0,10.0,9.0,8.0,7.0,1.0,0.0,0.0,83181.0,10504.0,4396.0,8856.0,45093.0,379691.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,884.0,535.0,846.0,2190.0,1612.0,1593.0,1592.0,178.0,172.0,141.0,117.0,104.0,104.0,0.0,0.0,0.0,0.0,232.0,0.0,7.0,0.0,274.0,289.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,12.0,19.0,0.0,0.0,4344.0,1064.0,1017.0,1080.0,1080.0,1935.0
Inwestycje długoterminowe,0.0,0.0,0.0,8564.0,0.0,0.0,0.0,6410.0,6410.0,6722.0,7134.0,5972.0,1408.0,983.0,282.0,1395.0,1253.0,1466.0,1417.0,64.0,39.0,26.0,870.0,23.0,31.0,19.0,17.0,15.0,13.0,11.0,9.0,8.0,6.0,4.0,2.0,1934.0,1934.0,2058.0,2038.0,2018.0,12359.0,11798.0,3202.0,1938.0,1918.0,1899.0,1879.0,1859.0,1839.0,1819.0,1799.0,2116.0,1759.0,1739.0,0.0,0.0,1364.0,746.0,5243.0,0.0,8650.0,17653.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,60.0,0.0,0.0,0.0,63.0,62.0,49.0,45.0,1432.0,1925.0,1818.0,1882.0,2341.0,1855.0,2116.0,1967.0,1949.0,1854.0,1891.0,1241.0,1985.0,1787.0,1531.0,1367.0,1235.0,965.0,675.0,586.0,186.0,164.0,148.0,129.0,116.0,93.0,76.0,79.0,176.0,161.0,149.0,122.0,117.0,114.0,0.0,0.0,48.0,19.0,22.0,21.0,10.0,18.0,23.0,17.0,17.0,3307.0,529.0,0.0,0.0,3939.0,0.0
Aktywa obrotowe,11918.0,14104.0,14354.0,16016.0,12285.0,19370.0,18740.0,21895.0,23906.0,19986.0,27534.0,26358.0,31683.0,22609.0,21925.0,22481.0,15471.0,14734.0,11424.0,13733.0,15110.0,16574.0,17479.0,16270.0,17248.0,11827.0,16039.0,14380.0,9404.0,3957.0,2226.0,8320.0,8482.0,9304.0,8980.0,9827.0,13019.0,16651.0,15493.0,11137.0,1078.0,862.0,1561.0,2100.0,1215.0,620.0,1517.0,3041.0,2548.0,6234.0,6146.0,5703.0,8496.0,9391.0,9800.0,8634.0,1541301.0,194491.0,144488.0,134483.0,33851.0,45669.0
Zapasy,122.0,76.0,73.0,213.0,447.0,391.0,425.0,504.0,713.0,855.0,768.0,855.0,640.0,914.0,1016.0,619.0,580.0,552.0,428.0,305.0,502.0,407.0,711.0,196.0,64.0,55.0,247.0,118.0,3.0,3.0,5.0,52.0,49.0,56.0,49.0,35.0,34.0,30.0,19.0,33.0,73.0,94.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190813.0,26310.0,25516.0,1845.0,13547.0,15984.0
Należności krótkoterminowe,10602.0,12769.0,10403.0,12312.0,10082.0,17388.0,16747.0,19379.0,22036.0,17794.0,25832.0,24900.0,20895.0,14019.0,14646.0,17034.0,11331.0,13754.0,9451.0,12260.0,12604.0,13712.0,16103.0,14665.0,16994.0,11620.0,15673.0,14100.0,9226.0,3857.0,2020.0,7586.0,2231.0,1982.0,2113.0,1553.0,1558.0,1404.0,1689.0,615.0,805.0,615.0,1306.0,1403.0,729.0,312.0,329.0,1859.0,525.0,263.0,182.0,189.0,441.0,208.0,630.0,4081.0,1141773.0,139391.0,99475.0,595.0,8858.0,14911.0
Inwestycje krótkoterminowe,0.0,0.0,0.0,3332.0,0.0,0.0,0.0,1910.0,1037.0,1255.0,844.0,536.0,9884.0,7466.0,5651.0,4738.0,3278.0,249.0,1372.0,1032.0,1762.0,2224.0,517.0,1326.0,10.0,8.0,8.0,54.0,45.0,3.0,139.0,639.0,6161.0,7233.0,6747.0,8195.0,11385.0,15140.0,13723.0,10450.0,101.0,71.0,175.0,662.0,394.0,234.0,1132.0,1149.0,1934.0,5898.0,5913.0,5481.0,7962.0,9125.0,9136.0,4541.0,208466.0,28790.0,19497.0,4806.0,9493.0,13199.0
Środki pieniężne i inne aktywa pieniężne,0.0,0.0,0.0,3332.0,0.0,0.0,0.0,1910.0,1037.0,1255.0,844.0,536.0,2884.0,1431.0,2131.0,1219.0,769.0,247.0,1372.0,1032.0,1762.0,2224.0,517.0,1326.0,10.0,8.0,8.0,54.0,45.0,3.0,139.0,559.0,601.0,633.0,147.0,215.0,225.0,140.0,123.0,630.0,101.0,71.0,175.0,332.0,139.0,230.0,130.0,147.0,910.0,5690.0,2696.0,1443.0,261.0,1159.0,220.0,280.0,27227.0,2983.0,6540.0,207.0,5265.0,9640.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,26.0,0.0,0.0,0.0,102.0,120.0,82.0,90.0,67.0,264.0,210.0,612.0,90.0,282.0,179.0,173.0,136.0,242.0,231.0,148.0,83.0,180.0,144.0,111.0,108.0,130.0,94.0,62.0,43.0,41.0,33.0,71.0,44.0,42.0,77.0,62.0,39.0,99.0,82.0,61.0,35.0,92.0,74.0,56.0,33.0,89.0,73.0,51.0,33.0,93.0,58.0,34.0,13.0,248.0,0.0,0.0,976.0,1953.0,1575.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126261.0,0.0,0.0
Aktywa razem,26297.0,27498.0,26438.0,35259.0,31188.0,34552.0,33740.0,36640.0,38649.0,34924.0,42777.0,39313.0,40810.0,32622.0,32547.0,34965.0,27051.0,26241.0,21510.0,21560.0,22741.0,23833.0,24750.0,23394.0,23539.0,17749.0,21727.0,18618.0,13010.0,7199.0,5168.0,10821.0,10934.0,11609.0,11240.0,12047.0,15240.0,19064.0,17654.0,13379.0,13636.0,13119.0,5207.0,4186.0,3275.0,2544.0,3418.0,4984.0,4448.0,8114.0,8003.0,7863.0,10297.0,11176.0,9817.0,8652.0,2320168.0,351199.0,277921.0,248137.0,224454.0,447810.0
Kapitał własny akcjonariuszy jednostki dominującej,3996.0,4137.0,4842.0,12324.0,11777.0,11817.0,12282.0,12932.0,12237.0,12404.0,13764.0,13769.0,15677.0,15766.0,16251.0,19389.0,16069.0,13593.0,13038.0,11690.0,10836.0,10857.0,10291.0,11283.0,10440.0,7349.0,6227.0,4636.0,4159.0,427.0,-57.0,6371.0,6529.0,7425.0,7321.0,7793.0,10206.0,13228.0,11949.0,8064.0,8376.0,7920.0,3512.0,2176.0,1809.0,1444.0,2354.0,3928.0,4087.0,7856.0,7752.0,7584.0,7473.0,7388.0,9499.0,7946.0,824593.0,150893.0,137477.0,110726.0,110443.0,105527.0
Kapitał (fundusz) podstawowy,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,4254.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,4256.0,3959.0,4355.0,4355.0,4355.0,6500.0,6500.0,6500.0,5964.0,5964.0,5964.0,6149.0,775764.0,159302.0,159302.0,159301.0,159301.0,159301.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,1707.0,0.0,0.0,0.0,907.0,907.0,5477.0,5477.0,5477.0,5477.0,7185.0,7185.0,7185.0,7185.0,10495.0,10219.0,9833.0,9883.0,8347.0,8347.0,7467.0,7467.0,8133.0,8133.0,8433.0,8433.0,1217.0,1217.0,6574.0,6582.0,152.0,152.0,153.0,153.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,824.0,825.0,825.0,2454.0,2454.0,7715.0,7715.0,7715.0,8251.0,8252.0,32521.0,6678.0,6660.0,6678.0,6678.0,6678.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23703.0,171504.0
Zobowiązania długoterminowe,10282.0,10164.0,10261.0,4972.0,4862.0,3929.0,4563.0,1538.0,467.0,2680.0,2065.0,249.0,145.0,103.0,80.0,1158.0,1081.0,1047.0,864.0,813.0,768.0,838.0,744.0,889.0,902.0,511.0,348.0,653.0,467.0,300.0,151.0,146.0,192.0,487.0,479.0,734.0,1257.0,2738.0,2529.0,1445.0,1556.0,1969.0,741.0,463.0,465.0,356.0,361.0,0.0,5.0,1.0,2.0,10.0,21.0,35.0,50.0,17.0,96885.0,22301.0,12205.0,5575.0,27776.0,122218.0
Z tytułu dostaw i usług,0.0,0.0,0.0,7177.0,0.0,0.0,0.0,12647.0,12841.0,0.0,13538.0,10273.0,11136.0,8697.0,6745.0,6994.0,3798.0,4718.0,2901.0,5380.0,7530.0,7228.0,11424.0,9319.0,8473.0,7513.0,10944.0,10929.0,5745.0,3594.0,2341.0,2567.0,2557.0,2041.0,1869.0,1769.0,1643.0,1406.0,1634.0,1071.0,970.0,559.0,364.0,525.0,443.0,56.0,41.0,43.0,50.0,26.0,26.0,37.0,64.0,37.0,50.0,86.0,1240616.0,111008.0,88321.0,862.0,46454.0,15658.0
Kredyty i pożyczki,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,219.0,1371.0,0.0,6859.0,5361.0,0.0,0.0,0.0,258.0,707.0,1480.0,301.0,38.0,55.0,55.0,714.0,0.0,1947.0,258.0,1234.0,1108.0,1405.0,1780.0,2254.0,1034.0,1059.0,1084.0,1109.0,1236.0,1743.0,1241.0,1395.0,2056.0,2092.0,2128.0,0.0,260.0,264.0,218.0,221.0,555.0,0.0,0.0,0.0,0.0,2506.0,3478.0,0.0,0.0,158074.0,58352.0,27663.0,22256.0,14649.0,30554.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,273.0,0.0,240.0,194.0,126.0,84.0,53.0,33.0,31.0,29.0,89.0,26.0,24.0,23.0,25.0,23.0,59.0,58.0,56.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,644.0,0.0,0.0,0.0,636.0,467.0,0.0,389.0,249.0,145.0,103.0,80.0,1094.0,1023.0,994.0,762.0,717.0,709.0,572.0,589.0,870.0,888.0,504.0,346.0,559.0,386.0,232.0,151.0,146.0,192.0,487.0,479.0,734.0,1257.0,2738.0,2529.0,981.0,1083.0,1233.0,214.0,117.0,114.0,0.0,0.0,0.0,5.0,1.0,2.0,10.0,21.0,35.0,50.0,17.0,53865.0,5328.0,5268.0,113.0,4437.0,117170.0
Zobowiązania krótkoterminowe,8290.0,9679.0,7481.0,13358.0,10602.0,14311.0,12437.0,16723.0,20601.0,16631.0,24558.0,20450.0,15163.0,11796.0,10946.0,14418.0,9901.0,11601.0,7608.0,9057.0,11137.0,12138.0,13715.0,11222.0,12197.0,9889.0,15152.0,13329.0,8384.0,6472.0,5074.0,4304.0,4213.0,3697.0,3440.0,3520.0,3777.0,3098.0,3176.0,3870.0,3704.0,3230.0,954.0,1547.0,1001.0,744.0,703.0,1056.0,356.0,257.0,249.0,269.0,2803.0,3753.0,268.0,688.0,1398689.0,178005.0,128239.0,131836.0,62532.0,48561.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,3181.0,0.0,0.0,0.0,3857.0,6389.0,0.0,3909.0,4543.0,4027.0,2859.0,4007.0,7040.0,5312.0,5350.0,4373.0,3608.0,3523.0,4766.0,1551.0,1879.0,1754.0,2093.0,2951.0,1233.0,1176.0,1042.0,475.0,703.0,597.0,572.0,462.0,515.0,391.0,451.0,147.0,743.0,642.0,543.0,590.0,762.0,294.0,470.0,441.0,458.0,306.0,231.0,223.0,232.0,233.0,238.0,218.0,602.0,0.0,8645.0,12165.0,108718.0,1429.0,2349.0
Rozliczenia międzyokresowe,3729.0,3518.0,3854.0,4605.0,3947.0,4495.0,4458.0,5447.0,5344.0,3209.0,2390.0,4845.0,9825.0,4957.0,5270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
