,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Koszty finansowe,32.0,183.0,301.0,152.0,106.0,134.0,195.0,228.0,81.0,307.0,400.0,-119.0,105.0,150.0,105.0,127.0,231.0,220.0,184.0,203.0,429.0,938.0,402.0,458.0,433.0,543.0,354.0,261.0,262.0,271.0,252.0,9.0,136.0,191.0,281.0,182.0,108.0,436.0,278.0,152.0,158.0,895.0,190.0,421.0,256.0,364.0,347.0,274.0,202.0,413.0,318.0,236.0,522.0,251.0,943.0,454.0,170.0,286.0,306.0,160.0,601.0,807.0,1474.0,2682.0,3053.0,1424.0,1264.0,1477.0,1469.0,1757.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,48.0,2516.0,2462.0,-507.0,-190.0,4278.0,1739.0,-2555.0,-185.0,5651.0,2224.0,-590.0,-186.0,7933.0,3179.0,-670.0,-424.0,4151.0,314.0,-1185.0,-593.0,3210.0,527.0,-2010.0,-626.0,3923.0,2315.0,-581.0,-355.0,4977.0,457.0,-169.0,-529.0,3098.0,1256.0,-1865.0,-727.0,3628.0,2000.0,220.0,1747.0,7350.0,3601.0,857.0,1342.0,8094.0,4329.0,4.0,784.0,4757.0,1185.0,-670.0,40.0,3236.0,1672.0,-751.0,1632.0,8260.0,4414.0,1898.0,3479.0,9847.0,3803.0,-994.0,-29.0,8192.0,5227.0,3854.0,5423.0,16720.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,48.0,2516.0,2462.0,-507.0,-190.0,4278.0,1739.0,-2555.0,-185.0,5651.0,2224.0,-590.0,-186.0,7933.0,3179.0,-670.0,-424.0,4151.0,314.0,-1185.0,-593.0,3210.0,527.0,-2010.0,-626.0,3923.0,2315.0,-581.0,-355.0,4977.0,457.0,-169.0,-529.0,3098.0,1256.0,-1865.0,-727.0,3628.0,2000.0,220.0,1747.0,7350.0,3601.0,857.0,1342.0,8094.0,4329.0,4.0,784.0,4757.0,1185.0,-670.0,40.0,3236.0,1672.0,-751.0,1632.0,8260.0,4414.0,1898.0,3479.0,9847.0,3803.0,-994.0,-29.0,8192.0,5227.0,3854.0,5423.0,16720.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,38.0,2030.0,1967.0,-416.0,-180.0,3496.0,1412.0,-714.0,-251.0,4499.0,1801.0,-347.0,-163.0,6423.0,2573.0,-553.0,-422.0,3426.0,256.0,-965.0,-557.0,2668.0,446.0,-1656.0,-596.0,3262.0,1892.0,-508.0,-338.0,4067.0,366.0,-146.0,-505.0,2575.0,1077.0,-1584.0,-705.0,3037.0,1613.0,119.0,1405.0,5939.0,3043.0,528.0,1085.0,6529.0,3489.0,-29.0,619.0,3840.0,1035.0,-664.0,27.0,2584.0,1332.0,-643.0,1304.0,6663.0,3511.0,1467.0,2802.0,7929.0,3059.0,-872.0,-51.0,6595.0,4152.0,3086.0,4266.0,13633.0
Zysk netto akcjonariuszy jednostki dominującej,38.0,2030.0,1967.0,-416.0,-180.0,3496.0,1412.0,-714.0,-251.0,4499.0,1801.0,-347.0,-163.0,6423.0,2573.0,-553.0,-422.0,3426.0,256.0,-965.0,-557.0,2668.0,446.0,-1656.0,-596.0,3262.0,1892.0,-508.0,-338.0,4067.0,366.0,-146.0,-505.0,2575.0,1077.0,-1584.0,-705.0,3037.0,1613.0,119.0,1405.0,5939.0,3043.0,528.0,1085.0,6529.0,3489.0,-29.0,619.0,3840.0,1035.0,-664.0,27.0,2584.0,1332.0,-643.0,1304.0,6663.0,3511.0,1467.0,2802.0,7929.0,3059.0,-872.0,-51.0,6595.0,4152.0,3086.0,4266.0,13633.0
Aktywa trwałe,4734.0,4429.0,4415.0,4399.0,4475.0,4782.0,6639.0,7104.0,7969.0,8354.0,8389.0,9104.0,12521.0,13998.0,14291.0,17223.0,21997.0,25087.0,26506.0,27791.0,28197.0,28877.0,28590.0,28112.0,27778.0,27466.0,27070.0,26496.0,26084.0,26181.0,25716.0,25371.0,25737.0,25434.0,25929.0,25786.0,26233.0,26528.0,26527.0,29294.0,30329.0,31854.0,31404.0,31623.0,32091.0,32197.0,31866.0,31982.0,32433.0,34203.0,34943.0,39834.0,44726.0,45915.0,46292.0,46726.0,46727.0,47850.0,47584.0,46771.0,46935.0,46566.0,46391.0,45979.0,47348.0,50186.0,49763.0,49514.0,49691.0,53036.0
Wartości niematerialne i prawne,17.0,19.0,17.0,13.0,10.0,7.0,4.0,2.0,0.0,74.0,90.0,65.0,54.0,44.0,33.0,54.0,39.0,41.0,39.0,95.0,115.0,70.0,54.0,41.0,30.0,20.0,19.0,48.0,42.0,35.0,28.0,22.0,16.0,14.0,8.0,3.0,2.0,20.0,34.0,29.0,24.0,19.0,31.0,25.0,18.0,18.0,33.0,39.0,34.0,28.0,81.0,64.0,58.0,84.0,66.0,53.0,118.0,105.0,81.0,63.0,69.0,224.0,348.0,325.0,307.0,315.0,304.0,362.0,393.0,387.0
Rzeczowe składniki majątku trwałego,4559.0,4317.0,4291.0,4306.0,4381.0,4695.0,6543.0,6907.0,7823.0,4695.0,8091.0,8925.0,12321.0,13795.0,14126.0,16962.0,21750.0,24893.0,26324.0,27556.0,27917.0,28565.0,28331.0,27831.0,27547.0,27164.0,26775.0,26282.0,25868.0,25845.0,25501.0,25131.0,25495.0,25151.0,25617.0,25365.0,25806.0,26188.0,26129.0,28877.0,29859.0,31238.0,30738.0,31011.0,31549.0,31667.0,31344.0,31310.0,31748.0,33446.0,34099.0,39080.0,43949.0,45069.0,45375.0,45876.0,45702.0,46568.0,46553.0,46082.0,46192.0,45711.0,45426.0,45052.0,46274.0,49114.0,48586.0,48252.0,48416.0,51547.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,158.0,93.0,107.0,80.0,84.0,80.0,92.0,195.0,146.0,3585.0,208.0,114.0,146.0,159.0,132.0,207.0,208.0,153.0,143.0,140.0,165.0,242.0,205.0,240.0,201.0,282.0,276.0,166.0,174.0,301.0,187.0,218.0,226.0,269.0,304.0,418.0,425.0,320.0,364.0,388.0,446.0,597.0,635.0,587.0,524.0,512.0,489.0,633.0,651.0,729.0,763.0,690.0,719.0,762.0,851.0,797.0,907.0,1177.0,950.0,626.0,674.0,631.0,617.0,602.0,767.0,757.0,873.0,900.0,882.0,1102.0
Aktywa obrotowe,9964.0,24657.0,19590.0,19411.0,20158.0,39030.0,30045.0,21648.0,26999.0,45040.0,33434.0,24902.0,31150.0,46983.0,37747.0,33128.0,40671.0,52741.0,44802.0,34128.0,53491.0,70295.0,51846.0,37688.0,41762.0,59060.0,48005.0,35538.0,47907.0,76813.0,55526.0,42681.0,49319.0,66443.0,73429.0,46632.0,55920.0,85311.0,71801.0,56538.0,74701.0,67138.0,76120.0,59062.0,64881.0,80339.0,80178.0,65196.0,75051.0,80707.0,76414.0,65044.0,76031.0,90389.0,103240.0,75909.0,97429.0,106226.0,107076.0,115422.0,147557.0,168356.0,181369.0,152698.0,154053.0,182988.0,162508.0,128293.0,156819.0,155779.0
Zapasy,6119.0,6890.0,6646.0,7474.0,10916.0,8697.0,10925.0,13677.0,17962.0,10677.0,10863.0,14709.0,22254.0,12203.0,16564.0,22681.0,30233.0,16504.0,25666.0,25482.0,38878.0,27714.0,22293.0,24704.0,28795.0,19492.0,18620.0,22788.0,32181.0,30011.0,31884.0,28596.0,33498.0,29621.0,34495.0,29803.0,37323.0,37727.0,29937.0,27646.0,45205.0,33460.0,37511.0,40443.0,47799.0,45689.0,50593.0,50432.0,61332.0,55973.0,56151.0,52009.0,54496.0,55458.0,67394.0,60045.0,78407.0,70535.0,70161.0,94963.0,115915.0,127440.0,134645.0,127222.0,124224.0,128618.0,109117.0,97604.0,119752.0,95406.0
Należności krótkoterminowe,3257.0,17212.0,11928.0,4402.0,6384.0,29872.0,18379.0,7355.0,8268.0,33701.0,21370.0,6875.0,8178.0,34504.0,19515.0,8048.0,9490.0,35845.0,18169.0,7788.0,13405.0,41906.0,28495.0,11463.0,11583.0,38173.0,27959.0,11335.0,13453.0,43783.0,20272.0,12138.0,13871.0,34709.0,33524.0,16043.0,17358.0,46268.0,39433.0,27969.0,27588.0,30841.0,30294.0,16772.0,15866.0,33125.0,27329.0,13324.0,12249.0,24028.0,19021.0,11264.0,16776.0,32712.0,31789.0,13807.0,16458.0,33348.0,32301.0,18345.0,26179.0,39863.0,41489.0,21953.0,23504.0,49814.0,47110.0,27634.0,32098.0,50501.0
Inwestycje krótkoterminowe,307.0,36.0,48.0,6803.0,2195.0,46.0,158.0,147.0,393.0,424.0,920.0,2981.0,481.0,122.0,1256.0,2070.0,704.0,164.0,565.0,360.0,748.0,127.0,256.0,1030.0,1075.0,1267.0,1002.0,1049.0,2067.0,2827.0,2880.0,1573.0,1715.0,2040.0,4990.0,456.0,1050.0,1266.0,2004.0,607.0,1682.0,2757.0,7784.0,1454.0,908.0,1408.0,1694.0,1030.0,1169.0,597.0,694.0,1237.0,4399.0,2079.0,3363.0,1516.0,2119.0,2181.0,3859.0,1601.0,5024.0,835.0,4358.0,2687.0,5796.0,4322.0,5316.0,2096.0,4242.0,9515.0
Środki pieniężne i inne aktywa pieniężne,307.0,36.0,48.0,6803.0,2195.0,46.0,158.0,147.0,393.0,424.0,920.0,2981.0,481.0,122.0,1256.0,2070.0,704.0,164.0,565.0,360.0,748.0,127.0,256.0,1030.0,1075.0,1267.0,1002.0,1049.0,2067.0,2827.0,2880.0,1573.0,1715.0,2040.0,4990.0,456.0,1050.0,1266.0,2004.0,607.0,1682.0,2757.0,7784.0,1454.0,908.0,1408.0,1694.0,1030.0,1169.0,597.0,694.0,1237.0,4399.0,2079.0,3363.0,1516.0,2119.0,2079.0,3309.0,1055.0,3839.0,527.0,3976.0,2315.0,5540.0,4322.0,5316.0,2096.0,3843.0,9515.0
Pozostałe aktywa obrotowe,281.0,519.0,968.0,732.0,663.0,415.0,583.0,469.0,376.0,238.0,281.0,337.0,237.0,154.0,412.0,329.0,244.0,228.0,402.0,498.0,460.0,548.0,802.0,491.0,309.0,128.0,424.0,366.0,206.0,192.0,490.0,374.0,235.0,73.0,420.0,330.0,189.0,50.0,427.0,316.0,226.0,80.0,531.0,393.0,308.0,117.0,562.0,410.0,301.0,109.0,548.0,534.0,360.0,140.0,694.0,541.0,445.0,162.0,755.0,513.0,439.0,218.0,877.0,836.0,529.0,234.0,965.0,959.0,727.0,357.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,14698.0,29086.0,24005.0,23810.0,24633.0,43812.0,36684.0,28752.0,34968.0,53394.0,41823.0,34006.0,43671.0,60981.0,52038.0,50351.0,62668.0,77828.0,71308.0,61919.0,81688.0,99172.0,80436.0,65800.0,69540.0,86526.0,75075.0,62034.0,73991.0,102994.0,81242.0,68052.0,75056.0,91877.0,99358.0,72418.0,82153.0,111839.0,98328.0,85832.0,105030.0,98992.0,107524.0,90685.0,96972.0,112536.0,112044.0,97178.0,107484.0,114910.0,111357.0,104878.0,120757.0,136304.0,149532.0,122635.0,144156.0,154076.0,154660.0,162193.0,194492.0,214922.0,227760.0,198677.0,201401.0,233174.0,212271.0,177807.0,206510.0,208815.0
Kapitał własny akcjonariuszy jednostki dominującej,6561.0,8591.0,9482.0,19428.0,19248.0,22744.0,24156.0,23442.0,23190.0,27690.0,29491.0,29144.0,28981.0,35404.0,37977.0,37424.0,37002.0,40428.0,40684.0,39719.0,39162.0,41830.0,42276.0,40320.0,40157.0,43419.0,45311.0,44803.0,44465.0,48532.0,48898.0,48752.0,48247.0,50822.0,51899.0,50317.0,49610.0,52647.0,54260.0,54379.0,55784.0,62154.0,65197.0,65725.0,66809.0,73338.0,76827.0,76798.0,77417.0,81258.0,82293.0,81628.0,79814.0,82389.0,83721.0,83078.0,83952.0,90615.0,94126.0,95593.0,98395.0,106324.0,109383.0,110792.0,110741.0,117336.0,121488.0,122293.0,126559.0,140192.0
Kapitał (fundusz) podstawowy,1936.0,1936.0,1936.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1865.0,-1851.0,-1851.0,-1851.0,-2281.0,-2281.0,-2281.0,-2281.0,-2381.0,-2281.0,-2281.0,0.0,0.0,0.0,0.0,-2281.0,-2281.0,-2281.0
Kapitał (fundusz) zapasowy,3511.0,3511.0,3511.0,13309.0,14430.0,16928.0,16928.0,16928.0,16928.0,20942.0,20942.0,20942.0,20942.0,26644.0,26644.0,26644.0,26644.0,34924.0,34924.0,34924.0,34924.0,37219.0,37219.0,37219.0,37219.0,38253.0,38253.0,38253.0,38253.0,42303.0,42303.0,42303.0,42303.0,46252.0,46252.0,46252.0,46252.0,47815.0,47815.0,47815.0,47815.0,51878.0,51878.0,51879.0,51879.0,63224.0,63224.0,63224.0,63224.0,74299.0,74299.0,74298.0,74298.0,70440.0,70440.0,70440.0,70870.0,74170.0,74170.0,74170.0,74170.0,87115.0,87115.0,87115.0,87115.0,100033.0,100033.0,100033.0,100033.0,113815.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,1038.0,910.0,917.0,458.0,459.0,458.0,458.0,262.0,436.0,436.0,436.0,638.0,4178.0,4968.0,5166.0,6608.0,11815.0,13687.0,14399.0,13059.0,13359.0,13265.0,12730.0,11789.0,10992.0,10093.0,9367.0,9889.0,9481.0,9073.0,8887.0,8256.0,7848.0,7460.0,7079.0,6686.0,8687.0,8369.0,7870.0,7989.0,9614.0,10353.0,9030.0,9087.0,7306.0,7649.0,7140.0,6275.0,5554.0,5193.0,4675.0,4753.0,6437.0,7208.0,7154.0,6454.0,7058.0,6951.0,6818.0,6089.0,5349.0,5152.0,5255.0,5425.0,4811.0,5938.0,5646.0,5534.0,5116.0,5056.0
Z tytułu dostaw i usług,0.0,0.0,0.0,3027.0,0.0,0.0,0.0,2635.0,0.0,0.0,0.0,3264.0,0.0,0.0,0.0,4481.0,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,3817.0,0.0,0.0,0.0,4334.0,0.0,0.0,0.0,3952.0,0.0,0.0,0.0,5537.0,0.0,0.0,0.0,13106.0,0.0,0.0,0.0,9623.0,0.0,0.0,0.0,7062.0,0.0,0.0,0.0,7335.0,0.0,0.0,0.0,18678.0,0.0,0.0,0.0,41492.0,0.0,0.0,0.0,32429.0,0.0,0.0,0.0,29777.0,0.0,0.0
Kredyty i pożyczki,0.0,0.0,0.0,413.0,0.0,0.0,0.0,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5039.0,0.0,0.0,0.0,8344.0,0.0,0.0,0.0,6852.0,0.0,0.0,0.0,5808.0,0.0,0.0,0.0,8365.0,0.0,0.0,0.0,6777.0,0.0,0.0,0.0,3517.0,0.0,0.0,0.0,4596.0,0.0,0.0,0.0,5294.0,0.0,0.0,0.0,10382.0,0.0,0.0,0.0,14771.0,0.0,0.0,0.0,44775.0,0.0,0.0,0.0,10381.0,0.0,0.0
