,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Zapasy,,,,,7.35,-71.92,-74.07,-61.81,-56.92,-30.07,-0.92,-34.85,-44.05,-45.02,-56.51,-56.57,-53.06,-56.79,-57.86,-29.29,-0.75,8.42,2.71,-38.92,-11.78,34.09
Należności krótkoterminowe,,,,,17.91,33.95,118.89,32.0,38.51,71.09,-19.42,0.1,10.45,-36.09,14.59,1.33,11.88,121.6,99.12,89.18,122.28,55.23,66.02,88.73,-7.21,-33.74
Inwestycje krótkoterminowe,,,,,224.19,253.59,463.72,-5.6,-72.8,-60.72,-55.51,-49.6,55.7,115.26,111.58,166.99,-60.83,-51.68,-61.83,-6.53,15.69,-65.52,-64.71,-41.56,-44.27,-9.49
Środki pieniężne i inne aktywa pieniężne,,,,,224.19,253.59,463.72,-5.6,-72.8,-60.72,-55.51,-49.6,55.7,115.26,111.58,166.99,-60.83,-51.68,-61.83,-6.53,15.69,-65.52,-64.71,-41.56,-44.27,-9.49
Pozostałe aktywa obrotowe,,,,,591.92,-1.53,-88.13,-8.26,-44.59,98.76,154.31,-16.56,-86.19,-54.57,-47.37,11.48,700.4,-100.0,-100.0,-100.0,-100.0,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,53.76,50.08,50.28,23.73,-5.89,-4.3,-0.38,2.58,8.32,16.14,11.77,7.82,-7.22,-6.08,-5.42,5.62,9.86,-1.78,1.95,3.0,0.78,3.17
Kapitał własny akcjonariuszy jednostki dominującej,,,,,41.75,42.57,46.1,28.19,-21.2,-27.11,-34.3,-31.33,-29.53,15.81,20.53,15.51,7.51,9.78,12.02,13.21,15.43,-21.63,10.06,16.75,21.43,20.76
Kapitał (fundusz) podstawowy,,,,,17.71,26.31,32.01,16.91,9.31,1.45,8.08,7.55,-2.51,16.28,13.01,11.88,21.37,25.32,22.84,37.41,44.57,10.16,13.41,1.16,-2.9,-1.4
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,40.03,46.65,50.89,26.84,9.44,1.52,8.74,9.65,-1.73,15.57,11.72,9.05,18.98,21.6,19.12,33.23,40.09,9.35,12.43,0.27,-3.5,-2.14
Udziały niekontrolujące,,,,,,,,-8.74,-0.04,-80.15,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-41.76,-46.65,-49.98,-21.29,-43.47,196.3,196.89,134.44,274.84,431.02,458.89,482.86,536.09,-86.86,-87.86,-41.95,-27.68,419.79,67.08,3.3,-17.88,18.78
Z tytułu dostaw i usług,,,,,43.66,-6.18,277.59,1.99,23.59,35.66,71.77,-18.02,-35.09,59.37,-51.62,-7.76,59.89,2.51,57.64,120.88,54.34,-4.79,65.76,-1.07,12.31,8.72
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,-39.8,-48.87,-51.7,-65.34,34.96,28.22,43.38,50.96,13.49,-41.3,-47.63,-49.55,-48.84
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,-79.45,-89.54,-58.91,6.08,4.51,3.28,26.28,26.01,31.32,31.36,9.72,11.13,43.29,282.28,-24.44
Inne zobowiązania długoterminowe,,,,,-41.76,-46.65,-49.98,-56.73,-64.6,196.3,196.89,326.46,498.62,-16.37,-18.65,-15.82,-16.13,-16.54,-16.63,-17.5,-17.9,-20.06,-21.21,-22.89,-24.44,97.21
Zobowiązania krótkoterminowe,,,,,272.65,92.71,72.7,18.36,112.87,113.57,226.04,183.98,118.22,-28.31,-40.78,-41.82,-53.56,16.41,19.55,27.23,29.53,11.95,-24.04,-27.19,-28.92,-37.13
Inne zobowiązania krótkoterminowe,,,,,369.56,113.79,62.13,8.79,111.93,-50.79,-28.95,-25.38,-64.57,-7.22,-9.21,-13.24,-1.59,-17.95,-5.28,-22.1,-20.09,16.07,0.09,30.92,23.86,-19.24
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,53.76,50.08,50.28,23.73,-5.89,-4.3,-0.38,2.58,8.32,16.14,11.77,7.82,-7.22,-6.08,-5.42,5.62,9.86,-1.78,1.95,3.0,0.78,3.17
Przepływy pieniężne z działalności operacyjnej,,,,,-259.51,-355.78,24.25,-49.77,60.44,-109.88,62.71,42.57,69.08,67.19,-127.93,44.26,-70.07,60.51,104.79,-179.66,-60.61,599.04,697.52,131.87,138.66,35.38
Amortyzacja,,,,,64.16,78.25,39.68,122.0,89.81,76.47,41.0,-23.89,-6.32,-5.03,15.02,23.82,21.82,20.91,9.02,14.45,13.33,11.14,4.15,-10.84,1.48,3.34
Przepływy pieniężne z działalności inwestycyjnej,,,,,18.56,-57.76,-186.06,-14.5,-52.32,9.96,-7.93,35.5,51.14,53.31,40.59,-19.62,-6.98,-11.33,-2.44,0.06,-16.15,-56.93,-22.43,-24.0,-6.01,-22.19
CAPEX (niematerialne i rzeczowe),,,,,-18.56,57.76,186.06,14.5,52.32,-9.96,7.93,-34.67,-51.27,-53.44,-40.45,17.86,7.27,11.64,2.21,0.15,13.51,72.42,21.45,22.89,10.79,11.21
Przepływy pieniężne z działalności finansowej,,,,,14851.07,-200.0,-104.95,-106.06,-72.69,1585.87,3139.83,336.92,33.5,2.93,-105.74,-106.21,-100.6,-29.11,-458.0,9854.52,3258.02,-102.59,254.42,-23.63,-103.15,1053.55
Emisja akcji,,,,,,-103.32,-97.61,-98.08,-99.07,781.82,-100.0,-100.0,-78.99,12087.38,,,-48.36,-62.51,461.9,,24.07,-99.81,-100.0,,-100.0,-100.0
Dywidenda,,,,,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,425.85,-263.75,-124.18,-272.91,-96.21,112.11,62.53,61.92,978.27,562.46,-96.79,-47.69,-150.64,-37.97,30.86,168.53,19.79,-147.59,70.76,11.25,42.91,98.56
