,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Koszty finansowe,392.0,431.0,460.0,486.0,1227.0,698.0,1500.0,1432.0,1401.0,2373.0,2072.0,2119.0,2237.0,2233.0,2287.0,2545.0,2863.0,1293.0,1299.0,1640.0,1766.0,1168.0,1861.0,2270.0,2931.0,2392.0,2517.0,6456.0,8224.0,7676.0,5664.0,4296.0,2705.0,3505.0,2858.0,3108.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2995.0,-48.0,-48.0,-49.0,-48.0,-7092.0,-267.0,-330.0,-338.0,-622.0,-336.0,3389.0,7838.0
Zysk z działalności gospodarczej,3137.0,7203.0,5734.0,21203.0,7582.0,7406.0,6761.0,8583.0,-2521.0,-5564.0,15647.0,55143.0,-3723.0,-4834.0,72970.0,24178.0,24164.0,35033.0,54.0,16472.0,27998.0,-2572.0,1044.0,-840.0,-4895.0,46981.0,5812.0,25481.0,-6313.0,-10042.0,25047.0,68231.0,11958.0,18302.0,23370.0,118771.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3137.0,7203.0,5734.0,21203.0,7582.0,7406.0,6761.0,8583.0,-2521.0,-5564.0,15647.0,55143.0,-3723.0,-4834.0,72970.0,24178.0,24164.0,35033.0,54.0,16472.0,27998.0,-2572.0,1044.0,-840.0,-4895.0,46981.0,5812.0,25481.0,-6313.0,-10042.0,25047.0,68231.0,11958.0,18302.0,23370.0,118771.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,3162.0,7271.0,5816.0,21230.0,7745.0,7532.0,7035.0,24616.0,-2221.0,-5063.0,14531.0,69383.0,-3052.0,-4526.0,58634.0,21971.0,20181.0,28723.0,-1261.0,14563.0,23205.0,-2356.0,893.0,-1394.0,-4120.0,38618.0,4496.0,21154.0,-6371.0,-8438.0,20382.0,55324.0,9563.0,14486.0,19551.0,98761.0
Zysk netto akcjonariuszy jednostki dominującej,2957.0,7476.0,4463.0,19546.0,7097.0,6900.0,6421.0,22402.0,-2126.0,-4770.0,13341.0,64965.0,-3011.0,-4246.0,53680.0,17897.0,17932.0,25681.0,-1995.0,13120.0,20597.0,-2266.0,714.0,-1861.0,-3947.0,35368.0,3826.0,20340.0,-6747.0,-8057.0,19341.0,52748.0,9104.0,15129.0,18874.0,94903.0
Aktywa trwałe,23799.0,20468.0,20628.0,20236.0,20610.0,20097.0,20351.0,37091.0,37080.0,37779.0,37921.0,52910.0,44926.0,44355.0,45197.0,41177.0,34803.0,34851.0,34398.0,35469.0,33475.0,30697.0,31044.0,32714.0,33083.0,33944.0,33947.0,32799.0,30402.0,32031.0,32504.0,31095.0,29948.0,25313.0,40810.0,52859.0
Wartości niematerialne i prawne,19.0,26.0,16.0,50.0,52.0,42.0,33.0,25.0,17.0,10.0,3.0,6.0,9.0,82.0,82.0,69.0,58.0,102.0,89.0,79.0,58.0,37.0,27.0,333.0,307.0,293.0,277.0,224.0,173.0,122.0,71.0,21.0,9.0,73.0,0.0,54.0
Rzeczowe składniki majątku trwałego,9228.0,9165.0,9180.0,9480.0,9510.0,9387.0,9145.0,9588.0,9578.0,9511.0,10179.0,10317.0,10352.0,10110.0,10234.0,10000.0,11384.0,12123.0,11953.0,11945.0,11855.0,11471.0,11538.0,12936.0,12846.0,13516.0,13207.0,13164.0,13147.0,13512.0,13111.0,13087.0,12689.0,12549.0,12802.0,12224.0
Należności długoterminowe,5282.0,2212.0,2243.0,1118.0,1130.0,811.0,818.0,824.0,832.0,957.0,913.0,239.0,238.0,171.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.0,86.0,74.0,62.0,83.0,70.0,56.0,55.0,54.0,54.0,42.0,47.0
Inwestycje długoterminowe,8918.0,8918.0,8915.0,8750.0,8750.0,8750.0,8952.0,8955.0,8995.0,8995.0,8995.0,8995.0,1835.0,1835.0,1835.0,2311.0,2222.0,2233.0,2240.0,2243.0,2245.0,2257.0,2098.0,2099.0,2129.0,2130.0,2131.0,2092.0,2093.0,2095.0,2096.0,2097.0,2098.0,2099.0,18179.0,18043.0
Pozostałe aktywa trwałe,352.0,147.0,274.0,838.0,1168.0,1107.0,1403.0,17699.0,17658.0,18306.0,17831.0,33353.0,32492.0,32157.0,32876.0,28797.0,21139.0,20393.0,20116.0,21202.0,19317.0,16932.0,17381.0,17246.0,17702.0,17919.0,18258.0,17257.0,14906.0,16232.0,17170.0,15835.0,15098.0,10538.0,9787.0,22491.0
Aktywa obrotowe,206600.0,208335.0,216414.0,293587.0,302074.0,303115.0,373946.0,348318.0,367756.0,469051.0,504356.0,517713.0,560967.0,654986.0,668460.0,685401.0,644668.0,561052.0,601404.0,652888.0,613708.0,595315.0,662583.0,708813.0,760257.0,735531.0,763556.0,812532.0,824425.0,839891.0,943477.0,773535.0,760435.0,794178.0,796645.0,786772.0
Zapasy,144630.0,174556.0,179952.0,174066.0,213632.0,216094.0,295402.0,256205.0,287679.0,335792.0,360006.0,331135.0,420471.0,479429.0,406043.0,443554.0,463943.0,446611.0,465640.0,451404.0,473355.0,511401.0,534848.0,547905.0,587827.0,577436.0,636232.0,641973.0,684484.0,742488.0,754697.0,658306.0,678944.0,658812.0,616086.0,460877.0
Należności krótkoterminowe,19492.0,20121.0,16888.0,20652.0,14006.0,22000.0,25250.0,35478.0,45159.0,47874.0,69864.0,51118.0,62761.0,58198.0,45732.0,98987.0,59674.0,43363.0,31465.0,78903.0,39896.0,26616.0,29536.0,56950.0,62635.0,48855.0,53886.0,106354.0,86311.0,63815.0,47809.0,31806.0,42670.0,49760.0,42068.0,78416.0
Inwestycje krótkoterminowe,41870.0,13059.0,19109.0,98576.0,73050.0,63818.0,52624.0,56000.0,33243.0,84089.0,73652.0,135082.0,76237.0,115935.0,214395.0,140538.0,117321.0,68590.0,102188.0,121327.0,98794.0,56006.0,97356.0,103958.0,109795.0,109240.0,73438.0,64205.0,53630.0,33588.0,140971.0,83423.0,38821.0,85606.0,138491.0,247479.0
Środki pieniężne i inne aktywa pieniężne,41836.0,13014.0,19072.0,98549.0,73030.0,63805.0,52611.0,55987.0,33230.0,84077.0,73575.0,135005.0,76161.0,31117.0,152239.0,140470.0,117248.0,68585.0,102179.0,121322.0,98793.0,51103.0,84561.0,84407.0,69638.0,85791.0,34555.0,28540.0,30138.0,19113.0,87859.0,65388.0,29800.0,67399.0,64329.0,236048.0
Pozostałe aktywa obrotowe,608.0,599.0,465.0,293.0,1386.0,1203.0,670.0,635.0,1675.0,1296.0,834.0,378.0,1498.0,1424.0,2290.0,2322.0,3730.0,2488.0,2111.0,1254.0,1663.0,1292.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,230399.0,228803.0,237042.0,313823.0,322684.0,323212.0,394297.0,385409.0,404836.0,506830.0,542277.0,570623.0,605893.0,699341.0,713657.0,726578.0,679471.0,595903.0,635802.0,688357.0,647183.0,626012.0,693627.0,741527.0,793340.0,769475.0,797503.0,845331.0,854827.0,871922.0,975981.0,804630.0,790383.0,819491.0,837455.0,839631.0
Kapitał własny akcjonariuszy jednostki dominującej,143735.0,150395.0,155673.0,209825.0,216922.0,212662.0,219084.0,241485.0,239358.0,220549.0,233890.0,298855.0,295844.0,276477.0,330158.0,348055.0,365987.0,355668.0,353673.0,366793.0,387390.0,385124.0,383322.0,381208.0,377261.0,403393.0,407219.0,406272.0,399525.0,358004.0,376715.0,430049.0,439727.0,425021.0,444479.0,539967.0
Kapitał (fundusz) podstawowy,3000.0,3000.0,3000.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,61024.0,58158.0,58157.0,92164.0,89236.0,73320.0,73320.0,73320.0,73320.0,159565.0,159565.0,159565.0,159565.0,137801.0,137801.0,137801.0,137801.0,140210.0,140210.0,140210.0,140210.0,140189.0,179716.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0,122370.0
Udziały niekontrolujące,2227.0,371.0,907.0,180.0,-57.0,474.0,1088.0,1488.0,-92.0,-6177.0,-4987.0,-1542.0,-1583.0,-7444.0,-2490.0,1584.0,1240.0,4281.0,1602.0,542.0,3150.0,-1011.0,-3316.0,-3009.0,-3182.0,-2848.0,-2178.0,-1339.0,-963.0,-4483.0,-1945.0,630.0,1100.0,-2939.0,-2262.0,1596.0
Zobowiązania długoterminowe,42245.0,40091.0,39998.0,73414.0,72294.0,65362.0,106482.0,75765.0,54153.0,137473.0,126074.0,182660.0,181909.0,197532.0,198813.0,197444.0,140927.0,142779.0,135161.0,202260.0,204912.0,106872.0,156016.0,166623.0,257923.0,244902.0,247095.0,308413.0,304847.0,236156.0,248504.0,217835.0,209498.0,186323.0,105650.0,160799.0
Z tytułu dostaw i usług,18232.0,19999.0,14733.0,10816.0,17366.0,15818.0,30570.0,31260.0,38460.0,62068.0,70626.0,52852.0,57686.0,26754.0,19605.0,13199.0,150269.0,85024.0,127035.0,101276.0,32585.0,33038.0,48442.0,61897.0,136549.0,91254.0,126728.0,103372.0,122686.0,159554.0,229152.0,29997.0,32024.0,81077.0,41590.0,77038.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31167.0,61428.0,38653.0,45098.0,847.0,2981.0,793.0,17599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5706.0,31415.0,18936.0,20035.0,6035.0,6557.0,3463.0,27505.0,27093.0,9157.0,24773.0,32990.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,1369.0,156.0,1384.0,345.0,1940.0,98784.0,100316.0,99773.0,1449.0,8606.0,8663.0,14641.0,19793.0,86322.0,89026.0,77577.0,39437.0,39808.0,107233.0,9521.0
Zobowiązania z tytułu leasingu finansowego,195.0,174.0,176.0,129.0,150.0,141.0,133.0,143.0,128.0,113.0,315.0,303.0,297.0,272.0,289.0,273.0,1704.0,2021.0,1997.0,1949.0,1902.0,2057.0,2072.0,2454.0,2581.0,2709.0,2850.0,3031.0,3081.0,3086.0,3088.0,3110.0,2776.0,2506.0,2174.0,1977.0
Inne zobowiązania długoterminowe,2533.0,40.0,3384.0,4898.0,5096.0,5133.0,5230.0,5872.0,5915.0,11085.0,11154.0,9032.0,8248.0,9295.0,24965.0,23298.0,18067.0,19841.0,12662.0,15320.0,18057.0,15462.0,13344.0,14929.0,14411.0,23270.0,25901.0,36774.0,34686.0,30332.0,36785.0,47484.0,47784.0,41042.0,30933.0,52827.0
Zobowiązania krótkoterminowe,42192.0,37946.0,40464.0,30404.0,33525.0,44714.0,67643.0,66671.0,111417.0,154985.0,187300.0,90650.0,129723.0,232776.0,187176.0,179495.0,171317.0,93175.0,145366.0,118762.0,51731.0,135027.0,157605.0,196705.0,161338.0,124028.0,145367.0,131985.0,151418.0,282245.0,352707.0,156116.0,140058.0,211086.0,289588.0,137269.0
Inne zobowiązania krótkoterminowe,23765.0,17773.0,25555.0,19459.0,16009.0,28755.0,36940.0,4101.0,11401.0,54151.0,71261.0,36648.0,68759.0,204957.0,149683.0,165168.0,17975.0,5974.0,14950.0,15192.0,15304.0,1148.0,1069.0,1166.0,1823.0,1424.0,1091.0,4384.0,2395.0,5778.0,4348.0,36275.0,41048.0,54705.0,138591.0,48733.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,230399.0,228803.0,237042.0,313823.0,322684.0,323212.0,394297.0,385409.0,404836.0,506830.0,542277.0,570623.0,605893.0,699341.0,713657.0,726578.0,679471.0,595903.0,635802.0,688357.0,647183.0,626012.0,693627.0,741527.0,793340.0,769475.0,797503.0,845331.0,854827.0,871922.0,975981.0,804630.0,790383.0,819491.0,837455.0,839631.0
Przepływy pieniężne z działalności operacyjnej,3411.0,-25623.0,11164.0,15981.0,-22831.0,9921.0,-50800.0,7900.0,-28308.0,-2287.0,13207.0,52275.0,-55845.0,-36676.0,123459.0,8341.0,56876.0,-8645.0,38114.0,-39867.0,-21836.0,-38360.0,-22264.0,-27852.0,10805.0,35325.0,-30700.0,-47213.0,9392.0,-21180.0,66967.0,82702.0,-708.0,50493.0,70983.0,227161.0
Amortyzacja,202.0,204.0,207.0,271.0,264.0,269.0,272.0,268.0,285.0,295.0,308.0,320.0,334.0,343.0,354.0,373.0,355.0,706.0,598.0,564.0,474.0,766.0,556.0,650.0,753.0,757.0,793.0,778.0,753.0,778.0,783.0,794.0,662.0,646.0,624.0,652.0
Przepływy pieniężne z działalności inwestycyjnej,-1333.0,2544.0,9.0,1332.0,103.0,406.0,467.0,-907.0,-108.0,-367.0,-124.0,436.0,-99.0,55.0,-10.0,-1083.0,-536.0,-1144.0,-636.0,-313.0,-358.0,-73.0,-51.0,-493.0,-175.0,-353.0,-878.0,120.0,86.0,-772.0,23.0,-71.0,2.0,-14.0,-819.0,-154.0
CAPEX (niematerialne i rzeczowe),37.0,312.0,10.0,442.0,143.0,138.0,23.0,569.0,273.0,221.0,286.0,461.0,372.0,175.0,313.0,413.0,540.0,1236.0,611.0,487.0,362.0,65.0,38.0,526.0,327.0,353.0,1108.0,92.0,20.0,783.0,21.0,93.0,42.0,13.0,656.0,165.0
Przepływy pieniężne z działalności finansowej,8705.0,-5744.0,-5115.0,62164.0,-2791.0,-19552.0,39139.0,-3617.0,5659.0,-64735.0,94314.0,9065.0,-2905.0,-8446.0,-2314.0,-19023.0,-79551.0,-38874.0,-3884.0,59323.0,-335.0,-9257.0,55773.0,28191.0,-25399.0,-18819.0,-19658.0,41078.0,-7880.0,10927.0,1756.0,-105102.0,-34882.0,-12880.0,-73234.0,-55288.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,4500.0,2308.0,2981.0,0.0,0.0,12147.0,1814.0,0.0,1484.0,15640.0,3359.0,0.0,21193.0,2293.0,0.0,0.0,38594.0,3392.0,2504.0,0.0,4071.0,0.0,0.0,0.0,2789.0,2402.0,9000.0,0.0,7283.0,0.0,29700.0,0.0,0.0,33816.0,0.0
Przepływy pieniężne razem,10783.0,-28823.0,6058.0,79477.0,-25519.0,-9225.0,-11194.0,3376.0,-22757.0,-67389.0,107397.0,61776.0,-58849.0,-45067.0,121135.0,-11765.0,-23211.0,-48663.0,33594.0,19143.0,-22529.0,-47690.0,33458.0,-154.0,-14769.0,16153.0,-51236.0,-6015.0,1598.0,-11025.0,68746.0,-22471.0,-35588.0,37599.0,-3070.0,171719.0
