,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Koszty finansowe,,,,,-35.45,-48.2,166.15,11.86,326.34,318.26,42.49,-2.02,-13.09,12.99,-8.62,93.69,37.59,-6.26,-39.62,-124.68,12.52,-124.53,41.18,317.25,-23.27,165.2,-8.33,17.0,116.13,488.96,88.78,187.17,-75.65,-27.81,-48.08,-77.77,-14.07,-30.3,-19.42,-47.18,-18.61,-8.9,-25.36,14.15,93.39,-105.23,-5.06,84.02,-41.88,1865.22,-17.51,-77.54,55.88,-98.77,-15.69,229.33,-51.26,7080.0,44.16,-30.57,155.16,9.75,-124.05,112.54,-65.11,41.37,992.63,75.31,364.86,293.18,154.6,37.17,15.28,-5.57
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-27.96,-62.68,-284.54,-69.47,-23.99,-785.84,57.47,121.64,89.0,63.13,71.31,-90.65,52.61,-150.13,1106.83,1309.41,-54.11,105.35,-86.8,87.0,170.17,788.24,1180.97,-44.12,-89.86,-190.51,-138.47,71.13,219.42,377.89,240.77,-94.76,53.81,93.97,39.46,-65.92,-12.18,-44.93,-46.16,-1938.46,-90.27,-42.02,-91.07,14.41,-492.02,-4.3,671.43,623.32,241.11,-13.18,73.82,-113.18,98.85,9.49,47.55,141.8,19.92,36.92,21.63,147.7,22.18,4.82,-39.29,96.97,-25.25,12.19,143.38,3.72,266.84,275.17
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-27.96,-62.68,-284.54,-69.47,-23.99,-785.84,57.47,121.64,89.0,63.13,71.31,-90.65,52.61,-150.13,1106.83,1309.41,-54.11,105.35,-86.8,87.0,170.17,788.24,1180.97,-44.12,-89.86,-190.51,-138.47,71.13,219.42,377.89,240.77,-94.76,53.81,93.97,39.46,-65.92,-12.18,-44.93,-46.16,-1938.46,-90.27,-42.02,-91.07,14.41,-492.02,-4.3,671.43,623.32,241.11,-13.18,73.82,-113.18,98.85,9.49,47.55,141.8,19.92,36.92,21.63,147.7,22.18,4.82,-39.29,96.97,-25.25,12.19,143.38,3.72,266.84,275.17
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-26.63,-62.08,-321.4,-59.98,-25.69,-735.2,47.91,124.86,92.82,53.61,55.66,-112.93,54.06,-166.16,615.64,881.85,-55.51,100.07,-86.63,79.65,178.58,53900.0,955.91,-51.22,-92.47,-196.39,-151.41,144.51,214.96,375.02,206.71,-97.34,110.31,83.41,37.84,-36.3,-22.75,-41.93,-41.34,-1709.3,-90.01,-47.59,-89.7,10.12,-671.43,8.45,517.22,572.75,200.5,-17.89,74.79,-116.0,107.71,6.11,51.32,120.72,19.94,35.36,19.31,297.95,17.97,12.72,-42.33,81.06,-25.52,7.16,154.95,6.55,272.78,277.76
Zysk netto akcjonariuszy jednostki dominującej,,,,,-26.63,-62.08,-277.36,-71.77,-25.69,-735.2,34.98,218.78,92.82,53.61,55.66,-112.93,54.06,-166.16,615.64,881.85,-55.51,100.07,-86.63,79.65,178.58,53900.0,955.91,-51.22,-92.47,-196.39,-151.41,144.51,214.96,375.02,206.71,-97.34,110.31,83.41,37.84,-36.3,-22.75,-41.93,-41.34,-1709.3,-90.01,-47.59,-89.7,10.12,-671.43,8.45,517.22,572.75,200.5,-17.89,74.79,-116.0,107.71,6.11,51.32,120.72,19.94,35.36,19.31,297.95,17.97,12.72,-42.33,81.06,-25.52,7.16,154.95,6.55,272.78,277.76
Aktywa trwałe,,,,,20.21,22.63,118.93,134.6,273.92,267.89,4.72,5.07,-32.31,4.11,4.93,-37.57,-3.75,-40.79,-41.07,-7.64,-6.09,-12.69,-12.92,-9.26,-10.73,12.35,31.34,68.64,69.03,55.4,35.21,-12.9,-4.94,-6.06,-8.1,6.35,0.58,2.02,3.82,15.4,13.32,16.23,23.13,20.54,23.75,9.64,3.39,-4.56,-8.16,-2.64,-3.66,-18.97,-17.85,-14.94,-14.35,1.88,0.17,-2.68,-1.41,5.07,7.68,7.81,9.42,9.71,8.05,8.93,7.07,0.87,1.73,-0.42,0.29,0.31,-0.64,1.32
Wartości niematerialne i prawne,,,,,25.0,-33.33,880.54,1062.35,331180.0,479150.0,17.67,2.1,-88.07,2.08,2.04,-93.95,-41.3,-94.15,-94.64,-7.84,29.83,30.39,39.26,32.85,-3.59,-3.88,-2.61,-2.75,-4.27,-3.55,-3.52,-6.3,-4.6,-2.75,-1.39,0.6,-0.6,6.84,6.0,6.99,6.9,-0.83,-1.54,-2.32,-2.63,110.45,111.49,113.16,114.87,-2.3,-1.54,-1.59,-1.59,-1.6,-1.74,-2.33,-2.34,-2.39,-2.7,-1.68,-1.13,-0.64,-0.43,-59.24,-59.26,-59.33,-59.5,-0.96,-1.75,88.49,65.46,89.04,91.35,-0.65
Rzeczowe składniki majątku trwałego,,,,,19.81,22.18,43.93,42.21,106.28,99.26,-6.61,2.93,9.64,2.73,3.91,4.66,-1.97,4.76,4.36,-4.78,-5.15,-15.51,-15.62,-11.79,-11.32,13.71,33.97,75.56,76.08,58.77,37.36,-13.91,-5.34,-6.5,-8.91,6.36,-0.6,0.08,1.86,6.43,4.75,9.29,16.58,23.21,27.25,18.65,11.27,0.76,-3.49,-3.17,-4.36,-20.3,-19.08,-15.81,-15.24,2.32,0.5,-2.75,-1.26,5.02,7.78,7.78,9.5,14.79,12.86,13.93,11.8,1.68,2.59,-1.94,-0.52,-1.84,-2.86,1.48
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,66.67,205.26,326.67,66.67,245.71,5.17,31.25,78.0,-37.19,-100.0,-100.0,-100.0,-100.0,,,,,,,2.88,2.88,0.0,0.0,0.0,0.0,0.0,0.0,89.13,89.13,89.13,89.13,-0.99,-0.99,-0.99,-0.99,-58.37,-46.6,-46.6,-46.6,28.29,0.0,0.0
Inwestycje długoterminowe,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.33,182.58,2369.7,2346.97,752.41,784.72,1.81,2.01,-86.36,-87.52,-88.37,-89.01,-23.22,-18.93,-13.99,-16.3,-29.64,-23.05,-7.53,-15.51,0.85,-10.51,-14.33,-11.33,2.95,4.35,15.59,28.19,14.75,8.75,5.92,-16.15,-20.71,-33.33,-30.75,-10.25,-7.66
Pozostałe aktywa trwałe,,,,,76.92,100.0,,207.41,2239.13,422.03,,384.74,-53.87,119.32,160.51,21.13,18.94,-68.84,-62.14,-58.14,-50.95,32.07,7.17,14.05,-8.43,7.91,29.93,14.18,16.14,72.17,33.05,20.08,11.17,0.77,8.92,13.06,40.65,38.52,42.84,21.26,17.94,17.34,18.59,25.53,15.85,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa obrotowe,,,,,15.15,0.74,29.06,61.97,31.12,23.2,5.18,-9.47,6.57,5.62,7.21,-10.59,-13.56,-13.2,-15.46,-4.76,6.08,24.25,28.21,39.37,22.72,16.02,16.92,14.34,11.67,5.85,-2.0,-16.9,-7.51,29.34,25.62,2.36,7.43,13.84,9.31,6.23,12.11,-0.25,-12.99,-13.75,-23.73,-16.21,-7.74,4.17,30.35,18.65,12.68,16.39,3.57,11.14,16.18,16.29,12.94,9.08,7.87,6.65,-13.47,-15.48,-5.28,0.92,34.37,19.1,19.22,11.77,21.57,8.11,-6.25,9.93,-5.65,6.63
Zapasy,,,,,11.92,-14.05,64.22,103.56,84.59,65.75,14.0,-10.45,12.56,8.63,10.2,-19.91,-44.72,-34.86,-34.49,-8.75,36.14,40.02,31.93,50.46,42.68,14.05,31.21,40.99,27.43,37.34,24.3,5.93,-8.44,2.2,15.77,-2.0,2.71,11.3,6.86,15.63,16.73,3.94,-21.95,-16.18,-27.23,11.15,24.87,8.72,61.38,5.89,-2.4,13.77,-8.82,4.97,19.92,19.38,17.81,15.68,-2.17,18.86,-3.84,8.66,20.04,5.28,48.95,22.22,30.62,14.42,25.66,11.53,-12.8,14.76,-11.19,7.51
Należności krótkoterminowe,,,,,62.7,58.9,32.26,39.59,10.03,-8.94,-4.89,-10.07,1.3,6.62,3.66,-14.23,-8.65,-11.72,-4.73,5.74,16.91,40.2,29.8,38.94,18.91,27.1,20.88,1.79,-2.04,-16.84,-20.78,-40.08,-17.53,50.57,24.75,0.39,11.67,12.32,6.56,3.14,13.23,2.5,3.68,-22.39,-32.38,-43.77,-32.44,20.8,20.27,57.33,39.31,-3.99,4.33,5.6,9.07,31.66,17.13,14.37,15.63,-6.38,-30.4,-51.67,-26.74,-9.11,23.34,29.4,-3.59,4.55,4.99,0.07,3.7,-7.04,-0.87,2.37
Inwestycje krótkoterminowe,,,,,-63.81,-81.68,-70.68,2987.5,-26.94,122.31,76.32,19.3,3.88,-26.88,11.48,157.35,297.81,241.25,69.74,-52.51,-72.14,-84.73,-32.33,-29.0,-94.96,-2.3,-50.39,-41.24,42.54,-62.16,-68.87,-7.91,716.67,387.77,314.14,235.5,48.74,114.57,117.5,9.84,42.28,-12.82,-14.81,85.42,115.83,28.45,-58.56,-76.82,-69.96,-77.97,-8.38,443.05,282.12,552.93,84.18,-48.14,-29.81,-80.0,86.08,-39.67,2.15,279.79,-63.93,19.04,-47.12,-73.49,62.86,23.09,84.41,-5.95,60.45,49.47,60.94,53.37
Środki pieniężne i inne aktywa pieniężne,,,,,-83.11,-85.22,-70.68,2179.17,37.87,175.58,76.32,61.61,17.92,-26.88,-12.82,112.67,184.8,229.39,117.04,-42.54,-63.76,-84.53,-84.11,-29.0,-94.58,-0.15,111.34,-42.98,42.54,-62.31,-68.87,-9.83,708.53,385.38,311.93,252.24,49.14,114.78,117.45,9.24,42.04,-12.81,-14.93,86.09,117.02,27.3,-60.2,-77.9,-70.9,-79.28,-8.79,465.6,291.47,596.18,87.54,-48.39,-30.14,-81.13,89.04,-39.77,2.67,304.52,-64.25,18.81,-47.56,-74.38,64.2,23.17,86.37,-5.97,61.69,51.1,61.5,56.83
Pozostałe aktywa obrotowe,,,,,15.17,15.76,110.76,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,0.0,0.0,0.0,-0.03,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,15.97,4.31,53.6,80.46,71.9,70.09,5.0,-4.65,-7.64,4.99,6.32,-20.43,-10.93,-24.54,-25.27,-5.58,2.55,12.34,15.79,25.75,13.85,15.1,20.19,25.31,23.58,17.97,7.24,-15.81,-6.78,17.93,15.07,3.48,5.44,10.8,7.94,8.88,12.44,3.65,-4.31,-3.24,-10.51,-9.36,-4.3,0.84,15.52,11.82,7.21,3.61,-2.99,3.86,7.01,12.22,9.63,6.39,5.64,6.25,-8.46,-10.61,-1.99,3.15,27.03,16.54,16.17,8.83,16.87,6.1,-4.74,7.53,-4.62,5.46
Kapitał własny akcjonariuszy jednostki dominującej,,,,,16.3,14.25,6.45,5.54,18.59,11.7,-1.76,1.85,-27.66,8.32,9.42,-32.82,-1.42,-35.1,-34.9,4.39,3.44,10.44,12.45,17.08,22.99,26.0,34.08,25.07,15.33,10.25,-0.81,5.18,6.31,14.31,22.15,10.7,12.3,11.7,12.51,12.4,11.35,4.85,3.1,0.87,-1.02,-0.29,-2.22,-2.05,-3.46,-0.24,0.94,11.89,14.53,13.68,14.53,-4.36,-3.13,-4.58,-3.39,6.63,6.94,6.97,7.38,8.1,8.36,7.87,6.02,6.78,5.86,6.06,9.05,9.01,14.31,21.34
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,1.53,1.53,1.53,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,31.12,33.18,33.18,41.66,41.66,12.7,12.7,5.96,5.96,7.69,7.69,7.69,7.69,17.75,17.75,17.75,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,1.9,1.9,15.68,15.68,15.68,15.68,6.01,6.01,6.01,6.01,0.0,1.45,1.45,1.45,1.45,-3.36,3.66,3.66,7.42,11.16,3.63,3.63,8.52,8.52,8.52,8.52,10.35,10.35,10.35,10.35,9.39,9.39,9.39,9.39,11.12
Udziały niekontrolujące,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,-54.55,-96.56,32.88,478.41,4582.0,5167.02,8.95,-12.16,-19.36,-9.3,4.14,397.73,423.1,367.8,369.01,4.79,4.23,14.51,-85.74,-88.08,-88.67,0.3,784.4,967.18,1022.44,10.82,7.52,-86.2,-94.72,-92.09,-93.69,444.52,1650.14,1436.96,1661.09,28.8,13.58,8.79,-6.88,-90.92,-93.81,-93.07,-92.64,612.19,1110.94,1047.77,946.95,6.61,-18.17,-2.6,1.79,-85.83,-87.65,-94.31,-94.09,606.44,592.18,1065.22,1349.17,-85.49,-83.52,-83.75,-86.34,-2.83,-2.64,-3.22,11.46,11.01,10.45,4.33
Z tytułu dostaw i usług,,,,,,,,197.83,,,,-26.55,,17.86,9.1,-50.77,-77.81,-39.67,-66.45,-52.54,81.92,10.78,75.39,435.92,135.04,119.98,15.8,-26.02,-37.07,17.61,8.41,-61.8,17.61,27.27,44.74,0.08,-2.29,69.86,44.57,12.4,2.66,3.75,-20.01,60.44,-8.27,24.61,66.33,89.65,300.37,48.12,45.47,-4.12,-13.51,-0.34,5.25,58.38,18.52,21.71,2.61,8.47,-15.0,-2.16,11.64,16.14,72.43,23.78,28.65,5.45,40.64,-5.02,-23.91,26.34,-33.39,37.67
Kredyty i pożyczki,,,,,,,,194.45,,,,2.87,,1.92,0.05,-89.07,-97.81,-97.57,-97.6,-79.59,0.0,0.0,4295.03,4272.32,4327.49,1.75,-97.72,-77.62,-78.52,763.79,543.86,423.1,478.89,671.17,955.77,-79.35,-98.49,-90.3,-99.51,-99.22,-100.0,-100.0,-100.0,55524.71,,,,-89.04,-100.0,-90.68,-97.48,-100.0,,-9.54,-100.0,,,1371.79,,-76.16,-92.8,-95.8,-91.72,272.61,1169.75,1630.6,1032.52,12.76,9.5,22.51,-17.32,-6.9,4.09,-59.71
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,70.67,,,,-4.44,,5.9,10.28,-1.41,-1.72,-0.63,-5.52,-13.43,-7.29,-5.87,-3.33,-11.12,-15.7,-17.8,-16.36,-1.56,-1.58,23.8,20.54,63.61,10.66,29.4,31.11,-7.45,41.93,-13.14,-16.79,-13.35,-21.33,-8.68,-8.44,-6.18,-6.82,68.92,72.46,81.62,81.0,-6.47,-10.63,-10.9,-14.96,-14.86,-5.77,-17.8,-12.82,-20.13,-25.19,32.79,39.99,37.78,29.38,23.43,15.71,37.41,53.05,-2.83,-2.64,-3.22,11.46,11.01,10.45,4.33
Zobowiązania krótkoterminowe,,,,,17.4,16.24,179.11,187.12,113.06,147.49,19.13,-7.47,11.89,4.79,4.16,-73.25,-80.78,-85.93,-86.82,-53.03,-6.73,7.9,670.43,763.75,449.06,59.3,-77.64,-54.7,-63.91,76.04,36.04,92.43,219.29,308.65,392.6,-66.11,-78.73,-60.59,-72.41,-46.95,12.29,-8.55,-17.06,464.14,285.59,164.09,284.45,-51.26,-35.68,-41.07,-47.54,-17.95,-11.11,-1.9,1.08,228.28,142.67,141.37,151.25,-38.46,-54.42,-51.21,-49.78,71.14,156.13,94.37,121.7,11.57,26.43,6.64,-15.92,5.99,-17.48,-6.48
Inne zobowiązania krótkoterminowe,,,,,,,,60.8,,,,-12.87,,46.15,76.47,82.97,295.15,30.18,-9.85,-20.5,-44.1,7.42,124.74,43.63,-30.05,3.66,-29.88,35.09,29.81,-7.76,-35.69,-46.4,28.62,82.12,80.01,22.39,-15.22,40.1,27.85,3.65,56.35,43.44,-4.87,7.75,-39.72,-25.63,-21.5,0.18,12.7,-31.72,16.99,12.24,8.47,-6.94,-1.49,-0.55,2.46,56.32,-0.47,7.21,3.95,-0.91,9.78,16.04,21.52,8.71,-14.33,43.02,15.72,2.9,78.27,-24.13,14.71,49.59
Rozliczenia międzyokresowe,,,,,-3.65,25.2,78.34,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,15.97,4.31,53.6,80.46,71.9,70.09,5.0,-4.65,-7.64,4.99,6.32,-20.43,-10.93,-24.54,-25.27,-5.58,2.55,12.34,15.79,25.75,13.85,15.1,20.19,25.31,23.58,17.97,7.24,-15.81,-6.78,17.93,15.07,3.48,5.44,10.8,7.94,8.88,12.44,3.65,-4.31,-3.24,-10.51,-9.36,-4.3,0.84,15.52,11.82,7.21,3.61,-2.99,3.86,7.01,12.22,9.63,6.39,5.64,6.25,-8.46,-10.61,-1.99,3.15,27.03,16.54,16.17,8.83,16.87,6.1,-4.74,7.53,-4.62,5.46
Przepływy pieniężne z działalności operacyjnej,,,,,96.78,123.27,212.4,-307.44,36.41,633.17,-135.71,100.58,-71.51,18.1,-1351.4,3904.05,689.47,22.83,158.64,-334.02,-120.59,-60.75,-83.43,101.64,-23.45,140.64,-1014.14,-14977.19,63.69,134.76,10.53,168.04,923.11,-202.31,128.74,43.49,-120.46,61.33,164.75,-43.05,-435.37,94.12,308.19,129.67,84.19,-270.96,-120.55,-41.54,-456.42,-784.83,502.63,-54.19,152.09,-59.63,-64.8,50.36,-42.35,10.6,125.65,7.93,1315.03,109.98,-248.26,-11.52,-106.86,-116.2,54.12,71.37,324.64,-2943.87,348.42,-43.67,-78.04,408.95
Amortyzacja,,,,,-15.64,-39.89,129.94,31.56,64.9,139.72,46.68,-10.14,8.84,6.82,-10.39,5.26,-42.07,31.75,-81.68,-22.86,15.92,-10.39,390.82,12.96,41.76,-17.77,7.69,9.22,30.81,25.0,27.41,236.21,-9.78,-2.26,-0.15,-63.67,10.67,0.15,-0.15,33.03,0.0,-1.08,-3.5,-28.64,-4.15,-0.93,29.45,35.44,29.72,30.88,1.34,1.67,1.19,3.83,1.32,-0.71,0.71,0.12,3.44,22.84,22.72,21.31,17.98,3.28,0.76,1.04,11.07,-20.71,0.28,2.35,-5.77,30.12,6.33,3.03
