,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-398.31,39.41,1.82,113.06,133.6,-276.37,-43.49,551.97,281.88,-89.71,-77.68,-109.65,-225.62,-56.12,271.89,-927.08,65.91,-43.3,-44.31,-12.31,167.8,113.87,160.71,73.09,-0.87,-226.42,-55.23,375.17,-59.12,489.71,87.88,-94.55,47.85,-36.14,10.88,-992.54,47.27,-8.01,-22.21,80.43,-70.37,2.95,-8.23,-1158.97,227.5,-10.91,23.46,145.49,-105.34,-157.58,-71.07,110.75,428.57,-122.61,-172.35,23.09,1146.38,45.64,276.75,-356.96,-49.42,240.0,-36.04,104.5,-102.3,-353.22,121.13,-40.3,8730.0,137.69,29.17
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-548.61,129.75,8.38,114.69,132.35,-317.63,-34.0,366.67,164.11,-33.55,-67.43,-125.31,-278.17,15.1,162.42,-546.77,81.85,-141.55,-44.03,7.61,222.13,106.64,102.75,73.35,-22.71,-342.73,-54.88,345.32,-56.68,458.8,80.3,-91.02,46.58,-35.39,14.35,-675.86,48.6,-9.21,-20.71,71.26,-70.44,0.89,-11.5,-730.56,231.91,-9.35,24.74,144.4,-108.33,-160.89,-66.75,101.69,223.08,-112.78,-169.42,29.69,2075.0,43.99,259.93,-361.48,-2.16,237.0,-24.38,104.49,-102.35,-409.2,102.69,-78.53,4037.5,131.27,8.98
Zysk netto akcjonariuszy jednostki dominującej,,,,,-548.61,129.75,8.38,114.69,132.35,-317.63,-34.0,366.67,164.11,-33.55,-67.43,-125.31,-278.17,15.1,162.42,-546.77,81.85,-141.55,-44.03,7.61,222.13,106.64,102.75,73.35,-22.71,-342.73,-54.88,345.32,-56.68,458.8,80.3,-91.02,46.58,-35.39,14.35,-675.86,48.6,-9.21,-20.71,71.26,-70.44,0.89,-11.5,-730.56,231.91,-9.35,24.74,144.4,-108.33,-160.89,-66.75,101.69,223.08,-112.78,-169.42,29.69,2075.0,43.99,259.93,-361.48,-2.16,237.0,-68.17,109.03,-65.93,-309.2,568.09,-112.5,248.28,145.93,-9.77
Aktywa trwałe,,,,,76.08,63.92,101.02,34.13,37.98,34.14,-0.84,3.96,-8.12,-4.25,-0.47,9.3,23.42,27.61,20.87,6.68,8.78,12.58,14.29,8.95,2.82,-12.35,-21.34,-18.35,-15.45,-14.53,-2.02,-4.12,-15.88,-15.26,-13.94,-20.1,-10.51,-7.62,-25.48,9.34,8.3,-0.45,57.28,25.8,20.45,121.11,22.49,20.07,23.87,-34.54,-22.55,-22.41,-4.13,-1.39,35.37,27.22,1.74,8.18,-9.85,-10.56,-8.11,-20.3,-26.07,-34.0,0.81,8.3,64.37,124.8,39.16,34.86,1.6,-11.91,-10.18,3.55,-1.01
Wartości niematerialne i prawne,,,,,59.09,61.42,60.62,3.93,10.04,-21.54,-25.58,-20.09,-22.63,30.71,106.46,233.61,262.61,136.67,61.61,27.87,28.29,28.23,27.6,-0.47,-6.43,-8.56,-12.57,-16.8,-20.44,-21.68,-22.23,-23.95,-25.66,-30.83,-33.24,-35.8,-39.11,-31.42,-35.16,32.79,27.58,6.87,12.11,-47.87,-42.91,-38.92,-37.0,10.91,36.44,78.95,132.96,81.09,73.23,60.22,50.33,38.32,22.34,36.39,33.45,39.35,42.25,9.19,-6.45,-28.45,-31.54,-33.8,-31.9,96.75,106.62,111.86,103.61,-15.23,-8.2,11.8,39.06
Rzeczowe składniki majątku trwałego,,,,,94.95,51.37,118.29,34.44,23.62,40.08,-11.09,-14.02,-10.28,-25.49,-29.48,-21.58,-30.0,-23.2,-23.08,-39.83,-40.2,6.59,15.64,31.21,38.36,-21.53,-28.32,-15.7,-11.84,1.85,2.41,-11.97,-18.16,-32.11,-23.4,-27.32,-30.1,-35.34,-47.16,-37.64,-14.05,28.21,139.52,178.65,132.48,79.06,8.11,7.5,1.63,-3.61,-6.69,-29.74,-33.9,-34.03,-33.82,-22.95,-24.87,-10.7,-17.21,-42.83,-43.42,-53.73,-52.73,-39.36,318.47,354.56,457.84,503.53,-3.98,3.46,-9.74,-14.23,-17.11,-11.71,-15.78
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,0.67,0.67,-16.35,-23.24,-26.03,-26.15,20.3,20.48,-4.98,114.07,114.25,54.62,90.3,65.94,4.67,28.21,5.01,-34.37,-43.37,-49.87,-55.85,-37.83,12.2,23.4,40.36,-35.28,-52.37,-56.17,-62.64,-71.13,-96.87,-96.05,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,176.06,309.23,316.57,3.0,-1.22,-59.8
Inwestycje długoterminowe,,,,,3.56,123.2,120.1,129.07,127.25,27.71,27.4,84.63,-6.64,40.05,42.37,-17.34,86.41,-32.09,-21.95,-13.58,-21.67,12.93,-17.45,-31.07,-33.3,-35.1,-22.65,0.0,0.0,-13.62,-13.73,-29.07,-37.26,-26.43,-26.43,-11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,104.08,438.78,438.78,,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.21,-78.03,-37.61,22.58,90.58,73.79,-70.73,-85.11,-89.61,-59.23,20.54,48.55
Pozostałe aktywa trwałe,,,,,42.63,161.38,50.88,39.84,291.14,213.72,129.22,110.01,21.04,23.13,-2.11,-17.19,8.73,61.89,64.29,58.48,55.84,0.21,12.86,36.39,17.3,10.19,-25.88,-39.36,-24.94,-22.58,0.65,10.46,-14.94,6.27,-23.56,-10.7,30.53,35.35,25.4,96.11,54.96,6.86,142.2,39.25,17.98,267.41,67.82,53.0,60.82,-52.64,-40.27,-44.58,-37.79,-41.21,12.58,14.58,2.57,-1.69,-43.35,-46.39,-43.27,-59.8,-70.35,-58.89,39.7,-31.61,263.45,-51.29,-96.2,-82.0,-98.39,8.81,117.5,44.52,741.67
Aktywa obrotowe,,,,,-38.02,-19.35,-19.29,-18.25,161.52,-23.28,36.23,58.82,-8.55,30.42,-19.51,-25.06,-58.05,-17.26,18.34,-21.57,9.78,-0.3,-18.89,-0.17,-7.74,-15.97,-5.17,0.6,-8.43,7.26,4.44,21.13,16.83,149.95,-0.23,13.37,34.16,-25.71,15.4,39.91,37.68,-1.62,57.17,-7.04,7.33,39.82,-9.11,-10.67,16.01,-21.8,35.59,20.72,-30.8,-19.36,-50.77,-41.83,-29.81,-7.97,-14.77,0.18,27.99,-11.74,20.43,13.79,-28.72,45.6,-6.85,23.58,56.43,-7.88,88.07,-16.4,27.53,25.52,-14.16
Zapasy,,,,,-51.88,31.68,-24.02,-21.87,581.81,-69.44,221.33,209.83,-44.5,154.04,-76.69,-62.17,-87.77,-37.65,-40.15,-70.83,-11.45,-52.01,71.6,105.39,139.69,10.05,41.24,-71.1,-67.45,-3.09,134.13,249.9,380.19,-20.79,-94.97,-78.55,-51.01,-15.93,1530.51,16.76,-62.66,-29.12,-44.08,1514.12,-5.28,83.0,-74.35,-96.33,-85.79,-59.6,127.71,876.98,171.57,45.54,-88.58,-68.4,217.69,-24.54,62.27,-35.6,-40.45,124.19,107.0,100.0,-17.18,126.93,31.73,-23.25,329.26,-36.48,290.4,14.95,-61.46,465.03,-70.08
Należności krótkoterminowe,,,,,-26.24,-41.03,-19.74,-30.3,0.08,-44.46,12.2,50.11,34.52,25.29,-25.2,-51.82,-80.89,-47.74,27.85,-28.44,156.1,33.2,-34.29,34.56,-21.69,-24.93,-6.83,22.08,-7.46,28.98,-10.51,-17.22,29.45,289.91,20.3,43.65,23.39,-51.63,-16.19,27.57,54.01,4.52,79.94,-21.59,34.6,77.26,-17.23,-31.16,7.89,-47.35,116.03,92.28,-29.2,-23.8,-56.58,-37.21,-26.4,63.63,5.54,-0.87,31.24,-64.91,-10.7,14.77,-27.8,326.86,28.49,82.82,79.76,-15.6,91.33,-29.85,46.3,27.2,-6.19
Inwestycje krótkoterminowe,,,,,-73.82,1937.31,-23.53,-19.11,1052.54,-15.46,-88.32,-34.25,-30.18,-36.07,853.91,103.56,-50.71,39.15,7.85,-13.37,-56.72,23.44,-7.52,-89.57,-46.27,-46.34,41.84,589.63,116.75,42.97,-44.49,106.56,-71.49,93.48,161.76,39.28,563.6,-30.23,-46.47,-13.41,28.48,61.56,246.45,-15.42,3.16,-26.24,-35.82,-51.45,-74.64,-30.63,8.62,51.87,9.67,98.76,-36.63,-20.77,98.46,-31.69,-55.84,21.05,19.99,139.12,272.01,135.61,67.87,-32.76,-23.87,-23.6,6.09,27.61,58.99,22.57,-8.96,-38.05,-21.34
Środki pieniężne i inne aktywa pieniężne,,,,,-73.82,1911.54,58.58,-19.4,1049.72,-15.45,-89.39,-37.97,-31.31,-35.26,899.01,104.04,-53.9,39.15,14.16,-7.72,-52.86,23.44,-7.52,-89.57,-46.27,-46.34,41.84,589.63,116.75,42.97,-44.49,106.56,-71.49,93.48,161.76,39.28,563.6,-30.23,-46.47,-13.41,28.48,61.56,246.45,-15.42,3.16,-26.24,-35.82,-51.45,-74.64,-30.63,8.62,42.05,9.67,98.76,-36.63,-15.29,98.46,-31.69,-55.84,21.05,19.99,139.12,272.01,135.61,65.46,-33.49,-24.89,-24.89,6.54,27.82,32.83,23.55,-9.3,-39.01,-5.14
Pozostałe aktywa obrotowe,,,,,47.14,225.57,137.56,881.95,2116.02,1078.36,629.32,112.32,50.89,54.15,26.22,58.39,57.06,16.81,18.91,-5.92,-11.72,-17.91,1.79,4.75,6.07,4.76,-37.76,-38.52,-14.17,-15.9,23.83,40.69,3.42,46.34,-17.99,-27.44,28.17,51.5,100.95,149.58,39.84,-22.63,3.76,-22.11,-28.21,27.16,64.73,81.44,113.44,27.85,-32.26,-26.9,-37.47,-37.63,-39.67,-50.44,-59.94,-57.26,-23.5,-5.25,35.03,25.2,-26.97,-69.53,-100.0,-100.0,-100.0,-100.0,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,-27.92,-11.15,-7.69,-9.18,134.81,-12.85,28.45,44.8,-8.5,20.72,-16.43,-18.76,-47.65,-7.31,18.83,-14.59,9.48,3.64,-12.38,2.64,-4.58,-14.77,-9.31,-5.6,-10.69,-0.17,3.0,13.98,6.86,101.69,-3.12,5.4,23.43,-23.49,7.73,34.39,32.57,-1.45,57.19,-2.22,9.2,51.99,-5.01,-4.86,17.25,-24.57,25.85,10.44,-26.38,-15.96,-41.89,-30.26,-23.0,-4.39,-13.59,-3.1,17.69,-13.89,8.78,0.31,-22.14,36.94,5.28,42.37,51.45,-0.03,65.09,-15.08,17.54,20.07,-12.01
Kapitał własny akcjonariuszy jednostki dominującej,,,,,-6.83,-6.56,-5.18,2.08,10.65,8.25,1.98,5.46,8.42,8.49,4.33,-1.31,-13.72,-13.58,-9.09,-14.95,-8.84,-11.72,-13.71,-14.21,-10.33,-1.21,2.96,9.72,8.9,-0.35,-4.66,2.68,1.61,7.7,10.4,5.18,5.5,0.53,1.37,-1.6,-1.06,1.26,-0.25,1.58,0.42,-0.06,-0.69,-6.01,-4.88,2.61,3.58,13.2,11.2,-0.64,-4.41,-1.82,-1.55,1.2,-2.27,-0.62,2.59,7.38,11.24,-13.95,-13.85,-9.85,-8.97,9.05,6.62,-5.82,-3.81,-3.44,-5.29,6.72,6.09
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,11.47,0.29,0.29,0.29,0.29,-0.63,-0.63,-0.63,-0.63,7.97,7.97,7.97,11.13,0.18,0.18,0.18,-2.66,0.0,0.0,0.0,0.0,-13.56,-13.56,-13.56,-13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.44,-8.44,-8.44,-8.44,2.02,2.02,2.02,2.02,6.32,6.32,6.32,6.32,3.0,3.0,3.0,3.0,2.64,2.64,2.65,2.65,-15.46,-15.46,-31.17,-31.17,-18.58,-18.58,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.21,-42.46,3.54,-24.64,-17.33
Zobowiązania długoterminowe,,,,,,,,9.94,4.1,24.95,16.85,14.55,8.76,-13.46,-20.68,-10.16,-10.22,-14.3,-12.4,-53.61,-53.58,-54.21,-54.21,-47.47,-47.47,-58.0,-58.0,23.21,23.21,41.13,41.13,190.58,190.58,187.43,325.13,-17.1,-26.07,-85.3,-100.0,196.84,195.24,1660.76,,-48.18,-55.2,-66.43,-79.91,-100.0,-100.0,-100.0,-100.0,,,,,,,,,-86.9,-100.0,-100.0,-89.41,-100.0,,,7773.17,,-35.61,-6.39,53.47,78.18,81.72,39.54,-32.26
Z tytułu dostaw i usług,,,,,,,,,,,,,,,,-59.24,,,,-19.29,,,,47.45,,,,-22.62,,,,49.34,,,,-55.39,,,,158.09,,,,0.83,,,,-41.74,,,,145.4,,,,-34.67,,,,18.1,,,,-5.59,,,,77.27,93.94,-8.27,157.77,-25.99,54.98,34.71,-18.95
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.64,,,,-37.92,,,,-100.0,,,,,,,,,,,,,,,,5.14,318.86,179.89,173.17,-63.1,-88.59,-84.57,-99.89
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,29.83,,,,46.14,,,,-55.35,,,,35.21,,,,70.42,,,,24.21,,,,-97.74,,,,169.57,,,,-95.16,,,,-100.0,,,,,,,,-90.24,,,,1025.0,,,,2704.44,46.3,42.74,-1.66,-21.63,-29.32,-25.81,-23.34
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.62,2394.23,3075.0,682.86,642.28,117.42,-31.57
Zobowiązania krótkoterminowe,,,,,-61.22,-30.18,-21.36,-26.69,480.85,-51.28,53.74,110.35,-26.08,21.81,-44.03,-55.86,-86.08,-2.2,60.53,-12.06,123.97,60.98,-15.28,39.5,-1.6,-32.92,-14.99,-17.68,-35.89,11.46,22.34,36.95,28.41,283.4,-48.13,-31.12,35.41,-46.23,41.25,121.67,74.2,-20.87,147.09,1.81,4.42,100.68,-38.86,-38.55,59.5,-38.23,89.31,58.46,-40.73,-5.7,-46.53,-35.11,-23.23,12.23,-84.12,12.35,52.14,-29.57,521.49,21.63,-31.98,104.86,10.86,75.17,109.31,-0.62,126.2,-28.23,27.77,27.67,-15.79
Inne zobowiązania krótkoterminowe,,,,,,,,,,,,,,,,-26.14,,,,22.55,,,,61.23,,,,0.86,,,,-30.66,,,,172.98,,,,-16.61,,,,-66.36,,,,9.28,,,,34.91,,,,-44.83,,,,-82.39,,,,384.8,,,,236.3,156.22,19.15,-25.28,3.73,-20.27,108.71,104.53
Rozliczenia międzyokresowe,,,,,78.51,282.14,39.0,-19.36,152.2,40.72,81.19,180.05,171.78,119.89,50.42,64.17,19.88,8.3,25.23,-8.39,2.72,-13.01,5.38,10.01,10.75,-7.19,-16.95,-21.35,-21.74,-19.79,-24.6,-3.12,-14.73,28.47,103.7,93.2,81.0,64.78,0.45,9.47,34.54,9.66,12.44,-1.63,45.28,92.82,101.35,67.34,2.62,-22.92,-12.64,-21.49,-38.22,-46.75,-65.13,-63.22,-63.24,-58.45,164.87,-39.86,-19.29,-19.69,-83.05,-4.52,-100.0,-100.0,-100.0,-100.0,,,,,,,
Pasywa razem,,,,,-27.92,-11.15,-7.69,-9.18,134.81,-12.85,28.45,44.8,-8.5,20.72,-16.43,-18.76,-47.65,-7.31,18.83,-14.59,9.48,3.64,-12.38,2.64,-4.58,-14.77,-9.31,-5.6,-10.69,-0.17,3.0,13.98,6.86,101.69,-3.12,5.4,23.43,-23.49,7.73,34.39,32.57,-1.45,57.19,-2.22,9.2,51.99,-5.01,-4.86,17.25,-24.57,25.85,10.44,-26.38,-15.96,-41.89,-30.26,-23.0,-4.39,-13.59,-3.1,17.69,-13.89,8.78,0.31,-22.14,36.94,5.28,42.37,51.45,-0.03,65.09,-15.08,17.54,20.07,-12.01
Przepływy pieniężne z działalności operacyjnej,,,,,-859.64,113.18,-67.59,27.25,680.35,-807.84,-201.58,885.91,-30.76,30.95,174.32,-72.48,-82.01,76.42,-33.04,-75.85,-149.54,264.69,-195.76,-162.06,-1.12,-6.71,279.83,-1170.32,137.45,-102.51,-45.71,191.27,-2121.67,5924.74,218.34,-131.51,57.63,-119.45,-100.45,132.21,138.15,220.84,35602.44,-4478.08,338.96,-347.52,-37.52,44.86,-173.3,266.17,51.51,10.54,57.05,-49.78,-78.52,92.56,131.3,1.06,-137.31,479.07,-582.93,182.18,212.5,-216.42,37.84,-98.02,-100.0,113.68,211.14,1734.84,,1111.15,-92.27,-111.32,
