,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Koszty finansowe,58.0,54.0,131.0,44.0,67.0,59.0,111.0,66.0,71.0,122.0,113.0,301.0,69.0,107.0,64.0,74.0,61.0,107.0,115.0,94.0,66.0,111.0,111.0,163.0,72.0,99.0,80.0,66.0,67.0,60.0,82.0,41.0,143.0,40.0,97.0,57.0,31.0,48.0,35.0,30.0,30.0,33.0,57.0,21.0,37.0,28.0,26.0,26.0,32.0,54.0,32.0,27.0,34.0,30.0,33.0,16.0,17.0,8.0,16.0,-11.0,2.0,15.0,22.0,-11.0,7.0,26.0,44.0,51.0,11.0,28.0,6.0,0.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-633.0,430.0,75.0,283.0,71.0,669.0,1080.0,-577.0,-364.0,170.0,-260.0,-1318.0,-497.0,653.0,869.0,-530.0,-453.0,556.0,1259.0,-195.0,-278.0,398.0,574.0,-508.0,-245.0,340.0,1041.0,-107.0,-793.0,332.0,1028.0,-188.0,-370.0,569.0,828.0,-274.0,-527.0,-32.0,977.0,-295.0,-393.0,607.0,758.0,-405.0,-132.0,666.0,1335.0,-307.0,-392.0,597.0,781.0,66.0,-195.0,556.0,626.0,-44.0,-345.0,1089.0,1410.0,-61.0,-199.0,1605.0,863.0,-830.0,89.0,1480.0,1334.0,-505.0,31.0,800.0,1128.0,-643.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-633.0,430.0,75.0,283.0,71.0,669.0,1080.0,-577.0,-364.0,170.0,-260.0,-1318.0,-497.0,653.0,848.0,-530.0,-453.0,556.0,1259.0,-195.0,-278.0,398.0,574.0,-508.0,-245.0,340.0,1041.0,-107.0,-793.0,332.0,1028.0,-188.0,-370.0,569.0,828.0,-274.0,-527.0,-32.0,977.0,-295.0,-393.0,607.0,758.0,-405.0,-132.0,666.0,1335.0,-307.0,-392.0,597.0,781.0,66.0,-195.0,556.0,626.0,-44.0,-345.0,1089.0,1410.0,-61.0,-199.0,1605.0,863.0,-830.0,89.0,1480.0,1334.0,-505.0,31.0,800.0,1128.0,-643.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-658.0,439.0,80.0,302.0,75.0,554.0,850.0,-427.0,-362.0,152.0,-274.0,-1314.0,-503.0,629.0,640.0,-362.0,-453.0,589.0,1092.0,-158.0,-278.0,380.0,466.0,-473.0,-245.0,319.0,830.0,-30.0,-793.0,325.0,901.0,-155.0,-370.0,567.0,767.0,-290.0,-527.0,-5.0,888.0,-265.0,-393.0,562.0,629.0,-350.0,-132.0,513.0,1080.0,-259.0,-392.0,516.0,642.0,44.0,-195.0,418.0,515.0,-50.0,-345.0,917.0,1137.0,-46.0,-199.0,1422.0,681.0,-646.0,70.0,1120.0,1072.0,-350.0,19.0,641.0,902.0,-506.0
Zysk netto akcjonariuszy jednostki dominującej,-658.0,439.0,80.0,302.0,75.0,554.0,850.0,-427.0,-362.0,152.0,-274.0,-1314.0,-503.0,629.0,640.0,-362.0,-453.0,589.0,1092.0,-158.0,-278.0,380.0,466.0,-473.0,-245.0,319.0,830.0,-30.0,-793.0,325.0,901.0,-155.0,-370.0,567.0,767.0,-290.0,-527.0,-5.0,888.0,-265.0,-393.0,562.0,629.0,-350.0,-132.0,513.0,1080.0,-259.0,-392.0,516.0,642.0,44.0,-195.0,418.0,515.0,-50.0,-345.0,917.0,1137.0,-46.0,-199.0,1422.0,681.0,-646.0,70.0,1120.0,1072.0,-350.0,19.0,641.0,902.0,-506.0
Aktywa trwałe,3779.0,3788.0,3653.0,3538.0,3546.0,3835.0,4910.0,4838.0,4812.0,4891.0,4842.0,4787.0,4881.0,4765.0,4632.0,4518.0,4490.0,4398.0,4267.0,4198.0,4809.0,4671.0,4602.0,4547.0,4516.0,4368.0,4222.0,4078.0,3979.0,3999.0,3924.0,4259.0,4218.0,4258.0,4142.0,4196.0,4939.0,4828.0,4724.0,4631.0,4540.0,4579.0,4498.0,4493.0,4489.0,4379.0,4746.0,4756.0,4888.0,4817.0,4921.0,5082.0,5066.0,5000.0,4928.0,4888.0,5068.0,5141.0,5090.0,5048.0,5129.0,5209.0,5290.0,5534.0,6496.0,7041.0,7263.0,7337.0,7550.0,7481.0,7522.0,7475.0
Wartości niematerialne i prawne,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
Rzeczowe składniki majątku trwałego,0.0,0.0,3464.0,3333.0,3340.0,3622.0,4730.0,4649.0,4621.0,4719.0,4683.0,4633.0,4733.0,4638.0,4510.0,4448.0,4430.0,4302.0,4172.0,4109.0,4720.0,4601.0,4532.0,4482.0,4451.0,4300.0,4154.0,4018.0,3919.0,3940.0,3865.0,4199.0,4157.0,4195.0,4079.0,4118.0,4861.0,4745.0,4641.0,4555.0,4464.0,4499.0,4418.0,4380.0,4378.0,4287.0,4656.0,4604.0,4736.0,4677.0,4781.0,4892.0,4874.0,4796.0,4727.0,4672.0,4852.0,4884.0,4833.0,4763.0,4844.0,4932.0,5013.0,5205.0,6167.0,6682.0,6904.0,6935.0,7148.0,7070.0,7111.0,6701.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,187.0,203.0,206.0,213.0,180.0,189.0,191.0,172.0,159.0,154.0,148.0,127.0,122.0,70.0,60.0,96.0,95.0,89.0,89.0,70.0,70.0,65.0,65.0,68.0,68.0,60.0,60.0,59.0,59.0,60.0,61.0,63.0,63.0,78.0,78.0,83.0,83.0,76.0,76.0,80.0,80.0,105.0,105.0,87.0,87.0,151.0,152.0,140.0,140.0,190.0,190.0,201.0,201.0,216.0,216.0,257.0,257.0,285.0,285.0,277.0,277.0,329.0,329.0,359.0,359.0,402.0,402.0,411.0,411.0,474.0
Aktywa obrotowe,7602.0,13555.0,13332.0,8233.0,10616.0,12901.0,11864.0,8845.0,10358.0,11154.0,11182.0,8873.0,8232.0,11321.0,12622.0,8537.0,7975.0,11944.0,13900.0,9491.0,11076.0,13996.0,15901.0,10376.0,11380.0,12275.0,12945.0,9784.0,8619.0,12235.0,12650.0,8964.0,10132.0,13536.0,12416.0,9191.0,9578.0,10676.0,11244.0,9367.0,9892.0,12790.0,11862.0,10656.0,11730.0,14679.0,14521.0,12554.0,11558.0,14835.0,15126.0,13106.0,13254.0,14584.0,13621.0,11780.0,11288.0,14162.0,15180.0,13313.0,15439.0,16176.0,16725.0,15059.0,17140.0,17325.0,17780.0,14478.0,15187.0,16676.0,18986.0,15587.0
Zapasy,4472.0,3766.0,3184.0,4173.0,3573.0,5084.0,4307.0,5531.0,5118.0,5178.0,5002.0,5795.0,4915.0,5081.0,4505.0,5071.0,4372.0,4183.0,2790.0,5014.0,5064.0,5774.0,5568.0,5595.0,5994.0,5553.0,5273.0,6294.0,5856.0,5248.0,4581.0,4981.0,4833.0,5828.0,3881.0,5410.0,4436.0,5030.0,4093.0,5416.0,4480.0,5311.0,4435.0,5768.0,6065.0,5587.0,4812.0,6666.0,6903.0,7222.0,5552.0,7761.0,6363.0,6624.0,5400.0,6805.0,5907.0,5410.0,5805.0,6951.0,7032.0,3802.0,7055.0,7881.0,7006.0,9127.0,9082.0,10266.0,10241.0,9616.0,8494.0,10015.0
Należności krótkoterminowe,2964.0,3766.0,9972.0,3853.0,6574.0,7548.0,6429.0,3092.0,5061.0,5735.0,5871.0,2821.0,3201.0,6078.0,7962.0,3351.0,3515.0,7641.0,11030.0,4437.0,5898.0,8082.0,10257.0,4669.0,5260.0,6554.0,7048.0,2931.0,2504.0,6605.0,7527.0,3695.0,5072.0,7359.0,7577.0,3531.0,4763.0,5165.0,6433.0,3524.0,5106.0,7107.0,7143.0,4729.0,5364.0,8791.0,9493.0,5091.0,4324.0,7282.0,9263.0,4692.0,6513.0,7417.0,7960.0,4140.0,4849.0,5340.0,4992.0,2668.0,4159.0,5807.0,5884.0,4587.0,6716.0,6336.0,6217.0,3271.0,3903.0,5868.0,7323.0,3708.0
Inwestycje krótkoterminowe,0.0,0.0,125.0,198.0,369.0,180.0,1080.0,212.0,88.0,173.0,269.0,241.0,35.0,103.0,115.0,98.0,20.0,66.0,40.0,24.0,40.0,81.0,48.0,98.0,17.0,87.0,578.0,539.0,174.0,302.0,497.0,281.0,210.0,278.0,921.0,246.0,151.0,317.0,625.0,421.0,100.0,210.0,170.0,90.0,48.0,100.0,96.0,748.0,81.0,136.0,163.0,584.0,102.0,339.0,141.0,788.0,253.0,3191.0,4204.0,3615.0,3964.0,3326.0,3629.0,2512.0,3105.0,1620.0,2342.0,877.0,727.0,944.0,2981.0,1800.0
Środki pieniężne i inne aktywa pieniężne,0.0,0.0,125.0,198.0,369.0,180.0,1080.0,212.0,88.0,173.0,269.0,241.0,35.0,103.0,115.0,98.0,20.0,66.0,40.0,24.0,40.0,81.0,48.0,98.0,17.0,87.0,578.0,539.0,174.0,302.0,497.0,281.0,210.0,278.0,921.0,246.0,151.0,317.0,625.0,421.0,100.0,210.0,170.0,90.0,48.0,100.0,96.0,748.0,81.0,136.0,163.0,584.0,102.0,339.0,141.0,788.0,253.0,3191.0,4204.0,3615.0,3964.0,3326.0,3629.0,2512.0,3105.0,1620.0,2342.0,877.0,727.0,944.0,2981.0,1800.0
Pozostałe aktywa obrotowe,0.0,0.0,51.0,9.0,100.0,89.0,48.0,10.0,91.0,68.0,40.0,16.0,81.0,59.0,40.0,17.0,68.0,54.0,40.0,16.0,74.0,59.0,28.0,14.0,109.0,81.0,46.0,20.0,85.0,80.0,45.0,7.0,17.0,71.0,37.0,4.0,228.0,164.0,93.0,6.0,206.0,162.0,114.0,69.0,253.0,201.0,120.0,49.0,250.0,195.0,148.0,69.0,276.0,204.0,120.0,47.0,279.0,221.0,179.0,79.0,284.0,3241.0,157.0,79.0,313.0,242.0,139.0,64.0,316.0,248.0,188.0,64.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,11381.0,17343.0,16985.0,11771.0,14162.0,16736.0,16774.0,13683.0,15170.0,16045.0,16024.0,13660.0,13113.0,16086.0,17254.0,13055.0,12465.0,16342.0,18167.0,13689.0,15885.0,18667.0,20503.0,14923.0,15896.0,16643.0,17167.0,13862.0,12598.0,16234.0,16574.0,13223.0,14350.0,17794.0,16558.0,13387.0,14517.0,15504.0,15968.0,13998.0,14432.0,17369.0,16360.0,15149.0,16219.0,19058.0,19267.0,17310.0,16446.0,19652.0,20047.0,18188.0,18320.0,19584.0,18549.0,16668.0,16356.0,19303.0,20270.0,18361.0,20568.0,21385.0,22015.0,20593.0,23636.0,24366.0,25043.0,21815.0,22737.0,24157.0,26508.0,23062.0
Kapitał własny akcjonariuszy jednostki dominującej,5232.0,5671.0,6531.0,6053.0,6128.0,6682.0,7532.0,7106.0,6744.0,6896.0,6621.0,5308.0,4861.0,5434.0,6199.0,5712.0,5259.0,5848.0,6940.0,6782.0,6504.0,6883.0,7350.0,6877.0,6632.0,6951.0,7780.0,7751.0,6958.0,7283.0,8183.0,8029.0,7659.0,8226.0,8993.0,8703.0,8176.0,8170.0,9059.0,8794.0,8401.0,8963.0,9592.0,9242.0,9110.0,9624.0,10703.0,10444.0,10052.0,10569.0,11208.0,11254.0,11059.0,11477.0,11992.0,11942.0,11597.0,12514.0,13651.0,13605.0,13406.0,14828.0,15509.0,14863.0,14933.0,16053.0,17125.0,16775.0,16794.0,17055.0,17957.0,17451.0
Kapitał (fundusz) podstawowy,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,5403.0,5403.0,5403.0,5403.0,5403.0,5566.0,5566.0,5566.0,5566.0,5993.0,5993.0,5993.0,5993.0,4210.0,4210.0,4210.0,4210.0,4614.0,4614.0,4614.0,4614.0,5684.0,5684.0,5684.0,5684.0,5779.0,5779.0,5779.0,5779.0,6653.0,6653.0,6653.0,6653.0,6931.0,6931.0,6931.0,6931.0,7604.0,7605.0,7605.0,7605.0,7696.0,7696.0,7696.0,7696.0,8145.0,8145.0,8145.0,8145.0,9347.0,9347.0,9347.0,9347.0,10156.0,10156.0,10156.0,10156.0,10844.0,10844.0,10844.0,10844.0,12507.0,12507.0,12507.0,12507.0,13765.0,13765.0,13765.0,13765.0,15297.0,15297.0,15297.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,85.0,118.0,118.0,85.0,70.0,293.0,264.0,2557.0,3633.0,4018.0,3917.0,3682.0,4069.0,132.0,114.0,92.0,77.0,51.0,79.0,2922.0,4109.0,4567.0,4424.0,3739.0,4957.0,4678.0,382.0,343.0,305.0,357.0,3784.0,2912.0,3626.0,3976.0,2657.0,2567.0,3723.0,3472.0,594.0,563.0,503.0,3942.0,2938.0,3177.0,3758.0,3806.0,2950.0,2535.0,3212.0,689.0,811.0,767.0,698.0,2244.0,2005.0,622.0,722.0,569.0,531.0,503.0,569.0,627.0,580.0,657.0,525.0,442.0,387.0,366.0,242.0,294.0,378.0,336.0
Z tytułu dostaw i usług,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2870.0,0.0,0.0,0.0,3438.0,0.0,0.0,0.0,2889.0,0.0,0.0,0.0,3059.0,0.0,0.0,0.0,3229.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,1150.0,0.0,0.0,0.0,1255.0,0.0,0.0,0.0,1290.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,2868.0,0.0,0.0,0.0,2459.0,0.0,0.0,0.0,2575.0,0.0,0.0,0.0,1089.0,0.0,0.0,0.0,2678.0,0.0,0.0,0.0,1711.0,0.0,0.0,0.0,2074.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
