,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Zysk z działalności gospodarczej,1530.0,715.0,1537.0,736.0,729.0,311.0,1162.0,583.0,685.0,2526.0,1887.0,-474.0,49.0,24.0,-373.0,-3469.0,-554.0,-1317.0,925.0,-431.0,-374.0,2310.0,2440.0,-429.0,1661.0,2840.0,2203.0,442.0,1158.0,1890.0,1937.0,-491.0,687.0,4088.0,1951.0,-896.0,549.0,3978.0,3310.0,706.0,1855.0,5313.0,4883.0,-95.0,1021.0,5226.0,2926.0,600.0,1447.0,3721.0,1193.0,216.0,1968.0,2213.0,1321.0,-1099.0,-1980.0,2015.0,-1001.0,-2610.0,-238.0,9371.0,6986.0,650.0,1127.0,9550.0,4529.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1530.0,715.0,1537.0,736.0,729.0,311.0,1162.0,583.0,685.0,2526.0,1887.0,-474.0,49.0,24.0,-373.0,-3469.0,-554.0,-1317.0,925.0,-431.0,-374.0,2310.0,2440.0,-429.0,1661.0,2840.0,2203.0,442.0,1158.0,1890.0,1937.0,-491.0,687.0,4088.0,1951.0,-896.0,549.0,3978.0,3310.0,706.0,1855.0,5313.0,4883.0,-95.0,1021.0,5226.0,2926.0,600.0,1447.0,3721.0,1193.0,216.0,1968.0,2213.0,1321.0,-1099.0,-1980.0,2015.0,-1001.0,-2610.0,-238.0,9371.0,6986.0,650.0,1127.0,9550.0,4529.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1293.0,542.0,1329.0,515.0,582.0,249.0,1008.0,413.0,526.0,2032.0,1525.0,-369.0,11.0,73.0,-393.0,-3439.0,-566.0,-265.0,741.0,-359.0,-345.0,2031.0,1972.0,-365.0,1342.0,2325.0,1787.0,348.0,949.0,1505.0,1546.0,-382.0,552.0,3305.0,1574.0,-728.0,436.0,3203.0,2682.0,576.0,1485.0,4264.0,3939.0,-86.0,818.0,4220.0,2356.0,494.0,1168.0,2992.0,984.0,183.0,1616.0,1777.0,1072.0,-893.0,-1597.0,1640.0,-859.0,-2074.0,-183.0,7576.0,5712.0,553.0,950.0,7723.0,3650.0
Zysk netto akcjonariuszy jednostki dominującej,1293.0,542.0,1329.0,515.0,582.0,249.0,1008.0,413.0,526.0,2032.0,1525.0,-369.0,11.0,73.0,-393.0,-3439.0,-566.0,-265.0,741.0,-359.0,-345.0,2031.0,1972.0,-365.0,1342.0,2325.0,1787.0,348.0,949.0,1505.0,1546.0,-382.0,552.0,3305.0,1574.0,-728.0,436.0,3203.0,2682.0,576.0,1485.0,4264.0,3939.0,-86.0,818.0,4220.0,2356.0,494.0,1168.0,2992.0,984.0,183.0,1616.0,1777.0,1072.0,-893.0,-1597.0,1640.0,-859.0,-2074.0,-183.0,7576.0,5712.0,553.0,950.0,7723.0,3650.0
Aktywa trwałe,17904.0,19446.0,31218.0,33178.0,33613.0,34968.0,34168.0,30449.0,30201.0,33492.0,35285.0,43546.0,55955.0,60800.0,61795.0,61651.0,63183.0,64241.0,63629.0,63019.0,62299.0,60962.0,58849.0,59512.0,58532.0,58515.0,58411.0,58401.0,57713.0,58019.0,57164.0,56587.0,56487.0,57459.0,56986.0,57807.0,57354.0,57097.0,57000.0,58487.0,59552.0,61740.0,61748.0,62869.0,64361.0,67064.0,66039.0,68682.0,68659.0,69513.0,68658.0,67150.0,66098.0,67342.0,67243.0,67384.0,68444.0,70268.0,68973.0,68261.0,68300.0,74373.0,75353.0,75866.0,82395.0,83018.0,82371.0
Wartości niematerialne i prawne,3.0,5.0,9.0,7.0,6.0,43.0,128.0,7.0,109.0,88.0,38.0,50.0,31.0,29.0,18.0,19.0,159.0,137.0,192.0,186.0,236.0,198.0,165.0,136.0,140.0,122.0,91.0,74.0,64.0,81.0,81.0,92.0,91.0,78.0,73.0,93.0,80.0,67.0,55.0,52.0,46.0,40.0,38.0,111.0,108.0,217.0,223.0,208.0,194.0,202.0,186.0,174.0,180.0,164.0,147.0,143.0,163.0,148.0,133.0,117.0,103.0,89.0,75.0,61.0,49.0,39.0,34.0
Rzeczowe składniki majątku trwałego,17644.0,19213.0,27495.0,29583.0,29943.0,31165.0,30615.0,30250.0,30014.0,33311.0,35122.0,43391.0,55757.0,60614.0,61642.0,61464.0,62862.0,62618.0,61160.0,61505.0,60722.0,59812.0,58212.0,58848.0,58039.0,57984.0,57955.0,57881.0,57287.0,57476.0,56660.0,56101.0,55981.0,56977.0,56540.0,57337.0,56862.0,56608.0,56551.0,57996.0,59030.0,61268.0,61292.0,62346.0,63794.0,66418.0,65368.0,68003.0,67976.0,68606.0,67912.0,66444.0,65351.0,66641.0,66515.0,66643.0,67393.0,69590.0,68146.0,66862.0,66867.0,67481.0,68702.0,69176.0,71883.0,72237.0,71901.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0
Inwestycje długoterminowe,0.0,45.0,3398.0,3398.0,3398.0,3398.0,3398.0,46.0,46.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6049.0,5914.0,6037.0,9781.0,10012.0,9701.0
Pozostałe aktywa trwałe,257.0,183.0,316.0,190.0,266.0,362.0,27.0,146.0,32.0,42.0,74.0,54.0,116.0,152.0,130.0,163.0,157.0,1481.0,2272.0,1323.0,1336.0,947.0,467.0,523.0,348.0,404.0,360.0,441.0,357.0,457.0,418.0,389.0,410.0,399.0,367.0,371.0,406.0,416.0,388.0,433.0,470.0,426.0,412.0,406.0,453.0,423.0,442.0,465.0,483.0,698.0,553.0,525.0,560.0,530.0,574.0,591.0,882.0,523.0,687.0,1276.0,1324.0,748.0,656.0,586.0,676.0,730.0,729.0
Aktywa obrotowe,44413.0,38962.0,43022.0,34892.0,41771.0,41342.0,31069.0,32598.0,34822.0,40062.0,38622.0,32296.0,29771.0,29938.0,24333.0,22628.0,26708.0,32227.0,30435.0,28421.0,29038.0,34775.0,35025.0,29997.0,33715.0,46376.0,42413.0,38019.0,40793.0,47894.0,45994.0,39836.0,42895.0,51099.0,44491.0,42003.0,43655.0,62817.0,57270.0,45085.0,52633.0,58772.0,60816.0,57335.0,58533.0,72644.0,65211.0,48916.0,57277.0,60882.0,59325.0,62182.0,58765.0,70964.0,78294.0,60936.0,61069.0,60066.0,61464.0,52131.0,60910.0,66978.0,74018.0,54790.0,58558.0,57809.0,61046.0
Zapasy,4132.0,4599.0,5978.0,5392.0,6217.0,10380.0,6963.0,5369.0,6729.0,5429.0,5820.0,5868.0,8192.0,6532.0,6175.0,9865.0,14095.0,12798.0,12152.0,12519.0,9844.0,10954.0,7531.0,6789.0,8121.0,9965.0,10300.0,8143.0,8658.0,8602.0,8803.0,8905.0,8670.0,9485.0,9855.0,11461.0,12745.0,15033.0,16977.0,12465.0,12333.0,9577.0,9244.0,9378.0,10839.0,12255.0,11138.0,10825.0,13161.0,11554.0,11949.0,11774.0,12619.0,10804.0,12857.0,13879.0,13808.0,13769.0,16939.0,16353.0,18063.0,15955.0,17877.0,16830.0,20465.0,13921.0,16074.0
Należności krótkoterminowe,12731.0,9359.0,15787.0,11434.0,14915.0,22559.0,16777.0,12383.0,13917.0,22212.0,18392.0,14693.0,18878.0,22134.0,16202.0,10843.0,11962.0,18384.0,17115.0,13596.0,14058.0,22684.0,21021.0,12523.0,16489.0,23704.0,18087.0,12113.0,14706.0,23595.0,21434.0,13991.0,17250.0,25283.0,19853.0,14425.0,17654.0,28594.0,25020.0,17985.0,23754.0,36361.0,28127.0,18272.0,22964.0,36316.0,27255.0,18747.0,23951.0,31655.0,25629.0,17263.0,20546.0,30013.0,27405.0,18302.0,21783.0,30265.0,25907.0,18851.0,25852.0,39925.0,37304.0,25560.0,28656.0,42427.0,31262.0
Inwestycje krótkoterminowe,26689.0,24336.0,20492.0,17525.0,20300.0,8295.0,6920.0,14539.0,14032.0,12297.0,13860.0,11334.0,2425.0,1145.0,1654.0,1665.0,451.0,733.0,482.0,1721.0,4707.0,854.0,5784.0,10151.0,8515.0,12489.0,13407.0,17289.0,17116.0,15477.0,15105.0,16457.0,16680.0,16140.0,14202.0,15674.0,13007.0,18977.0,14677.0,14184.0,16304.0,12608.0,22837.0,29194.0,24431.0,23784.0,26121.0,18751.0,19792.0,17421.0,21020.0,32558.0,25237.0,29911.0,37336.0,28173.0,25146.0,15780.0,17844.0,16351.0,16654.0,10829.0,17979.0,11751.0,9032.0,1185.0,12704.0
Środki pieniężne i inne aktywa pieniężne,26689.0,24336.0,20492.0,17525.0,20300.0,8295.0,6920.0,14539.0,14032.0,12297.0,13860.0,11334.0,2425.0,1145.0,1654.0,1665.0,451.0,733.0,482.0,1721.0,4707.0,854.0,5784.0,10151.0,8515.0,12489.0,13407.0,17251.0,17116.0,15477.0,15097.0,16457.0,16680.0,16140.0,14202.0,15674.0,13007.0,18977.0,14677.0,14184.0,16304.0,12608.0,22837.0,29194.0,24431.0,23784.0,26121.0,18751.0,19792.0,17421.0,21020.0,32558.0,25237.0,29911.0,7226.0,1122.0,2100.0,15780.0,12904.0,2467.0,1691.0,1023.0,2051.0,3280.0,486.0,1185.0,1786.0
Pozostałe aktywa obrotowe,861.0,668.0,765.0,541.0,339.0,108.0,409.0,307.0,144.0,124.0,550.0,401.0,276.0,127.0,302.0,255.0,200.0,312.0,686.0,585.0,429.0,283.0,689.0,534.0,590.0,218.0,619.0,474.0,313.0,220.0,652.0,483.0,295.0,191.0,581.0,443.0,249.0,213.0,596.0,451.0,242.0,226.0,608.0,491.0,299.0,289.0,697.0,593.0,373.0,252.0,727.0,587.0,363.0,236.0,696.0,582.0,332.0,252.0,774.0,576.0,341.0,269.0,858.0,649.0,405.0,276.0,1006.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,62317.0,58408.0,74240.0,68070.0,75384.0,76310.0,65237.0,63047.0,65023.0,73554.0,73907.0,75842.0,85726.0,90738.0,86128.0,84279.0,89891.0,96468.0,94064.0,91440.0,91337.0,95737.0,93874.0,89509.0,92247.0,104891.0,100824.0,96420.0,98506.0,105913.0,103158.0,96423.0,99382.0,108558.0,101477.0,99810.0,101009.0,119914.0,114270.0,103572.0,112185.0,120512.0,122564.0,120204.0,122894.0,139708.0,131250.0,117598.0,125936.0,130395.0,127983.0,129332.0,124863.0,138306.0,145537.0,128320.0,129513.0,130334.0,130437.0,120392.0,129210.0,141351.0,149371.0,130656.0,140953.0,140827.0,143417.0
Kapitał własny akcjonariuszy jednostki dominującej,38986.0,39508.0,43581.0,44096.0,44678.0,44927.0,45935.0,46348.0,46874.0,48906.0,50431.0,50062.0,50073.0,50073.0,49680.0,46421.0,45675.0,45410.0,46151.0,45792.0,45856.0,47401.0,49373.0,48143.0,49485.0,51810.0,55597.0,51817.0,52766.0,54271.0,55817.0,53307.0,53859.0,57163.0,58737.0,55881.0,56317.0,59520.0,62202.0,60717.0,62202.0,66466.0,70405.0,67326.0,68144.0,72364.0,74720.0,70825.0,71993.0,74986.0,75969.0,76153.0,74776.0,76553.0,77625.0,76733.0,72874.0,74514.0,73655.0,71581.0,71398.0,78974.0,84686.0,83044.0,83994.0,91717.0,95367.0
Kapitał (fundusz) podstawowy,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,34315.0,37005.0,36985.0,41584.0,41584.0,41584.0,41584.0,44259.0,44259.0,44259.0,44259.0,48238.0,48238.0,48238.0,49680.0,49478.0,49478.0,49478.0,49478.0,44742.0,44742.0,44742.0,42742.0,43868.0,43868.0,43868.0,43868.0,47014.0,47014.0,47017.0,47017.0,51478.0,51478.0,51477.0,51477.0,54370.0,54370.0,54370.0,54370.0,56794.0,56794.0,56794.0,56794.0,62808.0,62808.0,62808.0,62808.0,67310.0,67310.0,67311.0,67310.0,67311.0,71328.0,71328.0,71328.0,71328.0,73627.0,73627.0,73627.0,73849.0,73849.0,73849.0,73849.0,76114.0,76114.0,76114.0,76114.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,2695.0,3111.0,4631.0,3478.0,6130.0,2682.0,0.0,105.0,63.0,112.0,115.0,173.0,141.0,5406.0,6811.0,7117.0,6603.0,9123.0,8556.0,7960.0,7499.0,6833.0,5929.0,13951.0,13560.0,13337.0,13036.0,13111.0,13135.0,12714.0,12320.0,12018.0,11895.0,11800.0,11549.0,11980.0,11573.0,12557.0,11989.0,11517.0,12839.0,12494.0,11917.0,15317.0,14826.0,13781.0,13173.0,17244.0,15769.0,14802.0,13797.0,14832.0,13503.0,12091.0,10779.0,11934.0,10792.0,12594.0,15256.0,14440.0,13236.0,12287.0,10826.0,9748.0,8943.0,7922.0,6925.0
Z tytułu dostaw i usług,0.0,0.0,0.0,0.0,0.0,17599.0,0.0,0.0,0.0,13857.0,0.0,0.0,0.0,18640.0,0.0,0.0,0.0,18033.0,0.0,0.0,0.0,17882.0,0.0,0.0,0.0,21145.0,0.0,0.0,0.0,19861.0,0.0,0.0,0.0,21528.0,0.0,0.0,0.0,24972.0,0.0,0.0,0.0,25790.0,0.0,0.0,0.0,25817.0,0.0,0.0,0.0,23518.0,0.0,0.0,0.0,21894.0,0.0,0.0,0.0,23866.0,0.0,0.0,0.0,32737.0,0.0,0.0,0.0,24618.0,0.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,2206.0,0.0,0.0,0.0,2875.0,0.0,0.0,0.0,1972.0,0.0,0.0,0.0,7289.0,0.0,0.0,0.0,8401.0,0.0,0.0,0.0,3191.0,0.0,0.0,0.0,4478.0,0.0,0.0,0.0,4531.0,0.0,0.0,0.0,11117.0,0.0,0.0,0.0,2506.0,0.0,0.0,0.0,14788.0,0.0,0.0,0.0,4720.0,0.0,0.0,0.0,15699.0,0.0,0.0,0.0,8059.0,0.0,0.0,0.0,6125.0,0.0,0.0,0.0,4799.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,43.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
